118.;Libicki Marcin;PiS;130;mandat wygasł 16-06-2004;
119.;Tomaszewski Tadeusz;SLD;130;;
120.;Czepułkowski Jerzy;SLD;128;;
121.;Strąk Robert;LPR;128;;
122.;Banach Jolanta;SDPL;127(57);;
123.;Wojtkowiak Tadeusz;Samoobrona;127;;
124.;Zbrzyzny Ryszard;SLD;127;;
125.;Rokita Jan;PO;126;;
126.;Hausner Jerzy;niez.;125(125);;
127.;Marcinkiewicz Kazimierz;PiS;124;;
128.;Plocke Kazimierz;PO;124;;
129.;Kubica Józef;UP;123;;
130.;Ostrowska Małgorzata;SLD;123(49);;
131.;Kubik Jan;PSL;122;;
132.;Ciemniak Grażyna;SLD;121;;
133.;Gorczyca Stanisław;PO;121;;
134.;Okoński Wiesław;SLD;121;;
135.;Szczepańczyk Józef;PSL;121;;
136.;Ujazdowski Kazimierz Michał;PiS;119;;
137.;Dziewulski Zbigniew;niez.;118;;
138.;Filipek Krzysztof;Samoobrona;118;;
139.;Klukowski Wacław;PiS;118;;
140.;Kaczmarek Michał;SDPL;117;;
141.;Smoleń Robert;SLD;116;;
142.;Pol Marek;UP;115(65);;
143.;Aszkiełowicz Mieczysław;Samoobrona;114;;
144.;Kruk Elżbieta;PiS;114;;
145.;Mańka Andrzej;LPR;114;;
146.;Brachmański Andrzej;SLD;111(48);;
147.;Gilowska Zyta;PO;110;;
148.;Grabowski Dariusz;LPR;110;mandat wygasł 16-06-2004;
149.;Kamiński Michał Tomasz;PiS;110;mandat wygasł 16-06-2004;
150.;Tyma Zenon;LPR;110;;
151.;Zagórski Marek;niez.;110;;
152.;Krupa Urszula;LPR;109;mandat wygasł 16-06-2004;
153.;Kantor Ewa;D_OJCZYSTY;108;;
154.;Błońska-Fajfrowska Barbara;UP;107;;
155.;Poncyljusz Paweł;PiS;107;;
156.;Sosnowski Zbigniew;PSL;107;;
157.;Winiarczyk-Kossakowska Małgorzata;SDPL;107;;
158.;Piłat Andrzej;SLD;106(99);;
159.;Stryjska Małgorzata;PiS;106;;
160.;Muszyński Marek;niez.;105;;
161.;Zarzycki Wojciech Szczęsny;PSL;105;;
162.;Gadzinowski Piotr;SLD;104;;
163.;Kopacz Ewa;PO;104;;
164.;Rohde Małgorzata;KL;104;;
165.;Zagórny Rafał;PO;104;;
166.;Suchecki Benedykt;SLD;103;;
167.;Śledzińska-Katarasińska Iwona;PO;103;;
168.;Parchański Tadeusz;PO;101;;
169.;Błochowiak Anita;SLD;100;;
170.;Janik Krzysztof;SLD;99(72);;
171.;Wikiński Marek;SLD;99(1);;
172.;Wiśniowska Genowefa;Samoobrona;99;;
173.;Kaczyński Jarosław;PiS;98;;
174.;Kurczuk Grzegorz;SLD;98(59);;
175.;Lis Alicja;Samoobrona;98;;
176.;Byra Jan;SDPL;97;;
177.;Lewandowski Bogdan;SDPL;96;;
178.;Małachowski Aleksander;UP;96;mandat wygasł 26-01-2004;
179.;Piotrowska Teresa;PO;95;;
180.;Mateja Piotr;PO;94;;
181.;Szczypiński Tomasz;PO;94;;
182.;Budnik Jerzy Feliks;PO;93;;
183.;Markowiak Andrzej;PO;93;;
184.;Piosik Stanisław;SLD;93;;
185.;Giertych Maciej;LPR;92;mandat wygasł 16-06-2004;
186.;Kralkowska Ewa;UP;92(84);;
187.;Szczygło Aleksander;PiS;92;;
188.;Gajda Tadeusz;PSL;91;;
