lp;kto;partia;noGlos;procGlos;uwagiGlos
245.;Mazurek Beata;PiS;5960;94.63;;
246.;Poznański Marek;niez.;5959;94.62;;
247.;Biernat Andrzej;PO;5957;94.59;;
248.;Jastrzębski Leszek;PO;5957;94.59;;
249.;Plocke Kazimierz;PO;5957;94.59;;
250.;Bernacki Włodzimierz;PiS;5950;94.47;;
251.;Durka Zenon;PO;5950;94.47;;
252.;Zawiślak Sławomir;PiS;5950;94.47;;
253.;Gos Marek;PSL;5948;94.44;;
254.;Hall Katarzyna;PO;5948;94.44;;
255.;Witek Elżbieta;PiS;5946;94.41;;
256.;Popiołek Krzysztof;ZP;5945;94.40;;
257.;Czartoryski Arkadiusz;PiS;5941;94.33;;
258.;Piotrowska Teresa;PO;5941;94.33;;
259.;Zalewska Anna;PiS;5934;94.22;;
260.;Gałażewski Andrzej;PO;5933;94.20;;
261.;Wolak Ewa;PO;5933;94.20;;
262.;Żyżyński Jerzy;PiS;5930;94.16;;
263.;Wielichowska Monika;PO;5929;94.14;;
264.;Strzałkowski Stefan;PiS;5928;94.13;;
265.;Makowski Tomasz;PSL;5922;94.03;;
266.;Tomaszewski Tadeusz;SLD;5915;93.92;;
267.;Charłampowicz Jarosław;PO;5894;93.59;;
268.;Cycoń Marian;PO;5890;93.52;;
269.;Wydrzyński Maciej;RP;5887;93.47;;
270.;Bogucki Jacek;PiS;5883;93.41;;
271.;Borkowski Krzysztof;PSL;5882;93.39;;
272.;Stefaniuk Franciszek Jerzy;PSL;5882;93.39;;
273.;Bury Jan;PSL;5881;93.38;;
274.;Kamiński Tomasz;SLD;5881;93.38;;
275.;Tyszkiewicz Robert;PO;5881;93.38;;
276.;Jarmuziewicz Tadeusz;PO;5879;93.35;;
277.;Pawłowicz Krystyna;PiS;5876;93.30;;
278.;Sekuła-Szmajdzińska Małgorzata;SLD;5876;93.30;;
279.;Banaszak Maciej;SLD;5875;93.28;;
280.;Kolenda-Łabuś Brygida;PO;5875;93.28;;
281.;Radziszewska Elżbieta;PO;5875;93.28;;
282.;Ziobro Kazimierz;ZP;5874;93.27;;
283.;Kuchciński Marek;PiS;5873;93.25;;
284.;Joński Dariusz;SLD;5872;93.24;;
285.;Kołakowski Robert;PiS;5866;93.14;;
286.;Szyszko Jan;PiS;5864;93.11;;
287.;Biernacki Marek;PO;5856;92.98;;
288.;Bańkowska Anna;SLD;5845;92.81;;
289.;Wziątek Stanisław;SLD;5843;92.78;;
290.;Prządka Stanisława;SLD;5839;92.71;;
291.;Kłosowski Krzysztof;SLD;5834;92.63;;
292.;Zakrzewska Jadwiga;PO;5831;92.58;;
293.;Maliszewski Mirosław;PSL;5823;92.46;;
294.;Bukiewicz Bożenna;PO;5814;92.32;;
295.;Kłosowski Sławomir;PiS;5813;92.30;;
296.;Tchórzewski Krzysztof;PiS;5813;92.30;;
297.;Rozenek Andrzej;BC;5812;92.28;;
298.;Guzowska Iwona;PO;5806;92.19;;
299.;Sawicki Marek;PSL;5802;92.12;;
300.;Bętkowski Andrzej;PiS;5799;92.08;;
301.;Stolarski Marek;SLD;5796;92.03;;
302.;Pięta Stanisław;PiS;5791;91.95;;
303.;Koźlakiewicz Mirosław;PO;5789;91.92;;
304.;Kalemba Stanisław;PSL;5784;91.84;;
305.;Godson John Abraham;PSL;5783;91.82;;
306.;Jasiński Wojciech;PiS;5779;91.76;;
307.;Dera Andrzej;ZP;5777;91.73;;
308.;Hrynkiewicz Józefa;PiS;5774;91.68;;
309.;Masłowska Gabriela;PiS;5773;91.66;;
310.;Korzeniowski Leszek;PO;5763;91.51;;
311.;Śniadek Janusz;PiS;5760;91.46;;
312.;Bartuś Barbara;PiS;5755;91.38;;
313.;Bauć Piotr Paweł;RP;5753;91.35;;
314.;Mularczyk Arkadiusz;ZP;5750;91.30;;
315.;Sajak Paweł;PSL;5750;91.30;;
316.;Pietraszewska Danuta;PO;5741;91.16;;
317.;Giżyński Szymon;PiS;5736;91.08;;
318.;Rogacki Adam;niez.;5734;91.04;;
319.;Grodzka Anna;niez.;5731;91.00;;
320.;Zaborowski Zbyszek;SLD;5724;90.89;;
321.;Budka Borys;PO;5723;90.87;;
322.;Kmiecik Henryk;PSL;5723;90.87;;
323.;Szydło Beata;PiS;5716;90.76;;
324.;Sprawka Lech;PiS;5715;90.74;;
325.;Lewandowski Andrzej;RP;5710;90.66;;
326.;Balt Marek;SLD;5693;90.39;;
327.;Kraczkowski Maks;PiS;5692;90.38;;
328.;Kępiński Adam;SLD;5684;90.25;;
329.;Matuszczak Zbigniew;SLD;5683;90.23;;
330.;Jaki Patryk;ZP;5681;90.20;;
331.;Piontkowski Dariusz;PiS;5668;90.00;;
332.;Jaworski Andrzej;PiS;5663;89.92;;
333.;Dąbrowski Andrzej;ZP;5660;90.01;ślubował 17-11-2011;
334.;Szczerski Krzysztof;PiS;5658;94.69;mandat wygasł 07-08-2015;
335.;Smolarz Henryk;PSL;5643;89.60;;
336.;Klepacz Witold;SLD;5634;89.46;;
337.;Kownacki Bartosz;PiS;5634;89.46;;
338.;Wojtkiewicz Michał;PiS;5625;89.31;;
339.;Tomczykiewicz Tomasz;PO;5624;89.30;;
340.;Gosiewska Małgorzata;PiS;5622;89.27;;
341.;Rybakowicz Adam;RP;5622;89.27;;
342.;Kabaciński Michał;RP;5610;89.08;;
343.;Żalek Jacek;ZP;5608;89.04;;
344.;Zgorzelski Piotr;PSL;5600;88.92;;
345.;Mastalerek Marcin;PiS;5599;88.90;;
346.;Gluza Czesław;SLD;5597;88.87;;
347.;Wenderlich Jerzy;SLD;5586;88.69;;
348.;Opioła Marek;PiS;5585;88.68;;
349.;Nowak Maria;PiS;5580;88.60;;
350.;Galla Ryszard;niez.;5561;88.30;;
351.;Kempa Beata;ZP;5556;88.22;;
352.;Rojek Józef;ZP;5551;88.14;;
353.;Pawlak Mirosław;PSL;5544;88.03;;
354.;Schetyna Grzegorz;PO;5544;88.03;;
355.;Gowin Jarosław;ZP;5535;87.89;;
356.;Domaracki Marek;SLD;5532;87.84;;
357.;Falfus Jacek;PiS;5524;87.71;;
358.;Ardanowski Jan Krzysztof;PiS;5514;87.55;;
359.;Achinger Elżbieta;PO;5509;99.01;ślubowała 11-07-2012;
360.;Nowicka Wanda;niez.;5500;87.33;;
361.;Kaczyński Jarosław;PiS;5498;87.30;;
362.;Miller Leszek;SLD;5498;87.30;;
363.;Latos Tomasz;PiS;5479;87.00;;
364.;Kopyciński Sławomir;BC;5472;86.88;;
365.;Dziedziczak Jan;PiS;5470;86.85;;
366.;Lipiński Adam;PiS;5463;86.74;;
367.;Borkowski Jerzy;RP;5456;86.63;;
368.;Jędrysek Mariusz Orion;PiS;5421;86.07;;
369.;Staroń Lidia;niez.;5414;85.96;;
370.;Zych Józef;PSL;5405;85.82;;
371.;Kopacz Ewa;PO;5392;85.61;;
372.;Sztorc Andrzej;PSL;5385;85.50;;
373.;Malik Ewa;PiS;5383;85.47;;
374.;Krupa Łukasz;niez.;5382;85.46;;
375.;Seliga Dariusz;PiS;5373;85.31;;
376.;Waszczykowski Witold;PiS;5371;85.28;;
377.;Jurgiel Krzysztof;PiS;5358;85.07;;
378.;Ryfiński Armand Kamil;niez.;5344;84.85;;
379.;Szarama Wojciech;PiS;5336;84.73;;
380.;Zbrzyzny Ryszard;SLD;5312;84.34;;
381.;Kłopotek Eugeniusz;PSL;5299;84.14;;
382.;Brudziński Joachim;PiS;5294;84.06;;
383.;Kamiński Mariusz Antoni;niez.;5285;83.92;;
