lp;kto;klub;lwystapien;uwagi
308.;Falfus Jacek;PiS;39;;
309.;Piotrowska Teresa;PO;39;;
310.;Rozpondek Halina;PO;39;;
311.;Sycz Miron;PO;39;mandat wygasł 02-11-2015;
312.;Chmielewski Stanisław;PO;38;ślubował 24-06-2014;
313.;Włodkowski Zbigniew;PSL;37;mandat wygasł 02-12-2014;
314.;Drozd Ewa;PO;36;;
315.;Jasiński Wojciech;PiS;36;;
316.;Łapiński Marek;PO;36;;
317.;Niedbała Marek;SLD;36;ślubował 05-06-2014;
318.;Pietraszewska Danuta;PO;36;;
319.;Bukiewicz Bożenna;PO;35;;
320.;Gut-Mostowy Andrzej;PO;35;;
321.;Lewandowski Andrzej;RP;35;;
322.;Brudziński Joachim;PiS;34;;
323.;Hanajczyk Agnieszka;PO;34;;
324.;Kaźmierczak Jan;PO;34;;
325.;Leszczyna Izabela;PO;34;;
326.;Witczak Mariusz;PO;34;;
327.;Złotowski Kosma;PiS;34;mandat wygasł 27-05-2014;
328.;Cichoń Janusz;PO;33;;
329.;Aziewicz Tadeusz;PO;32;;
330.;Ławrynowicz Zofia;PO;32;;
331.;Michałkiewicz Krzysztof;PiS;32;;
332.;Niesiołowski Stefan;PO;32;;
333.;Sztolcman Grzegorz;PO;32;;
334.;Katulski Jarosław;PO;31;mandat wygasł 05-12-2014;
335.;Kołacz-Leszczyńska Agnieszka;PO;31;;
336.;Rutnicki Jakub;PO;31;;
337.;Sobierajski Czesław;PiS;31;ślubował 24-09-2014;
338.;Babiarz Piotr Łukasz;PiS;30;ślubował 05-06-2014;
339.;Budnik Jerzy;niez.;30;;
340.;Ciemniak Grażyna;PO;30;ślubowała 16-12-2014;
341.;Godson John Abraham;PSL;30;;
342.;Hok Marek;PO;30;;
343.;Łopiński Maciej;PiS;30;mandat wygasł 07-08-2015;
344.;Okła-Drewnowicz Marzena;PO;30;;
345.;Saługa Wojciech;PO;30;mandat wygasł 01-12-2014;
346.;Szumilas Krystyna;PO;30;;
347.;Jaros Michał;PO;29;;
348.;Królikowska-Kińska Elżbieta;PO;29;ślubowała 27-08-2013;
349.;Staroń Lidia;niez.;29;;
350.;Witkowski Radosław;PO;29;mandat wygasł 15-12-2014;
351.;Hall Katarzyna;PO;28;;
352.;Jagiełło Jarosław Tomasz;niez.;28;ślubował 17-11-2011;
353.;Kraczkowski Maks;PiS;28;;
354.;Lenz Tomasz;PO;28;;
355.;Pierzchała Elżbieta Apolonia;PO;28;;
356.;Waszczykowski Witold;PiS;28;;
357.;Kierwiński Marcin;PO;27;;
358.;Król Piotr;PiS;27;ślubował 05-06-2014;
359.;Arciszewska-Mielewczyk Dorota;PiS;26;;
360.;Dzikowski Waldy;PO;26;;
361.;Matusik-Lipiec Katarzyna;PO;26;;
362.;Napieralski Grzegorz;BC;26;;
363.;Radziszewska Elżbieta;PO;26;;
364.;Suski Paweł;PO;26;;
365.;Szymiec-Raczyńska Halina;PSL;26;;
366.;Bublewicz Beata;PO;25;;
367.;Korzeniowski Leszek;PO;25;;
368.;Pasławska Urszula;PSL;25;ślubowała 13-01-2015;
369.;Sawicki Marek;PSL;25;;
370.;Stuligrosz Michał;PO;25;ślubował 05-06-2014;
371.;Gosiewska Małgorzata;PiS;24;;
372.;Kowalski Sławomir;PO;24;;
373.;Młyńczak Aldona;PO;24;ślubowała 05-06-2014;
374.;Rusiecki Jarosław;PiS;24;mandat wygasł 10-09-2014;
375.;Tomański Piotr;PO;24;;
376.;Kołakowski Lech;PiS;23;;
377.;Lipiński Adam;PiS;23;;
378.;Matusiak Grzegorz;PiS;23;;
379.;Tomczyk Cezary;PO;23;;
380.;Tyszkiewicz Robert;PO;23;;
381.;Garczewski Romuald;PSL;22;ślubował 13-01-2015;
382.;Głogowski Tomasz;PO;22;;
383.;Janik Renata;PO;22;ślubowała 11-09-2013;
384.;Plura Marek;PO;22;mandat wygasł 27-05-2014;
385.;Van der Coghen Piotr;PO;22;;
386.;Gluza Czesław;SLD;21;;
387.;Janik Grzegorz;PiS;21;ślubował 08-05-2013;
388.;Małecka-Libera Beata;PO;21;;
389.;Sellin Jarosław;PiS;21;;
390.;Zakrzewska Jadwiga;PO;21;;
391.;Żyliński Adam;PO;21;ślubował 25-01-2012mandat wygasł 02-12-2014;
392.;Charłampowicz Jarosław;PO;20;;
393.;Czarnecki Witold;PiS;20;;
394.;Łatas Marek;PiS;20;;
395.;Wojtkowski Marek;PO;20;mandat wygasł 05-12-2014;
396.;Żalek Jacek;ZP;20;;
397.;Błądek Antoni;PiS;19;ślubował 05-06-2014;
398.;Czechyra Czesław;PO;19;;
399.;Dąbrowska Alicja;PO;19;;
400.;Kaczor Roman;PO;18;;
401.;Pawlak Waldemar;PSL;18;;
402.;Poślednia Krystyna;PO;18;mandat wygasł 01-04-2014;
403.;Raniewicz Grzegorz;PO;18;;
404.;Żmuda-Trzebiatowska Ewa;PO;18;;
405.;Cieśliński Piotr;PO;17;;
406.;Gelert Elżbieta;PO;17;;
407.;Huskowski Stanisław;PO;17;;
408.;Kwiatkowski Krzysztof;PO;17;mandat wygasł 09-08-2013;
409.;Pitera Julia;PO;17;mandat wygasł 27-05-2014;
410.;Raczkowski Damian;PO;17;;
411.;Rusinowska Beata;PO;17;ślubowała 05-06-2014;
412.;Ziemniak Wojciech;PO;17;;
413.;Adamczak Małgorzata;PO;16;mandat wygasł 01-12-2014;
414.;Borowczak Jerzy;PO;16;;
415.;Garbowski Tomasz;SLD;16;;
416.;Kluzik-Rostkowska Joanna;PO;16;;
417.;Neumann Sławomir;PO;16;;
418.;Osuch Jacek;PiS;16;;
419.;Rynasiewicz Zbigniew;PO;16;mandat wygasł 01-06-2015;
420.;Strzałkowski Stefan;PiS;16;;
421.;Henczyca Bożena;PO;15;ślubowała 17-12-2014;
422.;Kaczmarek Tomasz;niez.;15;mandat wygasł 06-03-2015;
423.;Papke Paweł;PO;15;;
424.;Sławiak Bożena;PO;15;;
425.;Tomaszak-Zesiuk Irena;PO;15;ślubowała 23-04-2014;
426.;Biernacki Marek;PO;14;;
427.;Kidawa-Błońska Małgorzata;PO;14;;
428.;Wenderlich Jerzy;SLD;14;;
429.;Zawiślak Sławomir;PiS;14;;
430.;Brejza Krzysztof;PO;13;;
431.;Guzowska Iwona;PO;13;;
432.;Jagła Robert;PO;13;ślubował 27-08-2014;
433.;Kosecki Roman Jacek;PO;13;;
434.;Krasulski Leonard;PiS;13;;
435.;Wardzała Robert;PO;13;;
436.;Woźniak Małgorzata;PO;13;ślubowała 13-01-2015;
437.;Grad Mariusz;PO;12;;
438.;Gromadzki Jarosław;niez.;12;ślubował 19-12-2014;
439.;Mucha Joanna;PO;12;;
440.;Seliga Dariusz;PiS;12;;
441.;Smolarz Tomasz;PO;12;mandat wygasł 12-03-2014;
442.;Sońta Krzysztof;PiS;12;ślubował 05-06-2014;
443.;Stolarski Marek;SLD;12;;
444.;Borawski Edmund;PSL;11;;
445.;Gowin Jarosław;ZP;11;;
446.;Grzeszczak Eugeniusz Tomasz;PSL;11;;
447.;Kwitek Marek;PiS;11;ślubował 01-10-2014;
448.;Olendzka Halina;PiS;11;ślubowała 09-04-2015;
449.;Opioła Marek;PiS;11;;
450.;Tusk Łukasz;PO;11;ślubował 22-11-2013;
451.;Vincent-Rostowski Jan;PO;11;ślubował 17-11-2011;
452.;Grabarczyk Cezary;PO;10;;
453.;Mastalerek Marcin;PiS;10;;
454.;Duszek Marcin;PiS;9;ślubował 16-12-2014;
455.;Kamiński Mariusz;PiS;9;;
456.;Kozaczyński Jacek;PO;9;;
457.;Maciejewski Krzysztof;PiS;9;ślubował 19-12-2014;
458.;Poręba Marek;PO;9;ślubował 11-06-2015;
459.;Schetyna Grzegorz;PO;9;;
460.;Czaplicka Barbara;PO;8;;
461.;Czeszejko-Sochacka Ewa;PO;8;ślubowała 07-11-2014;
462.;Koźlakiewicz Mirosław;PO;8;;
463.;Nawrocka Elżbieta;PSL;8;ślubowała 18-02-2015;
464.;Sosna Aleksander;SLD;8;ślubował 05-06-2014;
465.;Stawiarski Jarosław;PiS;8;ślubował 16-12-2014;
466.;Czarnecki Przemysław;PiS;7;ślubował 05-06-2014;
467.;Jarmuziewicz Tadeusz;PO;7;;
468.;Kołakowski Robert;PiS;7;;
