kto;klub;l.glos;p.glos;l.interp;l.interp.nb;l.wystap;uwagi
Olszewski Paweł;PO;6084;96.60;2;0;4;
Opioła Marek;PiS;5585;88.68;286;3;11;
Orzechowski Andrzej;PO;6283;99.76;45;0;169;
Orzechowski Maciej;PO;6179;98.11;622;0;92;
Ostrowski Artur;SLD;6062;96.25;59;0;169;
Osuch Jacek;PiS;5976;94.89;81;0;16;
Ozga Krystyna;PSL;6173;98.02;25;0;106;
Oświęcimski Konstanty;PO;6220;98.76;20;0;70;
Ożóg Stanisław;PiS;3282;97.39;90;1;67;mandat wygasł 27-05-2014
Pacelt Zbigniew;PO;6244;99.14;18;0;4;
Pacholski Michał Tomasz;PSL;6006;95.36;198;0;100;
Pahl Witold;PO;6242;99.11;26;5;74;
Palikot Janusz;RP;4785;77.94;24;0;65;mandat wygasł 11-09-2015
Paluch Anna;PiS;6091;96.71;103;0;389;
Papke Paweł;PO;6209;98.59;98;0;15;
Pasławska Urszula;PSL;1702;92.05;6;0;25;ślubowała 13-01-2015
Pawlak Mirosław;PSL;5544;88.03;21;0;185;
Pawlak Waldemar;PSL;4696;74.56;1;0;18;
Pawłowicz Krystyna;PiS;5876;93.30;62;0;137;
Penkalski Wojciech;?NZ;5992;95.14;112;0;116;
Piecha Bolesław Grzegorz;PiS;1708;94.21;6;0;55;mandat wygasł 24-04-2013
Piechociński Janusz;PSL;4850;77.01;2;0;46;
Piechota Sławomir Jan;PO;6138;97.46;37;0;72;
Pierzchała Elżbieta Apolonia;PO;6171;97.98;5;0;28;
Pietraszewska Danuta;PO;5741;91.16;51;0;36;
Pietrzczyk Lucjan Marek;PO;6279;99.70;34;0;42;
Piontkowski Dariusz;PiS;5668;90.00;336;1;91;
Piotrowicz Stanisław;PiS;6106;96.95;4;0;74;
Piotrowska Teresa;PO;5941;94.33;76;0;39;
Pitera Julia;PO;3290;97.63;58;0;17;mandat wygasł 27-05-2014
Piątak Andrzej;?NZ;4293;68.16;8;0;1;
Pięta Jarosław;PO;6290;99.87;72;0;105;
Pięta Stanisław;PiS;5791;91.95;91;0;113;
Plocke Kazimierz;PO;5957;94.59;0;0;0;
Plura Marek;PO;3115;92.43;5;0;22;mandat wygasł 27-05-2014
Pluta Mirosław;PO;6286;99.81;118;0;100;
Polaczek Jerzy;PiS;6025;95.67;235;1;84;
Polak Marek;PiS;6193;98.33;206;0;119;
Polak Piotr;PiS;6230;98.92;84;0;327;
Pomaska Agnieszka;PO;6042;95.94;94;1;52;
Popiołek Krzysztof;ZP;5945;94.40;9;1;118;
Popiołek Zofia;RP;6268;99.52;56;1;164;
Poręba Marek;PO;949;99.68;0;0;9;ślubował 11-06-2015
Poznański Marek;?NZ;5959;94.62;53;18;71;
Poślednia Krystyna;PO;2058;64.64;45;0;18;mandat wygasł 01-04-2014
Prządka Stanisława;SLD;5839;92.71;15;0;99;
Pyzik Piotr;PiS;6099;96.84;48;0;192;
Pępek Małgorzata;PO;6279;99.70;120;0;98;
Racki Józef;PSL;6270;99.56;46;0;172;
Raczkowski Damian;PO;6079;96.52;137;2;17;
Radziszewska Elżbieta;PO;5875;93.28;18;0;26;
Rafalska Elżbieta;PiS;6102;96.89;118;0;244;
Raniewicz Grzegorz;PO;6184;98.19;42;0;18;
Raś Ireneusz;PO;6157;97.76;14;0;44;
Rogacki Adam;?NZ;5734;91.04;161;1;67;
Rojek Józef;ZP;5551;88.14;17;2;597;
