"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";9;9;9;"83,30";"1,27";"54,55";"45,45";"0,00";"98,73";"1,43";"15,79";"7,57";"35,83";"7,06";"30,67";"1,64";;;;;
100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";9;22;22;"77,30";"1,01";"64,56";"35,44";"0,00";"98,99";"1,39";"11,93";"7,59";"39,02";"7,22";"30,92";"1,92";;;;;
100701;"gm. Białaczów";"opoczyński";"łódzkie";10;8;8;"70,87";"3,34";"64,76";"28,57";"6,67";"96,66";"1,38";"16,06";"4,11";"59,10";"7,44";"10,37";"1,15";"0,39";;;;
100702;"gm. Drzewica";"opoczyński";"łódzkie";10;17;17;"75,54";"2,11";"51,59";"38,10";"10,32";"97,89";"1,50";"10,56";"4,57";"64,00";"6,49";"11,40";"1,14";"0,32";;;;
100703;"gm. Mniszków";"opoczyński";"łódzkie";10;4;4;"74,06";"2,29";"50,00";"30,65";"19,35";"97,71";"2,04";"13,20";"3,39";"63,64";"6,49";"9,28";"1,66";"0,30";;;;
100704;"gm. Opoczno";"opoczyński";"łódzkie";10;32;32;"77,09";"1,47";"57,95";"30,04";"12,01";"98,53";"1,27";"15,48";"5,47";"51,39";"8,42";"16,56";"1,01";"0,40";;;;
100705;"gm. Paradyż";"opoczyński";"łódzkie";10;4;4;"76,79";"2,85";"50,00";"41,67";"8,33";"97,15";"1,34";"18,49";"2,36";"65,35";"5,99";"4,85";"1,47";"0,16";;;;
100706;"gm. Poświętne";"opoczyński";"łódzkie";10;4;4;"75,05";"1,79";"63,64";"27,27";"9,09";"98,21";"1,54";"12,13";"2,65";"66,43";"7,77";"8,05";"0,99";"0,44";;;;
100707;"gm. Sławno";"opoczyński";"łódzkie";10;11;11;"76,09";"2,31";"44,12";"42,16";"13,73";"97,69";"1,57";"17,18";"2,52";"61,17";"8,03";"8,24";"1,04";"0,23";;;;
100708;"gm. Żarnów";"opoczyński";"łódzkie";10;12;12;"72,73";"2,29";"52,63";"36,84";"10,53";"97,71";"1,57";"13,91";"4,28";"61,45";"5,72";"11,32";"1,35";"0,40";;;;
100801;"m. Konstantynów Łódzki";"pabianicki";"łódzkie";11;13;13;"77,92";"1,82";"58,94";"30,92";"10,14";"98,18";"1,66";"12,03";"9,38";"28,58";"6,98";"38,34";"1,32";"1,70";;;;
100802;"m. Pabianice";"pabianicki";"łódzkie";11;29;29;"77,08";"1,47";"43,63";"47,57";"8,80";"98,53";"1,36";"11,40";"12,98";"30,67";"5,50";"36,36";"1,28";"0,45";;;;
100803;"gm. Dłutów";"pabianicki";"łódzkie";11;5;5;"78,84";"2,49";"51,35";"35,14";"13,51";"97,51";"2,17";"12,90";"8,55";"42,03";"7,90";"23,86";"1,86";"0,72";;;;
100804;"gm. Dobroń";"pabianicki";"łódzkie";11;6;6;"77,63";"1,48";"43,66";"42,25";"14,08";"98,52";"1,82";"15,48";"8,30";"35,52";"6,99";"30,28";"1,41";"0,21";;;;
100805;"gm. Ksawerów";"pabianicki";"łódzkie";11;7;7;"80,54";"2,12";"60,58";"31,73";"7,69";"97,88";"1,33";"14,77";"9,51";"30,11";"6,57";"35,50";"1,48";"0,73";;;;
100806;"gm. Lutomiersk";"pabianicki";"łódzkie";11;7;7;"79,69";"1,96";"47,32";"28,57";"24,11";"98,04";"1,63";"15,92";"7,81";"34,01";"7,69";"31,46";"0,75";"0,73";;;;
100807;"gm. Pabianice";"pabianicki";"łódzkie";11;5;5;"83,88";"1,46";"46,75";"32,47";"20,78";"98,54";"1,62";"15,60";"9,91";"32,21";"7,06";"31,42";"1,77";"0,41";;;;
100901;"gm. Działoszyn";"pajęczański";"łódzkie";11;8;8;"74,57";"2,30";"48,10";"35,44";"16,46";"97,70";"1,52";"15,06";"6,92";"48,05";"6,49";"20,22";"1,15";"0,60";;;;
100902;"gm. Kiełczygłów";"pajęczański";"łódzkie";11;3;3;"75,80";"2,32";"49,09";"50,91";"0,00";"97,68";"1,08";"14,38";"5,74";"60,36";"6,99";"9,54";"1,34";"0,56";;;;
100903;"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";11;4;4;"71,75";"2,57";"52,24";"34,33";"13,43";"97,43";"1,61";"19,24";"4,84";"50,26";"6,97";"14,80";"1,26";"1,02";;;;
100904;"gm. Pajęczno";"pajęczański";"łódzkie";11;9;9;"72,71";"2,06";"54,55";"35,61";"9,85";"97,94";"1,24";"18,12";"6,88";"47,40";"5,70";"19,07";"1,24";"0,35";;;;
100905;"gm. Rząśnia";"pajęczański";"łódzkie";11;7;7;"74,14";"3,16";"56,67";"36,67";"6,67";"96,84";"1,45";"13,65";"5,01";"59,59";"7,73";"11,26";"0,98";"0,33";;;;
100906;"gm. Siemkowice";"pajęczański";"łódzkie";11;4;4;"71,99";"2,88";"46,75";"49,35";"3,90";"97,12";"0,65";"14,19";"5,84";"62,40";"6,31";"9,57";"0,62";"0,42";;;;
100907;"gm. Strzelce Wielkie";"pajęczański";"łódzkie";11;4;4;"70,88";"3,77";"54,74";"42,11";"3,16";"96,23";"0,87";"24,86";"3,51";"55,12";"6,23";"8,18";"0,91";"0,33";;;;
100908;"gm. Sulmierzyce";"pajęczański";"łódzkie";11;5;5;"74,01";"2,02";"65,38";"30,77";"3,85";"97,98";"2,18";"11,71";"6,09";"58,31";"6,72";"12,97";"1,46";"0,55";;;;
101001;"gm. Aleksandrów";"piotrkowski";"łódzkie";10;6;6;"74,42";"3,08";"47,50";"43,75";"8,75";"96,92";"1,07";"14,87";"4,29";"60,44";"5,01";"12,88";"1,03";"0,40";;;;
101002;"gm. Czarnocin";"piotrkowski";"łódzkie";10;6;6;"76,74";"1,59";"56,41";"33,33";"10,26";"98,41";"1,12";"18,34";"4,43";"52,07";"9,40";"12,04";"2,24";"0,37";;;;
101003;"gm. Gorzkowice";"piotrkowski";"łódzkie";10;10;10;"72,26";"2,75";"59,69";"35,66";"4,65";"97,25";"1,64";"14,88";"5,06";"57,56";"7,15";"12,32";"1,14";"0,24";;;;
101004;"gm. Grabica";"piotrkowski";"łódzkie";10;6;6;"75,80";"2,23";"54,43";"36,71";"8,86";"97,77";"1,82";"16,99";"3,58";"55,84";"7,76";"12,14";"1,47";"0,40";;;;
101005;"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";10;4;4;"68,64";"2,80";"48,08";"34,62";"17,31";"97,20";"1,50";"15,52";"5,04";"59,65";"7,54";"9,92";"0,61";"0,22";;;;
101006;"gm. Moszczenica";"piotrkowski";"łódzkie";10;10;10;"75,23";"1,67";"48,00";"33,60";"18,40";"98,33";"1,40";"20,91";"4,86";"47,92";"7,90";"14,83";"1,75";"0,43";;;;
101007;"gm. Ręczno";"piotrkowski";"łódzkie";10;4;4;"71,97";"3,29";"53,03";"37,88";"9,09";"96,71";"1,80";"15,65";"5,36";"58,34";"6,13";"11,43";"1,13";"0,15";;;;
101008;"gm. Rozprza";"piotrkowski";"łódzkie";10;10;10;"72,65";"2,30";"66,67";"27,56";"5,77";"97,70";"1,36";"17,28";"5,39";"55,21";"7,02";"12,46";"0,97";"0,32";;;;
101009;"gm. Sulejów";"piotrkowski";"łódzkie";10;13;13;"75,20";"1,96";"59,89";"29,95";"10,16";"98,04";"1,81";"13,81";"6,21";"47,25";"8,10";"21,08";"1,42";"0,33";;;;
101010;"gm. Wola Krzysztoporska";"piotrkowski";"łódzkie";10;12;12;"73,90";"1,90";"64,06";"29,69";"6,25";"98,10";"2,24";"12,83";"3,92";"57,85";"7,91";"13,06";"1,47";"0,73";;;;
101011;"gm. Wolbórz";"piotrkowski";"łódzkie";10;12;12;"77,56";"2,08";"39,00";"50,00";"11,00";"97,92";"1,70";"15,42";"5,73";"46,61";"9,41";"19,07";"1,61";"0,45";;;;
101101;"gm. Dalików";"poddębicki";"łódzkie";11;5;5;"75,95";"3,05";"43,42";"48,68";"7,89";"96,95";"1,66";"18,57";"6,30";"48,98";"6,67";"16,12";"1,33";"0,37";;;;
101102;"gm. Pęczniew";"poddębicki";"łódzkie";11;5;5;"72,03";"2,44";"46,00";"50,00";"4,00";"97,56";"1,85";"14,74";"4,96";"52,33";"4,86";"19,35";"1,80";"0,10";;;;
101103;"gm. Poddębice";"poddębicki";"łódzkie";11;21;21;"73,54";"2,81";"57,83";"34,94";"7,23";"97,19";"1,39";"25,48";"6,40";"38,74";"5,15";"20,30";"2,17";"0,37";;;;
101104;"gm. Uniejów";"poddębicki";"łódzkie";11;8;8;"74,36";"2,53";"41,51";"49,06";"9,43";"97,47";"1,84";"14,67";"6,48";"51,10";"6,28";"17,12";"2,06";"0,44";;;;
101105;"gm. Wartkowice";"poddębicki";"łódzkie";11;10;10;"67,64";"4,36";"59,03";"34,72";"6,25";"95,64";"2,31";"17,91";"5,63";"52,56";"6,68";"12,91";"1,71";"0,28";;;;
101106;"gm. Zadzim";"poddębicki";"łódzkie";11;6;6;"70,96";"2,81";"52,56";"37,18";"10,26";"97,19";"1,71";"19,01";"4,72";"52,32";"7,24";"12,66";"1,71";"0,63";;;;
101201;"m. Radomsko";"radomszczański";"łódzkie";10;24;24;"74,13";"1,37";"55,91";"31,70";"12,39";"98,63";"2,74";"8,85";"7,08";"37,77";"5,33";"36,37";"1,09";"0,77";;;;
101202;"gm. Dobryszyce";"radomszczański";"łódzkie";10;4;4;"73,70";"2,84";"44,29";"38,57";"17,14";"97,16";"2,17";"11,48";"5,26";"46,54";"7,39";"24,04";"0,92";"2,21";;;;
101203;"gm. Gidle";"radomszczański";"łódzkie";10;7;7;"69,27";"2,57";"56,63";"36,14";"7,23";"97,43";"1,84";"14,26";"6,32";"47,03";"7,56";"20,45";"1,71";"0,83";;;;
101204;"gm. Gomunice";"radomszczański";"łódzkie";10;7;7;"74,47";"2,57";"48,84";"41,86";"9,30";"97,43";"2,27";"11,73";"6,00";"50,26";"7,20";"21,84";"0,43";"0,28";;;;
101205;"gm. Kamieńsk";"radomszczański";"łódzkie";10;7;7;"73,53";"2,27";"58,67";"32,00";"9,33";"97,73";"2,23";"10,27";"5,00";"57,64";"7,42";"16,29";"1,02";"0,12";;;;
101206;"gm. Kobiele Wielkie";"radomszczański";"łódzkie";10;5;5;"69,35";"2,84";"52,24";"35,82";"11,94";"97,16";"3,06";"11,70";"7,64";"48,97";"6,55";"20,60";"1,00";"0,48";;;;
101207;"gm. Kodrąb";"radomszczański";"łódzkie";10;7;7;"70,63";"3,36";"51,81";"42,17";"6,02";"96,64";"1,93";"11,89";"5,40";"54,54";"5,44";"19,21";"1,17";"0,42";;;;
101208;"gm. Lgota Wielka";"radomszczański";"łódzkie";10;7;7;"73,59";"3,13";"50,67";"41,33";"8,00";"96,87";"2,93";"12,63";"4,48";"52,95";"8,84";"16,43";"1,34";"0,39";;;;
101209;"gm. Ładzice";"radomszczański";"łódzkie";10;5;5;"68,13";"3,17";"63,75";"25,00";"11,25";"96,83";"2,13";"11,36";"5,93";"50,96";"6,50";"21,54";"0,98";"0,61";;;;
101210;"gm. Masłowice";"radomszczański";"łódzkie";10;7;7;"72,94";"3,77";"50,57";"31,03";"18,39";"96,23";"2,25";"10,21";"6,03";"61,13";"6,84";"12,37";"0,76";"0,40";;;;
101211;"gm. Przedbórz";"radomszczański";"łódzkie";10;7;7;"66,92";"2,77";"70,59";"24,51";"4,90";"97,23";"1,54";"10,27";"4,22";"57,17";"6,49";"18,57";"1,45";"0,28";;;;
101212;"gm. Radomsko";"radomszczański";"łódzkie";10;7;7;"73,83";"2,11";"63,64";"31,82";"4,55";"97,89";"2,16";"12,30";"6,51";"45,01";"6,77";"25,35";"1,67";"0,23";;;;
101213;"gm. Wielgomłyny";"radomszczański";"łódzkie";10;7;7;"67,74";"3,60";"46,51";"32,56";"20,93";"96,40";"1,78";"12,67";"4,30";"61,15";"5,60";"12,63";"1,48";"0,39";;;;
101214;"gm. Żytno";"radomszczański";"łódzkie";10;6;6;"66,48";"3,72";"57,43";"33,66";"8,91";"96,28";"1,87";"9,22";"5,59";"60,79";"6,16";"12,85";"2,83";"0,69";;;;
101301;"m. Rawa Mazowiecka";"rawski";"łódzkie";10;9;9;"77,22";"1,68";"46,71";"46,71";"6,59";"98,32";"1,16";"18,64";"6,20";"40,41";"7,39";"24,13";"1,75";"0,33";;;;
101302;"gm. Biała Rawska";"rawski";"łódzkie";10;12;12;"67,97";"3,14";"51,61";"40,32";"8,06";"96,86";"1,83";"18,84";"4,34";"50,29";"9,86";"13,59";"0,96";"0,30";;;;
101303;"gm. Cielądz";"rawski";"łódzkie";10;5;5;"72,06";"3,07";"50,72";"40,58";"8,70";"96,93";"1,24";"14,40";"3,99";"60,00";"10,37";"7,84";"1,74";"0,41";;;;
101304;"gm. Rawa Mazowiecka";"rawski";"łódzkie";10;6;6;"72,16";"3,01";"59,06";"31,54";"9,40";"96,99";"1,83";"18,08";"4,67";"51,58";"8,88";"12,99";"1,79";"0,17";;;;
101305;"gm. Regnów";"rawski";"łódzkie";10;2;2;"75,90";"2,55";"32,14";"46,43";"21,43";"97,45";"1,40";"19,57";"3,75";"61,52";"6,93";"5,71";"1,03";"0,09";;;;
101306;"gm. Sadkowice";"rawski";"łódzkie";10;4;4;"67,57";"4,67";"51,13";"42,86";"6,02";"95,33";"2,61";"14,94";"3,02";"58,78";"9,79";"8,72";"1,84";"0,29";;;;
101401;"m. Sieradz";"sieradzki";"łódzkie";11;28;28;"76,72";"1,81";"59,32";"35,45";"5,23";"98,19";"2,15";"13,37";"8,01";"34,33";"6,20";"34,09";"1,56";"0,29";;;;
101402;"gm. Błaszki";"sieradzki";"łódzkie";11;12;12;"70,05";"2,52";"53,61";"37,63";"8,76";"97,48";"1,23";"16,90";"4,34";"54,17";"7,04";"14,07";"1,93";"0,32";;;;
101403;"gm. Brąszewice";"sieradzki";"łódzkie";11;4;4;"71,11";"3,54";"54,76";"36,90";"8,33";"96,46";"1,97";"12,58";"3,15";"61,07";"9,13";"8,96";"2,66";"0,48";;;;
101404;"gm. Brzeźnio";"sieradzki";"łódzkie";11;5;5;"73,19";"2,29";"54,88";"39,02";"6,10";"97,71";"1,83";"17,46";"6,14";"46,18";"7,55";"19,32";"1,43";"0,09";;;;
101405;"gm. Burzenin";"sieradzki";"łódzkie";11;9;9;"70,10";"2,78";"46,99";"44,58";"8,43";"97,22";"2,90";"14,65";"6,10";"48,57";"9,20";"16,82";"1,52";"0,24";;;;
101406;"gm. Goszczanów";"sieradzki";"łódzkie";11;7;7;"66,84";"2,88";"53,75";"38,75";"7,50";"97,12";"1,96";"15,81";"4,59";"56,04";"7,56";"11,11";"2,04";"0,89";;;;
101407;"gm. Klonowa";"sieradzki";"łódzkie";11;5;5;"71,81";"4,01";"55,56";"36,51";"7,94";"95,99";"1,66";"11,20";"3,91";"58,25";"7,62";"9,87";"7,16";"0,33";;;;
101408;"gm. Sieradz";"sieradzki";"łódzkie";11;8;8;"75,03";"2,27";"48,57";"37,86";"13,57";"97,73";"2,11";"15,15";"6,26";"48,25";"6,49";"19,91";"1,63";"0,22";;;;
101409;"gm. Warta";"sieradzki";"łódzkie";11;12;12;"70,75";"2,57";"70,45";"22,73";"6,82";"97,43";"1,64";"14,34";"5,03";"53,79";"6,95";"16,41";"1,56";"0,29";;;;
101410;"gm. Wróblew";"sieradzki";"łódzkie";11;4;4;"72,00";"1,93";"46,97";"39,39";"13,64";"98,07";"1,46";"16,38";"4,51";"54,37";"6,92";"12,86";"3,28";"0,21";;;;
101411;"gm. Złoczew";"sieradzki";"łódzkie";11;7;7;"70,28";"3,14";"48,76";"42,15";"9,09";"96,86";"2,20";"14,77";"5,82";"51,49";"8,12";"14,23";"2,52";"0,86";;;;
101501;"gm. Bolimów";"skierniewicki";"łódzkie";10;5;5;"75,05";"2,55";"53,33";"40,00";"6,67";"97,45";"2,79";"17,41";"8,07";"46,51";"7,90";"14,66";"1,92";"0,74";;;;
101502;"gm. Głuchów";"skierniewicki";"łódzkie";10;4;4;"81,46";"2,33";"48,19";"42,17";"9,64";"97,67";"1,64";"17,66";"2,59";"62,09";"7,65";"5,98";"2,13";"0,26";;;;
101503;"gm. Godzianów";"skierniewicki";"łódzkie";10;2;2;"79,60";"2,24";"47,22";"47,22";"5,56";"97,76";"2,36";"13,52";"5,93";"59,44";"8,74";"7,91";"1,91";"0,19";;;;
101504;"gm. Kowiesy";"skierniewicki";"łódzkie";10;5;5;"72,65";"2,57";"51,11";"35,56";"13,33";"97,43";"1,99";"16,74";"10,48";"44,26";"9,72";"15,28";"1,46";"0,06";;;;
101505;"gm. Lipce Reymontowskie";"skierniewicki";"łódzkie";10;3;3;"76,77";"2,56";"56,00";"34,00";"10,00";"97,44";"1,32";"14,47";"6,95";"58,11";"6,63";"10,84";"1,26";"0,42";;;;
101506;"gm. Maków";"skierniewicki";"łódzkie";10;6;6;"76,80";"1,95";"45,07";"43,66";"11,27";"98,05";"1,63";"15,12";"5,16";"53,65";"8,92";"11,78";"3,51";"0,22";;;;
101507;"gm. Nowy Kawęczyn";"skierniewicki";"łódzkie";10;4;4;"74,87";"2,90";"37,29";"50,85";"11,86";"97,10";"1,67";"16,17";"7,05";"50,43";"10,39";"12,57";"1,37";"0,35";;;;
101508;"gm. Skierniewice";"skierniewicki";"łódzkie";10;9;9;"76,35";"2,22";"66,00";"28,00";"6,00";"97,78";"2,30";"14,84";"7,91";"46,27";"9,07";"17,32";"1,80";"0,50";;;;
101509;"gm. Słupia";"skierniewicki";"łódzkie";10;4;4;"83,97";"4,47";"43,24";"43,24";"13,51";"95,53";"2,09";"13,85";"5,76";"59,33";"7,59";"8,41";"2,28";"0,70";;;;
101601;"m. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";10;28;28;"75,32";"1,77";"51,01";"39,02";"9,97";"98,23";"1,76";"12,44";"7,31";"36,51";"6,02";"34,62";"1,01";"0,33";;;;
101602;"gm. Będków";"tomaszowski";"łódzkie";10;4;4;"76,00";"2,85";"62,50";"35,71";"1,79";"97,15";"1,57";"13,56";"5,13";"54,40";"10,47";"12,93";"1,57";"0,37";;;;
101603;"gm. Budziszewice";"tomaszowski";"łódzkie";10;3;3;"76,49";"3,55";"53,33";"37,78";"8,89";"96,45";"1,23";"13,89";"4,66";"55,39";"8,42";"14,79";"1,39";"0,25";;;;
101604;"gm. Czerniewice";"tomaszowski";"łódzkie";10;4;4;"74,68";"3,68";"59,81";"33,64";"6,54";"96,32";"2,10";"20,61";"4,24";"54,46";"7,60";"8,17";"2,57";"0,25";;;;
101605;"gm. Inowłódz";"tomaszowski";"łódzkie";10;4;4;"75,13";"2,20";"57,69";"34,62";"7,69";"97,80";"1,65";"15,00";"6,59";"46,16";"6,29";"22,80";"1,00";"0,52";;;;
101606;"gm. Lubochnia";"tomaszowski";"łódzkie";10;10;10;"78,14";"2,51";"61,90";"35,24";"2,86";"97,49";"2,26";"15,84";"4,42";"54,04";"8,40";"12,50";"1,60";"0,93";;;;
101607;"gm. Rokiciny";"tomaszowski";"łódzkie";10;6;6;"77,99";"1,93";"45,83";"43,06";"11,11";"98,07";"2,27";"14,40";"7,80";"47,71";"7,56";"18,37";"1,31";"0,57";;;;
101608;"gm. Rzeczyca";"tomaszowski";"łódzkie";10;4;4;"73,09";"2,90";"51,28";"43,59";"5,13";"97,10";"1,42";"15,34";"3,53";"63,23";"7,13";"8,21";"1,00";"0,15";;;;
101609;"gm. Tomaszów Mazowiecki";"tomaszowski";"łódzkie";10;13;13;"78,62";"2,15";"58,50";"38,10";"3,40";"97,85";"1,67";"16,11";"4,61";"44,43";"6,94";"24,77";"1,30";"0,16";;;;
101610;"gm. Ujazd";"tomaszowski";"łódzkie";10;10;10;"76,47";"2,09";"56,99";"34,41";"8,60";"97,91";"1,95";"15,02";"6,04";"46,75";"7,99";"20,68";"1,29";"0,28";;;;
101611;"gm. Żelechlinek";"tomaszowski";"łódzkie";10;5;5;"73,96";"3,13";"55,93";"35,59";"8,47";"96,87";"0,99";"25,51";"3,23";"56,87";"6,68";"5,69";"0,88";"0,16";;;;
101701;"gm. Biała";"wieluński";"łódzkie";11;8;8;"70,26";"2,78";"63,41";"31,71";"4,88";"97,22";"1,43";"21,40";"4,99";"49,55";"7,16";"13,69";"1,54";"0,24";;;;
101702;"gm. Czarnożyły";"wieluński";"łódzkie";11;6;6;"74,26";"2,19";"58,93";"32,14";"8,93";"97,81";"1,36";"16,42";"6,53";"51,90";"6,53";"15,98";"1,04";"0,24";;;;
101703;"gm. Konopnica";"wieluński";"łódzkie";11;6;6;"72,47";"2,58";"56,36";"41,82";"1,82";"97,42";"1,40";"14,94";"5,16";"51,71";"7,28";"18,07";"1,16";"0,29";;;;
101704;"gm. Mokrsko";"wieluński";"łódzkie";11;6;6;"73,33";"1,89";"42,11";"52,63";"5,26";"98,11";"1,05";"14,41";"5,34";"52,89";"7,20";"17,38";"1,42";"0,30";;;;
101705;"gm. Osjaków";"wieluński";"łódzkie";11;6;6;"75,44";"2,93";"61,73";"32,10";"6,17";"97,07";"1,15";"17,77";"4,51";"55,18";"6,63";"12,85";"1,60";"0,30";;;;
101706;"gm. Ostrówek";"wieluński";"łódzkie";11;7;7;"69,89";"3,74";"46,15";"46,15";"7,69";"96,26";"2,05";"15,24";"5,55";"52,35";"6,96";"16,35";"1,20";"0,30";;;;
101707;"gm. Pątnów";"wieluński";"łódzkie";11;10;10;"75,02";"2,19";"57,14";"34,52";"8,33";"97,81";"1,81";"13,92";"4,88";"56,50";"6,83";"13,74";"1,68";"0,64";;;;
101708;"gm. Skomlin";"wieluński";"łódzkie";11;4;4;"71,20";"2,40";"66,67";"26,19";"7,14";"97,60";"1,81";"15,46";"5,91";"49,88";"6,67";"18,74";"1,11";"0,41";;;;
101709;"gm. Wieluń";"wieluński";"łódzkie";11;27;27;"75,41";"1,30";"48,92";"38,96";"12,12";"98,70";"1,30";"14,85";"7,43";"37,71";"5,55";"31,31";"1,53";"0,31";;;;
101710;"gm. Wierzchlas";"wieluński";"łódzkie";11;8;8;"70,77";"2,39";"42,53";"45,98";"11,49";"97,61";"1,24";"16,95";"5,68";"48,86";"6,83";"17,99";"2,14";"0,31";;;;
101801;"gm. Bolesławiec";"wieruszowski";"łódzkie";11;4;4;"69,46";"3,24";"47,83";"44,93";"7,25";"96,76";"1,31";"18,14";"7,86";"43,31";"9,99";"15,76";"3,06";"0,58";;;;
101802;"gm. Czastary";"wieruszowski";"łódzkie";11;4;4;"68,54";"3,17";"34,33";"52,24";"13,43";"96,83";"1,76";"17,86";"6,56";"48,97";"9,15";"13,45";"1,91";"0,34";;;;
101803;"gm. Galewice";"wieruszowski";"łódzkie";11;8;8;"69,53";"2,79";"50,00";"45,65";"4,35";"97,21";"1,84";"15,65";"5,80";"48,61";"9,64";"15,90";"2,25";"0,31";;;;
101804;"gm. Lututów";"wieruszowski";"łódzkie";11;6;6;"70,10";"3,28";"52,50";"43,75";"3,75";"96,72";"1,44";"15,44";"5,98";"51,23";"8,35";"15,69";"1,44";"0,42";;;;
101805;"gm. Łubnice";"wieruszowski";"łódzkie";11;5;5;"70,58";"2,50";"53,57";"33,93";"12,50";"97,50";"1,24";"19,62";"6,46";"45,19";"8,75";"14,71";"3,02";"1,01";;;;
101806;"gm. Sokolniki";"wieruszowski";"łódzkie";11;5;5;"72,33";"1,32";"52,63";"39,47";"7,89";"98,68";"1,69";"15,41";"6,84";"44,73";"9,70";"18,94";"2,29";"0,39";;;;
101807;"gm. Wieruszów";"wieruszowski";"łódzkie";11;13;13;"75,97";"1,77";"44,81";"47,40";"7,79";"98,23";"1,38";"17,33";"7,61";"33,74";"6,77";"24,69";"1,99";"6,49";;;;
101901;"m. Zduńska Wola";"zduńskowolski";"łódzkie";11;23;23;"74,76";"1,69";"48,28";"44,85";"6,86";"98,31";"1,21";"14,55";"5,86";"37,35";"5,79";"33,32";"1,62";"0,29";;;;
101902;"gm. Szadek";"zduńskowolski";"łódzkie";11;8;8;"73,85";"2,72";"42,48";"41,59";"15,93";"97,28";"1,51";"21,52";"5,10";"45,61";"6,31";"17,53";"1,93";"0,50";;;;
101903;"gm. Zapolice";"zduńskowolski";"łódzkie";11;5;5;"72,17";"2,12";"64,06";"25,00";"10,94";"97,88";"1,86";"16,70";"5,42";"42,34";"7,66";"24,29";"1,46";"0,27";;;;
101904;"gm. Zduńska Wola";"zduńskowolski";"łódzkie";11;7;7;"74,41";"1,75";"54,10";"39,34";"6,56";"98,25";"1,61";"18,30";"4,62";"43,25";"7,11";"23,09";"1,68";"0,35";;;;
102001;"m. Głowno";"zgierski";"łódzkie";11;12;12;"73,65";"2,28";"60,56";"31,11";"8,33";"97,72";"1,88";"14,06";"10,63";"33,15";"6,92";"31,89";"1,15";"0,32";;;;
102002;"m. Ozorków";"zgierski";"łódzkie";11;16;16;"73,58";"1,97";"43,63";"48,04";"8,33";"98,03";"1,70";"13,25";"9,42";"37,29";"7,17";"29,31";"1,50";"0,35";;;;
102003;"m. Zgierz";"zgierski";"łódzkie";11;42;42;"77,58";"1,60";"43,35";"44,32";"12,33";"98,40";"1,67";"13,20";"9,94";"31,73";"6,33";"35,50";"1,17";"0,46";;;;
102004;"gm. Aleksandrów Łódzki";"zgierski";"łódzkie";11;17;17;"81,39";"1,46";"41,39";"48,01";"10,60";"98,54";"1,17";"12,38";"8,78";"26,85";"6,00";"43,43";"1,09";"0,29";;;;
102005;"gm. Głowno";"zgierski";"łódzkie";11;6;6;"72,52";"2,57";"44,29";"38,57";"17,14";"97,43";"1,47";"15,46";"7,03";"52,95";"8,88";"12,41";"1,32";"0,49";;;;
102006;"gm. Ozorków";"zgierski";"łódzkie";11;7;7;"77,34";"2,26";"51,00";"38,00";"11,00";"97,74";"1,57";"12,88";"7,72";"46,44";"8,19";"21,81";"1,11";"0,28";;;;
102007;"gm. Parzęczew";"zgierski";"łódzkie";11;9;9;"77,66";"3,09";"45,63";"43,69";"10,68";"96,91";"1,80";"16,74";"8,98";"38,69";"8,23";"23,34";"1,92";"0,31";;;;
102008;"gm. Stryków";"zgierski";"łódzkie";11;16;16;"79,01";"1,56";"47,58";"32,26";"20,16";"98,44";"2,22";"15,42";"8,68";"35,20";"7,68";"28,76";"1,65";"0,38";;;;
