"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY POLEXIT";"KOMITET WYBORCZY POLSKA LIBERALNA STRAJK PRZEDSIĘBIORCÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"KOMITET WYBORCZY WYBORCÓW GŁOS SILNEJ POLSKI"
21102;"gm. Lubin";"lubiński";"dolnośląskie";12;18;18;"41,98";"0,58";"42,42";"57,58";"0,00";"99,42";"32,74";"7,42";"5,56";"16,08";;"0,30";;"36,00";;"1,90";
21103;"gm. Rudna";"lubiński";"dolnośląskie";12;13;13;"38,29";"0,96";"81,82";"18,18";"0,00";"99,04";"23,38";"5,37";"5,42";"14,84";;"0,48";;"48,44";;"2,07";
21104;"gm. Ścinawa";"lubiński";"dolnośląskie";12;12;12;"38,24";"0,85";"54,17";"45,83";"0,00";"99,15";"22,59";"5,86";"4,01";"11,15";;"0,07";;"54,76";;"1,56";
21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";12;11;11;"31,08";"0,72";"62,50";"37,50";"0,00";"99,28";"36,18";"11,19";"5,59";"10,92";;"0,32";;"34,37";;"1,44";
21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";12;9;9;"31,87";"1,11";"75,00";"25,00";"0,00";"98,89";"34,50";"6,03";"5,75";"13,46";;"0,42";;"38,01";;"1,82";
21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";12;17;17;"33,90";"0,62";"59,26";"40,74";"0,00";"99,38";"38,32";"7,46";"5,93";"11,96";;"0,25";;"34,38";;"1,69";
21204;"gm. Mirsk";"lwówecki";"dolnośląskie";12;6;6;"30,80";"0,84";"47,06";"52,94";"0,00";"99,16";"37,04";"6,68";"6,03";"11,42";;"0,30";;"36,84";;"1,69";
21205;"gm. Wleń";"lwówecki";"dolnośląskie";12;8;8;"34,37";"1,16";"76,92";"23,08";"0,00";"98,84";"34,15";"7,88";"7,25";"10,87";;"0,72";;"37,86";;"1,27";
21301;"gm. Cieszków";"milicki";"dolnośląskie";12;3;3;"30,89";"0,36";"75,00";"25,00";"0,00";"99,64";"21,99";"10,23";"6,88";"16,65";;"0,09";;"43,17";;"1,00";
21302;"gm. Krośnice";"milicki";"dolnośląskie";12;6;6;"30,78";"0,83";"62,50";"37,50";"0,00";"99,17";"25,16";"6,55";"5,71";"15,36";;"0,10";;"46,07";;"1,05";
21303;"gm. Milicz";"milicki";"dolnośląskie";12;28;28;"33,90";"0,74";"73,91";"26,09";"0,00";"99,26";"32,21";"11,15";"4,77";"11,49";;"0,27";;"39,12";;"0,98";
21401;"m. Oleśnica";"oleśnicki";"dolnośląskie";12;23;23;"41,32";"0,60";"64,71";"35,29";"0,00";"99,40";"40,74";"11,33";"4,81";"10,80";;"0,22";;"31,06";;"1,03";
21402;"gm. Bierutów";"oleśnicki";"dolnośląskie";12;14;14;"35,35";"0,88";"47,83";"52,17";"0,00";"99,12";"30,69";"7,40";"4,96";"13,13";;"0,58";;"42,23";;"1,01";
21403;"gm. Dobroszyce";"oleśnicki";"dolnośląskie";12;4;4;"35,28";"0,82";"43,75";"56,25";"0,00";"99,18";"33,42";"6,21";"6,00";"14,95";;"0,16";;"37,66";;"1,60";
21404;"gm. Dziadowa Kłoda";"oleśnicki";"dolnośląskie";12;3;3;"27,63";"0,94";"55,56";"44,44";"0,00";"99,06";"28,39";"6,62";"9,46";"10,83";;"0,11";;"43,53";;"1,05";
21405;"gm. Międzybórz";"oleśnicki";"dolnośląskie";12;6;6;"27,97";"1,00";"81,82";"18,18";"0,00";"99,00";"35,22";"5,22";"6,04";"15,00";;"0,46";;"36,32";;"1,74";
21406;"gm. Oleśnica";"oleśnicki";"dolnośląskie";12;11;11;"35,64";"0,64";"57,69";"42,31";"0,00";"99,36";"35,02";"6,62";"5,68";"15,57";;"0,44";;"35,42";;"1,25";
21407;"gm. Syców";"oleśnicki";"dolnośląskie";12;14;14;"35,83";"0,67";"67,74";"32,26";"0,00";"99,33";"39,29";"8,80";"6,87";"13,21";;"0,17";;"30,16";;"1,50";
21408;"gm. Twardogóra";"oleśnicki";"dolnośląskie";12;6;6;"32,83";"1,01";"54,55";"45,45";"0,00";"98,99";"36,68";"6,48";"3,57";"12,50";;"0,19";;"39,75";;"0,84";
21501;"m. Oława";"oławski";"dolnośląskie";12;19;19;"43,35";"0,51";"55,56";"44,44";"0,00";"99,49";"42,60";"8,07";"4,46";"11,98";;"0,26";;"31,18";;"1,45";
21502;"gm. Domaniów";"oławski";"dolnośląskie";12;14;14;"37,35";"0,73";"72,73";"27,27";"0,00";"99,27";"28,76";"5,48";"4,15";"18,46";;"0,40";;"41,40";;"1,34";
21503;"gm. Jelcz-Laskowice";"oławski";"dolnośląskie";12;13;13;"41,32";"0,47";"61,76";"38,24";"0,00";"99,53";"36,62";"6,56";"3,58";"14,07";;"0,23";;"37,89";;"1,05";
21504;"gm. Oława";"oławski";"dolnośląskie";12;15;15;"40,75";"0,55";"66,67";"33,33";"0,00";"99,45";"32,56";"5,98";"4,29";"17,77";;"0,35";;"37,47";;"1,58";
21601;"gm. Chocianów";"polkowicki";"dolnośląskie";12;11;11;"36,93";"0,71";"52,00";"48,00";"0,00";"99,29";"22,77";"4,32";"3,70";"15,66";;"0,31";;"51,82";;"1,42";
21602;"gm. Gaworzyce";"polkowicki";"dolnośląskie";12;5;5;"38,69";"0,62";"42,86";"57,14";"0,00";"99,38";"22,61";"6,43";"4,29";"14,66";;"0,54";;"50,13";;"1,34";
21603;"gm. Grębocice";"polkowicki";"dolnośląskie";12;6;6;"33,03";"1,96";"55,56";"44,44";"0,00";"98,04";"20,76";"5,34";"5,04";"17,79";;"0,52";;"49,30";;"1,26";
21604;"gm. Polkowice";"polkowicki";"dolnośląskie";12;16;16;"35,65";"0,93";"75,76";"24,24";"0,00";"99,07";"29,81";"7,79";"5,46";"13,41";;"0,21";;"42,08";;"1,24";
21605;"gm. Przemków";"polkowicki";"dolnośląskie";12;9;9;"32,84";"0,94";"68,42";"31,58";"0,00";"99,06";"21,60";"6,58";"5,49";"14,41";;"0,50";;"49,78";;"1,65";
