year;pack;name;age;height;weight;caps;position
1999;namibia;Deon Mouton;25;182;85;2;Wing
1999;namibia;Jaco Olivier;24;190;102;2;Flanker
1999;namibia;Gerhard Opperman;31;168;101;3;Prop
1999;namibia;Ronaldo Pedro;27;178;75;3;Wing
1999;namibia;Attie Samuelson;25;186;84;16;Wing
1999;namibia;Heino Senekal;24;198;114;5;Lock
1999;namibia;Eben Smith;28;176;104;7;Prop
1999;namibia;Pieter Steyn;26;200;110;16;Lock
1999;namibia;Johannes Theron;20;196;110;4;Lock
1999;namibia;Schalk Van Der Merwe;25;182;90;23;Centre
1999;namibia;Leane Van Dyk;23;196;86;9;Fullback
1999;namibia;Francois Van Rensburg;25;182;90;19;Centre
1999;namibia;Sarel Van Rensburg;22;178;76;2;Centre
1999;namibia;Thys Van Rooyen;28;185;103;9;Number-8
1999;namibia;Rudi Van Vuuren;27;188;95;5;Flyhalf
1999;namibia;Glovin Van Wyk;26;180;78;3;Fullback
1999;namibia;Johan Zaayman;26;186;90;13;Flyhalf
1999;newzealand;Pita Alatini;23;177;83;1;Centre
1999;newzealand;Andrew Blowers;24;193;110;10;Flanker
1999;newzealand;Robin Brooke;33;198;109;58;Lock
1999;newzealand;Tony Brown;24;177;83;5;Flyhalf
1999;newzealand;Christian Cullen;23;180;86;36;Fullback
1999;newzealand;Rhys Duggan;27;175;75;0;Flyhalf
1999;newzealand;Craig Dowd;30;189;115;49;Prop
1999;newzealand;Greg Feek;24;185;112;3;Prop
1999;newzealand;Daryl Gibson;24;180;97;7;Centre
1999;newzealand;Mark Hammett;27;182;103;2;Hooker
1999;newzealand;Carl Hoeft;25;182;113;10;Prop
1999;newzealand;Alama Ieremia;29;195;98;20;Centre
1999;newzealand;Ian Jones;32;198;103;77;Lock
1999;newzealand;Byron Kelleher;23;175;90;4;Scrumhalf
1999;newzealand;Josh Kronfeld;28;182;102;43;Flanker
1999;newzealand;Jonah Lomu;24;195;112;33;Wing
1999;newzealand;Justin Marshall;26;180;88;35;Scrumhalf
1999;newzealand;Norm Maxwell;23;198;94;7;Lock
1999;newzealand;Kees Meeuws;25;182;117;8;Prop
1999;newzealand;Andy Mehrtens;26;177;83;35;Flyhalf
1999;newzealand;Dylan Mika;27;195;98;5;Flanker
1999;newzealand;Anton Oliver;24;185;100;15;Hooker
1999;newzealand;Glenn Osborne;28;185;89;18;Wing
1999;newzealand;Taine Randell;25;187;101;26;Flanker
1999;newzealand;Scott Robertson;25;190;107;3;Flanker
1999;newzealand;Carlos Spencer;24;185;88;13;Flyhalf
1999;newzealand;Reuben Thorne;24;198;106;2;Lock
1999;newzealand;Tana Umaga;26;187;102;13;Wing
1999;newzealand;Royce Willis;24;198;120;7;Lock
1999;newzealand;Jeff Wilson;26;180;89;49;Wing
1999;romania;Petre Balan;23;185;101.6;8;Hooker
1999;romania;Gabriel Brezoianu;22;175;83.5;9;Centre
1999;romania;Tibeau Brinza;31;198;115;36;Lock
1999;romania;Daniel Chriac;26;196;106;3;Lock
1999;romania;Mihai Ciolacu;22;182;87;4;Wing
1999;romania;Florin Corodeanu;22;190;95;8;Flanker
1999;romania;Stefan Demci;24;178;98;0;Hooker
1999;romania;Bogdan Dima;20;185;100;1;Prop
1999;romania;Catalin Draguceanu;29;190;106.5;26;Flanker
1999;romania;Radu Fugigi;26;175;80;8;Wing
1999;romania;Romeo Gontineac;26;175;83;22;Centre
1999;romania;Cristian Haldan;26;177;80;4;Wing
1999;romania;Marius Iacob;27;175;80;6;Scrumhalf
1999;romania;Cristian Lapu;24;175;87.5;4;Centre
1999;romania;Florin Marioara;31;182;130;4;Prop
1999;romania;Petre Mitu;22;175;83.5;12;Fullback
1999;romania;Dragos Niculae;28;180;112.5;12;Prop
1999;romania;Alin Petrache;23;193;105;4;Flanker
1999;romania;Laurentiu Rotaru;29;186;104;1;Prop
1999;romania;Christian Sauan;25;182;90;1;Wing
1999;romania;Erdinci Septar;26;193;104;9;Number-8
1999;romania;Lucian Sirbu;23;180;84;1;Scrumhalf
1999;romania;Gheorghe Solomie;30;185;93;31;Wing
1999;romania;Constantin Stan;30;182;121.5;23;Prop
1999;romania;Marius Tinci;21;181;106;0.00;Flanker
1999;romania;Ionut Tofan;22;177;73;7;Flyhalf
1999;romania;Ovidiu Tonita;19;196;95;0.00;Lock
1999;romania;Constantin Tudar;30;198;115;19;Lock
1999;romania;Mihai Vioreanu;25;182;82;9;Centre
1999;romania;Roland Vusec;27;177;80;4;Flyhalf
1999;scotland;Gary Armstrong;33;172;86;49;Scrumhalf
1999;scotland;Gordon Bulloch;24;180;96;17;Hooker
1999;scotland;Paul Burnell;34;185;109;49;Prop
1999;scotland;Iain Fairley;26;177;89;2;Scrumhalf
1999;scotland;George Graham;33;170;108;10;Prop
1999;scotland;Stuart Grimes;25;195;105;17;Lock
1999;scotland;Dave Hilton;29;177;103;37;Prop
1999;scotland;Duncan Hodge;25;182;95;8;Fullback
1999;scotland;John Leslie;29;185;93;7;Centre
1999;scotland;Martin Leslie;28;190;102;9;Flanker
1999;scotland;Kenny Logan;27;185;93;43;Wing
1999;scotland;Shaun Longstaff;27;182;101;11;Wing
1999;scotland;Cameron Mather;27;198;105;1;Flanker
1999;scotland;Jamie Mayer;22;177;92;3;Centre
1999;scotland;James McLaren;27;190;105;2;Centre
1999;scotland;Glenn Metcalfe;28;180;88;11;Fullback
1999;scotland;Cameron Murray;24;177;83;13;Centre
1999;scotland;Scott Murray;23;198;105;16;Lock
1999;scotland;Chris Paterson;21;181;76;0.00;Fullback
1999;scotland;Budge Pountney;26;187;95;9;Flanker
1999;scotland;Andrew Reed;30;200;112;17;Lock
1999;scotland;Bryan Redpath;28;170;74;30;Scrumhalf
1999;scotland;Stuart Reid;29;190;104;3;Flanker
1999;scotland;Robert Russell;23;177;96;2;Hooker
1999;scotland;Gordon Simpson;28;185;108;6;Number-8
1999;scotland;Tom Smith;28;175;110;12;Prop
1999;scotland;Alan Tait;35;180;95;26;Centre
1999;scotland;Gregor Townsend;26;185;86;43;Flyhalf
1999;scotland;Peter Walton;30;190;114;22;Flanker
1999;scotland;Doddie Weir;29;198;111;54;Lock
1999;southafrica;Mark Andrews;27;200;112;57;Lock
1999;southafrica;Jan (Jannie) Hendrik De Beer;27;182;80;8;Flyhalf
1999;southafrica;Naka Drotske;28;182;105;21;Hooker
1999;southafrica;Pieter (Os) du Randt;27;190;120;34;Prop
1999;southafrica;Johan Erasmus;27;190;100;24;Flanker
1999;southafrica;Robbie Fleck;24;182;92;7;Centre
1999;southafrica;Adrian Christopher Garvey;29;189;116;27;Prop
1999;southafrica;Henry William Honiball;34;190;90;33;Flyhalf
1999;southafrica;Wayne Julies;21;186;88;0;Centre
1999;southafrica;Deon Kayser;29;175;78;5;Wing
1999;southafrica;Ruben Jacobus Kruger;29;189;102;34;Flanker
1999;southafrica;Anton Leonard;25;191;106;1;Number-8
1999;southafrica;Ollie Le Roux;26;182;122;22;Prop
1999;southafrica;Kaya Malotana;23;176;75;0;Centre
1999;southafrica;Percy Montgomery;25;182;85;30;Fullback
1999;southafrica;Pieter Muller;30;190;90;29;Centre
1999;southafrica;Krynauw Otto;28;200;116;29;Lock
1999;southafrica;Breyton Paulse;23;174;79;6;Wing
1999;southafrica;Christiaan (Chris) Rossouw;30;182;105;7;Hooker
1999;southafrica;Pieter Rossouw;28;193;90;30;Wing
1999;southafrica;Robert (Bob) Brian Skinstad;23;195;104;11;Flanker
1999;southafrica;Werner Swanepoel;26;172;80;13;Scrumhalf
1999;southafrica;Stefan Terblanche;24;187;95;17;Wing
1999;southafrica;Albert van den Berg;25;201;102;5;Lock
1999;southafrica;Joost van der Westhuizen;28;188;89;53;Scrumhalf
1999;southafrica;Fritz van Heerden;29;198;112;13;Lock
1999;southafrica;Andre Venter;29;195;106;40;Flanker
1999;southafrica;Brendan Venter;30;186;90;16;Centre
1999;southafrica;Cobus Visagie;26;185;118;7;Prop
1999;southafrica;Andre Vos;24;189;104;5;Number-8
1999;spain;Jaime Alonso;26;175;75;5;Scrumhalf
1999;spain;Oscar Astarloa;25;185;95;10;Flanker
1999;spain;Rafael Bastide;22;182;88;11;Centre
1999;spain;Jordi Camps;26;180;108;26;Prop
1999;spain;Fernando de La Calle;29;176;95;38;Hooker
1999;spain;Jose Diaz;36;183;95;6;Flanker
1999;spain;Fernando Diez;25;175;85;8;Centre
1999;spain;Alvar Enciso;25;182;82;29;Centre
1999;spain;Aitor Etxeberria;23;189;93;5;Flyhalf
1999;spain;Miguel Angel Frechilla;25;183;84;7;Wing
1999;spain;Aratz Gallastegui;23;173;71;12;Scrumhalf
1999;spain;Jose Ignacio Inchausti;26;182;73;2;Wing
