imnz;rokur;wiek;klub;miejsce;okreg;glosy;plec
Jacek Protas;1964-01-15;51;PO;NA;34 Elbląg;18099;M
Jacek Protasiewicz;1967-06-05;48;PO;NA;3 Wrocław;29922;M
Piotr Pszczółkowski;1970-08-23;45;PiS;NA;9 Łódź;9382;M
Grzegorz Puda;1982-07-13;33;PiS;NA;27 Bielsko-Biała;12262;M
Paweł Pudłowski;1972-07-08;43;PETRU;NA;8 Zielona Góra;16716;M
Piotr Pyzik;1959-01-01;56;PiS;NA;29 Gliwice;7326;M
Elżbieta Radziszewska;1958-01-06;57;PO;NA;10 Piotrków Trybunalski;12741;F
Elżbieta Rafalska;1955-06-22;60;PiS;NA;8 Zielona Góra;22898;F
Grzegorz Raniewicz;1970-07-09;45;PO;NA;7 Chełm;10485;M
Ireneusz Raś;1972-09-30;43;PO;NA;13 Kraków;24543;M
Stefan Romecki;1950-09-02;65;KUKIZ;NA;40 Koszalin;7740;M
Monika Rosa;1986-04-24;29;PETRU;NA;31 Katowice;20126;F
Halina Rozpondek;1950-05-25;65;PO;NA;28 Częstochowa;10115;F
Marek Ruciński;1953-01-24;62;PETRU;NA;39 Poznań;9508;M
Urszula Rusecka;1966-09-11;49;PiS;NA;15 Tarnów;16971;F
Leszek Ruszczyk;1959-05-06;56;PO;NA;17 Radom;14537;M
Dorota Rutkowska;1962-01-24;53;PO;NA;10 Piotrków Trybunalski;10157;F
Jakub Rutnicki;1978-12-03;37;PO;NA;38 Piła;27916;M
Marek Rząsa;1957-10-04;58;PO;NA;22 Krosno;14562;M
Łukasz Rzepecki;1992-09-05;23;PiS;NA;11 Sieradz;9229;M
Bogdan Rzońca;1961-02-01;54;PiS;NA;22 Krosno;28356;M
Tomasz Rzymkowski;1986-07-31;29;KUKIZ;NA;11 Sieradz;11977;M
Jarosław Sachajko;1971-10-08;44;KUKIZ;NA;7 Chełm;10722;M
Janusz Sanocki;1954-03-05;61;KUKIZ;NA;21 Opole;15705;M
Jacek Sasin;1969-11-06;46;PiS;NA;20 Warszawa;43250;M
Marek Sawicki;1958-04-08;57;PSL;NA;18 Siedlce;11892;M
Grzegorz Schetyna;1963-02-18;52;PO;NA;33 Kielce;42376;M
Joanna Scheuring-Wielgus;1972-02-08;43;PETRU;NA;5 Toruń;12655;F
Joanna Schmidt;1978-09-14;37;PETRU;NA;39 Poznań;35202;F
Anna Schmidt-Rodziewicz;1978-11-11;37;PiS;NA;22 Krosno;16134;F
Grzegorz Schreiber;1961-02-14;54;PiS;NA;11 Sieradz;15948;M
Łukasz Schreiber;1987-05-26;28;PiS;NA;4 Bydgoszcz;7291;M
Jarosław Sellin;1963-05-01;52;PiS;NA;25 Gdańsk;34997;M
Edward Siarka;1963-07-07;52;PiS;NA;14 Nowy Sącz;13953;M
Anna Siarkowska;1982-03-23;33;KUKIZ;NA;18 Siedlce;12073;F
Krystyna Sibińska;1962-06-12;53;PO;NA;8 Zielona Góra;6868;F
