team;pid;number;pos;plabel;age;height;weight;bplace;bdate;last;first;caps;isoc;ccoords
SCO;55641;9;SH;Scrum Half;24;174;79;Dundee, Scotland;1995-05-12;Horne;George;7;GB;55.378051,-3.435973
SCO;34123;CE;CE;Centre;29;183;92;Aberdeen, Scotland;1989-10-05;Horne;Peter;43;GB;55.378051,-3.435973
SCO;49909;CE;CE;Centre;26;185;95;Dysart, Australia;1993-06-19;Johnson;Samuel Mark;6;AU;-25.274398,133.775136
SCO;55642;15;FB;Full Back;22;190;95;Edinburgh, Scotland;1997-01-18;Kinghorn;Blair Simon;15;GB;55.378051,-3.435973
SCO;26337;9;SH;Scrum Half;33;176;78;Edinburgh, Scotland;1985-10-12;Laidlaw;Greig David;73;GB;55.378051,-3.435973
SCO;32498;WI;WI;Wing;31;185;101;Tokoroa, New Zealand;1988-09-14;Maitland;Sean Daniel;42;NZ;-40.900557,174.885971
SCO;36683;2;HK;Hooker;29;190;109;Edinburgh, Scotland;1990-08-09;McInally;Stuart;29;GB;55.378051,-3.435973
SCO;37061;PR;PR;Prop;33;180;114;Loeriesfontein, South Africa;1986-04-30;Nel;Willem Petrus;31;ZA;-30.559482,22.937506
SCO;48670;9;SH;Scrum Half;26;177;88;King's Lynn, England;1993-05-12;Price;Alistair William;27;GB;55.378051,-3.435973
SCO;28920;PR;PR;Prop;32;190;120;Irvine, Scotland;1987-03-04;Reid;Gordon John;37;GB;55.378051,-3.435973
SCO;50434;BR;BR;Back Row;23;190;108;Dundee, Scotland;1996-08-16;Ritchie;James Thomas;12;GB;55.378051,-3.435973
SCO;45928;10;FH;Fly Half;26;182;87;Stirling, Scotland;1992-09-23;Russell;Finn Alastair;46;GB;55.378051,-3.435973
SCO;31945;WI;WI;Wing;31;183;93;Tullahoma, United States;1988-07-01;Seymour;Thomas Samuel Fenwick;52;US;37.09024,-95.712891
SCO;49005;CE;CE;Centre;30;192;98;Northampton, England;1989-09-05;Taylor;Duncan McWilliam;23;GB;55.378051,-3.435973
SCO;39557;SR;SR;Lock;28;198;106;Auckland, New Zealand;1990-12-04;Thomson;Blade Neville;2;NZ;-40.900557,174.885971
SCO;47887;SR;SR;Lock;27;203;118;Brisbane, Australia;1992-03-31;Toolis;Benjamin Martin;21;AU;-25.274398,133.775136
SCO;45921;2;HK;Hooker;26;180;105;Edinburgh, Scotland;1992-10-08;Turner;George Edward;8;GB;55.378051,-3.435973
SCO;43538;BR;BR;Back Row;27;185;102;Manchester, England;1991-10-15;Watson;Hamish Fergus Wallace;27;GB;55.378051,-3.435973
SCO;36688;BR;BR;Back Row;30;190;106;Aldershot, England;1989-05-18;Wilson;Ryan;45;GB;55.378051,-3.435973
TON;59940;10;FH;Fly Half;25;185;89;Otahuhu, New Zealand;1994-06-13;Faiva;James Nunu Fainga'anuku;5;NZ;-40.900557,174.885971
TON;36907;SR;SR;Lock;30;192;115;Auckland, New Zealand;1989-02-13;Faleafa;Daniel Tonga;22;NZ;-40.900557,174.885971
TON;36908;PR;PR;Prop;29;178;124;Tofoa, Tonga;1989-11-22;Fia;Siosaia Lote Ma'afu-Toka;6;TO;-21.178986,-175.198242
TON;36837;SR;SR;Lock;30;193;116;Neiafu, Tonga;1989-07-29;Fifita;Salesi Halaleva Lapota;15;TO;-21.178986,-175.198242
TON;55864;PR;PR;Prop;23;180;117;Auckland, New Zealand;1996-02-28;Fifita;Vunipola;2;NZ;-40.900557,174.885971
TON;58698;PR;PR;Prop;32;184;125;Neiafu, Tonga;1987-06-08;Fisiihoi;Siegfried;9;TO;-21.178986,-175.198242
TON;28812;9;SH;Scrum Half;31;183;120;Tofoa, Tonga;1987-11-29;Fisilau;Samisoni;19;TO;-21.178986,-175.198242
TON;50405;9;SH;Scrum Half;25;185;95;Auckland, New Zealand;1994-09-08;Fukofuka;Leon Peter Channel;7;NZ;-40.900557,174.885971
TON;36069;15;FB;Full Back;32;189;85;Neiafu, Tonga;1987-07-05;Halaifonua;David Frank Harvey;33;TO;-21.178986,-175.198242
TON;36100;PR;PR;Prop;33;189;120;Tofoa, Tonga;1986-08-09;Halanukonuka;Siosiua;11;TO;-21.178986,-175.198242
TON;45637;CE;CE;Centre;27;184;94;Manly, Australia;1992-01-27;Hingano;Malietoa Seuli Seuli;4;AU;-25.274398,133.775136
TON;28802;BR;BR;Back Row;31;194;121;Matahau, Tonga;1988-05-18;Kalamafoni;Sione Maake;33;TO;-21.178986,-175.198242
TON;65067;BR;BR;Back Row;26;189;130;Auckland, New Zealand;1992-09-28;Kapeli;Zane Rance;6;NZ;-40.900557,174.885971
TON;66565;BR;BR;Back Row;27;180;108;Longoteme, Tonga;1992-03-19;Lokotui;Fotu Suluka;12;TO;-21.178986,-175.198242
TON;63866;WI;WI;Wing;26;181;93;Otahuhu, New Zealand;1993-07-04;Lolohea;Viliami;9;NZ;-40.900557,174.885971
