teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
1428;sochaczewski;16171;85175;18.99;0;0;1;1;1;1;p;8085.5
1429;sokołowski;9469;54604;17.34;0;0;1;0;1;0;p;9469
1430;szydłowiecki;7386;39938;18.49;0;0;0;0;0;0;p;66666
1432;warszawski zachodni;23391;115466;20.26;0;0;4;0;4;0;p;5847.75
1433;węgrowski;12595;66508;18.94;0;0;0;0;0;0;p;66666
1434;wołomiński;53714;241890;22.21;0;0;4;1;4;1;p;10742.8
1435;wyszkowski;15023;74020;20.30;0;0;0;0;0;0;p;66666
1436;zwoleński;6862;36606;18.75;0;0;0;0;0;0;p;66666
1437;żuromiński;7277;39263;18.53;0;0;1;0;1;0;p;7277
1438;żyrardowski;14427;76056;18.97;0;0;2;1;2;1;p;4809
1461;m.Ostrołęka;9565;52215;18.32;0;0;1;1;1;1;m;4782.5
1462;m.Płock;20737;120787;17.17;1;0;1;1;2;1;m;6912.33
1463;m.Radom;37014;214566;17.25;1;1;2;1;3;2;m;7402.8
1464;m.Siedlce;15445;77653;19.89;0;0;1;1;1;1;m;7722.5
1465;m. st. Warszawa;310319;1764615;17.59;5;4;25;9;30;13;m;7216.72
1601;brzeski;15674;90493;17.32;0;0;1;0;1;0;p;15674
1602;głubczycki;7293;46209;15.78;0;0;1;0;1;0;p;7293
1603;kędzierzyńsko-kozielski;14462;95236;15.19;0;0;2;0;2;0;p;7231
1604;kluczborski;10389;66189;15.70;0;0;1;0;1;0;p;10389
1605;krapkowicki;10008;64227;15.58;0;0;1;0;1;0;p;10008
1606;namysłowski;75;42677;17.57;0;0;1;0;1;0;p;7500
1607;nyski;21389;137819;15.52;0;0;2;1;2;1;p;7129.67
1608;oleski;10445;64848;16.11;0;0;1;0;1;0;p;10445
1609;opolski;19639;123612;15.89;0;0;0;0;0;0;p;66666
1610;prudnicki;9047;55748;16.23;0;0;1;0;1;0;p;9047
1611;strzelecki;11891;74871;15.88;0;0;2;0;2;0;p;5945.5
1661;m.Opole;20092;128140;15.68;0;0;4;1;4;1;m;4018.4
1801;bieszczadzki;3751;21891;17.13;0;0;0;0;0;0;p;66666
1802;brzozowski;12855;65938;19.50;0;0;2;0;2;0;p;6427.5
1803;dębicki;25943;135479;19.15;0;0;1;2;1;2;p;8647.67
1804;jarosławski;21922;120980;18.12;0;0;3;2;3;2;p;4384.4
1805;jasielski;19824;114156;17.37;0;0;2;1;2;1;p;6608
1806;kolbuszowski;11424;62401;18.31;0;0;2;0;2;0;p;5712
1807;krośnieński;21547;112481;19.16;0;0;1;0;1;0;p;21547
1808;leżajski;12785;69641;18.36;0;0;2;1;2;1;p;4261.67
1809;lubaczowski;9757;56086;17.40;0;0;1;0;1;0;p;9757
1810;łańcucki;15922;80741;19.72;0;0;2;0;2;0;p;7961
1811;mielecki;25541;136666;18.69;0;0;1;1;1;1;p;12770.5
1812;niżański;11406;66917;17.04;0;0;1;0;1;0;p;11406
1813;przemyski;13837;74440;18.59;0;0;0;0;0;0;p;66666
1814;przeworski;14675;78644;18.66;0;0;4;1;4;1;p;2935
1815;ropczycko-sędziszowski;15032;74198;20.26;0;0;1;0;1;0;p;15032
1816;rzeszowski;33798;169165;19.98;0;0;7;0;7;0;p;4828.29
1817;sanocki;16893;95035;17.78;0;0;1;2;1;2;p;5631
1818;stalowowolski;17723;107138;16.54;0;0;1;1;1;1;p;8861.5
1819;strzyżowski;11294;61690;18.31;0;0;1;0;1;0;p;11294
1820;tarnobrzeski;9066;53388;16.98;0;0;0;0;0;0;p;66666
1821;leski;4511;26606;16.95;0;0;1;0;1;0;p;4511
1861;m.Krosno;7718;466;16.56;1;1;3;2;4;3;m;1102.57
1862;m.Przemyśl;9959;61808;16.11;1;1;1;1;2;2;m;2489.75
1863;m.Rzeszów;34648;189662;18.27;2;1;1;2;3;3;m;5774.67
1864;m.Tarnobrzeg;7407;47387;15.63;0;0;1;0;1;0;m;7407
2001;augustowski;10163;58669;17.32;0;0;1;0;1;0;p;10163
2002;białostocki;26444;147002;17.99;0;0;1;0;1;0;p;26444
2003;bielski;89;55427;16.06;0;0;1;0;1;0;p;8900
2004;grajewski;8461;47781;17.71;0;0;3;0;3;0;p;2820.33
2005;hajnowski;6204;43745;14.18;0;0;1;0;1;0;p;6204
2006;kolneński;7052;38748;18.20;0;0;1;0;1;0;p;7052
2007;łomżyński;9566;51084;18.73;0;0;0;0;0;0;p;66666
2008;moniecki;6650;41011;16.22;0;0;2;0;2;0;p;3325
2009;sejneński;3405;20270;16.80;0;0;2;0;2;0;p;1702.5
2010;siemiatycki;6896;45191;15.26;0;0;1;0;1;0;p;6896
2011;sokólski;11075;68188;16.24;0;0;1;0;1;0;p;11075
2012;suwalski;6994;35955;19.45;0;0;0;0;0;0;p;66666
2013;wysokomazowiecki;10441;57516;18.15;0;0;2;0;2;0;p;5220.5
2014;zambrowski;7996;44027;18.16;0;0;1;0;1;0;p;7996
2061;m.Białystok;51843;297288;17.44;0;1;9;4;9;5;m;3703.07
2062;m.Łomża;11020;63092;17.47;0;0;1;1;1;1;m;5510
2063;m.Suwałki;12909;69554;18.56;0;0;1;1;1;1;m;6454.5
2201;bytowski;16426;79134;20.76;0;0;2;0;2;0;p;8213
2202;chojnicki;20451;97251;21.03;0;0;1;0;1;0;p;20451
2203;człuchowski;10870;56678;19.18;0;0;0;0;0;0;p;66666
2204;gdański;25532;113983;22.40;0;0;3;0;3;0;p;8510.67
2205;kartuski;34558;133841;25.82;0;0;1;0;1;0;p;34558
2206;kościerski;16142;72311;22.32;0;0;1;0;1;0;p;16142
2207;kwidzyński;16973;83423;20.35;0;0;1;0;1;0;p;16973
2208;lęborski;13021;66333;19.63;0;0;1;0;1;0;p;13021
2209;malborski;11815;63911;18.49;0;0;1;0;1;0;p;11815
2210;nowodworski;6637;35891;18.49;0;0;0;0;0;0;p;66666
2211;pucki;18369;84687;21.69;0;0;2;0;2;0;p;9184.5
2212;słupski;19225;98737;19.47;0;0;0;0;0;0;p;66666
2213;starogardzki;26439;127868;20.68;0;0;1;0;1;0;p;26439
2214;tczewski;23197;115896;20.02;0;0;3;0;3;0;p;7732.33
2215;wejherowski;48308;213803;22.59;0;0;3;0;3;0;p;16102.7
2216;sztumski;8187;41946;19.52;0;0;0;0;0;0;p;66666
2261;m.Gdańsk;79252;464254;17.07;1;1;6;2;7;3;m;7925.2
2262;m.Gdynia;39893;246306;16.20;0;0;2;1;2;1;m;13297.7
2263;m.Słupsk;14579;91465;15.94;0;0;1;1;1;1;m;7289.5
2264;m.Sopot;4552;36533;12.46;0;0;1;0;1;0;m;4552
2401;będziński;23878;149316;15.99;0;0;1;0;1;0;p;23878
2402;bielski;31667;164003;19.31;0;0;0;0;0;0;p;66666
2403;cieszyński;33729;178251;18.92;0;0;2;1;2;1;p;11243
2404;częstochowski;22730;135227;16.81;0;0;0;0;0;0;p;66666
2405;gliwicki;20481;115647;17.71;0;0;0;0;0;0;p;66666
2406;kłobucki;14604;85094;17.16;0;0;0;0;0;0;p;66666
