teryt;nazwa;ppp;OSM1;OSM2;SM1;SM2;L1;L2
2803000;działdowski;12855;0;0;1;0;1;0
2804000;elbląski;11136;0;0;0;0;0;0
2805000;ełcki;17882;0;0;1;1;1;1
2806000;giżycki;10037;0;0;1;0;1;0
2807000;iławski;18468;0;0;2;0;2;0
2808000;kętrzyński;10860;0;0;1;0;1;0
2809000;lidzbarski;7449;0;0;1;0;1;0
2810000;mrągowski;9044;0;0;1;0;1;0
2811000;nidzicki;6256;0;0;1;0;1;0
2812000;nowomiejski;9140;0;0;2;0;2;0
2813000;olecki;6702;0;0;1;0;1;0
2814000;olsztyński;23938;0;0;5;0;5;0
2815000;ostródzki;19833;0;0;1;0;1;0
2816000;piski;10476;1;0;0;0;1;0
2817000;szczycieński;13079;0;0;1;0;1;0
2818000;gołdapski;5208;0;0;1;0;1;0
2819000;węgorzewski;3891;0;0;0;0;0;0
2861000;m.Elbląg;19925;1;1;1;1;2;2
2862000;m.Olsztyn;29737;0;0;1;1;1;1
3001000;chodzieski;9119;0;0;0;0;0;0
3002000;czarnkowsko-trzcianecki;17209;0;0;0;0;0;0
3003000;gnieźnieński;28799;1;0;0;1;1;1
3004000;gostyński;14928;0;0;1;0;1;0
3005000;grodziski;11055;0;0;0;0;0;0
3006000;jarociński;13983;0;0;1;0;1;0
3007000;kaliski;16045;0;0;0;0;0;0
3008000;kępiński;10996;0;0;1;0;1;0
3009000;kolski;15922;0;0;1;0;1;0
3010000;koniński;25283;0;0;1;0;1;0
3011000;kościański;15114;0;0;1;0;1;0
3012000;krotoszyński;15375;0;0;1;0;1;0
3013000;leszczyński;12130;0;0;0;0;0;0
3014000;międzychodzki;7119;0;0;0;0;0;0
3015000;nowotomyski;15620;0;0;2;0;2;0
3016000;obornicki;12367;0;0;1;0;1;0
3017000;ostrowski;30159;0;0;2;1;2;1
3018000;ostrzeszowski;10745;0;0;1;0;1;0
3019000;pilski;25588;0;0;1;1;1;1
3020000;pleszewski;12327;0;0;1;0;1;0
3021000;poznański;86183;0;0;4;0;4;0
3022000;rawicki;12175;0;0;1;0;1;0
3023000;słupecki;11071;0;0;2;2;2;2
3024000;szamotulski;18367;0;0;1;1;1;1
3025000;średzki;11779;0;0;1;0;1;0
3026000;śremski;12424;0;0;1;0;1;0
3027000;turecki;16134;0;0;1;1;1;1
3028000;wągrowiecki;14337;0;0;1;0;1;0
3029000;wolsztyński;11987;0;0;1;0;1;0
3030000;wrzesiński;15260;0;0;4;1;4;1
3031000;złotowski;13518;0;0;1;0;1;0
3061000;m.Kalisz;16931;0;0;1;1;1;1
3062000;m.Konin;11538;0;0;1;1;1;1
3063000;m.Leszno;11730;0;0;1;1;1;1
3064000;m.Poznań;88983;3;2;2;1;5;3
3201000;białogardzki;8599;0;0;1;0;1;0
3202000;choszczeński;8703;0;0;1;0;1;0
3203000;drawski;10443;0;0;0;0;0;0
3204000;goleniowski;15558;0;0;2;0;2;0
3205000;gryficki;10912;0;0;1;0;1;0
3206000;gryfiński;14894;0;0;1;0;1;0
3207000;kamieński;7661;0;0;1;0;1;0
3208000;kołobrzeski;13342;0;0;1;0;1;0
3209000;koszaliński;12078;0;0;0;0;0;0
3210000;myśliborski;11858;0;0;1;0;1;0
3211000;policki;15839;0;0;1;0;1;0
3212000;pyrzycki;7072;0;0;1;0;1;0
3213000;sławieński;10447;0;0;1;0;1;0
3214000;stargardzki;21457;1;0;1;1;2;1
3215000;szczecinecki;13759;0;0;1;1;1;1
3216000;świdwiński;8303;0;0;0;0;0;0
3217000;wałecki;9668;0;0;0;0;0;0
3218000;łobeski;6745;0;0;0;0;0;0
3261000;m.Koszalin;17185;1;1;1;1;2;2
3262000;m.Szczecin;64448;3;2;7;2;10;4
3263000;m.Świnoujście;5858;0;0;1;0;1;0
