tytul;wydawca;date;naklad
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-08-01;23045
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-08-01;48983
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-08-01;20893
Dziennik Polski;Polska Press Sp. z o.o.;2015-08-01;18736
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-08-01;6003
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-08-01;36110
Echo Dnia;Polska Press Sp. z o.o.;2015-08-01;18152
Express Bydgoski;"Express Media" Sp. z o.o.;2015-08-01;10702
Express Ilustrowany;Polska Press Sp. z o.o.;2015-08-01;25743
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-08-01;301172
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-08-01;15253
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-08-01;16506
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-08-01;20515
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-08-01;13885
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-08-01;25908
Gazeta Polska Codziennie;Forum SA;2015-08-01;19401
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-08-01;38951
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-08-01;15286
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-08-01;5852
Gazeta Wyborcza;Agora SA;2015-08-01;174636
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-08-01;21453
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-08-01;28028
Kurier Lubelski;Polska Press Sp. z o.o.;2015-08-01;3953
Kurier Poranny;Polska Press Sp. z o.o.;2015-08-01;5156
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-08-01;12454
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-08-01;14754
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-08-01;12347
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-08-01;5302
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-08-01;3561
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-08-01;36488
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-08-01;11684
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-08-01;55836
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-08-01;5978
Super Express;ZPR Media SA;2015-08-01;140519
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-08-01;7644
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-09-01;22300
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-09-01;50296
Dziennik Łódzki;Polska Press Sp. z o.o.;2015-09-01;21274
Dziennik Polski;Polska Press Sp. z o.o.;2015-09-01;18314
Dziennik Wschodni;Corner Media Sp. z o.o.;2015-09-01;5807
Dziennik Zachodni;Polska Press Sp. z o.o.;2015-09-01;36342
Echo Dnia;Polska Press Sp. z o.o.;2015-09-01;19100
Express Bydgoski;"Express Media" Sp. z o.o.;2015-09-01;10632
Express Ilustrowany;Polska Press Sp. z o.o.;2015-09-01;26200
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2015-09-01;297990
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2015-09-01;14764
Gazeta Krakowska;Polska Press Sp. z o.o.;2015-09-01;15910
Gazeta Lubuska;Polska Press Sp. z o.o.;2015-09-01;19160
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2015-09-01;13084
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2015-09-01;26041
Gazeta Polska Codziennie;Forum SA;2015-09-01;18843
Gazeta Pomorska;Polska Press Sp. z o.o.;2015-09-01;40945
Gazeta Wrocławska;Polska Press Sp. z o.o.;2015-09-01;15601
Gazeta Współczesna;Polska Press Sp. z o.o.;2015-09-01;5755
Gazeta Wyborcza;Agora SA;2015-09-01;170379
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2015-09-01;24596
Głos Wielkopolski;Polska Press Sp. z o.o.;2015-09-01;28007
Kurier Lubelski;Polska Press Sp. z o.o.;2015-09-01;4101
Kurier Poranny;Polska Press Sp. z o.o.;2015-09-01;5134
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2015-09-01;12051
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2015-09-01;15535
Nowości - Dziennik Toruński;"Express Media" Sp. z o.o.;2015-09-01;12234
Parkiet Gazeta Giełdy;Gremi Business Communication Sp. z o.o.;2015-09-01;5261
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2015-09-01;4003
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2015-09-01;31634
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2015-09-01;12090
Rzeczpospolita;Gremi Business Communication Sp. z o.o.;2015-09-01;55505
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2015-09-01;5687
Super Express;ZPR Media SA;2015-09-01;138183
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2015-09-01;7426
Dziennik Bałtycki;Polska Press Sp. z o.o.;2015-10-01;23561
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2015-10-01;52571
