tytul;wydawca;date;naklad
Echo Dnia;Polska Press Sp. z o.o.;2017-08-01;13598
Express Bydgoski;Polska Press Sp. z o.o.;2017-08-01;7936
Express Ilustrowany;Polska Press Sp. z o.o.;2017-08-01;18336
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska" Sp. z o.o.;2017-08-01;253211
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-08-01;11682
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-08-01;12156
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-08-01;14866
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2017-08-01;9677
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2017-08-01;23608
Gazeta Polska Codziennie;Forum SA;2017-08-01;17978
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-08-01;30974
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-08-01;11391
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-08-01;4619
Gazeta Wyborcza;Agora SA;2017-08-01;115293
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-08-01;16165
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-08-01;22155
Kurier Lubelski;Polska Press Sp. z o.o.;2017-08-01;2842
Kurier Poranny;Polska Press Sp. z o.o.;2017-08-01;4034
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2017-08-01;9130
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2017-08-01;10567
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-08-01;9337
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-08-01;4277
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-08-01;2725
Przegląd Sportowy;"Ringier Axel Springer Polska" Sp. z o.o.;2017-08-01;29072
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2017-08-01;10354
Rzeczpospolita;Gremi Media S.A.;2017-08-01;48306
Sport;"Ringier Axel Springer Polska" Sp. z o.o.;2017-08-01;5155
Super Express;ZPR Media SA;2017-08-01;123152
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-08-01;5849
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-09-01;31992
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-09-01;29804
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-09-01;23608 
Express Ilustrowany;Polska Press Sp. z o.o.;2017-09-01;20263
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-09-01;17555
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-09-01;16339
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-09-01;16183
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-09-01;15510
Dziennik Polski;Polska Press Sp. z o.o.;2017-09-01;14107
Echo Dnia;Polska Press Sp. z o.o.;2017-09-01;13866
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-09-01;12710
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-09-01;12442
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-09-01;12126
Nowa Trybuna Opolska;"Pro Media"Sp. z o.o.;2017-09-01;10482
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o.;2017-09-01;10135
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-09-01;9690
Kurier Szczeciński;"Kurier Szczeciński"Sp. z o.o.;2017-09-01;8751
Express Bydgoski;Polska Press Sp. z o.o.;2017-09-01;8470
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-09-01;6576
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-09-01;5160
Sport;"Ringier Axel Springer Polska"Sp. z o.o.;2017-09-01;5033
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-09-01;4642
Kurier Poranny;Polska Press Sp. z o.o.;2017-09-01;4206
Kurier Lubelski;Polska Press Sp. z o.o.;2017-09-01;3189
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-09-01;2859
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-09-01; 
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska"Sp. z o.o.;2017-09-01;
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin"Sp. z o.o.;2017-09-01;
Gazeta Polska Codziennie;Forum SA;2017-09-01;
Gazeta Wyborcza;Agora SA;2017-09-01;
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-09-01;
Przegląd Sportowy;"Ringier Axel Springer Polska"Sp. z o.o.;2017-09-01;
Puls Biznesu;"Bonnier Business (Polska)"Sp. z o.o.;2017-09-01;
Rzeczpospolita;Gremi Media S.A.;2017-09-01;
Super Express;ZPR Media SA;2017-09-01;
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-10-01;31633 
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-10-01;29017 
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-10-01;23522 
Express Ilustrowany;Polska Press Sp. z o.o.;2017-10-01;18688 
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-10-01;16301 
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-10-01;16041 
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-10-01;15555
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-10-01;14852 
Dziennik Polski;Polska Press Sp. z o.o.;2017-10-01;14073 
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-10-01;13088
Echo Dnia;Polska Press Sp. z o.o.;2017-10-01;13012
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-10-01;12381
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-10-01;12089
Nowa Trybuna Opolska;"Pro Media"Sp. z o.o.;2017-10-01;10521 
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-10-01;9510
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o.;2017-10-01;9240
Express Bydgoski;Polska Press Sp. z o.o.;2017-10-01;8227
Kurier Szczeciński;"Kurier Szczeciński"Sp. z o.o.;2017-10-01;7985  
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-10-01;5923  
Sport;"Ringier Axel Springer Polska"Sp. z o.o.;2017-10-01;5367  
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-10-01;4740  
Kurier Poranny;Polska Press Sp. z o.o.;2017-10-01;4482
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-10-01;4480  
Kurier Lubelski;Polska Press Sp. z o.o.;2017-10-01;2932  
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-10-01;2777  
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-10-01; 
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska"Sp. z o.o.;2017-10-01;
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin"Sp. z o.o.;2017-10-01;
Gazeta Polska Codziennie;Forum SA;2017-10-01;
Gazeta Wyborcza;Agora SA;2017-10-01;
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-10-01;
Przegląd Sportowy;"Ringier Axel Springer Polska"Sp. z o.o.;2017-10-01;
Puls Biznesu;"Bonnier Business (Polska)"Sp. z o.o.;2017-10-01;
Rzeczpospolita;Gremi Media S.A.;2017-10-01;
Super Express;ZPR Media SA;2017-10-01;
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-11-01;31403 
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-11-01;26876 
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-11-01;22994 
Express Ilustrowany;Polska Press Sp. z o.o.;2017-11-01;18794 
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-11-01;16483 
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-11-01;16009 
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-11-01;15533 
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-11-01;14903 
Echo Dnia;Polska Press Sp. z o.o.;2017-11-01;13834 
Dziennik Polski;Polska Press Sp. z o.o.;2017-11-01;13657 
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-11-01;12470 
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-11-01;11830 
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-11-01;11593 
Nowa Trybuna Opolska;"Pro Media"Sp. z o.o.;2017-11-01;10043 
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o.;2017-11-01;9828  
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-11-01;9292  
Express Bydgoski;Polska Press Sp. z o.o.;2017-11-01;8161  
Kurier Szczeciński;"Kurier Szczeciński"Sp. z o.o.;2017-11-01;8058  
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-11-01;6019  
Sport;"Ringier Axel Springer Polska"Sp. z o.o.;2017-11-01;4981  
Kurier Poranny;Polska Press Sp. z o.o.;2017-11-01;4884  
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-11-01;4653  
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-11-01;4629  
Kurier Lubelski;Polska Press Sp. z o.o.;2017-11-01;3170  
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-11-01;2868  
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-11-01; 
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska"Sp. z o.o.;2017-11-01;
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin"Sp. z o.o.;2017-11-01;
Gazeta Polska Codziennie;Forum SA;2017-11-01;
Gazeta Wyborcza;Agora SA;2017-11-01;
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-11-01;
Przegląd Sportowy;"Ringier Axel Springer Polska"Sp. z o.o.;2017-11-01;
Puls Biznesu;"Bonnier Business (Polska)"Sp. z o.o.;2017-11-01;
Rzeczpospolita;Gremi Media S.A.;2017-11-01;
Super Express;ZPR Media SA;2017-11-01;
Gazeta Pomorska;Polska Press Sp. z o.o.;2017-12-01;32869 
Dziennik Zachodni;Polska Press Sp. z o.o.;2017-12-01;30894 
Głos Wielkopolski;Polska Press Sp. z o.o.;2017-12-01;25495 
Express Ilustrowany;Polska Press Sp. z o.o.;2017-12-01;21521 
Dziennik Bałtycki;Polska Press Sp. z o.o.;2017-12-01;18343 
Gazeta Lubuska;Polska Press Sp. z o.o.;2017-12-01;15923 
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2017-12-01;15682 
Dziennik Łódzki;Polska Press Sp. z o.o.;2017-12-01;16896 
Dziennik Polski;Polska Press Sp. z o.o.;2017-12-01;14109 
Echo Dnia;Polska Press Sp. z o.o.;2017-12-01;15262 
Gazeta Krakowska;Polska Press Sp. z o.o.;2017-12-01;13062 
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2017-12-01;12398 
Gazeta Wrocławska;Polska Press Sp. z o.o.;2017-12-01;12307 
Nowa Trybuna Opolska;"Pro Media"Sp. z o.o.;2017-12-01;10316 
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o.;2017-12-01;10260 
Kurier Szczeciński;"Kurier Szczeciński"Sp. z o.o.;2017-12-01;9442  
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2017-12-01;9599  
Express Bydgoski;Polska Press Sp. z o.o.;2017-12-01;8797  
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2017-12-01;7127  
Dziennik Wschodni;Corner Media Sp. z o.o.;2017-12-01;5170  
Gazeta Współczesna;Polska Press Sp. z o.o.;2017-12-01;4964  
Kurier Poranny;Polska Press Sp. z o.o.;2017-12-01;4465  
Kurier Lubelski;Polska Press Sp. z o.o.;2017-12-01;3547  
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2017-12-01;2934  
Sport;"Ringier Axel Springer Polska"Sp. z o.o.;2017-12-01;NA
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2017-12-01; 
Fakt Gazeta Codzienna;"Ringier Axel Springer Polska"Sp. z o.o.;2017-12-01;
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin"Sp. z o.o.;2017-12-01;
Gazeta Polska Codziennie;Forum SA;2017-12-01;
Gazeta Wyborcza;Agora SA;2017-12-01;
Parkiet Gazeta Giełdy;Gremi Media S.A.;2017-12-01;
Przegląd Sportowy;"Ringier Axel Springer Polska"Sp. z o.o.;2017-12-01;
Puls Biznesu;"Bonnier Business (Polska)"Sp. z o.o.;2017-12-01;
Rzeczpospolita;Gremi Media S.A.;2017-12-01;
Super Express;ZPR Media SA;2017-12-01;
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-01-01;15949
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-01-01;49058
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-01-01;16440
Dziennik Polski;Polska Press Sp. z o.o.;2018-01-01;12840
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-01-01;4380
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-01-01;26530
Echo Dnia;Polska Press Sp. z o.o.;2018-01-01;14149
Express Bydgoski;Polska Press Sp. z o.o.;2018-01-01;7899
Express Ilustrowany;Polska Press Sp. z o.o.;2018-01-01;18290
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-01-01;261703
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-01-01;10821
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-01-01;12643
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-01-01;14273
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-01-01;9028
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-01-01;22602
Gazeta Polska Codziennie;Forum SA;2018-01-01;17006
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-01-01;30967
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-01-01;11903
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-01-01;4730
Gazeta Wyborcza;Agora SA;2018-01-01;108479
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-01-01;15224
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-01-01;22610
Kurier Lubelski;Polska Press Sp. z o.o.;2018-01-01;2940
Kurier Poranny;Polska Press Sp. z o.o.;2018-01-01;3854
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-01-01;8259
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-01-01;10929
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-01-01;8998
Parkiet Gazeta Giełdy;Gremi Media SA;2018-01-01;4144
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2018-01-01;2833
Przegląd Sportowy;Ringier Axel Springer Polska Sp. z o.o.;2018-01-01;22273
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2018-01-01;11128
Rzeczpospolita;Gremi Media SA;2018-01-01;45317
Sport;WHIZZ S.A.;2018-01-01;4418
Super Express;ZPR Media SA;2018-01-01;125065
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2018-01-01;6166
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-02-01;15253
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-02-01;41372
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-02-01;15523
Dziennik Polski;Polska Press Sp. z o.o.;2018-02-01;12913
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-02-01;4496
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-02-01;26754
Echo Dnia;Polska Press Sp. z o.o.;2018-02-01;13978
Express Bydgoski;Polska Press Sp. z o.o.;2018-02-01;7792
Express Ilustrowany;Polska Press Sp. z o.o.;2018-02-01;18737
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-02-01;259090
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-02-01;11587
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-02-01;12249
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-02-01;14024
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-02-01;8796
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-02-01;23544
Gazeta Polska Codziennie;Forum SA;2018-02-01;16612
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-02-01;30523
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-02-01;11663
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-02-01;5015
Gazeta Wyborcza;Agora SA;2018-02-01;110761
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-02-01;14965
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-02-01;22592
Kurier Lubelski;Polska Press Sp. z o.o.;2018-02-01;3391
Kurier Poranny;Polska Press Sp. z o.o.;2018-02-01;3871
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-02-01;8426
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-02-01;10945
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-02-01;8838
Parkiet Gazeta Giełdy;Gremi Media SA;2018-02-01;4065
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2018-02-01;2861
Przegląd Sportowy;Ringier Axel Springer Polska Sp. z o.o.;2018-02-01;24789
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2018-02-01;11295
Rzeczpospolita;Gremi Media SA;2018-02-01;45103
Sport;WHIZZ S.A.;2018-02-01;4538
Super Express;ZPR Media SA;2018-02-01;124295
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2018-02-01;6242
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-03-01;16787
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-03-01;42716
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-03-01;15279
Dziennik Polski;Polska Press Sp. z o.o.;2018-03-01;13344
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-03-01;4825
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-03-01;26363
Echo Dnia;Polska Press Sp. z o.o.;2018-03-01;14531
Express Bydgoski;Polska Press Sp. z o.o.;2018-03-01;8059
Express Ilustrowany;Polska Press Sp. z o.o.;2018-03-01;19435
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-03-01;255222
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-03-01;11690
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-03-01;12797
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-03-01;14449
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-03-01;9609
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-03-01;23604
Gazeta Polska Codziennie;Forum SA;2018-03-01;16103
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-03-01;30604
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-03-01;11325
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-03-01;4573
Gazeta Wyborcza;Agora SA;2018-03-01;112558
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-03-01;15100
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-03-01;22266
Kurier Lubelski;Polska Press Sp. z o.o.;2018-03-01;3105
Kurier Poranny;Polska Press Sp. z o.o.;2018-03-01;4053
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-03-01;8849
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-03-01;10961
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-03-01;9017
Parkiet Gazeta Giełdy;Gremi Media SA;2018-03-01;3986
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2018-03-01;2917
Przegląd Sportowy;Ringier Axel Springer Polska Sp. z o.o.;2018-03-01;23448
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2018-03-01;11353
Rzeczpospolita;Gremi Media SA;2018-03-01;46022
Sport;WHIZZ S.A.;2018-03-01;4660
Super Express;ZPR Media SA;2018-03-01;128618
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2018-03-01;6514
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-04-01;16111
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-04-01;41451
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-04-01;14700
Dziennik Polski;Polska Press Sp. z o.o.;2018-04-01;13100
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-04-01;4629
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-04-01;25561
Echo Dnia;Polska Press Sp. z o.o.;2018-04-01;13949
Express Bydgoski;Polska Press Sp. z o.o.;2018-04-01;7886
Express Ilustrowany;Polska Press Sp. z o.o.;2018-04-01;18028
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-04-01;244400
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-04-01;11127
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-04-01;12190
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-04-01;14284
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-04-01;8924
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-04-01;22966
Gazeta Polska Codziennie;Forum SA;2018-04-01;15749
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-04-01;29980
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-04-01;11661
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-04-01;4331
Gazeta Wyborcza;Agora SA;2018-04-01;108826
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-04-01;14770
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-04-01;22308
Kurier Lubelski;Polska Press Sp. z o.o.;2018-04-01;3309
Kurier Poranny;Polska Press Sp. z o.o.;2018-04-01;4406
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-04-01;8190
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-04-01;11091
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-04-01;8939
Parkiet Gazeta Giełdy;Gremi Media SA;2018-04-01;4183
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2018-04-01;2749
Przegląd Sportowy;Ringier Axel Springer Polska Sp. z o.o.;2018-04-01;23120
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2018-04-01;11458
Rzeczpospolita;Gremi Media SA;2018-04-01;45272
Sport;WHIZZ S.A.;2018-04-01;4981
Super Express;TIME SA;2018-04-01;118840
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2018-04-01;5934
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-05-01;14885
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-05-01;40691
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-05-01;15431
Dziennik Polski;Polska Press Sp. z o.o.;2018-05-01;12691
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-05-01;4538
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-05-01;25916
Echo Dnia;Polska Press Sp. z o.o.;2018-05-01;13184
Express Bydgoski;Polska Press Sp. z o.o.;2018-05-01;7597
Express Ilustrowany;Polska Press Sp. z o.o.;2018-05-01;17240
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-05-01;248993
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-05-01;10870
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-05-01;11641
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-05-01;13949
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-05-01;8917
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-05-01;23150
Gazeta Polska Codziennie;Forum SA;2018-05-01;15340
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-05-01;29251
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-05-01;10689
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-05-01;4269
Gazeta Wyborcza;Agora SA;2018-05-01;105215
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-05-01;14392
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-05-01;21494
Kurier Lubelski;Polska Press Sp. z o.o.;2018-05-01;3198
Kurier Poranny;Polska Press Sp. z o.o.;2018-05-01;4140
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-05-01;8084
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-05-01;11083
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-05-01;8675
Parkiet Gazeta Giełdy;Gremi Media SA;2018-05-01;4376
Polska Metropolia Warszawska;Polska Press Sp. z o.o.;2018-05-01;2667
Przegląd Sportowy;Ringier Axel Springer Polska Sp. z o.o.;2018-05-01;23251
Puls Biznesu;"Bonnier Business (Polska)" Sp. z o.o.;2018-05-01;11607
Rzeczpospolita;Gremi Media SA;2018-05-01;45165
Sport;WHIZZ S.A.;2018-05-01;4873
Super Express;TIME SA;2018-05-01;114731
Super Nowości;Wydawnictwo Prasowe Super Nowości Sp. z.o.o.;2018-05-01;5823
Dziennik Bałtycki;Polska Press Sp. z o.o.;2018-06-01;15105
Dziennik Gazeta Prawna;Infor Biznes Sp. z o.o.;2018-06-01;38173
Dziennik Łódzki;Polska Press Sp. z o.o.;2018-06-01;14780
Dziennik Polski;Polska Press Sp. z o.o.;2018-06-01;12542
Dziennik Wschodni;Corner Media Sp. z o.o.;2018-06-01;4717
Dziennik Zachodni;Polska Press Sp. z o.o.;2018-06-01;25316
Echo Dnia;Polska Press Sp. z o.o.;2018-06-01;13377
Express Bydgoski;Polska Press Sp. z o.o.;2018-06-01;7643
Express Ilustrowany;Polska Press Sp. z o.o.;2018-06-01;17605
Fakt Gazeta Codzienna;Ringier Axel Springer Polska Sp. z o.o.;2018-06-01;236757
Gazeta Codzienna Nowiny;Polska Press Sp. z o.o.;2018-06-01;10768
Gazeta Krakowska;Polska Press Sp. z o.o.;2018-06-01;11601
Gazeta Lubuska;Polska Press Sp. z o.o.;2018-06-01;13948
Gazeta Olsztyńska / Dziennik Elbląski;Grupa WM Sp. z o.o. ;2018-06-01;8945
Gazeta Podatkowa;Wydawnictwo Podatkowe "Gofin" Sp. z o.o.;2018-06-01;23201
Gazeta Polska Codziennie;Forum SA;2018-06-01;15002
Gazeta Pomorska;Polska Press Sp. z o.o.;2018-06-01;28956
Gazeta Wrocławska;Polska Press Sp. z o.o.;2018-06-01;10676
Gazeta Współczesna;Polska Press Sp. z o.o.;2018-06-01;4276
Gazeta Wyborcza;Agora SA;2018-06-01;103853
Głos - Dziennik Pomorza;Polska Press Sp. z o.o.;2018-06-01;14476
Głos Wielkopolski;Polska Press Sp. z o.o.;2018-06-01;20849
Kurier Lubelski;Polska Press Sp. z o.o.;2018-06-01;3088
Kurier Poranny;Polska Press Sp. z o.o.;2018-06-01;3853
Kurier Szczeciński;"Kurier Szczeciński" Sp. z o.o.;2018-06-01;8296
Nowa Trybuna Opolska;"Pro Media" Sp. z o.o.;2018-06-01;10138
Nowości - Dziennik Toruński;Polska Press Sp. z o.o.;2018-06-01;8580
