teryt;exteryt;bb;center
061801;1;50.426332,23.393868 50.469417,23.459128;50.4478745,23.426498
062002;2;50.773329,23.432987 50.898598,23.658482;50.8359635,23.5457345
061807;2;50.496604,23.468347 50.603161,23.647283;50.5498825,23.557815
062001;2;50.550352,23.063531 50.649355,23.312585;50.5998535,23.188058
061805;3;50.251829,23.403338 50.416038,23.738135;50.3339335,23.5707365
062003;2;50.584124,23.392543 50.689448,23.604229;50.636786,23.498386
061803;2;50.379986,23.482579 50.512825,23.689821;50.4464055,23.5862
066301;1;51.140218,22.454303 51.296560,22.673543;51.218389,22.563923
061802;2;50.344783,23.366159 50.405393,23.496527;50.375088,23.431343
066201;1;51.103271,23.420034 51.167896,23.559376;51.1355835,23.489705
061804;2;50.545928,23.297021 50.611067,23.524310;50.5784975,23.4106655
066401;1;50.692416,23.190239 50.750380,23.306795;50.721398,23.248517
061806;3;50.459335,23.629693 50.608969,23.812546;50.534152,23.7211195
061811;2;50.386006,23.261446 50.510311,23.601323;50.4481585,23.4313845
061809;2;50.482263,23.290507 50.566589,23.492577;50.524426,23.391542
061808;2;50.358883,23.048026 50.505864,23.358146;50.4323735,23.203086
061810;2;50.474786,23.771933 50.587561,23.987974;50.5311735,23.8799535
061307;2;51.408944,22.972225 51.585255,23.216270;51.4970995,23.0942475
061305;2;51.605757,23.130666 51.716810,23.323153;51.6612835,23.2269095
061306;2;51.560733,22.669342 51.687089,22.847647;51.623911,22.7584945
061403;2;51.274703,21.783044 51.384561,21.984871;51.329632,21.8839575
061401;1;51.370888,21.924889 51.482279,22.029233;51.4265835,21.977061
061402;2;51.497534,22.068737 51.584891,22.266743;51.5412125,22.16774
061405;2;51.339028,22.004278 51.473923,22.160231;51.4064755,22.0822545
061404;3;51.269674,21.890575 51.382033,22.084939;51.3258535,21.987757
061407;2;51.332327,22.211982 51.431235,22.308247;51.381781,22.2601145
061406;2;51.328207,22.094608 51.487559,22.253694;51.407883,22.174151
061411;2;51.441947,21.949128 51.575866,22.191256;51.5089065,22.070192
061409;2;51.370213,21.760986 51.548364,22.032831;51.4592885,21.8969085
061408;3;51.262302,22.164425 51.355170,22.314171;51.308736,22.239298
061410;2;51.252122,22.045241 51.349376,22.190247;51.300749,22.117744
061503;2;51.591085,22.536136 51.747799,22.726629;51.669442,22.6313825
060914;2;51.234680,22.584211 51.326757,22.784508;51.2807185,22.6843595
060915;2;50.838888,22.588873 50.976032,22.800751;50.90746,22.694812
061005;2;51.232287,22.922620 51.371071,23.084719;51.301679,23.0036695
061001;2;51.237490,23.035693 51.382031,23.269203;51.3097605,23.152448
061002;2;51.326903,22.801178 51.435246,23.088171;51.3810745,22.9446745
061003;3;51.249420,22.768226 51.351227,22.956592;51.3003235,22.862409
061004;2;51.174026,22.843180 51.278290,23.071093;51.226158,22.9571365
061006;2;51.299897,22.664810 51.411537,22.840803;51.355717,22.7528065
061106;2;51.637260,22.226364 51.737628,22.399791;51.687444,22.3130775
061102;1;51.942569,21.923405 51.971660,21.992510;51.9571145,21.9579575
061101;1;51.891932,22.326975 51.958567,22.443873;51.9252495,22.385424
061104;2;51.708257,21.982854 51.858908,22.266888;51.7835825,22.124871
061103;2;51.644703,22.114940 51.771131,22.312608;51.707917,22.213774
061105;2;51.842410,22.114538 52.037457,22.579797;51.9399335,22.3471675
061110;2;51.714237,22.218159 51.859809,22.436647;51.787023,22.327403
061108;2;51.887624,21.866380 52.021736,22.166442;51.95468,22.016411
060708;3;50.962884,22.019375 51.059303,22.257226;51.0110935,22.1383005
060201;1;50.513154,22.674649 50.564905,22.748740;50.5390295,22.7116945
060710;2;50.880229,22.322371 50.999220,22.479619;50.9397245,22.400995
060204;2;50.352457,22.502628 50.476435,22.735580;50.414446,22.619104
060802;2;51.425913,22.189831 51.517225,22.389677;51.471569,22.289754
060203;2;50.465849,22.505641 50.642844,22.840130;50.5543465,22.6728855
060801;1;51.433927,22.569576 51.482888,22.642163;51.4584075,22.6058695
060210;2;50.287146,22.854103 50.380295,23.141339;50.3337205,22.997721
060804;2;51.573636,22.187511 51.675472,22.349398;51.624554,22.2684545
060206;2;50.689808,22.613455 50.774920,22.787654;50.732364,22.7005545
060803;2;51.500737,22.393475 51.634008,22.581881;51.5673725,22.487678
060205;3;50.584804,22.643893 50.750918,22.839790;50.667861,22.7418415
060805;2;51.369904,22.356854 51.520076,22.539418;51.44499,22.448136
060208;2;50.346406,22.665099 50.488385,22.886989;50.4173955,22.776044
060810;3;51.381698,22.728538 51.531389,22.908526;51.4565435,22.818532
060207;3;50.421570,22.948322 50.566017,23.187963;50.4937935,23.0681425
060209;2;50.343396,22.829664 50.461032,23.117983;50.402214,22.9738235
060806;3;51.589883,22.324593 51.713811,22.539794;51.651847,22.4321935
060212;3;50.291158,22.606575 50.385864,22.879439;50.338511,22.743007
060211;2;50.343615,22.402945 50.465696,22.623200;50.4046555,22.5130725
060809;2;51.469336,22.620978 51.583280,22.786512;51.526308,22.703745
060214;2;50.755238,22.578176 50.884387,22.898100;50.8198125,22.738138
060812;2;51.385799,22.627846 51.485024,22.809526;51.4354115,22.718686
060213;2;50.487761,22.786874 50.644472,23.001933;50.5661165,22.8944035
060811;2;51.531431,22.507147 51.660373,22.707422;51.595902,22.6072845
060301;1;51.101081,23.203562 51.137335,23.296126;51.119208,23.249844
060402;2;50.412140,23.875710 50.651335,24.098657;50.5317375,23.9871835
060404;2;50.688348,23.781904 50.941897,24.073015;50.8151225,23.9274595
060407;2;50.846873,23.580418 50.952159,23.808809;50.899516,23.6946135
060406;2;50.773880,23.621925 50.870256,23.830005;50.822068,23.725965
060408;2;50.636130,23.614806 50.804671,23.866427;50.7204005,23.7406165
060506;3;50.652659,22.213929 50.839705,22.460912;50.746182,22.3374205
060504;2;50.710623,22.385412 50.844871,22.562274;50.777747,22.473843
060502;2;50.713070,22.537567 50.839911,22.676479;50.7764905,22.607023
060110;2;51.918600,22.617522 52.117769,22.928717;52.0181845,22.7731195
060501;2;50.811830,22.397155 50.915657,22.547762;50.8637435,22.4724585
060102;1;52.057369,23.584172 52.096328,23.653784;52.0768485,23.618978
060503;2;50.584489,22.407418 50.762940,22.681174;50.6737145,22.544296
060101;1;51.960453,22.724189 52.001570,22.829590;51.9810115,22.7768895
060505;3;50.575503,22.232796 50.747958,22.551368;50.6617305,22.392082
060106;2;51.815974,23.496690 52.015328,23.689023;51.915651,23.5928565
060507;2;50.662099,22.141485 50.842546,22.292051;50.7523225,22.216768
060606;2;50.876134,23.229503 50.974112,23.479518;50.925123,23.3545105
060602;2;51.021075,22.877368 51.122814,23.036745;51.0719445,22.9570565
060601;1;50.953660,23.095310 51.030174,23.244508;50.991917,23.169909
061812;3;50.565774,23.575576 50.704265,23.774134;50.6350195,23.674855
066101;1;51.996385,23.065108 52.061684,23.211503;52.0290345,23.1383055
061907;2;51.264760,23.448732 51.430848,23.709312;51.347804,23.579022
061903;2;51.347802,23.272086 51.498483,23.574996;51.4231425,23.423541
061501;1;51.746608,22.584412 51.807067,22.668327;51.7768375,22.6263695
061901;1;51.515487,23.489497 51.567085,23.577895;51.541286,23.533696
061502;2;51.660061,22.396855 51.797151,22.600024;51.728606,22.4984395
061507;2;51.788107,22.352517 51.890208,22.578660;51.8391575,22.4655885
061905;2;51.326983,23.056401 51.467517,23.291507;51.39725,23.173954
061505;2;51.763879,22.832418 51.895344,23.062555;51.8296115,22.9474865
061904;2;51.410557,23.146903 51.577326,23.382648;51.4939415,23.2647755
061504;2;51.824395,22.549859 51.974018,22.779828;51.8992065,22.6648435
061506;2;51.700775,22.475281 51.880450,22.743386;51.7906125,22.6093335
061908;2;51.474700,23.171298 51.659388,23.497176;51.567044,23.334237
061508;2;51.661001,22.674286 51.862565,22.925180;51.761783,22.799733
062012;2;50.710625,22.873202 50.810042,23.078334;50.7603335,22.975768
061602;2;51.682554,21.835390 51.795049,22.095438;51.7388015,21.965414
062008;2;50.593958,22.753689 50.792665,22.905700;50.6933115,22.8296945
061601;1;51.529227,21.814096 51.605340,21.934581;51.5672835,21.8743385
062006;2;50.675983,23.433463 50.802796,23.671353;50.7393895,23.552408
061604;3;51.533244,21.840549 51.700593,22.073420;51.6169185,21.9569845
062005;2;50.607896,23.280145 50.710164,23.433672;50.65903,23.3569085
061603;2;51.608715,22.023809 51.723400,22.182052;51.6660575,22.1029305
062007;2;50.751964,22.934358 50.869116,23.180063;50.81054,23.0572105
061606;2;51.565301,21.978774 51.662336,22.243063;51.6138185,22.1109185
062010;2;50.780569,23.241151 50.909207,23.481337;50.844888,23.361244
061605;2;51.560393,21.615543 51.660307,21.866990;51.61035,21.7412665
062009;2;50.678991,23.298209 50.808014,23.478822;50.7435025,23.3885155
061701;1;51.189456,22.638796 51.243969,22.731077;51.2167125,22.6849365
061703;3;51.069435,22.681100 51.191511,22.929504;51.130473,22.805302
061702;2;51.169236,22.687918 51.284745,22.864832;51.2269905,22.776375
081003;2;51.642743,15.288391 51.781668,15.519365;51.7122055,15.403878
081002;1;51.574961,15.260251 51.655008,15.371084;51.6149845,15.3156675
081004;3;51.429797,15.065788 51.614671,15.296710;51.522234,15.181249
081006;2;51.552134,15.611901 51.672189,15.857189;51.6121615,15.734545
080904;3;52.001317,15.734818 52.128796,16.005527;52.0650565,15.8701725
080903;3;51.949560,15.256627 52.131314,15.537299;52.040437,15.396963
080905;3;51.736514,15.077711 51.899983,15.468341;51.8182485,15.273026
080908;2;51.970385,15.633465 52.069813,15.799917;52.020099,15.716691
080906;3;52.006263,15.403577 52.182680,15.747460;52.0944715,15.5755185
080907;2;51.833425,15.232134 51.986173,15.476628;51.909799,15.354381
080909;2;51.892049,15.603532 52.006930,15.795184;51.9494895,15.699358
081009;2;51.408415,15.232969 51.760931,15.519434;51.584673,15.3762015
081007;3;51.445674,15.476992 51.694339,15.714032;51.5700065,15.595512
081008;2;51.481710,14.987576 51.561679,15.169602;51.5216945,15.078589
080702;3;52.447158,15.135117 52.590066,15.310233;52.518612,15.222675
080102;2;52.617229,15.004455 52.758045,15.190974;52.687637,15.0977145
081001;1;51.425389,15.047322 51.481963,15.124071;51.453676,15.0856965
080105;2;52.727857,14.810218 52.889669,15.149209;52.808763,14.9797135
081005;3;51.471052,15.389567 51.646823,15.600178;51.5589375,15.4948725
080704;3;52.341568,14.969338 52.532195,15.450605;52.4368815,15.2099715
080104;2;52.759025,15.067061 52.905105,15.446457;52.832065,15.256759
080705;3;52.206763,14.868632 52.409615,15.242660;52.308189,15.055646
080106;2;52.693347,15.276002 52.818170,15.605472;52.7557585,15.440737
080801;2;52.213624,15.304745 52.375885,15.501787;52.2947545,15.403266
080107;3;52.594154,14.667270 52.784522,15.052697;52.689338,14.8599835
080803;2;52.095019,15.291706 52.224295,15.582295;52.159657,15.4370005
080205;2;51.785026,14.590146 52.081081,14.962716;51.9330535,14.776431
080802;2;52.194590,15.089010 52.378690,15.408069;52.28664,15.2485395
080201;1;51.918394,14.704880 51.996127,14.793220;51.9572605,14.74905
080804;2;52.161022,15.605051 52.323437,15.782266;52.2422295,15.6936585
080302;3;52.342141,15.395796 52.536830,15.768649;52.4394855,15.5822225
080203;2;52.092273,15.008965 52.234736,15.314395;52.1635045,15.16168
080805;3;52.126586,15.394454 52.359113,15.662390;52.2428495,15.528422
080304;2;52.401186,15.645575 52.567918,15.898168;52.484552,15.7718715
080202;2;51.860865,14.917668 52.010794,15.200062;51.9358295,15.058865
080806;3;52.191808,15.711160 52.320482,15.881414;52.256145,15.796287
080305;3;52.556003,15.363829 52.714117,15.813962;52.63506,15.5888955
080204;2;51.892204,15.052742 52.065363,15.293292;51.9787835,15.173017
080902;2;51.885797,15.737082 52.030859,15.933578;51.958328,15.83533
080901;3;52.092426,15.719701 52.215122,15.883561;52.153774,15.801631
080306;3;52.283694,15.618519 52.437294,15.900608;52.360494,15.7595635
080207;2;52.028523,14.789871 52.218880,15.059446;52.1237015,14.9246585
080402;3;51.668587,15.741561 51.766432,15.871824;51.7175095,15.8066925
080206;3;51.968317,14.901169 52.140200,15.295965;52.0542585,15.098567
080501;3;52.070025,14.679138 52.307222,14.917147;52.1886235,14.7981425
080403;2;51.902618,15.843435 52.039448,16.011745;51.971033,15.92759
080301;2;52.415749,15.265066 52.621393,15.560933;52.518571,15.4129995
080502;2;52.422423,14.603923 52.575708,14.817711;52.4990655,14.710817
080408;2;51.718946,15.768720 51.811913,16.008571;51.7654295,15.8886455
080303;2;52.520144,15.537215 52.642055,15.836004;52.5810995,15.6866095
080504;3;52.288454,14.666280 52.452854,14.920477;52.370654,14.7933785
080404;3;51.683273,15.442233 51.846363,15.720581;51.764818,15.581407
080505;3;52.255745,14.534207 52.464590,14.741374;52.3601675,14.6377905
080405;2;51.733015,15.578151 51.921705,15.992740;51.82736,15.7854455
080601;3;52.892594,15.607236 53.123972,15.998250;53.008283,15.802743
080406;3;51.645001,15.588034 51.734667,15.819623;51.689834,15.7038285
081203;3;51.731555,16.162455 51.901855,16.416840;51.816705,16.2896475
080603;2;52.786793,15.602374 52.896993,15.780255;52.841893,15.6913145
080407;2;51.808742,15.566766 51.905117,15.788731;51.8569295,15.6777485
086201;1;51.820346,15.390737 52.035079,15.652424;51.9277125,15.5215805
080602;3;52.700437,15.577971 52.957083,15.979758;52.82876,15.7788645
080401;1;51.765483,15.677300 51.841325,15.746403;51.803404,15.7118515
086101;1;52.684163,15.123392 52.776949,15.310920;52.730556,15.217156
081107;2;51.363405,14.784004 51.574792,15.088864;51.4690985,14.936434
080605;2;52.751268,15.445945 52.853856,15.693917;52.802562,15.569931
080503;3;52.370380,14.746988 52.529983,15.044048;52.4501815,14.895518
080103;2;52.584398,15.157721 52.734960,15.421386;52.659679,15.2895535
081105;2;51.568816,14.911837 51.694978,15.070781;51.631897,14.991309
080604;3;52.794377,15.282887 53.014461,15.689067;52.904419,15.485977
080101;1;52.572151,14.564034 52.660408,14.716271;52.6162795,14.6401525
081104;3;51.680208,14.914465 51.846499,15.170312;51.7633535,15.0423885
080703;2;52.507158,14.647312 52.622271,14.965402;52.5647145,14.806357
081106;3;51.740148,14.851649 51.893732,15.106396;51.81694,14.9790225
080701;2;52.509465,14.930513 52.652082,15.214116;52.5807735,15.0723145
081109;2;51.635616,14.807411 51.753027,14.976624;51.6943215,14.8920175
081108;2;51.520330,14.728265 51.680827,14.945320;51.6005785,14.8367925
081110;2;51.545285,14.946370 51.784215,15.271967;51.66475,15.1091685
081201;3;51.758335,15.825270 51.996827,16.201616;51.877581,16.013443
081202;3;51.663415,16.139954 51.798973,16.369315;51.731194,16.2546345
081103;2;51.654528,14.649871 51.881686,14.917290;51.768107,14.7835805
081101;1;51.517644,14.711243 51.576920,14.801305;51.547282,14.756274
081102;1;51.584803,15.082863 51.664376,15.208076;51.6245895,15.1454695
102004;3;51.771218,19.138557 51.884128,19.357273;51.827673,19.247915
102006;2;51.934543,19.172733 52.036402,19.416995;51.9854725,19.294864
102009;2;51.848681,19.234724 52.022572,19.537808;51.9356265,19.386266
102008;3;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305
102103;2;51.833342,19.675740 51.951981,19.873834;51.8926615,19.774787
102101;1;51.776938,19.708107 51.824384,19.790762;51.800661,19.7494345
102102;2;51.738004,19.644609 51.897372,19.834902;51.817688,19.7397555
102105;2;51.770489,19.787952 51.895229,19.949799;51.832859,19.8688755
102104;2;51.729479,19.875471 51.850970,20.016240;51.7902245,19.9458555
101611;2;51.656535,19.963758 51.773468,20.152717;51.7150015,20.0582375
101603;2;51.654536,19.912923 51.728151,20.068038;51.6913435,19.9904805
101601;1;51.480162,19.965203 51.561034,20.086696;51.520598,20.0259495
101602;2;51.530511,19.708049 51.634959,19.841657;51.582735,19.774853
101607;2;51.591544,19.720808 51.710237,19.882663;51.6508905,19.8017355
101605;2;51.462369,20.115265 51.589826,20.310442;51.5260975,20.2128535
101604;2;51.579101,20.068055 51.724381,20.287645;51.651741,20.17785
101606;2;51.532370,19.942232 51.662680,20.155724;51.597525,20.048978
101211;3;50.962420,19.850733 51.202137,20.056236;51.0822785,19.9534845
101608;2;51.552748,20.197378 51.660047,20.424890;51.6063975,20.311134
101214;2;50.843277,19.557725 50.990855,19.848047;50.917066,19.702886
101610;2;51.544468,19.822107 51.664441,19.994696;51.6044545,19.9084015
101213;2;50.941734,19.680101 51.084379,19.873566;51.0130565,19.7768335
101707;2;51.054481,18.537747 51.185235,18.785540;51.119858,18.6616435
101301;1;51.731809,20.205329 51.784755,20.304748;51.758282,20.2550385
101703;2;51.301853,18.705897 51.410696,18.913181;51.3562745,18.809539
101303;2;51.632058,20.264582 51.764452,20.442283;51.698255,20.3534325
101701;2;51.198777,18.356214 51.325475,18.514584;51.262126,18.435399
101302;3;51.741141,20.316459 51.892351,20.619456;51.816746,20.4679575
101702;2;51.242736,18.479790 51.336640,18.643856;51.289688,18.561823
101305;2;51.685972,20.320685 51.780738,20.463395;51.733355,20.39204
101705;2;51.201087,18.677866 51.325252,18.888492;51.2631695,18.783179
101304;2;51.700648,20.111504 51.850915,20.349021;51.7757815,20.2302625
101704;2;51.090712,18.422152 51.216352,18.548250;51.153532,18.485201
101306;2;51.657167,20.436321 51.761207,20.659258;51.709187,20.5477895
101406;2;51.724312,18.402742 51.854383,18.613048;51.7893475,18.507895
101402;3;51.541561,18.349145 51.741505,18.551363;51.641533,18.450254
101401;1;51.562187,18.651831 51.641318,18.824931;51.6017525,18.738381
101404;2;51.427314,18.503282 51.567189,18.738339;51.4972515,18.6208105
101403;2;51.449137,18.358481 51.558003,18.549896;51.50357,18.4541885
100206;2;52.132367,19.201581 52.296666,19.457811;52.2145165,19.329696
101011;3;51.413335,19.720724 51.578959,19.962156;51.496147,19.84144
100205;2;52.108712,19.351588 52.230516,19.531095;52.169614,19.4413415
101007;2;51.107001,19.815918 51.266280,19.923937;51.1866405,19.8699275
100207;2;52.283369,19.207129 52.394005,19.328750;52.338687,19.2679395
101003;2;51.148304,19.520998 51.263847,19.700716;51.2060755,19.610857
101001;2;51.180163,19.892270 51.358062,20.067431;51.2691125,19.9798505
100210;2;52.261936,19.305179 52.351591,19.519894;52.3067635,19.4125365
101002;2;51.540111,19.594590 51.649544,19.734051;51.5948275,19.6643205
100607;3;51.660336,19.669950 51.783146,19.983019;51.721741,19.8264845
100209;2;52.225915,19.439755 52.304886,19.616033;52.2654005,19.527894
101005;2;51.137003,19.667364 51.265273,19.852454;51.201138,19.759909
100610;3;51.617425,19.418932 51.698442,19.600143;51.6579335,19.5095375
100211;3;52.189453,19.534856 52.278686,19.763976;52.2340695,19.649416
101004;2;51.413014,19.411758 51.543852,19.668674;51.478433,19.540216
100611;3;51.507711,19.442878 51.645399,19.634155;51.576555,19.5385165
100301;2;51.475401,19.077659 51.567258,19.265952;51.5213295,19.1718055
101006;2;51.442266,19.570581 51.564883,19.776404;51.5035745,19.6734925
100701;2;51.236632,20.185538 51.350812,20.414380;51.293722,20.299959
100304;2;51.339584,18.803007 51.489124,19.081094;51.414354,18.9420505
101009;3;51.263444,19.696422 51.440385,19.926581;51.3519145,19.8115015
100705;2;51.261665,19.982361 51.351020,20.202145;51.3063425,20.092253
100302;3;51.546688,19.007974 51.688970,19.273409;51.617829,19.1406915
101008;2;51.234408,19.527039 51.375137,19.838179;51.3047725,19.682609
100703;2;51.335780,19.854626 51.441481,20.096289;51.3886305,19.9754575
100303;2;51.439931,18.940276 51.582812,19.135035;51.5113715,19.0376555
101010;2;51.259721,19.459858 51.437321,19.673620;51.348521,19.566739
100702;3;51.396691,20.318049 51.509786,20.534005;51.4532385,20.426027
100305;2;51.657050,19.038668 51.778103,19.226088;51.7175765,19.132378
101103;3;51.810812,18.736758 51.963409,19.066391;51.8871105,18.9015745
100704;3;51.325630,20.171751 51.505558,20.444377;51.415594,20.308064
100402;2;52.100522,19.056325 52.206546,19.227254;52.153534,19.1417895
101105;2;51.923927,18.840894 52.025305,19.151716;51.974616,18.996305
100707;2;51.327887,20.055240 51.470910,20.227439;51.3993985,20.1413395
100401;1;52.037632,19.173715 52.071150,19.224506;52.054391,19.1991105
100706;2;51.451016,20.245281 51.601230,20.468390;51.526123,20.3568355
100406;2;51.996583,19.362212 52.132224,19.562158;52.0644035,19.462185
100708;2;51.183949,19.992060 51.309703,20.264127;51.246826,20.1280935
100404;2;52.073686,18.908263 52.215361,19.115266;52.1445235,19.0117645
106101;1;51.687041,19.320876 51.859919,19.639943;51.77348,19.4804095
101706;2;51.284574,18.513348 51.383625,18.757828;51.3340995,18.635588
101708;2;51.114233,18.347486 51.224501,18.450462;51.169367,18.398974
101709;3;51.158191,18.427565 51.286698,18.726639;51.2224445,18.577102
101710;2;51.101454,18.631932 51.231206,18.833873;51.16633,18.7329025
101902;3;51.652446,18.801564 51.773401,19.107897;51.7129235,18.9547305
101901;1;51.560953,18.903643 51.629502,19.025922;51.5952275,18.9647825
101903;2;51.467342,18.816714 51.582536,19.013987;51.524939,18.9153505
101802;2;51.205520,18.233269 51.297876,18.380848;51.251698,18.3070585
101801;2;51.154531,18.162029 51.268287,18.293410;51.211409,18.2277195
101806;2;51.266350,18.228732 51.369470,18.452134;51.31791,18.340433
101804;2;51.296655,18.363533 51.399444,18.562551;51.3480495,18.463042
101803;2;51.313702,18.171313 51.454342,18.387583;51.384022,18.279448
101805;2;51.133954,18.202966 51.214643,18.361714;51.1742985,18.28234
101405;2;51.357354,18.675346 51.516392,18.878527;51.436873,18.7769365
101407;2;51.388497,18.326310 51.476857,18.542278;51.432677,18.434294
101408;2;51.495571,18.637610 51.673766,18.879848;51.5846685,18.758729
101409;3;51.633397,18.493276 51.834808,18.841532;51.7341025,18.667404
101410;2;51.533932,18.500704 51.666269,18.677740;51.6001005,18.589222
101411;3;51.351662,18.499978 51.478895,18.738829;51.4152785,18.6194035
101505;2;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565
101501;2;52.016335,20.092778 52.151296,20.270584;52.0838155,20.181681
101503;2;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795
101502;2;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172
101504;2;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704
101509;2;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685
101507;2;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585
101506;2;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025
101508;2;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772
101104;3;51.917835,18.714962 52.076454,18.885790;51.9971445,18.800376
101106;2;51.720262,18.760792 51.852753,19.055969;51.7865075,18.9083805
101101;2;51.819137,19.019551 51.959065,19.191203;51.889101,19.105377
100403;2;52.017005,19.212277 52.113441,19.420127;52.065223,19.316202
101102;2;51.734737,18.651433 51.898962,18.854022;51.8168495,18.7527275
100405;2;52.000669,19.031213 52.134336,19.272403;52.0675025,19.151808
101204;2;51.104288,19.423834 51.200439,19.594530;51.1523635,19.509182
100408;2;52.089698,19.208410 52.190940,19.358040;52.140319,19.283225
100407;2;52.001435,18.828302 52.087528,19.046781;52.0444815,18.9375415
101201;1;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784
100509;2;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435
101203;2;50.878931,19.378758 51.014024,19.584773;50.9464775,19.4817655
100501;1;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704
101210;2;51.046526,19.655933 51.189532,19.880077;51.118029,19.768005
100505;2;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596
101206;2;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185
100503;2;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265
101205;3;51.167264,19.384317 51.286072,19.557056;51.226668,19.4706865
100502;2;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363
101208;2;51.094172,19.233461 51.190821,19.412657;51.1424965,19.323059
100504;2;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706
106201;1;51.372969,19.622889 51.452936,19.810361;51.4129525,19.716625
101207;2;51.043364,19.514760 51.157820,19.713239;51.100592,19.6139995
106301;1;51.922474,20.104903 51.993672,20.233333;51.958073,20.169118
101209;2;51.031093,19.204542 51.121784,19.421663;51.0764385,19.3131025
100506;2;52.141751,19.939216 52.268308,20.090903;52.2050295,20.0150595
100508;2;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675
100101;1;51.315817,19.306526 51.393335,19.418806;51.354576,19.362666
100510;2;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315
100103;2;51.398647,19.312743 51.534175,19.490730;51.466411,19.4017365
100804;2;51.553419,19.147946 51.684073,19.326754;51.618746,19.23735
100608;2;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365
100102;2;51.236456,19.245679 51.437848,19.498772;51.337152,19.3722255
100802;1;51.632281,19.274193 51.699201,19.435475;51.665741,19.354834
100603;2;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455
100104;2;51.181923,19.179872 51.299409,19.413782;51.240666,19.296827
100801;1;51.730287,19.245747 51.784073,19.374621;51.75718,19.310184
100602;2;51.685882,19.597664 51.757084,19.691161;51.721483,19.6444125
100107;2;51.235675,19.042266 51.405216,19.206920;51.3204455,19.124593
100803;2;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295
100106;2;51.268741,18.855770 51.366488,19.077459;51.3176145,18.9666145
100806;2;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555
100108;3;51.391640,19.056016 51.555608,19.335779;51.473624,19.1958975
100805;2;51.652384,19.372075 51.697409,19.437921;51.6748965,19.404998
100208;2;52.260645,19.124393 52.360305,19.301479;52.310475,19.212936
100202;2;52.115304,19.497907 52.235748,19.717279;52.175526,19.607593
100905;2;51.157531,18.990279 51.300006,19.145643;51.2287685,19.067961
100201;1;52.190966,19.289406 52.253597,19.452855;52.2222815,19.3711305
100907;2;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705
100204;3;52.187845,19.070930 52.284734,19.283038;52.2362895,19.176984
100908;2;51.154388,19.065338 51.260449,19.312515;51.2074185,19.1889265
100203;2;52.269367,19.030149 52.347929,19.145088;52.308648,19.0876185
100902;2;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924
100901;3;51.058980,18.740633 51.169831,18.961493;51.1144055,18.851063
100904;3;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675
100903;2;50.982418,19.016776 51.120526,19.257010;51.051472,19.136893
100906;2;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135
101807;3;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538
102007;2;51.877376,19.120454 52.012487,19.311274;51.9449315,19.215864
102001;1;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174
102003;1;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375
102002;1;51.932341,19.252448 51.985049,19.341010;51.958695,19.296729
102005;2;51.942259,19.524070 52.036976,19.840028;51.9896175,19.682049
121809;3;49.795724,19.411902 49.924622,19.648210;49.860173,19.530056
121803;3;49.843353,19.577747 49.934304,19.773192;49.8888285,19.6754695
121801;3;49.761679,19.285850 49.884058,19.446122;49.8228685,19.365986
121802;2;49.912820,19.535711 50.000425,19.733062;49.9566225,19.6343865
121807;2;49.792719,19.551100 49.869465,19.707210;49.831092,19.629155
121805;2;49.786186,19.461177 49.848640,19.594086;49.817413,19.5276315
121804;2;49.803599,19.683770 49.902247,19.811586;49.852923,19.747678
121806;2;49.944265,19.464435 50.027096,19.585516;49.9856805,19.5249755
121808;2;49.892169,19.445185 49.958323,19.588857;49.925246,19.517021
121810;2;49.861355,19.298353 49.964335,19.452302;49.912845,19.3753275
126301;1;49.985543,20.893647 50.066448,21.062343;50.0259955,20.977995
121904;3;49.971312,20.114818 50.100195,20.369964;50.0357535,20.242391
