teryt;gmina;urzad;kto;typk;bb;center;tura;nrk;wiek;edu;glosy;glosyp;glosyn;wynik;areaH;areaKm;popThs;popKm;type
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;BIELAŃCZYK Katarzyna Edyta;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;1;44;średnie;135;4.96;-1;Nie;7544;75;6681;89;gm
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;BOGUSZ Łukasz Grzegorz;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;2;37;średnie;82;3.01;-1;Nie;7544;75;6681;89;gm
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;GRAF Mirosław;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;3;59;wyższe;1265;46.51;-1;Druga tura;7544;75;6681;89;gm
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;RZEPCZYŃSKI Ryszard Bogusław;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;4;52;wyższe;604;22.21;-1;Druga tura;7544;75;6681;89;gm
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;SOKOLIŃSKI Grzegorz Janusz;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;5;58;wyższe;472;17.35;-1;Nie;7544;75;6681;89;gm
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;WONDOŁOWSKA-GRABOWSKA Anna;Komitet wyborczy wyborców;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;R1;6;56;wyższe;162;5.96;-1;Nie;7544;75;6681;89;gm
020605;gm. Janowice Wielkie;Wójt Gminy Janowice Wielkie;KOWALSKI Kamil Daniel;Komitet wyborczy wyborców;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705;R1;1;44;wyższe;984;55.10;-1;Tak;5783;57;4320;75;gw
020605;gm. Janowice Wielkie;Wójt Gminy Janowice Wielkie;PAWŁOWICZ Anita Maria;Komitet wyborczy wyborców;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705;R1;2;45;wyższe;802;44.90;-1;Nie;5783;57;4320;75;gw
020606;gm. Jeżów Sudecki;Wójt Gminy Jeżów Sudecki;DUDEK Edward Jan;Komitet wyborczy wyborców;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;R1;1;53;wyższe;1702;59.26;-1;Tak;9428;94;7283;77;gw
020606;gm. Jeżów Sudecki;Wójt Gminy Jeżów Sudecki;ROSÓŁ Paweł Tadeusz;PO;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;R1;2;39;średnie;1170;40.74;-1;Nie;9428;94;7283;77;gw
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;NIDZGORSKA Ewa Romualda;Komitet wyborczy wyborców;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;R1;1;51;wyższe;1017;25.24;-1;Nie;8798;88;10218;116;gw
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;NYC Piotr;Komitet wyborczy wyborców;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;R1;2;54;wyższe;445;11.04;-1;Nie;8798;88;10218;116;gw
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;ORMAN Michał;Komitet wyborczy wyborców;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;R1;3;44;wyższe;2151;53.37;-1;Tak;8798;88;10218;116;gw
020607;gm. Mysłakowice;Wójt Gminy Mysłakowice;WATEHA Jerzy Witold;Komitet wyborczy wyborców;50.792656,15.744178 50.902622,15.927704;50.847639,15.835941;R1;4;59;wyższe;417;10.35;-1;Nie;8798;88;10218;116;gw
