teryt;name;center;wdistKm
143801;Żyrardów;52.0555485,20.4405745;44
143802;Mszczonów;51.93317,20.545041;45
143805;Wiskitki;52.0778865,20.3488115;49
143804;Radziejowice;52.0153875,20.516287;41
146101;Ostrołęka;53.07785,21.5890585;105
146201;Płock;52.5354155,19.7150025;97
146301;Radom (a);51.417238,21.156178;87
146401;Siedlce;52.1617485,22.27579;85
146501;Mst Warszawa (a);52.233002,21.0614195;4
141108;Rzewnie;52.8255415,21.363501;73
141110;Szelków;52.8161975,21.1702585;69
141210;Latowicz;52.0288095,21.770382;54
141206;Dobre;52.327684,21.686464;47
141204;Cegłów;52.120276,21.7255945;48
141205;Dębe Wielkie;52.205387,21.4546095;29
141208;Jakubów;52.239562,21.6808945;44
141207;Halinów;52.221353,21.365032;23
141209;Kałuszyn;52.230795,21.8406305;55
141214;Stanisławów;52.2866325,21.5062975;34
141212;Mrozy;52.120287,21.8712075;58
141211;Mińsk Mazowiecki;52.175906,21.582208;38
141213;Siennica;52.068864,21.611217;42
141215;Sulejówek;52.244468,21.281617;18
140606;Jasieniec;51.7941785,20.991936;45
140605;Grójec;51.8782145,20.889154;37
140608;Nowe Miasto nad Pilicą;51.6267945,20.523941;73
140609;Pniewy;51.903099,20.737159;39
140611;Warka;51.7908725,21.1314355;46
140701;Garbatka-Letnisko;51.4870175,21.6497;90
140707;Sieciechów;51.535949,21.7307125;88
140703;Gniewoszów;51.4766875,21.7948015;96
160102;Skarbimierz;50.864704,17.4918235;38
160101;Brzeg;50.858962,17.462856;39
161102;Jemielnica;50.56831,18.3971865;35
161103;Kolonowskie;50.661504,18.364475;30
161104;Leśnica;50.4340315,18.215348;33
161106;Ujazd;50.4200055,18.3163005;39
161107;Zawadzkie;50.587302,18.5044095;41
166101;Opole;50.6788155,17.9061435;2
160103;Grodków;50.6868675,17.358895;41
160105;Lubsza;50.923716,17.560565;39
160104;Lewin Brzeski;50.753502,17.638326;23
160106;Olszanka;50.773954,17.446073;36
160912;Tułowice;50.594322,17.691896;19
160908;Ozimek;50.694346,18.226523;21
160909;Popielów;50.844236,17.7374035;24
160911;Tarnów Opolski;50.584501,18.056092;13
160913;Turawa;50.7593435,18.1111025;16
161002;Głogówek;50.345715,17.875218;36
161001;Biała;50.4479735,17.6828025;30
161004;Prudnik;50.3418465,17.5288855;46
160802;Gorzów Śląski;51.037564,18.4016445;53
161003;Lubrza;50.3197295,17.6622125;43
160801;Dobrodzień;50.7115265,18.447565;37
160803;Olesno;50.8767055,18.4923805;46
161101;Izbicko;50.5711405,18.159873;19
160806;Rudniki;51.02306,18.606476;62
160804;Praszka;51.0739325,18.491702;60
160805;Radłów;50.9481815,18.528236;52
160807;Zębowice;50.7715395,18.3338705;31
160906;Murów;50.8836885,18.002459;25
160301;Kędzierzyn-Koźle;50.3454485,18.2455485;42
160305;Polska Cerekiew;50.2175895,18.118529;52
160303;Cisek;50.2549325,18.208577;50
160905;Łubniany;50.783899,18.0193165;14
160302;Bierawa;50.2803245,18.3019905;50
160907;Niemodlin;50.6549095,17.5931935;24
160304;Pawłowiczki;50.248503,18.0125775;47
160306;Reńska Wieś;50.341658,18.103654;38
160501;Gogolin;50.4993205,18.031501;20
160202;Branice;50.056464,17.8141665;68
160603;Pokój;50.913968,17.873558;28
160505;Zdzieszowice;50.4308525,18.092161;29
160201;Baborów;50.154349,17.9790355;57
160602;Namysłów;51.08396,17.698537;49
160503;Strzeleczki;50.4633965,17.846616;23
160203;Głubczyce;50.210793,17.762454;52
160604;Świerczów;50.9602535,17.785459;34
160502;Krapkowice;50.4626285,17.95668;23
160204;Kietrz;50.0602985,17.9480595;67
160706;Otmuchów;50.442151,17.1729915;59
160702;Kamiennik;50.565789,17.1529505;56
160605;Wilków;51.1288035,17.6426645;55
160701;Głuchołazy;50.331513,17.368549;55
160601;Domaszowice;51.0463645,17.8622155;43
160704;Łambinowice;50.534411,17.5450905;31
160703;Korfantów;50.4849855,17.609527;31
160705;Nysa;50.45734,17.3496275;47
160708;Pakosławice;50.547006,17.327309;45
160707;Paczków;50.4453425,17.034398;68
160709;Skoroszyce;50.608407,17.375105;40
160901;Chrząstowice;50.6567825,18.0914275;11
160402;Kluczbork;50.9772075,18.2210235;40
160401;Byczyna;51.106103,18.2080285;53
160403;Lasowice Wielkie;50.8811935,18.2262335;32
160404;Wołczyn;51.041366,18.057016;43
160910;Prószków;50.572102,17.860219;12
160904;Komprachcice;50.6265225,17.8061375;10
160903;Dobrzeń Wielki;50.7883665,17.8487835;15
160902;Dąbrowa;50.703796,17.7690775;12
181301;Bircza;49.6802175,22.419331;50
181302;Dubiecko;49.8117005,22.3826835;37
181905;Wiśniowa;49.874301,21.6361215;34
181310;Żurawica;49.8479195,22.7581735;58
182002;Gorzyce;50.668672,21.8281515;70
181306;Medyka (c);49.801929,22.9110505;70
182001;Baranów Sandomierski;50.4534415,21.5863235;54
181304;Krasiczyn;49.753233,22.6354035;55
182003;Grębów;50.5494675,21.850978;57
181305;Krzywcza;49.7850965,22.51252;46
182004;Nowa Dęba;50.463348,21.739296;50
182102;Cisna;49.181312,22.3875765;100
181307;Orły;49.879834,22.804027;59
182101;Baligród;49.3226495,22.274607;83
181309;Stubno;49.8952715,22.9905185;72
182104;Olszanica;49.489548,22.447949;70
181405;Kańczuga;49.9486915,22.398229;30
182103;Lesko;49.464784,22.346724;69
181403;Gać;50.0258705,22.404839;28
182105;Solina;49.3558255,22.415009;82
181401;Przeworsk;50.054514,22.501156;35
186101;Krosno;49.6892935,21.753032;44
181402;Adamówka;50.256613,22.7074595;54
186301;Rzeszów (a);50.0058865,21.976327;6
181404;Jawornik Polski;49.9154015,22.3063245;26
186201;Przemyśl (c);49.7834985,22.784265;62
181407;Sieniawa;50.1863805,22.6651215;49
181004;Łańcut;50.0320975,22.2532415;17
181007;Żołynia;50.159908,22.316673;25
181006;Rakszawa;50.1837195,22.223017;21
181103;Czermin;50.320679,21.2910135;60
181102;Borowa;50.385788,21.320772;62
181104;Gawłuszowice;50.4034865,21.397385;59
181106;Padew Narodowa;50.4365365,21.4982265;57
181108;Radomyśl Wielki;50.1940835,21.2687735;56
180710;Jaśliska;49.4178695,21.8520365;71
181107;Przecław;50.215204,21.4835645;42
180802;Grodzisko Dolne;50.164962,22.444996;33
180801;Leżajsk;50.2655885,22.418616;37
180803;Kuryłówka;50.328485,22.5467065;49
180805;Nowa Sarzyna;50.3246255,22.2956855;36
180906;Oleszyce;50.1428035,22.9730745;69
180902;Cieszanów;50.2694975,23.1558755;85
180901;Lubaczów;50.1572995,23.1202715;80
180904;Lubaczów (c);50.137632,23.192945;84
180903;Horyniec-Zdrój (c);50.2258915,23.399827;101
180905;Narol;50.3400975,23.2800685;96
180908;Wielkie Oczy;50.042837,23.126625;79
180410;Roźwienica;49.910728,22.580474;43
180606;Dzikowiec;50.32942,21.8919325;32
180602;Kolbuszowa;50.2177505,21.8085255;24
180601;Cmolas;50.3266425,21.703592;38
180604;Niwiska;50.23907,21.630364;35
180603;Majdan Królewski;50.407489,21.7700615;43
180605;Raniżów;50.2821845,21.9942015;26
180501;Jasło;49.74701,21.471691;52
180503;Dębowiec;49.638764,21.424967;62
180502;Brzyska;49.8200865,21.3590445;54
180507;Nowy Żmigród;49.6006845,21.5280685;61
180505;Kołaczyce;49.8074795,21.484612;47
180506;Krempna;49.4940905,21.486317;73
180302;Brzostek;49.8918385,21.4250685;46
180307;Żyraków;50.108284,21.3890985;45
180306;Pilzno;49.9755065,21.286662;53
180409;Rokietnica;49.8842085,22.6327575;48
180403;Chłopice;49.9390835,22.7060775;51
180401;Jarosław;50.040045,22.670544;47
180402;Radymno;49.953989,22.829705;59
180405;Laszki;50.0209255,22.92025;65
180406;Pawłosiów;50.006452,22.624674;44
180407;Pruchnik;49.8976465,22.489882;38
180408;Radymno (c);49.946607,22.9517835;68
180411;Wiązownica;50.1174195,22.7971895;56
181701;Sanok;49.5565395,22.2155815;57
181406;Przeworsk;50.0590545,22.489682;34
181409;Zarzecze;49.991423,22.524189;37
181703;Bukowsko;49.4692535,22.044371;65
181408;Tryńcza;50.1394965,22.516716;37
181705;Sanok;49.580561,22.2106415;54
181505;Wielopole Skrzyńskie;49.9438455,21.598107;32
181708;Zarszyn;49.562562,22.010431;54
181501;Iwierzyce;50.022958,21.754984;19
181707;Zagórz;49.4249,22.2085145;71
181503;Ropczyce;50.021485,21.571864;32
181803;Pysznica;50.5987285,22.154487;62
181502;Ostrów;50.143431,21.606021;31
181801;Stalowa Wola;50.5664925,22.017342;57
181504;Sędziszów Małopolski;50.0749485,21.717477;22
181802;Bojanów;50.444793,21.9692585;44
181609;Krasne;50.049754,22.1108655;7
181805;Zaklików;50.7358785,22.0786705;76
181603;Boguchwała;49.994801,21.8561615;13
181804;Radomyśl nad Sanem;50.711714,21.961522;74
181601;Dynów;49.813805,22.234035;31
181806;Zaleszany;50.6436545,21.950736;66
181602;Błażowa;49.8823075,22.0762985;19
181902;Frysztak;49.8409315,21.5689815;40
181901;Czudec;49.934188,21.803475;20
181903;Niebylec;49.849797,21.9312255;23
181904;Strzyżów;49.866555,21.7803155;26
181110;Wadowice Górne;50.2673595,21.2607645;59
181109;Tuszów Narodowy;50.370755,21.520392;50
181201;Harasiuki;50.494607,22.468006;59
180907;Stary Dzików;50.2247845,22.9177345;67
181203;Jeżowe;50.3596275,22.120603;35
181005;Markowa;49.989437,22.2824355;20
181202;Jarocin;50.5718045,22.3112865;62
181001;Łańcut;50.069541,22.2245275;15
181003;Czarna;50.113171,22.171932;13
181204;Krzeszów;50.387676,22.377832;46
181002;Białobrzegi;50.118508,22.3415525;24
181205;Nisko;50.4778895,22.1611595;49
181207;Ulanów;50.4976345,22.3037605;54
181206;Rudnik nad Sanem;50.443247,22.241719;47
180509;Skołyszyn;49.7517205,21.3218775;60
180508;Osiek Jasielski;49.6182765,21.45143;63
180511;Tarnowiec;49.696446,21.5617545;51
180703;Iwonicz-Zdrój;49.5663425,21.784334;56
180701;Chorkówka;49.6343775,21.6521385;53
180702;Dukla;49.5102225,21.6810695;65
180705;Korczyna;49.73039,21.8260865;38
180704;Jedlicze;49.722187,21.642486;45
180707;Miejsce Piastowe;49.631596,21.7859265;49
180706;Krościenko Wyżne;49.676058,21.828791;44
180709;Wojaszówka;49.781491,21.70263;37
180708;Rymanów;49.552017,21.871401;56
186401;Tarnobrzeg;50.5836065,21.6988305;63
180206;Nozdrzec;49.771769,22.1612895;33
180202;Domaradz;49.7924215,21.9849625;29
180201;Brzozów;49.6858385,22.0233185;40
180204;Haczów;49.668907,21.939798;43
180203;Dydnia;49.6816645,22.202254;43
180205;Jasienica Rosielna;49.7427805,21.9406555;35
180105;Lutowiska;49.151608,22.683697;111
180103;Czarna;49.3009535,22.6001465;93
180108;Ustrzyki Dolne;49.498853,22.5709345;73
180305;Jodłowa;49.8839305,21.288169;55
180301;Dębica;50.045951,21.4159945;43
180303;Czarna;50.0827865,21.2609635;54
181605;Dynów;49.8174385,22.216286;30
181604;Chmielnik;49.972643,22.151869;13
181607;Hyżne;49.903692,22.1893635;20
181606;Głogów Małopolski;50.1578265,21.960326;13
181608;Kamień;50.32417,22.105311;31
181611;Sokołów Małopolski;50.234996,22.134233;22
181610;Lubenia;49.9185635,21.970006;15
181613;Trzebownisko;50.1240825,22.0774945;9
181614;Tyczyn;49.9615145,22.0564475;10
181706;Tyrawa Wołoska;49.588248,22.3559065;57
181702;Besko;49.591119,21.9514085;51
181303;Fredropol;49.650839,22.696487;66
181612;Świlcza;50.0881715,21.876246;11
181704;Komańcza;49.31847,22.0880755;82
201108;Sokółka;53.3723715,23.516527;35
201110;Szudziałowo;53.2891005,23.604241;34
201206;Rutka-Tartak;54.3253645,22.9634745;133
201303;Czyżew;52.824072,22.357221;64
201202;Filipów;54.186619,22.6424765;122
201306;Kulesze Kościelne;53.0084225,22.521412;45
201201;Bakałarzewo;54.089653,22.703266;111
201305;Kobylin-Borzymy;53.081887,22.6857635;33
201204;Przerośl;54.2352825,22.692434;126
201307;Nowe Piekuty;52.8736195,22.7018455;42
201203;Jeleniewo;54.215088,22.8921615;122
201309;Szepietowo;52.8503025,22.559073;51
201009;Siemiatycze;52.44916,22.8684395;79
201205;Raczki;53.991886,22.791915;99
201310;Wysokie Mazowieckie;52.924191,22.516952;49
206301;Suwałki;54.102717,22.9292145;109
201208;Szypliszki;54.22899,23.0605615;122
200901;Sejny;54.1105535,23.347777;109
201207;Suwałki;54.0939095,22.962453;108
201402;Kołaki Kościelne;53.0118805,22.3644525;55
200904;Puńsk;54.233436,23.2339635;122
201209;Wiżajny;54.3361275,22.8679485;135
201401;Zambrów;52.976018,22.247289;64
200903;Krasnopol;54.0939865,23.1934015;107
201308;Sokoły;53.010281,22.735477;32
201404;Szumowo;52.913945,22.0968245;76
200905;Sejny;54.121211,23.3966015;111
201302;Ciechanowiec;52.662454,22.563676;66
201403;Rutki;53.121003,22.438105;49
201105;Kuźnica (c);53.510024,23.6102905;51
201301;Wysokie Mazowieckie;52.924916,22.51358;49
201405;Zambrów;52.993807,22.193136;67
201103;Korycin;53.429015,23.131038;33
201304;Klukowo;52.756875,22.5628325;58
206101;Białystok;53.1275085,23.156492;1
201101;Dąbrowa Białostocka;53.625438,23.2987645;55
206201;Łomża;53.182572,22.058877;74
201102;Janów;53.451272,23.2866165;36
201104;Krynki;53.2389715,23.770894;42
201109;Suchowola;53.5924045,23.10507;51
201107;Sidra;53.539267,23.455391;49
201106;Nowy Dwór;53.651321,23.516663;62
200801;Goniądz;53.5447495,22.727183;54
200804;Knyszyn;53.348735,22.949794;28
200803;Jaświły;53.504627,22.961;43
200805;Krypno;53.2724795,22.842959;27
200807;Trzcianne;53.311334,22.605685;42
201006;Milejczyce;52.5331265,23.1585105;67
201002;Drohiczyn;52.460708,22.6381445;83
201001;Siemiatycze;52.420556,22.875199;82
201004;Grodzisk;52.5971745,22.760572;66
201003;Dziadkowice;52.573884,22.910519;65
200605;Stawiski;53.3640935,22.1465045;73
201005;Mielnik;52.3509225,23.1007975;87
200604;Mały Płock;53.3058815,21.99894;80
201008;Perlejewo;52.5732505,22.558143;74
200606;Turośl;53.402907,21.71391;101
201007;Nurzec-Stacja;52.449942,23.1340265;76
200703;Miastkowo;53.138534,21.8092385;91
200205;Juchnowiec Kościelny;53.002849,23.1550455;15
200704;Nowogród;53.219754,21.8934555;85
200203;Dobrzyniewo Duże;53.231559,23.0039295;15
200705;Piątnica;53.2157995,22.1502805;68
200202;Czarna Białostocka;53.316184,23.239846;21
200708;Wizna;53.1901375,22.3636615;54
200204;Gródek (c);53.1064185,23.6424865;32
200707;Śniadowo;53.066137,21.964172;81
200206;Łapy;53.000568,22.861878;25
200709;Zbójna;53.251307,21.759584;95
200207;Michałowo;53.0245035,23.68083;36
200706;Przytuły;53.384451,22.3208515;63
200208;Poświętne;52.9079185,22.823903;34
200702;Łomża;53.144748,22.1126975;70
200212;Tykocin;53.195484,22.7585345;28
200209;Supraśl;53.18809,23.3664015;15
200701;Jedwabne;53.2951415,22.35158;57
200215;Zawady;53.157332,22.5721395;40
200213;Wasilków;53.222426,23.208924;10
200806;Mońki;53.3889,22.7639365;39
200802;Jasionówka;53.3929685,23.029927;30
200214;Zabłudów;53.008251,23.351002;19
200211;Turośń Kościelna;53.0223825,23.008964;16
200403;Radziłów;53.420742,22.4535145;57
200303;Bielsk Podlaski;52.786376,23.1765825;39
200210;Suraż;52.944962,23.005734;24
200405;Szczuczyn;53.572029,22.2907515;76
200301;Bielsk Podlaski;52.764191,23.1902515;41
200503;Czeremcha (c);52.496252,23.37622;72
200302;Brańsk;52.7677555,22.848094;46
200105;Nowinka;53.9440645,22.994347;91
200501;Hajnówka;52.731988,23.576308;52
200307;Rudka;52.716618,22.7077125;56
200103;Bargłów Kościelny;53.740946,22.82002;71
200502;Białowieża (c);52.697861,23.8276605;66
200305;Brańsk;52.7498655,22.835455;48
200101;Augustów;53.845013,23.0099185;80
200505;Dubicze Cerkiewne;52.6402905,23.488784;59
200304;Boćki;52.6416135,23.052916;55
200102;Augustów;53.839712,22.9491335;80
200504;Czyże;52.786618,23.42983;42
200306;Orla;52.6721075,23.2890045;52
200104;Lipsk;53.76053,23.4408435;72
200506;Hajnówka;52.723662,23.5665365;53
200308;Wyszki;52.8382755,22.9591015;36
200107;Sztabin;53.7131065,23.1110955;65
200509;Narewka (c);52.8498175,23.7659045;51
200406;Wąsosz;53.495523,22.3530425;67
200106;Płaska (c);53.8662565,23.308542;82
200507;Kleszczele;52.5952635,23.3402735;61
200402;Grajewo;53.582054,22.5304345;65
200201;Choroszcz;53.1442205,22.9595905;14
200508;Narew;52.908034,23.4978385;33
200401;Grajewo;53.6401835,22.450929;74
200603;Kolno;53.418095,21.9352345;88
200404;Rajgród;53.6793855,22.658304;69
200601;Kolno;53.401834,21.9361385;87
200602;Grabowo;53.478426,22.169439;77
220204;Czersk;53.804996,17.897258;79
220801;Lębork;54.5355845,17.7576885;60
220205;Konarzyny;53.863012,17.3894625;99
220803;Cewice;54.4371045,17.7423155;58
220302;Czarne;53.638776,17.0391905;132
220805;Wicko;54.7061305,17.6026225;76
220301;Człuchów;53.664796,17.3679865;114
220505;Somonino;54.245543,18.215575;30
220304;Debrzno;53.562514,17.207082;129
220501;Chmielno;54.311457,18.0547235;38
220303;Człuchów;53.678288,17.3222995;115
220503;Przodkowo;54.3930095,18.2672445;24
220306;Przechlewo;53.8293485,17.226578;109
220305;Koczała;53.9128055,17.109419;111
220307;Rzeczenica;53.778962,17.037184;123
220109;Trzebielino;54.202538,17.0663765;103
220103;Czarna Dąbrówka;54.3440955,17.585235;68
220101;Borzytuchom;54.206248,17.3579805;85
220102;Bytów;54.15809,17.48918;78
220105;Lipnica;53.977159,17.3679365;93
220104;Kołczygłowy;54.197244,17.258152;91
220107;Parchowo;54.2110705,17.688636;64
220106;Miastko;54.0355635,17.0032295;112
220108;Studzienice;54.09004,17.601492;74
226401;Sopot;54.441869,18.547822;10
221501;Reda;54.6210065,18.334663;34
221505;Gniewino;54.704142,17.9961715;56
221503;Wejherowo;54.605985,18.233643;37
221502;Rumia;54.5692025,18.3849145;28
221504;Choczewo;54.744731,17.8207985;67
221507;Luzino;54.561262,18.097215;41
221207;Potęgowo;54.4606395,17.455263;77
221506;Linia;54.4557155,17.985828;43
221203;Dębnica Kaszubska;54.339197,17.272266;88
221508;Łęczyce;54.588058,17.9329775;52
221202;Damnica;54.4969055,17.283611;88
221510;Wejherowo;54.5948225,18.2382265;36
221604;Stary Targ;53.9527765,19.17236;58
221204;Główczyce;54.6242605,17.3748695;86
221306;Lubichowo;53.8218165,18.3672965;63
221602;Mikołajki Pomorskie;53.849425,19.2042895;69
221205;Kępice;54.201791,16.8722065;116
221305;Kaliska;53.896083,18.1790005;60
221601;Dzierzgoń;53.945282,19.310779;64
221206;Kobylnica;54.3750825,16.9649705;108
221603;Stary Dzierzgoń;53.861709,19.444576;77
221209;Smołdzino;54.672181,17.295187;93
221307;Osieczna;53.7881575,18.2268435;70
221605;Sztum;53.9253965,18.9987235;55
221208;Słupsk;54.490071,17.004862;106
221309;Skarszewy;54.0679635,18.434439;36
226101;Gdańsk (ab);54.361096,18.6899295;4
221210;Ustka;54.5821725,16.9185195;113
221312;Starogard Gdański;53.993149,18.5345445;42
226301;Słupsk;54.4605945,17.0281465;104
221311;Smętowo Graniczne;53.72515,18.6219985;71
221313;Zblewo;53.9447395,18.338918;51
221304;Bobowo;53.8721795,18.537467;55
221402;Gniew;53.8058235,18.7864665;63
221302;Skórcz;53.794358,18.5161555;64
220906;Miłoradz;54.0148315,18.891552;43
221401;Tczew;54.0907165,18.7816105;32
221301;Czarna Woda;53.8477055,18.1373025;66
220904;Malbork;54.049626,19.043073;44
221404;Pelplin;53.9249955,18.7374445;50
221303;Starogard Gdański;53.9654205,18.526571;45
220908;Stare Pole;54.062825,19.1838765;49
221403;Morzeszczyn;53.828668,18.668876;60
221310;Skórcz;53.8053385,18.529194;63
220907;Nowy Staw;54.133248,19.0676265;38
221406;Tczew;54.085311,18.690074;32
221308;Osiek;53.722537,18.442616;73
221001;Krynica Morska;54.3892005,19.490053;56
221405;Subkowy;54.0016795,18.7629475;41
221003;Ostaszewo;54.202489,18.942545;27
221509;Szemud;54.4716805,18.256431;27
221002;Nowy Dwór Gdański;54.1963755,19.1384645;38
221005;Sztutowo;54.316242,19.276612;42
221004;Stegna;54.293158,19.0729755;30
221101;Hel (b);54.6362375,18.7746145;31
221105;Kosakowo;54.597631,18.475616;28
220502;Kartuzy;54.344675,18.1171165;34
221103;Puck;54.714211,18.405206;41
220504;Sierakowice;54.3508465,17.8608885;50
221102;Jastarnia;54.714741,18.628448;39
220507;Sulęczyno;54.243795,17.792204;56
221104;Władysławowo;54.7940075,18.3617465;51
220506;Stężyca;54.2361825,17.9895565;44
221107;Puck;54.715215,18.319404;44
220508;Żukowo;54.3709575,18.379591;16
221106;Krokowa;54.762822,18.104375;56
220602;Dziemiany;54.012046,17.785713;68
221201;Ustka (b);54.5732245,16.860188;117
220601;Kościerzyna;54.120781,17.984626;50
220606;Lipusz;54.109733,17.770705;63
220604;Kościerzyna;54.0979945,17.9670395;53
220603;Karsin;53.916593,17.913717;69
220605;Liniewo;54.075753,18.243899;41
220701;Kwidzyn;53.7204585,18.945284;75
220608;Stara Kiszewa;53.979638,18.168855;53
220703;Kwidzyn;53.769314,18.979397;70
220607;Nowa Karczma;54.134763,18.211655;38
220702;Gardeja;53.6451185,19.038445;84
220903;Lichnowy;54.1078255,18.8994465;34
220705;Ryjewo;53.849469,18.971804;62
220901;Malbork;54.028507,19.044351;46
220704;Prabuty;53.738261,19.201214;79
220706;Sadlinki;53.653488,18.84361;80
220408;Trąbki Wielkie;54.16247,18.4986765;24
220404;Pruszcz Gdański;54.269208,18.669243;11
220402;Cedry Wielkie;54.2553185,18.841109;18
220401;Pruszcz Gdański;54.257779,18.645299;12
220403;Kolbudy;54.274924,18.488246;14
220406;Pszczółki;54.179845,18.6799395;21
220405;Przywidz;54.2072145,18.334169;26
220110;Tuchomie;54.1078985,17.295778;92
220407;Suchy Dąb;54.2046275,18.79327;21
220201;Chojnice;53.69997,17.56019;102
220804;Nowa Wieś Lęborska;54.573455,17.692739;65
220202;Brusy;53.9061665,17.684846;80
220802;Łeba (b);54.760288,17.5819095;81
220203;Chojnice;53.7464145,17.5942365;97
241308;Tworóg;50.5293325,18.7313695;36
241403;Lędziny;50.1284685,19.1235365;16
241609;Włodowice;50.5679295,19.464517;48
241704;Jeleśnia;49.6130045,19.3473605;75
241702;Czernichów;49.7774635,19.1945845;54
241603;Irządze;50.6286645,19.6719685;64
241601;Poręba;50.4891975,19.331097;35
241715;Węgierska Górka;49.5777205,19.1558845;76
241607;Pilica;50.4803715,19.6929325;55
241710;Radziechowy-Wieprz;49.624038,19.137181;70
241714;Ujsoły;49.469671,19.1629315;88
241610;Żarnowiec;50.4968845,19.8552345;67
241712;Ślemień;49.734735,19.3896715;64
241602;Zawiercie;50.5057285,19.4702655;44
241604;Kroczyce;50.5639795,19.6234835;56
241608;Szczekociny;50.6406115,19.817698;72
241703;Gilowice;49.712609,19.3013115;64
241708;Łodygowice;49.725906,19.151658;59
241706;Lipowa;49.667638,19.0800695;65
241709;Milówka;49.567514,19.0741565;76
241711;Rajcza;49.465852,19.057467;87
241713;Świnna;49.6611895,19.2865385;69
241606;Ogrodzieniec;50.457883,19.5442265;45
241701;Żywiec;49.7064975,19.2099055;62
241705;Koszarawa;49.648391,19.4296985;74
241707;Łękawica;49.744819,19.305311;60
246401;Częstochowa;50.8096365,19.122219;63
246601;Gliwice;50.30115,18.6496155;26
247101;Piekary Śląskie;50.375829,18.9780355;14
246901;Katowice (a);50.214288,19.008149;4
240301;Cieszyn;49.7557815,18.6514055;60
246801;Jaworzno;50.189359,19.3014005;22
240309;Istebna;49.560953,18.909301;77
247001;Mysłowice;50.209618,19.1546025;12
240305;Chybie;49.887711,18.8317125;42
247301;Rybnik;50.1105395,18.549262;36
240303;Wisła;49.635807,18.9108315;69
240302;Ustroń;49.718613,18.831374;60
247201;Ruda Śląska;50.2700625,18.874256;9
240304;Brenna;49.725317,18.903137;59
247401;Siemianowice Śląskie;50.312327,19.0232805;7
240307;Goleszów;49.729042,18.711906;61
247601;Świętochłowice;50.297856,18.9102655;8
240306;Dębowiec;49.7976065,18.720893;54
247701;Tychy;50.1265,19.0085685;14
240308;Hażlach;49.8105005,18.645329;55
247801;Zabrze;50.314091,18.796538;16
240310;Skoczów;49.80804,18.7873455;51
240311;Strumień;49.8895365,18.7292175;45
240312;Zebrzydowice;49.86375,18.616636;51
240202;Bestwina;49.912252,19.063702;38
240201;Szczyrk;49.696389,19.008086;62
240203;Buczkowice;49.7247395,19.087138;59
246701;Jastrzębie-Zdrój;49.960629,18.600491;43
240404;Kamienica Polska;50.6718925,19.148657;48
240402;Dąbrowa Zielona;50.850614,19.538835;77
240401;Blachownia;50.7968515,18.9415135;61
240403;Janów;50.7325025,19.468984;63
240405;Kłomnice;50.9066875,19.38551;78
240408;Kruszyna;50.9969915,19.3065775;86
240407;Konopiska;50.717489,18.993589;52
240409;Lelów;50.7068395,19.6548445;69
247501;Sosnowiec;50.271233,19.194618;14
240412;Olsztyn;50.7355625,19.277448;57
240602;Krzepice;50.967866,18.701306;83
240411;Mykanów;50.93271,19.1806715;77
240604;Miedźno;50.985826,19.0006835;82
240413;Poczesna;50.7246645,19.1357025;54
240416;Starcza;50.663154,19.049036;46
246101;Bielsko-Biała;49.812118,19.038784;49
240415;Rędziny;50.880668,19.2296515;72
246201;Bytom;50.3650315,18.8763025;16
240603;Lipie;51.029685,18.7834635;88
246501;Dąbrowa Górnicza;50.369804,19.3216805;26
240608;Przystajń;50.857112,18.701475;71
240204;Czechowice-Dziedzice;49.904072,18.961698;39
240205;Jasienica;49.8311925,18.920445;47
240208;Porąbka;49.823632,19.246052;51
240207;Kozy;49.829234,19.1395375;48
240210;Wilkowice;49.765529,19.073497;54
240209;Wilamowice;49.910986,19.134972;39
240601;Kłobuck;50.9068465,18.982633;73
240103;Wojkowice;50.3659525,19.0315225;13
240101;Będzin;50.335806,19.123996;13
240102;Czeladź;50.3191925,19.082332;10
240508;Wielowieś;50.4941565,18.5475775;42
240708;Woźniki;50.580812,19.020315;37
240104;Bobrowniki;50.4124475,19.0307975;18
240706;Koszęcin;50.6175005,18.833573;43
240106;Psary;50.386595,19.121915;17
240503;Gierałtowice;50.233025,18.7488625;18
240107;Siewierz;50.460308,19.210252;28
240707;Pawonków;50.668238,18.5721795;56
240108;Sławków;50.291785,19.3475675;25
240607;Popów;51.0348875,18.9368985;87
240609;Wręczyca Wielka;50.835322,18.89885;65
240705;Kochanowice;50.7237355,18.731746;56
240505;Rudziniec;50.372832,18.480624;39
240501;Knurów;50.2072255,18.662957;24
240801;Łaziska Górne;50.143496,18.852707;16
240802;Mikołów;50.196078,18.8619095;12
240805;Wyry;50.1169165,18.8934275;17
240502;Pyskowice;50.391596,18.6009555;32
240702;Boronów;50.6801075,18.92147;48
240701;Lubliniec;50.643244,18.708657;48
246301;Chorzów;50.288457,18.9628335;5
240803;Orzesze;50.1081945,18.794604;22
240507;Toszek;50.442266,18.5074665;41
240704;Herby;50.739817,18.833551;56
240703;Ciasna;50.78059,18.634227;64
240804;Ornontowice;50.182179,18.751468;19
240606;Panki;50.8859725,18.7538345;73
240605;Opatów;50.9465585,18.8296325;78
241006;Suszec;50.0221155,18.823902;28
241101;Racibórz;50.090618,18.2217685;58
241202;Gaszowice;50.0963445,18.422383;45
241105;Kuźnia Raciborska;50.2065845,18.369223;45
241108;Rudnik;50.154492,18.1590065;61
241005;Pszczyna;49.9921735,18.901793;30
