M;R1;040602;KOWALKOWSKA Halina;Komitet Wyborczy Stowarzyszenia Międzygminne Porozumienie Samorządowe- MPS;1908;73.84;;Tak
M;R1;040604;CHODUBSKI Krzysztof;Komitet Wyborczy Wyborców Gminne Porozumienie;1100;53.50;;Tak
M;R1;040606;MAJ Ireneusz Stefan;Komitet Wyborczy Wyborców Obywatelskie Forum Samorządowe Powiatu Grudziądzkiego;925;61.83;;Tak
S;R1;040702;WIECZOREK Roman Jan;Komitet Wyborczy Wyborców Na Rzecz Wsi;1202;100.00;;Tak
M;R1;040704;KACPRZAK Tadeusz;Komitet Wyborczy Polskie Stronnictwo Ludowe;2248;56.07;;Tak
M;R1;040705;BRZEZIŃSKI Andrzej Jan;Komitet Wyborczy Wyborców Twoja Rada;3058;55.40;;Tak
M;R1;040706;WITCZAK Dariusz;Komitet Wyborczy Wyborców Społeczna Lista Samorządowa;3969;53.77;;Tak
M;R1;040707;KOŃCZAL Wiesław Stanisław;Komitet Wyborczy Wyborców Samorządność w Pakości;2181;56.66;;Tak
M;R1;040709;CYBULSKI Witold Grzegorz;Komitet Wyborczy Wyborców Witolda Cybulskiego "Bliżej Demokracji";1906;53.81;;Tak
M;R1;040802;POLIWKO Jarosław Jacek;Komitet Wyborczy Polskie Stronnictwo Ludowe;1007;65.14;;Tak
M;R1;040805;PREDENKIEWICZ Józef Ryszard;Komitet Wyborczy Polskie Stronnictwo Ludowe;2039;66.55;;Tak
M;R1;040806;SZYCHULSKI Andrzej Piotr;Komitet Wyborczy Polskie Stronnictwo Ludowe;3013;71.26;;Tak
M;R1;040807;WOJCIECHOWSKI Piotr;Komitet Wyborczy Wyborców Piotra Wojciechowskiego;2021;55.55;;Tak
S;R1;040808;DĄBKOWSKI Krzysztof Roman;Komitet Wyborczy Polskie Stronnictwo Ludowe;1671;100.00;;Tak
M;R1;040809;WIEWIóRSKI Tadeusz;Koalicyjny Komitet Wyborczy SLD Lewica Razem;1895;72.41;;Tak
M;R1;040901;BARCZYKOWSKI Marcin Janusz;Komitet Wyborczy Wyborców Przymierze Ludowe;1250;74.63;;Tak
M;R1;040902;WOŹNIAKOWSKI Zbysław Władysław;Komitet Wyborczy Polskie Stronnictwo Ludowe;1286;67.22;;Tak
M;R1;040903;DUSZYŃSKI Leszek Marek;Komitet Wyborczy Platforma Obywatelska RP;5488;58.90;;Tak
S;R1;041002;KLESIŃSKI Leszek Jan;Komitet Wyborczy Wyborców Leszka Klesińskiego;2109;100.00;;Tak
M;R1;041003;NAPIERAŁA Sławomir;Komitet Wyborczy Wyborców Sławomira Napierały Razem dla Nakła;6170;62.93;;Tak
M;R1;041101;BYKOWSKI Sławomir Bartłomiej;Komitet Wyborczy Wyborców Nasze Miasto;1323;52.81;;Tak
