urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Burmistrz Radomyśla Wielkiego;181108;2;0;51.00;0;1;0;0;0;1;181108;3;Radomyśl Wielki;15978;160;14225;89;598;554;gmw;50.131294,21.142206 50.256873,21.395341;50.1940835,21.2687735;181108;11035;4599;1027;4510;2591;1429;263;122;18.25000;56.34;31.07;5.72;2.65
Burmistrz Annopola;060702;3;0;52.33;0;1;0;0;0;2;060702;3;Annopol;15113;151;8735;58;663;1006;gmw;50.774425,21.811966 50.981940,21.976262;50.8781825,21.894114;060702;7375;3133;884;3055;1612;859;125;309;22.01000;51.45;27.42;3.99;9.86
Wójt Gminy Rudnik;060609;4;0;46.75;1;1;0;0;0;2;060609;2;Rudnik;8853;89;3034;34;1555;2181;gw;50.804022,22.874627 50.918559,23.033606;50.8612905,22.9541165;060609;2740;1049;322;936;446;270;35;112;23.49000;42.52;25.74;3.34;10.68
Wójt Gminy Kęsowo;041603;2;1;36.50;0;0;0;0;0;2;041603;2;Kęsowo;10922;109;4464;41;1240;1864;gw;53.499255,17.602173 53.658107,17.812315;53.578681,17.707244;041603;3532;1048;404;1012;478;162;28;299;27.82000;45.61;15.46;2.67;28.53
Wójt Gminy Dobra;321101;3;3;54.00;0;0;0;0;0;3;321101;2;Dobra (Szczecińska);11028;110;22511;204;1223;288;gw;53.401874,14.302605 53.586022,14.482965;53.493948,14.392785;321101;14549;5309;743;4383;370;829;501;2356;12.28000;6.97;15.61;9.44;44.38
Wójt Gminy Łęczyce;221508;2;0;49.50;0;0;0;0;0;2;221508;2;Łęczyce;23286;233;12035;52;221;689;gw;54.484872,17.778331 54.691244,18.087624;54.588058,17.9329775;221508;8807;3386;925;3279;1115;735;96;1195;21.46000;32.93;21.71;2.84;35.29
Wójt Gminy Kamień;181608;1;0;60.00;0;0;0;0;0;1;181608;2;Kamień;7363;74;6856;93;1796;1308;gw;50.278005,21.998632 50.370335,22.211990;50.32417,22.105311;181608;5573;2449;525;2411;587;1515;56;155;17.65000;23.97;61.86;2.29;6.33
Wójt Gminy Załuski;142012;5;0;44.60;1;1;0;0;0;3;142012;2;Załuski;10848;108;5682;52;1251;1553;gw;52.444213,20.433773 52.587924,20.607229;52.5160685,20.520501;142012;4526;2085;672;2013;1392;352;61;89;24.37000;66.76;16.88;2.93;4.27
Wójt Gminy Świerzno;320705;2;0;49.50;0;0;0;0;0;2;320705;2;Świerzno;14013;140;4270;30;784;1920;gw;53.883863,14.852324 54.047971,15.075728;53.965917,14.964026;320705;3393;1385;412;1291;497;194;140;382;22.93000;35.88;14.01;10.11;27.58
Wójt Gminy Promna;140102;2;0;54.50;1;1;0;0;0;0;140102;2;Promna;12026;120;5602;47;1052;1575;gw;51.636954,20.762908 51.753797,21.029326;51.6953755,20.896117;140102;4557;1939;621;1832;1199;406;39;97;24.26000;61.84;20.94;2.01;5.00
Burmistrz Miasta Mińsk Mazowiecki;141201;2;0;43.50;0;1;1;0;0;0;141201;1;Mińsk Mazowiecki;1318;13;40399;3065;2297;125;gm;52.159923,21.509376 52.198041,21.603928;52.178982,21.556652;141201;30755;12114;1940;11436;1240;4336;658;4348;13.80000;10.24;35.79;5.43;35.89
Wójt Gminy Dębe Wielkie;141205;1;0;43.00;0;0;0;0;0;1;141205;2;Dębe Wielkie;7772;78;10227;132;1736;840;gw;52.140892,21.383695 52.269882,21.525524;52.205387,21.4546095;141205;7447;3109;891;2913;812;1102;105;631;22.27000;26.12;35.45;3.38;20.30
Wójt Gminy Golub-Dobrzyń;040503;2;0;50.00;0;0;0;0;0;2;040503;2;Golub-Dobrzyń;19779;198;8692;44;355;1013;gw;53.031784,18.948783 53.237677,19.253913;53.1347305,19.101348;040503;6883;2960;852;2603;551;719;219;1023;22.35000;18.61;24.29;7.40;34.56
Burmistrz Gminy i Miasta Rudnik nad Sanem;181206;2;1;56.00;0;0;0;0;0;2;181206;3;Rudnik nad Sanem;7869;79;10150;129;1720;848;gmw;50.384154,22.165683 50.502340,22.317755;50.443247,22.241719;181206;8506;3235;811;3134;594;1317;377;459;20.04000;18.36;40.71;11.65;14.19
Wójt Gminy Chodów;300903;2;0;53.00;1;0;0;0;0;1;300903;2;Chodów;7779;78;3075;40;1733;2177;gw;52.200114,18.935999 52.306897,19.105000;52.2535055,19.0204995;300903;2747;1046;344;1003;532;170;252;24;24.75000;50.86;16.25;24.09;2.29
Wójt Gminy Kampinos;143203;4;1;44.50;0;0;0;0;0;4;143203;2;Kampinos;8460;85;4337;51;1627;1899;gw;52.218711,20.312348 52.331086,20.523356;52.2748985,20.417852;143203;3512;1466;831;928;283;341;51;161;36.18000;19.30;23.26;3.48;10.98
Wójt Gminy Sarnaki;141005;3;1;54.67;0;0;0;0;0;3;141005;2;Sarnaki;19749;197;4807;24;359;1781;gw;52.214318,22.805613 52.374478,23.128409;52.294398,22.967011;141005;4240;1968;385;1904;1258;385;61;86;16.36000;63.92;19.56;3.10;4.37
Wójt Gminy Zławieś Wielka;041509;2;0;54.50;0;0;0;0;0;2;041509;2;Zławieś Wielka;17791;178;13872;78;467;569;gw;53.015514,18.144872 53.183250,18.524452;53.099382,18.334662;041509;9999;3977;980;3844;474;760;226;2222;19.77000;11.92;19.11;5.68;55.87
Wójt Gminy Chrzypsko Wielkie;301401;2;0;62.50;0;0;0;1;0;1;301401;2;Chrzypsko Wielkie;8452;85;3344;40;1630;2132;gw;52.547428,16.151270 52.669295,16.338539;52.6083615,16.2449045;301401;2680;978;491;896;194;114;164;400;33.42000;19.84;11.66;16.77;40.90
Wójt Gminy Rozdrażew;301205;2;0;37.50;0;0;0;0;0;2;301205;2;Rozdrażew;7920;80;5232;66;1716;1673;gw;51.732241,17.426126 51.838713,17.610223;51.785477,17.5181745;301205;4033;1592;623;1545;1163;227;61;61;28.13000;73.05;14.26;3.83;3.83
Burmistrz Śmigla;301105;2;1;42.50;0;0;0;0;0;2;301105;3;Śmigiel;18977;190;17750;94;392;410;gmw;51.941004,16.420636 52.095170,16.723103;52.018087,16.5718695;301105;14019;4390;2098;3878;1040;1012;877;745;32.34000;23.69;23.05;19.98;16.97
Wójt Gminy Wizna;200708;3;0;42.33;0;1;0;0;0;2;200708;2;Wizna;13338;133;4098;31;866;1954;gw;53.109794,22.240994 53.270481,22.486329;53.1901375,22.3636615;200708;3489;1522;431;1493;519;627;27;258;22.07000;34.10;41.20;1.77;16.95
Wójt Gminy Marciszów;020704;3;0;54.33;0;1;1;0;0;1;020704;2;Marciszów;8157;82;4553;56;1680;1842;gw;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973;020704;3781;1609;583;1467;450;260;100;599;26.60000;27.97;16.16;6.22;37.23
Wójt Gminy Barciany;280802;2;1;51.50;0;0;0;0;0;2;280802;2;Barciany (c);29408;295;6275;21;104;1431;gw;54.115520,21.162256 54.334816,21.448260;54.225168,21.305258;280802;5369;1889;877;1818;1019;177;105;380;31.71000;53.94;9.37;5.56;20.12
Wójt Gminy Solina;182105;3;0;45.67;0;1;0;0;0;2;182105;2;Solina;18452;185;5311;29;427;1653;gw;49.256645,22.308342 49.455006,22.521676;49.3558255,22.415009;182105;4524;2145;712;2110;528;937;283;220;24.92000;24.62;43.68;13.19;10.26
Wójt Gminy Moskorzew;261303;2;0;37.50;0;0;0;0;0;2;261303;2;Moskorzew;7289;73;2730;37;1808;2220;gw;50.615810,19.828373 50.696268,20.031649;50.656039,19.930011;261303;2388;1332;296;1323;910;123;246;16;18.18000;68.32;9.23;18.47;1.20
Burmistrz Miasta i Gminy Drobin;141905;3;0;45.33;1;1;0;0;0;1;141905;3;Drobin;14350;144;8024;56;749;1108;gmw;52.651881,19.819190 52.781982,20.074135;52.7169315,19.9466625;141905;6486;2977;965;2913;2227;404;131;72;24.48000;74.81;13.57;4.40;2.42
Burmistrz Szczebrzeszyna;062013;3;0;50.00;0;1;0;0;0;2;062013;3;Szczebrzeszyn;12350;124;11395;92;1007;750;gmw;50.648260,22.882449 50.768216,23.125940;50.708238,23.0041945;062013;9732;3679;763;3584;1446;1114;279;534;17.18000;39.30;30.28;7.58;14.51
Wójt Gminy Koneck;040106;1;0;56.00;0;1;0;0;0;0;040106;2;Koneck;6784;68;3177;47;1875;2160;gw;52.739531,18.613469 52.836468,18.804580;52.7879995,18.7090245;040106;2685;1064;560;973;439;240;91;153;34.48000;41.26;22.56;8.55;14.38
Burmistrz Gminy Konstancin-Jeziorna;141802;3;0;64.33;0;1;0;0;0;2;141802;3;Konstancin-Jeziorna;7858;79;24776;315;1722;249;gmw;52.032955,21.043714 52.144728,21.216738;52.0888415,21.130226;141802;19561;8168;1517;7633;1795;2154;434;2565;15.66000;21.98;26.37;5.31;31.40
Wójt Gminy Igołomia-Wawrzeńczyce;120602;3;0;51.33;0;1;0;0;0;2;120602;2;Igołomia-Wawrzeńczyce;6279;63;7702;123;1927;1161;gw;50.053435,20.184929 50.160414,20.353766;50.1069245,20.2693475;120602;6178;2071;655;2010;753;511;38;599;24.03000;36.36;24.67;1.83;28.92
Burmistrz Miasta Kalwarii Zebrzydowskiej;121803;4;1;50.50;1;1;0;0;0;2;121803;3;Kalwaria Zebrzydowska;7526;75;20052;266;1771;339;gmw;49.843353,19.577747 49.934304,19.773192;49.8888285,19.6754695;121803;15852;6462;1605;5999;1635;2160;274;1523;19.90000;25.30;33.43;4.24;23.57
Burmistrz Błonia;143201;1;0;58.00;0;0;0;0;0;1;143201;3;Błonie;8558;86;21530;252;1610;311;gmw;52.157304,20.474648 52.254139,20.678663;52.2057215,20.5766555;143201;16716;7495;1833;6911;1283;1887;646;2531;19.65000;17.12;25.18;8.62;33.77
Wójt Gminy Rybczewice;061704;3;1;48.33;1;1;0;0;0;1;061704;2;Rybczewice;9913;99;3445;35;1407;2110;gw;50.964647,22.772531 51.088048,22.953423;51.0263475,22.862977;061704;3041;1342;364;1306;875;307;20;50;21.34000;65.20;22.88;1.49;3.73
Wójt Gminy Michałów;260803;3;0;46.67;1;0;0;0;0;2;260803;2;Michałów;11209;112;4634;41;1179;1825;gw;50.413833,20.325213 50.548386,20.518772;50.4811095,20.4219925;260803;3922;2183;462;2171;1683;227;80;136;17.47000;77.10;10.40;3.66;6.23
Wójt Gminy Chmielno;220501;4;2;50.75;0;1;0;0;0;3;220501;2;Chmielno;7861;79;7658;97;1721;1169;gw;54.246709,17.969353 54.376205,18.140094;54.311457,18.0547235;220501;5504;2825;792;2787;2022;375;30;282;21.90000;71.58;13.27;1.06;9.98
Burmistrz Miasta i Gminy Skawina;120611;2;0;53.50;0;1;0;0;0;1;120611;3;Skawina;9984;100;43369;434;1396;116;gmw;49.885189,19.652196 49.996982,19.868646;49.9410855,19.760421;120611;33945;12765;2939;12437;2949;4239;305;4104;18.71000;23.10;33.21;2.39;32.15
Wójt Gminy Kąkolewnica;061504;4;1;41.00;0;1;0;0;0;3;061504;2;Kąkolewnica;14753;148;8209;56;701;1081;gw;51.824395,22.549859 51.974018,22.779828;51.8992065,22.6648435;061504;6702;3104;906;2964;1789;749;127;144;22.59000;57.64;24.13;4.09;4.64
Wójt Gminy Wilczyce;260908;3;0;44.67;1;0;0;0;0;2;260908;2;Wilczyce;6956;70;3770;54;1853;2043;gw;50.707759,21.551831 50.796189,21.730086;50.751974,21.6409585;260908;3182;1441;373;1429;874;187;195;123;20.56000;60.65;12.98;13.53;8.54
Wójt Gminy Skulsk;301009;4;1;45.25;0;1;0;0;0;3;301009;2;Skulsk;8489;85;6142;72;1621;1458;gw;52.412499,18.239979 52.543360,18.398790;52.4779295,18.3193845;301009;4987;2102;1109;1681;551;397;223;408;34.54000;26.21;18.89;10.61;19.41
Prezydent Miasta Piotrkowa Trybunalskiego;106201;5;1;49.20;0;1;1;0;0;3;106201;1;Piotrków Trybunalski;6724;67;74312;1105;1881;50;mm;51.372969,19.622889 51.452936,19.810361;51.4129525,19.716625;106201;61629;23857;3564;22980;4649;6768;2688;7409;13.00000;19.49;28.37;11.27;31.06
Prezydent Miasta Rzeszowa;186301;5;0;55.20;0;1;0;0;1;3;186301;1;Rzeszów (a);12041;120;189662;1575;1048;18;mm;49.933452,21.858684 50.078321,22.093970;50.0058865,21.976327;186301;142798;61181;5737;58533;6351;24027;6467;17711;8.57000;10.38;39.27;10.57;28.95
Burmistrz Miasta i Gminy Sanniki;140404;4;1;45.50;1;1;0;0;0;2;140404;3;Sanniki;9459;95;6089;64;1480;1470;gmw;52.271726,19.745843 52.391590,19.984537;52.331658,19.86519;140404;5185;2205;476;2078;1616;332;31;41;17.75000;73.29;15.06;1.41;1.86
Wójt Gminy Słupno;141912;3;0;43.00;0;1;0;0;0;2;141912;2;Słupno;7493;75;7705;103;1780;1159;gw;52.461287,19.728626 52.556230,19.923787;52.5087585,19.8262065;141912;5558;2745;618;2644;1483;596;145;309;18.38000;54.03;21.71;5.28;11.26
Wójt Gminy Biały Dunajec;121702;3;2;49.00;1;1;0;0;0;1;121702;2;Biały Dunajec;3523;35;7150;203;2125;1258;gw;49.334934,19.940984 49.399640,20.075587;49.367287,20.0082855;121702;5561;2155;554;2067;432;1130;47;335;20.45000;20.05;52.44;2.18;15.55
Prezydent Miasta Ostrowa Wielkopolskiego;301701;4;1;51.00;0;1;1;0;0;2;301701;1;Ostrów Wielkopolski;4190;42;72364;1727;2077;54;gm;51.610177,17.729507 51.683630,17.878456;51.6469035,17.8039815;301701;59618;20705;5285;18660;2603;4655;2602;7817;20.33000;12.57;22.48;12.57;37.75
Wójt Gminy Łagów;080802;3;0;58.00;0;0;0;0;0;3;080802;2;Łagów;19914;200;5010;25;347;1724;gw;52.194590,15.089010 52.378690,15.408069;52.28664,15.2485395;080802;4264;1740;500;1650;463;270;331;536;22.32000;26.61;15.52;19.02;30.80
Burmistrz Miasta Braniewa;280201;5;2;44.80;0;0;0;1;0;4;280201;1;Braniewo;1241;12;17074;1376;2302;432;gm;54.354903,19.791592 54.404045,19.849447;54.379474,19.8205195;280201;13843;5936;1286;5714;2269;833;940;1336;17.81000;38.22;14.03;15.84;22.51
Wójt Gminy Dobrcz;040303;6;1;47.67;0;0;0;0;0;6;040303;2;Dobrcz;13007;130;11515;89;910;736;gw;53.194369,18.046818 53.346155,18.279668;53.270262,18.163243;040303;8417;2721;769;2604;1442;368;213;419;22.03000;53.00;13.52;7.83;15.40
Wójt Gminy Przyłęk;143603;4;0;50.00;0;1;0;0;0;3;143603;2;Przyłęk;13157;131;6242;47;891;1436;gw;51.262172,21.639918 51.403578,21.860111;51.332875,21.7500145;143603;5118;2022;612;1926;968;628;70;134;23.23000;47.87;31.06;3.46;6.63
Burmistrz Wojnicza;121613;3;0;56.67;0;0;0;0;0;3;121613;3;Wojnicz;7931;79;13472;170;1712;591;gmw;49.875609,20.745933 50.020066,20.882963;49.9478375,20.814448;121613;10590;4322;1115;4277;1077;2055;87;808;20.51000;24.92;47.55;2.01;18.70
Wójt Gminy Grodzisk;201004;2;0;53.50;0;0;0;0;0;2;201004;2;Grodzisk;20305;203;4285;21;327;1915;gw;52.497476,22.636112 52.696873,22.885032;52.5971745,22.760572;201004;3655;1692;344;1658;591;629;80;300;16.90000;34.93;37.17;4.73;17.73
Wójt Gminy Gnojno;260102;2;1;54.50;1;0;0;0;0;1;260102;2;Gnojno;9631;96;4403;46;1445;1883;gw;50.528791,20.774537 50.638319,20.950645;50.583555,20.862591;260102;3745;2292;412;2274;1968;180;65;36;15.24000;85.86;7.85;2.84;1.57
Burmistrz Miasta i Gminy Pelplin;221404;4;0;41.75;0;1;0;0;0;3;221404;3;Pelplin;14102;141;16410;116;774;450;gmw;53.865482,18.602631 53.984509,18.872258;53.9249955,18.7374445;221404;12848;4037;1399;3877;1547;709;369;983;25.74000;38.32;17.56;9.14;24.35
Burmistrz Miasta i Gminy Kosów Lacki;142905;3;2;48.67;0;1;0;0;0;2;142905;3;Kosów Lacki;20013;200;6112;31;343;1465;gmw;52.497770,21.974121 52.693245,22.241999;52.5955075,22.10806;142905;5328;2374;660;2271;1186;718;59;207;21.75000;49.96;30.24;2.49;8.72
Wójt Gminy Łapsze Niżne;121108;2;0;42.50;0;0;0;0;0;2;121108;2;Łapsze Niżne;12579;126;9340;74;972;927;gw;49.337728,20.111696 49.461003,20.337468;49.3993655,20.224582;121108;7241;2823;927;2689;817;887;77;750;24.72000;28.94;31.42;2.73;26.57
Wójt Gminy Bobrowniki;040802;2;0;49.00;1;0;1;0;0;0;040802;2;Bobrowniki;9539;95;3122;33;1466;2170;gw;52.707156,18.907263 52.835820,19.091735;52.771488,18.999499;040802;2482;1206;388;1157;704;158;88;174;24.34000;58.37;13.10;7.30;14.43
Burmistrz Miasta i Gminy Nowe Miasto nad Pilicą;140608;2;1;52.00;1;1;0;0;0;0;140608;3;Nowe Miasto nad Pilicą;15851;159;7863;50;611;1131;gmw;51.556399,20.385034 51.697190,20.662848;51.6267945,20.523941;140608;6938;3541;814;3459;2152;951;103;136;18.69000;60.77;26.86;2.91;3.84
Wójt Gminy Bochnia;120102;2;0;51.00;0;0;0;0;0;2;120102;2;Bochnia;13087;132;19744;151;900;347;gw;49.882683,20.300215 50.103923,20.534011;49.993303,20.417113;120102;15294;5818;1995;5648;1448;2344;215;952;25.53000;24.89;40.29;3.70;16.36
Wójt Gminy Bargłów Kościelny;200103;3;0;40.33;0;0;0;0;0;3;200103;2;Bargłów Kościelny;18781;188;5631;30;403;1567;gw;53.639620,22.696802 53.842272,22.943238;53.740946,22.82002;200103;4569;1568;489;1482;930;300;42;109;23.77000;59.31;19.13;2.68;6.95
Wójt Gminy Frysztak;181902;2;0;55.00;0;1;0;0;0;1;181902;2;Frysztak;9063;91;10467;115;1528;823;gw;49.785458,21.476620 49.896405,21.661343;49.8409315,21.5689815;181902;8444;3450;862;3239;563;1837;252;250;19.99000;16.32;53.25;7.30;7.25
Burmistrz Myszyńca;141508;2;1;52.50;0;0;0;0;0;2;141508;3;Myszyniec;22681;227;10471;46;239;822;gmw;53.269424,21.200108 53.450279,21.501202;53.3598515,21.350655;141508;8370;3190;1164;2986;1323;1123;82;220;26.73000;41.47;35.20;2.57;6.90
Wójt Gminy Chąśno;100503;1;0;41.00;1;0;0;0;0;0;100503;2;Chąśno;7183;72;2924;41;1823;2197;gw;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265;100503;2459;958;185;936;638;226;16;24;16.19000;66.60;23.59;1.67;2.51
Burmistrz Miasta i Gminy Działoszyce;260801;3;0;54.67;1;0;0;0;0;2;260801;3;Działoszyce;10576;106;5033;48;1295;1719;gmw;50.333323,20.260627 50.472418,20.468695;50.4028705,20.364661;260801;4458;2046;382;2005;1419;361;43;140;15.73000;69.35;17.64;2.10;6.84
Wójt Gminy Bulkowo;141904;1;0;42.00;0;0;0;0;0;1;141904;2;Bulkowo;11693;117;5650;48;1101;1560;gw;52.505666,19.951414 52.607876,20.200597;52.556771,20.0760055;141904;4692;2256;735;2169;1670;281;101;46;24.57000;74.02;12.46;4.48;2.04
Burmistrz Miasta Sulejówek;141215;2;0;46.00;0;1;0;0;0;1;141215;1;Sulejówek;1931;19;19663;1018;2243;351;gm;52.221393,21.237949 52.267543,21.325285;52.244468,21.281617;141215;15337;6782;1291;6260;581;2689;269;2056;15.99000;8.57;39.65;3.97;30.32
Wójt Gminy Grębocice;021603;1;0;59.00;0;0;0;0;0;1;021603;2;Grębocice;12170;121;5387;44;1029;1633;gw;51.522037,16.081805 51.634333,16.327718;51.578185,16.2047615;021603;4186;1621;736;1299;487;404;108;229;31.23000;30.04;24.92;6.66;14.13
Burmistrz Gminy Trzebiatów;320508;3;1;60.67;0;1;0;0;0;2;320508;3;Trzebiatów;22514;225;16303;72;245;457;gmw;53.979241,15.136189 54.159138,15.454918;54.0691895,15.2955535;320508;13125;5102;1262;4030;2467;414;235;762;19.83000;48.35;8.11;4.61;14.94
Wójt Gminy Rokietnica;302113;2;0;41.50;0;0;0;0;0;2;302113;2;Rokietnica;7930;79;16905;213;1713;435;gw;52.459743,16.639956 52.574497,16.827463;52.51712,16.7337095;302113;10841;3606;1083;3054;413;629;219;1480;23.10000;11.45;17.44;6.07;41.04
Wójt Gminy Stary Dzików;180907;2;1;46.00;0;1;0;0;0;1;180907;2;Stary Dzików;15570;156;4268;27;627;1922;gw;50.148153,22.797822 50.301416,23.037647;50.2247845,22.9177345;180907;3698;1718;644;1684;846;458;152;141;27.27000;49.24;26.66;8.85;8.21
Burmistrz Miasta Czyżew;201303;2;1;62.00;0;1;0;0;0;1;201303;3;Czyżew;13040;130;6431;49;906;1398;gmw;52.740464,22.242551 52.907680,22.471891;52.824072,22.357221;201303;5321;2063;515;2031;493;791;299;384;19.98000;23.90;38.34;14.49;18.61
Wójt Gminy Kwilcz;301402;1;0;57.00;0;0;0;0;0;1;301402;2;Kwilcz;14176;141;6375;45;762;1411;gw;52.483273,15.973320 52.596034,16.238950;52.5396535,16.106135;301402;4956;1847;800;1744;943;143;124;462;30.22000;51.06;7.74;6.71;25.01
Wójt Gminy Radziejów;041106;2;0;59.50;1;0;0;0;0;1;041106;2;Radziejów;9265;93;4422;48;1508;1879;gw;52.575152,18.456693 52.690336,18.672328;52.632744,18.5645105;041106;3652;1470;507;1265;705;194;116;191;25.64000;47.96;13.20;7.89;12.99
Burmistrz Miasta Kobyłka;143401;5;2;41.80;0;1;0;0;0;4;143401;1;Kobyłka;1964;20;23120;1177;2240;279;gm;52.313686,21.155377 52.366358,21.242181;52.340022,21.198779;143401;16121;7554;1082;6022;989;2598;307;1562;12.53000;13.09;34.39;4.06;20.68
Wójt Gminy Siennica;141213;3;0;33.00;1;1;0;0;0;1;141213;2;Siennica;11087;111;7466;67;1206;1202;gw;52.002963,21.511785 52.134765,21.710649;52.068864,21.611217;141213;5713;2102;639;1985;709;693;73;359;23.31000;33.73;32.97;3.47;17.08
Wójt Gminy Trzebieszów;061109;3;1;57.00;0;1;0;0;1;1;061109;2;Trzebieszów;14054;141;7442;53;780;1206;gw;51.926024,22.433529 52.069931,22.635841;51.9979775,22.534685;061109;5948;3358;805;3268;1803;966;85;146;19.34000;53.69;28.77;2.53;4.35
Burmistrz Strykowa;102008;4;1;50.25;0;1;0;0;0;3;102008;3;Stryków;15790;158;12565;80;618;656;gmw;51.835802,19.505645 51.982411,19.712965;51.9091065,19.609305;102008;10076;4061;941;3912;1029;928;949;701;18.81000;25.34;22.85;23.37;17.26
Burmistrz Grodziska Wielkopolskiego;300502;2;0;46.00;0;0;0;0;0;2;300502;3;Grodzisk Wielkopolski;13259;133;19928;150;877;342;gmw;52.184895,16.173449 52.287221,16.490352;52.236058,16.3319005;300502;15237;4876;1953;4587;881;1438;506;1519;28.60000;18.07;29.49;10.38;31.15
Wójt Gminy Konarzyny;220205;1;0;54.00;0;0;0;0;0;1;220205;2;Konarzyny;10440;105;2277;22;1315;2264;gw;53.785712,17.297936 53.940312,17.480989;53.863012,17.3894625;220205;1764;825;259;802;291;126;41;283;23.89000;35.27;15.27;4.97;34.30
Burmistrz Gorzowa Śląskiego;160802;3;1;52.33;0;1;0;0;0;2;160802;3;Gorzów Śląski;15371;154;7162;47;643;1256;gmw;50.935934,18.291581 51.139194,18.511708;51.037564,18.4016445;160802;6026;2089;542;1679;188;135;917;387;20.60000;9.00;6.46;43.90;18.53
Wójt Gminy Kozielice;321202;1;0;56.00;0;0;0;0;0;1;321202;2;Kozielice;9453;95;2540;27;1481;2240;gw;53.008618,14.721430 53.158728,14.862619;53.083673,14.7920245;321202;2159;841;460;771;370;129;106;118;35.36000;44.00;15.34;12.60;14.03
Wójt Gminy Rzeczniów;140904;3;0;44.67;1;1;1;0;0;0;140904;2;Rzeczniów;10343;103;4448;43;1334;1872;gw;51.058281,21.311086 51.187609,21.483734;51.122945,21.39741;140904;3800;1677;541;1352;1017;204;26;39;24.39000;60.64;12.16;1.55;2.33
Wójt Gminy Przeworsk;181406;1;0;46.00;0;1;0;0;0;0;181406;2;Przeworsk;9080;91;14892;164;1525;517;gw;50.001467,22.373699 50.116642,22.605665;50.0590545,22.489682;181406;11854;5177;1174;5113;2009;2600;96;170;18.49000;38.81;50.22;1.85;3.28
Wójt Gminy Liw;143304;2;0;48.50;0;1;0;0;0;1;143304;2;Liw;16947;169;7462;44;525;1203;gw;52.292624,21.886899 52.496526,22.142764;52.394575,22.0148315;143304;6171;2375;744;2182;719;874;65;415;23.85000;30.27;36.80;2.74;17.47
Wójt Gminy Biała;101701;1;0;60.00;0;0;0;0;0;1;101701;2;Biała;7409;74;5512;74;1790;1602;gw;51.198777,18.356214 51.325475,18.514584;51.262126,18.435399;101701;4492;1708;857;1643;901;376;124;163;33.41000;52.75;22.01;7.26;9.54
Wójt Gminy Nowe Ostrowy;100208;1;0;59.00;0;0;0;0;0;1;100208;2;Nowe Ostrowy;7155;72;3496;49;1829;2100;gw;52.260645,19.124393 52.360305,19.301479;52.310475,19.212936;100208;3008;1112;500;1038;571;219;64;120;31.02000;51.35;19.69;5.76;10.79
Wójt Gminy Kobiór;241002;2;1;54.00;0;1;0;0;0;1;241002;2;Kobiór;4819;48;4898;102;2035;1756;gw;50.040740,18.847455 50.100420,19.044912;50.07058,18.9461835;241002;3871;1918;392;1475;246;667;65;386;16.97000;12.83;34.78;3.39;20.13
Wójt Gminy Wijewo;301306;2;0;45.50;1;0;0;0;0;1;301306;2;Wijewo;6184;62;3806;62;1937;2035;gw;51.869766,16.098205 51.942368,16.290671;51.906067,16.194438;301306;2833;1261;584;1106;400;167;109;347;31.65000;31.72;13.24;8.64;27.52
Burmistrz Miasta Sanoka;181701;4;0;49.25;0;1;0;1;0;2;181701;1;Sanok;3808;38;37980;997;2104;137;gm;49.522809,22.147385 49.590270,22.283778;49.5565395,22.2155815;181701;31938;12256;1980;12150;1652;5800;719;3203;13.91000;13.48;47.32;5.87;26.13
Wójt Gminy Ostrówek;101706;1;0;58.00;0;0;0;0;0;1;101706;2;Ostrówek;10138;101;4533;45;1365;1848;gw;51.284574,18.513348 51.383625,18.757828;51.3340995,18.635588;101706;3669;1670;478;1622;1150;283;42;92;22.25000;68.86;16.95;2.51;5.51
Burmistrz Gminy Ciężkowice;121601;2;0;59.50;1;1;0;0;0;0;121601;3;Ciężkowice;10338;103;11257;109;1335;757;gmw;49.728238,20.827735 49.819563,21.045627;49.7739005,20.936681;121601;8952;3639;1011;3589;1234;1756;85;361;21.74000;33.91;48.26;2.34;9.92
Wójt Gminy Zabór;080909;2;0;50.50;0;0;0;0;0;2;080909;2;Zabór;9338;93;4211;45;1498;1930;gw;51.892049,15.603532 52.006930,15.795184;51.9494895,15.699358;080909;3148;1429;351;1228;610;152;101;317;19.72000;42.69;10.64;7.07;22.18
Wójt Gminy Wielka Wieś;120615;2;0;42.00;0;0;0;0;0;2;120615;2;Wielka Wieś;4827;48;11956;248;2034;697;gw;50.101743,19.721420 50.201584,19.898176;50.1516635,19.809798;120615;8534;3730;945;3600;677;1327;155;1093;20.21000;18.15;35.58;4.16;29.30
Wójt Gminy Parysów;140309;2;2;47.50;0;1;0;0;0;1;140309;2;Parysów;6415;64;4080;64;1914;1961;gw;51.935426,21.576783 52.028646,21.745694;51.982036,21.6612385;140309;3297;1719;554;1653;824;711;14;41;24.37000;47.93;41.36;0.81;2.39
Wójt Gminy Wojciechów;060913;5;2;49.60;1;1;0;0;0;3;060913;2;Wojciechów;8079;81;5978;74;1692;1497;gw;51.195128,22.129290 51.268943,22.342571;51.2320355,22.2359305;060913;4774;2062;495;1960;734;862;60;190;19.36000;35.60;41.80;2.91;9.21
