urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center;terytDup;uprawnieni;glosy;glosyNW;glosyLK;PSL;PiS;SLD;PO;ognw;PSLp;PiSp;SLDp;POp
Burmistrz Miasta i Gminy Górzno;040205;4;1;53.00;0;0;0;0;0;4;040205;3;Górzno;11968;120;3955;33;1061;1992;gmw;53.125617,19.539440 53.246601,19.761595;53.186109,19.6505175;040205;3191;1484;565;1413;687;462;51;182;27.57000;46.29;31.13;3.44;12.26
Burmistrz Miasta Dębicy;180301;4;0;40.50;0;1;0;0;0;3;180301;1;Dębica;3383;34;46063;1362;2139;107;gm;50.006882,21.366446 50.085020,21.465543;50.045951,21.4159945;180301;38227;16017;2023;15732;1178;7079;3793;2769;11.21000;7.35;44.20;23.68;17.29
Wójt Gminy Mszana Dolna;120709;5;0;51.00;0;0;0;0;0;5;120709;2;Mszana Dolna;17002;170;17574;103;519;412;gw;49.558641,19.990824 49.746504,20.242641;49.6525725,20.1167325;120709;13034;5318;1533;5077;1117;2589;99;944;22.38000;21.00;48.68;1.86;17.75
Wójt Gminy Koszarawa;241705;2;0;60.00;0;0;0;0;0;2;241705;2;Koszarawa;3156;32;2377;75;2160;2257;gw;49.616254,19.380151 49.680528,19.479246;49.648391,19.4296985;241705;2105;1197;469;1110;237;522;49;194;28.15000;19.80;43.61;4.09;16.21
Burmistrz Brzozowa;180201;4;0;54.25;0;1;0;0;0;3;180201;3;Brzozów;10307;103;26659;259;1338;217;gmw;49.618300,21.933100 49.753377,22.113537;49.6858385,22.0233185;180201;21601;8865;1652;8802;2664;4034;340;1225;15.71000;30.05;45.50;3.84;13.82
Wójt Gminy Troszyn;141511;1;0;63.00;0;0;0;0;0;1;141511;2;Troszyn;15630;156;4848;31;624;1771;gw;52.975551,21.626163 53.115219,21.941113;53.045385,21.783638;141511;3991;1368;471;1267;542;538;29;69;25.61000;39.62;39.33;2.12;5.04
Wójt Gminy Dobryszyce;101202;3;1;44.67;0;0;0;1;0;2;101202;2;Dobryszyce;5082;51;4393;86;2013;1886;gw;51.104535,19.351639 51.200652,19.478652;51.1525935,19.4151455;101202;3412;1566;616;1523;781;374;68;230;28.23000;49.87;23.88;4.34;14.69
Wójt Gminy Chełm;060303;2;0;48.50;0;0;0;0;0;2;060303;2;Chełm;22180;223;14646;66;254;528;gw;51.038388,23.300770 51.263753,23.593423;51.1510705,23.4470965;060303;11285;4432;691;4324;1797;907;187;1264;13.49000;40.55;20.46;4.22;28.52
Burmistrz Gminy Cedynia;320602;2;1;58.50;0;0;0;0;0;2;320602;3;Cedynia;18061;181;4339;24;442;1898;gmw;52.790092,14.122930 52.988795,14.318958;52.8894435,14.220944;320602;3561;1192;854;1097;359;151;116;385;41.74000;30.12;12.67;9.73;32.30
Prezydent Miasta Sosnowca;247501;6;2;48.67;0;1;1;1;0;3;247501;1;Sosnowiec;9106;91;204013;2240;1524;15;mm;50.225522,19.071312 50.316944,19.317924;50.271233,19.194618;247501;173067;59307;6035;50901;3672;12582;13674;15894;9.24000;6.19;21.22;23.06;26.80
Burmistrz Miasta Szczytno;281701;5;2;49.60;0;1;0;0;0;4;281701;1;Szczytno;1062;11;23500;2213;2312;275;gm;53.546688,20.959860 53.580585,21.035926;53.5636365,20.997893;281701;19927;8014;1388;7913;3298;1693;665;1867;14.76000;41.15;21.13;8.30;23.30
Wójt Gminy Mirzec;261103;1;0;48.00;0;0;0;0;0;1;261103;2;Mirzec;11111;111;8293;75;1201;1065;gw;51.076289,20.948918 51.211429,21.164137;51.143859,21.0565275;261103;6925;3838;882;3735;1276;1180;288;780;18.69000;33.25;30.75;7.50;20.32
Wójt Gminy Brańsk;200305;2;0;57.50;0;1;0;0;0;1;200305;2;Brańsk;22743;227;5837;26;236;1529;gw;52.640842,22.664262 52.858889,23.006648;52.7498655,22.835455;200305;5129;2424;462;2385;605;1550;32;96;16.01000;24.96;63.94;1.32;3.96
Wójt Gminy Jaświły;200803;2;1;48.50;0;0;0;0;0;2;200803;2;Jaświły;17549;175;5035;29;481;1718;gw;53.417844,22.847914 53.591410,23.074086;53.504627,22.961;200803;4375;1349;268;1323;532;328;12;412;16.57000;39.44;24.31;0.89;30.54
Burmistrz Gminy Rymanów;180708;1;0;59.00;0;1;0;0;0;0;180708;3;Rymanów;16663;167;15891;95;544;479;gmw;49.459876,21.773513 49.644158,21.969289;49.552017,21.871401;180708;12806;5384;1216;5350;1430;1890;1264;452;18.42000;26.56;35.10;23.48;8.40
Wójt Gminy Zgorzelec;022507;2;0;45.00;0;0;0;0;0;2;022507;2;Zgorzelec;13715;137;8489;62;814;1039;gw;51.009214,14.948113 51.216244,15.212501;51.112729,15.080307;022507;6708;2635;734;2506;377;467;1103;416;21.79000;14.31;17.72;41.86;15.79
