Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
121302;gm. Brzeszcze;Burmistrz Brzeszcz;ŚLUSARCZYK Cecylia Czesława;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW CECYLIA ŚLUSARCZYK
281601;gm. Biała Piska;Burmistrz Białej Piskiej;SOKOŁOWSKA Beata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA GMINY BIAŁA PISKA
301602;gm. Rogoźno;Burmistrz Rogoźna;OSTROWSKI Krzysztof Mariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DLA DOBRA MIESZKAŃCÓW
181610;gm. Lubenia;Wójt Gminy Lubenia;PITERA Sławomir Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄDNA GMINA LUBENIA
060708;gm. Urzędów;Burmistrz Urzędowa;ZDYBEL Tomasz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TOMASZA ZDYBLA
101608;gm. Rzeczyca;Wójt Gminy Rzeczyca;KAŹMIERCZYK Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA ZIEMIA RZECZYCKA
100401;m. Łęczyca;Burmistrz Miasta Łęczyca;LIPIŃSKI Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA LIPIŃSKIEGO
060105;gm. Janów Podlaski;Wójt Gminy Janów Podlaski;FILA Wiesław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
241602;m. Zawiercie;Prezydent Miasta Zawiercie;CHAWUŁA Beata Agnieszka;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
247501;m. Sosnowiec;Prezydent Miasta Sosnowca;CHROBAK Barbara Stanisława;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
166101;m. Opole;Prezydent Miasta Opola;KAMIŃSKA Barbara Ewa;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
101105;gm. Wartkowice;Wójt Gminy Wartkowice;PAPROCKI Arkadiusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
326201;m. Szczecin;Prezydent Miasta Szczecin;KRYSTEK Dawid Wojciech;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
201208;gm. Szypliszki;Wójt Gminy Szypliszki;BALUTA Karol;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
261301;gm. Kluczewsko;Wójt Gminy Kluczewsko;PAŁKA Rafał Hubert;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
260506;Słupia Konecka;Wójt Gminy Słupia Koneckiej;KRÓL Marian Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MARIANA KRÓLA
142701;m. Sierpc;Burmistrz Miasta Sierpc;BACZEWSKI Marcin;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
180501;m. Jasło;Burmistrz Miasta Jasła;PABIAN Ryszard Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RYSZARDA PABIANA
