razem;teryt;rok
1;160703;2018
2;181904;2018
2;140405;2018
4;060407;2018
4;146401;2018
2;320907;2018
1;020609;2018
3;060906;2018
2;101507;2018
4;160306;2018
1;142203;2018
2;040206;2018
5;061408;2018
1;301304;2018
5;181205;2018
1;140305;2018
2;200509;2018
2;102009;2018
2;140306;2018
2;102005;2018
4;140604;2018
2;080901;2018
2;260506;2018
3;080501;2018
2;060507;2018
3;280207;2018
5;142302;2018
2;061902;2018
4;080101;2018
4;142908;2018
3;141907;2018
2;120907;2018
3;180705;2018
1;241301;2018
2;041811;2018
5;261102;2018
2;101409;2018
5;241602;2018
3;261101;2018
1;181604;2018
2;180903;2018
2;241603;2018
2;062015;2018
4;281501;2018
2;101504;2018
1;221604;2018
4;142001;2018
3;221308;2018
3;181804;2018
3;260605;2018
4;181706;2018
4;300711;2018
2;060104;2018
2;120302;2018
2;041810;2018
3;021705;2018
5;220201;2018
4;247201;2018
2;060809;2018
3;062009;2018
2;142305;2018
3;320605;2018
2;120902;2018
2;100805;2018
5;121106;2018
2;201104;2018
2;201106;2018
2;281902;2018
3;260104;2018
1;220906;2018
4;121901;2018
4;301905;2018
3;121306;2018
4;301802;2018
3;160706;2018
2;141913;2018
2;200202;2018
4;220104;2018
3;220107;2018
6;101804;2018
3;281707;2018
2;300303;2018
4;321802;2018
3;022405;2018
1;141402;2018
1;041601;2018
3;021801;2018
2;300804;2018
2;080908;2018
2;261301;2018
3;021805;2018
3;120304;2018
1;102103;2018
4;221101;2018
3;180409;2018
4;080205;2018
2;041701;2018
2;101806;2018
1;120104;2018
4;143003;2018
5;141915;2018
4;141509;2018
3;260103;2018
1;081004;2018
2;180303;2018
2;260205;2018
3;022506;2018
3;061102;2018
5;281803;2018
2;260408;2018
1;240704;2018
4;220407;2018
2;061405;2018
1;240504;2018
5;060105;2018
3;101005;2018
2;022303;2018
3;320905;2018
2;261208;2018
4;060406;2018
3;121403;2018
3;220103;2018
2;022005;2018
2;240602;2018
2;121104;2018
4;160604;2018
1;041705;2018
2;180906;2018
2;100708;2018
3;121101;2018
3;320903;2018
2;120906;2018
2;301102;2018
3;180108;2018
4;226401;2018
3;220306;2018
3;143404;2018
3;062008;2018
2;060501;2018
3;281202;2018
4;141602;2018
1;120401;2018
2;321102;2018
1;142207;2018
4;321401;2018
2;240803;2018
3;141212;2018
1;160102;2018
2;260106;2018
5;100302;2018
3;141805;2018
2;302501;2018
4;286101;2018
2;060707;2018
5;146101;2018
1;060308;2018
2;180405;2018
3;260412;2018
4;141101;2018
3;101601;2018
1;020503;2018
3;100105;2018
2;041504;2018
3;041408;2018
1;240202;2018
2;101407;2018
3;160709;2018
3;021902;2018
2;241607;2018
2;200204;2018
5;121401;2018
2;302001;2018
3;221509;2018
