tryb;runda;teryt;kto;komitet;glosy;prc;glosyN;wynik
M;R1;020502;ANDRZEJEWSKI Bronisław;Komitet Wyborczy Wyborców POROZUMIENIE PRAWICY;1078;24.92;;DR
M;R1;020502;KWIATKOWSKI Marek Kamil;Koalicyjny Komitet Wyborczy SLD Lewica Razem;607;14.03;;Nie
M;R1;020502;BŁĄD Antoni Ryszard;Komitet Wyborczy Prawo i Sprawiedliwość;178;4.12;;Nie
M;R1;020503;BRZOZOWSKI Mirosław Kazimierz;Komitet Wyborczy Wyborców PRZYJAZNA GMINA;1435;56.39;;Tak
M;R1;020503;PRZYCHODZEŃ Zbigniew Teofil;Komitet Wyborczy Ochotnicza Straż Pożarna w Męcince;1110;43.61;;DR
S;R1;020504;FORYŚ Mariusz Damian;Komitet Wyborczy Wyborców „GMINA Z PRZYSZŁOŚCIĄ”;1320;100.00;;Tak
M;R1;020505;OSZCZĘDA Sebastian Paweł;Komitet Wyborczy Wyborców SEBASTIANA OSZCZĘDY;977;63.11;;Tak
M;R1;020505;WDOWIAK Monika Teresa;Komitet Wyborczy Wyborców „SAMORZĄDNI PASZOWICE”;571;36.89;;DR
M;R1;020506;JEDLECKA Elżbieta Barbara;Komitet Wyborczy Polskie Stronnictwo Ludowe;948;56.03;;Tak
M;R1;020506;MATERNIAK Franciszek;Komitet Wyborczy Prawo i Sprawiedliwość;744;43.97;;DR
M;R1;020601;MALINOWSKI Bogdan;Komitet Wyborczy Wyborców Karpacz Wspólna Sprawa;891;39.79;;DR
M;R1;020601;JĘCEK Radosław Adrian;Komitet Wyborczy Wyborców Aktywny Karpacz;608;27.15;;DR
M;R1;020601;SZPILA Lucjan Adam;Komitet Wyborczy Wyborców Lucjana Szpili Karpacz 2014;387;17.28;;Nie
M;R1;020601;KUBIK Grzegorz Piotr;Komitet Wyborczy Wyborców Karpacz Wspólnym Dobrem;353;15.77;;Nie
M;R1;020602;ZAKRZEWSKA Elżbieta;Komitet Wyborczy Wyborców Elżbiety Zakrzewskiej;1211;28.90;;DR
M;R1;020602;WIŚNIEWSKA Bożena Maria;Komitet Wyborczy Wyborców Nasze Kowary Bożena Wiśniewska;706;16.85;;DR
M;R1;020602;PIETRASZEK Kamila Anna;Komitet Wyborczy Wyborców Kamili Pietraszek;678;16.18;;Nie
M;R1;020602;WRONA Artur Krzysztof;Komitet Wyborczy Razem dla Regionu;655;15.63;;Nie
M;R1;020602;ŁUBIŃSKI Krzysztof Jan;Komitet Wyborczy Wyborców Kowarska Wspólnota Samorządowa;528;12.60;;Nie
M;R1;020602;SIEMEK Tadeusz;Komitet Wyborczy Wyborców Tadeusza Siemka i Jerzego Wrońskiego;413;9.85;;Nie
M;R1;020603;RUDOLF Witold;Komitet Wyborczy Polskie Stronnictwo Ludowe;965;35.77;;DR
M;R1;020603;KAMIŃSKI Jacek Ryszard;Komitet Wyborczy Wyborców Jacka Kamińskiego;455;16.86;;DR
M;R1;020603;PIRóG Dorota Ewa;Komitet Wyborczy Wyborców Doroty Piróg;453;16.79;;Nie
M;R1;020603;GRABIAS-BARANOWSKA Zofia;Komitet Wyborczy Wyborców Zofii Grabias-Baranowskiej;386;14.31;;Nie
M;R1;020603;SZYSZKA Piotr Stefan;Komitet Wyborczy Wyborców Piotr Szyszka;282;10.45;;Nie
M;R1;020603;KALISZ Paweł Piotr;Komitet Wyborczy Wyborców Pawła Kalisza;157;5.82;;Nie
M;R1;020604;GRAF Mirosław;Komitet Wyborczy Wyborców Gospodarni dla Miasta;973;36.83;;DR
M;R1;020604;SOKOLIŃSKI Grzegorz Janusz;Komitet Wyborczy Wyborców Teraz Szklarska;928;35.12;;DR
M;R1;020604;GŁODEK Ryszard;Komitet Wyborczy Polskie Stronnictwo Ludowe;277;10.48;;Nie
M;R1;020604;MISIEWICZ-KROGSGAARD Joanna Barbara;Komitet Wyborczy Wyborców-„Mieszkańcy”;262;9.92;;Nie
M;R1;020604;WICHNIAK Arkadiusz Cezary;Komitet Wyborczy Wyborców - Dla Mieszkańców;202;7.65;;Nie
M;R1;020605;KOWALSKI Kamil Daniel;Komitet Wyborczy Wyborców Kamila Kowalskiego;1094;71.74;;Tak
M;R1;020605;USS Andrzej Grzegorz;Komitet Wyborczy Wyborców Siła Mieszkańców;431;28.26;;DR
M;R1;020606;DUDEK EDWARD JAN;Komitet Wyborczy Wyborców Samorządność;1495;55.51;;Tak
M;R1;020606;KONIECZYŃSKA ANNA EWA;Komitet Wyborczy Platforma Obywatelska RP;1029;38.21;;DR
M;R1;020606;WĘSŁAWOWICZ MAREK JAN;Komitet Wyborczy Wyborców Silna Gmina;169;6.28;;Nie
M;R1;020607;ORMAN Michał;Komitet Wyborczy Wyborców Bliżej Ludzi;2732;75.01;;Tak
M;R1;020607;PIETROWSKI Zdzisław;Komitet Wyborczy Razem dla Regionu;910;24.99;;DR
M;R1;020608;KALATA Mirosław;Komitet Wyborczy Wyborców Mirosława Kalaty;1153;36.36;;DR
M;R1;020608;LATTO Anna Maria;Komitet Wyborczy Wyborców Anny Latto;931;29.36;;DR
M;R1;020608;BENESZ Karolina Sylwia;Komitet Wyborczy Wyborców Karoliny Benesz Nasza Gmina Nasz Dom;611;19.27;;Nie
M;R1;020608;TARSA Robert Ryszard;Komitet Wyborczy Wyborców Nasza Gmina Podgórzyn;476;15.01;;Nie
M;R1;020609;ŚWIĄTEK Zofia Małgorzata;Komitet Wyborczy Wyborców Nasza Gmina Stara Kamienica;1068;53.78;;Tak
