pbw_10074_wbp1_1;126101;248;Gimnazjum Nr 27, Kraków ul. Malborska 98, 30-624;1720;1634;1014;620;0;0;620;0;0;620;612;8
pbw_10075_wbp1_1;126101;249;Gimnazjum Nr 27, Kraków ul. Malborska 98, 30-624;1529;1466;880;586;0;0;585;0;0;585;580;5
pbw_10076_wbp1_1;126101;25;II Liceum Ogólnokształcące, Kraków-Śródmieście, Stare Miasto ul. Sobieskiego 9, 31-136;1131;1078;582;496;0;0;496;0;0;496;493;3
pbw_10077_wbp1_1;126101;250;Zarząd Infrastruktury Sportowej, Kraków ul. Sławka 10, 30-633;1006;960;545;415;0;0;415;0;0;415;412;3
pbw_10078_wbp1_1;126101;251;Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków ul. Czarnogórska 14, 30-638;1928;1896;1177;719;0;0;718;0;0;718;709;9
pbw_10079_wbp1_1;126101;252;Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków ul. Czarnogórska 14, 30-638;1046;1000;658;342;0;0;342;0;0;342;337;5
pbw_1007_wbp1_1;021904;6;Szkoła Podstawowa w Starym Jaworowie, Stary Jaworów 38, 58-140 Jaworzyna Śląska;1377;1097;523;574;0;0;574;0;0;574;556;18
pbw_10080_wbp1_1;126101;253;Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków ul. Czarnogórska 14, 30-638;2001;1909;1163;746;0;0;746;0;0;746;731;15
pbw_10081_wbp1_1;126101;254;Zespół Szkół Ogólnokształcących Integracyjnych Nr 7, Kraków ul. Czarnogórska 14, 30-638;1577;1496;856;640;0;0;640;0;0;640;636;4
pbw_10082_wbp1_1;126101;255;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;1090;1024;632;392;0;0;391;0;0;391;387;4
pbw_10083_wbp1_1;126101;256;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;1184;1119;602;517;0;0;515;0;0;515;512;3
pbw_10084_wbp1_1;126101;257;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;2000;1904;1078;826;0;0;822;0;0;822;813;9
pbw_10085_wbp1_1;126101;258;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;1527;1451;882;569;0;0;569;0;0;569;562;7
pbw_10086_wbp1_1;126101;259;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;1113;1061;552;509;0;0;509;0;0;509;505;4
pbw_10087_wbp1_1;126101;26;Małopolskie Centrum Doskonalenia Nauczycieli Ośrodek Doskonalenia Nauczycieli w Krakowie, Kraków-Śródmieście, Stare Miasto ul. Garbarska 1, 31-131;1008;964;509;455;0;0;455;0;0;455;451;4
pbw_10088_wbp1_1;126101;260;Gimnazjum Nr 28, Kraków ul. Bujaka 15, 30-611;1101;1100;607;493;0;0;495;0;2;493;493;0
pbw_10089_wbp1_1;126101;261;Szkoła Podstawowa Nr 162, Kraków ul. Stojałowskiego 31, 30-611;1050;1008;600;408;0;0;408;0;0;408;402;6
pbw_1008_wbp1_1;021904;7;Dom Strażaka w Bolesławicach, Bolesławice 51B, 58-140 Jaworzyna Śląska;698;530;238;292;0;0;292;0;0;292;277;15
pbw_10090_wbp1_1;126101;262;Szkoła Podstawowa Nr 162, Kraków ul. Stojałowskiego 31, 30-611;2006;1910;1089;821;0;0;821;0;0;821;815;6
