teryt;nr;kto;glosy;prc;totalG;urzad;mode
020802;5;URBANOWSKI Henryk Czesław;352;3.14;11215;BM Kłodzka;M
020802;6;KOWALCZYK Jerzy;230;2.05;11215;BM Kłodzka;M
020803;1;POTOCZNA Aneta Ewa;2195;50.44;4352;BM Kudowa-Zdrój;M
020803;2;MAZIARZ Piotr;1522;34.97;4352;BM Kudowa-Zdrój;M
020803;3;MIDOR-BURAK Marta Anna;511;11.74;4352;BM Kudowa-Zdrój;M
020803;4;PUNDA Michał;124;2.85;4352;BM Kudowa-Zdrój;M
020804;1;KILIŃSKI Tomasz Jacek;5468;68.43;7991;BM Nowa Ruda;M
020804;2;ZAJĄC Marcin Zdzisław;1774;22.20;7991;BM Nowa Ruda;M
020804;3;MARKOWSKA Joanna Katarzyna;749;9.37;7991;BM Nowa Ruda;M
020805;1;JELLIN Mateusz Krzysztof;820;28.79;2848;BM Polanica-Zdrój;M
020805;2;KŁONOWSKI Dariusz Antoni;671;23.56;2848;BM Polanica-Zdrój;M
020805;3;SZYMANEK Marcin Piotr;563;19.77;2848;BM Polanica-Zdrój;M
020805;4;TYNIEC Jacek;458;16.08;2848;BM Polanica-Zdrój;M
020805;5;LIPIŃSKI Tomasz;336;11.80;2848;BM Polanica-Zdrój;M
020806;1;SURMA Renata Lucyna;4251;52.25;8136;B Bystrzycy Kłodzkiej;M
020806;2;SĘGA Krystian;3662;45.01;8136;B Bystrzycy Kłodzkiej;M
020806;3;MAREK Barbara Halina;223;2.74;8136;B Bystrzycy Kłodzkiej;M
020807;1;TUR Zbigniew Józef;3818;61.77;6181;WG Kłodzko;M
020807;2;BOGDAŁ Marek Piotr;1499;24.25;6181;WG Kłodzko;M
020807;3;KRÓLIKOWSKI Marek Grzegorz;864;13.98;6181;WG Kłodzko;M
020808;1;KACZMARCZYK Roman;1429;41.87;3413;B Lądka-Zdroju;M
020808;2;SZKUDLAREK Kazimierz Rafał;1047;30.68;3413;B Lądka-Zdroju;M
020808;3;ŁAKUCEWICZ Dorota Barbara;582;17.05;3413;B Lądka-Zdroju;M
020808;4;ŁUKASIEWICZ Zbigniew Franciszek;276;8.09;3413;B Lądka-Zdroju;M
020808;5;WĘDZIŃSKI Dariusz Sebastian;79;2.31;3413;B Lądka-Zdroju;M
020809;1;KLIMEK-SZYMANOWICZ Joanna Barbara;524;61.07;858;WG Lewin Kłodzki;M
020809;2;WYPART Grzegorz Aleksander;168;19.58;858;WG Lewin Kłodzki;M
020809;3;WIEJKUT Tadeusz Antoni;166;19.35;858;WG Lewin Kłodzki;M
020810;1;KORCZAK Tomasz;1629;51.65;3154;BMG Międzylesie;M
020810;2;CZECH Łukasz;727;23.05;3154;BMG Międzylesie;M
020810;3;RUSINEK Krzysztof Bronisław;661;20.96;3154;BMG Międzylesie;M
020810;4;GLIŃSKI Marek Oktawian;137;4.34;3154;BMG Międzylesie;M
020811;1;MIERZEJEWSKA Adrianna;2148;44.17;4863;WG Nowa Ruda;M
020811;2;KOŁODZIEJ Wojciech Marcin;1618;33.27;4863;WG Nowa Ruda;M
