teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020505;2;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;===;R1;020505;2;SOWA Elżbieta;56;wyższe;Zębowice,;327;18.28;-1;Nie
020505;2;50.943981,16.021512 51.052305,16.240363;50.998143,16.1309375;===;R1;020505;3;WDOWIAK Monika Teresa;46;wyższe;Kłonice,;403;22.53;-1;Nie
020506;2;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;===;R1;020506;1;JEDLECKA Elżbieta Barbara;45;wyższe;Mierczyce,;1239;63.34;-1;Tak
020506;2;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;===;R1;020506;2;STEFANISZEK Norbert Nikodem;42;wyższe;Wądroże Wielkie,;96;4.91;-1;Nie
020506;2;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;===;R1;020506;3;SZOZDA Krzysztof Andrzej;53;wyższe;Skała,;182;9.30;-1;Nie
020506;2;51.057922,16.255186 51.149512,16.480191;51.103717,16.3676885;===;R1;020506;4;TRELA Aneta Maria;45;średnie;Wądroże Wielkie,;439;22.44;-1;Nie
020601;1;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;===;R1;020601;1;DERECZENIK Violeta Maria;59;wyższe;Karpacz,;477;22.08;-1;Nie
020601;1;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;===;R1;020601;2;JĘCEK Radosław Adrian;43;wyższe;Karpacz,;1115;51.62;-1;Tak
020601;1;50.735943,15.680274 50.791791,15.808323;50.763867,15.7442985;===;R1;020601;3;MALINOWSKI Bogdan;69;wyższe;Karpacz,;568;26.30;-1;Nie
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;===;R1;020602;1;KOZŁOWSKI Jacek;49;zawodowe;Kowary,;188;4.48;-1;Nie
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;===;R1;020602;2;ŁUBIŃSKI Krzysztof Jan;57;wyższe;Kowary,;196;4.67;-1;Nie
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;===;R1;020602;3;OLSZEWSKI Andrzej Dominik;33;wyższe;Karpacz,;627;14.95;-1;Nie
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;===;R1;020602;4;PITUCH Paweł Karol;33;wyższe;Kowary,;1247;29.73;-1;Druga tura
020602;1;50.742721,15.791700 50.814725,15.893832;50.778723,15.842766;===;R1;020602;5;ZAKRZEWSKA Elżbieta;55;wyższe;Kowary,;1937;46.17;-1;Druga tura
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;1;BURCHACKI Radosław Antoni;42;wyższe;Piechowice,;586;20.91;-1;Nie
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;2;KAMIŃSKI Jacek Ryszard;55;wyższe;Piechowice,;421;15.02;-1;Nie
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;3;KUBIELSKI Jacek;55;wyższe;Piechowice,;688;24.55;-1;Druga tura
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;4;MAZUR Rafał Piotr;45;wyższe;Piechowice,;292;10.42;-1;Nie
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;5;PIRÓG Dorota Ewa;44;wyższe;Piechowice,;628;22.40;-1;Druga tura
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;6;SMOLCZYŃSKI Leon Ignacy;59;średnie;Piechowice,;83;2.96;-1;Nie
020603;1;50.776117,15.534677 50.879360,15.640634;50.8277385,15.5876555;===;R1;020603;7;WOJTAŚ Waldemar;57;wyższe;Piechowice,;105;3.75;-1;Nie
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;1;BIELAŃCZYK Katarzyna Edyta;44;średnie;Szklarska Poręba,;135;4.96;-1;Nie
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;2;BOGUSZ Łukasz Grzegorz;37;średnie;Szklarska Poręba,;82;3.01;-1;Nie
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;3;GRAF Mirosław;59;wyższe;Szklarska Poręba,;1265;46.51;-1;Druga tura
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;4;RZEPCZYŃSKI Ryszard Bogusław;52;wyższe;Karpacz,;604;22.21;-1;Druga tura
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;5;SOKOLIŃSKI Grzegorz Janusz;58;wyższe;Szklarska Poręba,;472;17.35;-1;Nie
020604;1;50.775794,15.366177 50.853008,15.566669;50.814401,15.466423;===;R1;020604;6;WONDOŁOWSKA-GRABOWSKA Anna;56;wyższe;Krzeszów,;162;5.96;-1;Nie
020605;2;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705;===;R1;020605;1;KOWALSKI Kamil Daniel;44;wyższe;Trzcińsko,;984;55.10;-1;Tak
020605;2;50.834695,15.833763 50.950241,15.961978;50.892468,15.8978705;===;R1;020605;2;PAWŁOWICZ Anita Maria;45;wyższe;Janowice Wielkie,;802;44.90;-1;Nie
020606;2;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;===;R1;020606;1;DUDEK Edward Jan;53;wyższe;Jeżów Sudecki,;1702;59.26;-1;Tak
020606;2;50.909469,15.633367 51.013184,15.836494;50.9613265,15.7349305;===;R1;020606;2;ROSÓŁ Paweł Tadeusz;39;średnie;Jeżów Sudecki,;1170;40.74;-1;Nie
