pgnw_psl;pgnw_pis;pgn_po;pgnw;psl;pis;po;teryt;powiat;powiatsrodek;bbpowiat
0.4942295867;-0.380458373;-0.311542534;24.631566;17.824352;19.964269;23.155358;0225;zgorzelecki;51.2488827 15.1457788;51.4640072 15.3398409 50.861913 14.816831
0.4887584564;-0.352151281;-0.436834350;13.382105;13.972397;19.393077;29.178774;2462;m.Bytom;50.3483816 18.9157175;50.4135476 18.9649573 50.3166378 18.7883618
0.4867253767;-0.335363976;-0.348078208;14.461111;13.553007;26.550955;37.313599;2263;m.Słupsk;54.464148 17.0284824;54.4984131 17.1050763 54.4227902 16.9511949
0.4854837934;-0.705998156;-0.520700047;20.018679;26.107214;29.164450;31.233466;0610;łęczyński;51.3239456 22.954777;51.430393 23.2690684 51.1744501 22.664938
0.4852719218;-0.238644502;-0.336457061;22.255532;13.049540;28.294718;24.719891;2412;rybnicki;50.1150463 18.5396599;50.1838315 18.6567983 50.0354066 18.4417364
0.4821096050;-0.244831286;-0.508812637;23.995625;24.058720;18.778430;27.721865;3030;wrzesiński;52.1944562 17.6256124;52.418693 17.8329779 52.0629622 17.3470191
0.4817800424;-0.513470987;0.038369293;14.349811;15.910771;54.795361;19.088252;1808;leżajski;50.2819824 22.4790327;50.4001071 22.6877561 50.1237121 22.1887753
0.4800629619;-0.296856413;-0.326161733;24.721860;19.933760;19.172609;36.167222;0226;złotoryjski;51.1557753 15.8337662;51.2614282 16.0625928 50.920083 15.6960701
0.4781003918;-0.059253181;-0.125120708;20.620685;12.921478;26.236159;13.780217;0211;lubiński;51.4411622 16.2519212;51.6130171 16.4820802 51.270517 16.0041239
0.4775809768;-0.354444634;-0.352442027;12.379661;7.360609;16.565209;31.319017;2463;m.Chorzów;50.2974884 18.9545728;50.3378399 19.0069138 50.2390432 18.9192347
0.4697030814;-0.176613783;-0.119605404;21.457647;20.482023;17.927088;35.937601;3201;białogardzki;53.9938442 16.0579779;54.1456432 16.4569384 53.8090774 15.7191219
0.4681085182;-0.558300527;-0.340413231;26.491404;20.240914;28.037052;28.767379;3206;gryfiński;52.9356926 14.5010217;53.3661601 14.8777252 52.6803381 14.1223531
0.4645598067;-0.230423733;-0.530146347;24.086119;18.826321;23.354850;42.791910;2202;chojnicki;53.7745398 17.7291612;54.0313038 18.140249 53.5701428 17.2952948
0.4613589095;-0.339603184;-0.163438954;20.128929;54.613115;23.398893;10.210226;1013;rawski;51.7339951 20.3801744;51.8915852 20.6591903 51.632172 20.1115164
0.4613230985;-0.312406863;-0.325297225;27.386053;28.969894;19.036237;17.824370;3025;średzki(wielkopolskie);52.1512246 17.334844;52.3498001 17.5222751 52.0105531 17.090861
0.4605724671;-0.010312384;-0.113561887;18.989174;15.273049;26.606504;32.962291;2403;cieszyński;49.7374201 18.8311872;49.938136 19.0173783 49.5144259 18.5656841
0.4599484481;-0.539269308;-0.526190492;14.577407;19.433321;24.209781;27.982025;3061;m.Kalisz;51.7672799 18.0853462;51.7936859 18.1577838 51.7006782 17.9963248
0.4595657380;-0.520671145;-0.684462074;21.553333;48.372162;25.194912;9.320063;1402;ciechanowski;52.8568747 20.5532;53.1047682 20.9405632 52.69954 20.2114103
0.4593238378;-0.583967123;-0.611712325;8.451429;6.066299;22.989668;55.442798;2264;m.Sopot;54.441581 18.5600956;54.4639775 18.5909821 54.4198742 18.5042107
0.4591064526;-0.374558887;-0.521824434;7.628853;6.880653;27.468562;48.073248;2261;m.Gdańsk;54.3520252 18.6466384;54.4472188 18.9482841 54.2749559 18.4287748
0.4572164401;-0.297242627;-0.272456645;9.321880;9.045109;29.510608;23.049154;2464;m.Częstochowa;50.8118195 19.1203094;50.889333 19.2351065 50.7293083 19.0104358
0.4571631328;-0.310213446;-0.462527563;8.815745;7.516753;24.645568;33.625847;3262;m.Szczecin;53.4285438 14.5528116;53.5376599 14.8061335 53.3217326 14.4431137
0.4555613006;-0.297768567;-0.479630816;10.844783;7.516364;21.208152;36.239522;2466;m.Gliwice;50.2944923 18.6713802;50.3752324 18.7546441 50.2272469 18.5445885
0.4544256768;-0.442486406;-0.629701200;19.774687;43.255968;29.691448;13.811200;0611;łukowski;51.8950983 22.1028722;52.0705021 22.635733 51.6372739 21.8451194
0.4542975730;-0.479636896;-0.028824358;28.598485;24.491876;28.085446;23.334849;3002;czarnkowsko-trzcianecki;52.9079232 16.3653689;53.1319172 16.7999801 52.7248189 15.8933749
0.4534569362;-0.454350096;-0.562292947;23.400133;38.024990;21.698267;22.936208;1002;kutnowski;52.257219 19.4090901;52.3940561 19.7641953 52.1086249 19.030996
0.4525862489;-0.397201514;-0.451274466;25.372000;19.988619;28.577788;18.748896;3003;gnieźnieński;52.5014671 17.6288321;52.738752 17.9913559 52.3677779 17.1505739
0.4522983548;-0.129992096;-0.390310506;14.543500;28.461671;32.284115;18.135137;1417;otwocki;52.085743 21.3466091;52.2284249 21.580183 51.8695541 21.1699812
0.4513551984;-0.521850339;-0.544662953;21.277083;25.126611;36.181238;20.109731;1001;bełchatowski;51.3657008 19.2352119;51.554897 19.5002957 51.181892 18.8563678
0.4509569707;-0.321692946;-0.360921809;10.670513;7.808022;18.032825;31.399446;2474;m.Siemianowice Śląskie;50.3264314 19.0295714;50.3498807 19.0615134 50.2756467 18.985562
0.4493469575;-0.657795428;-0.644004997;26.858000;39.111662;26.616103;19.597877;2811;nidzicki;53.3178578 20.4868715;53.5317227 20.8171058 53.2144797 20.1798881
0.4489436153;0.041388889;-0.265328283;11.686667;8.542653;19.512352;26.095337;3263;m.Świnoujście;53.9100327 14.2475775;53.9315572 14.4188813 53.8033239 14.185101
0.4485417371;0.002330890;-0.274835790;20.441429;13.347621;14.458471;50.643468;0221;wałbrzyski;50.7593258 16.219723;50.8859889 16.4933833 50.6272109 16.067282
0.4475260293;-0.392305411;-0.482277563;14.044167;15.855647;28.612970;33.874159;2861;m.Elbląg;54.1560613 19.4044897;54.2632277 19.5100232 54.1343691 19.3593701
0.4445797972;-0.296335460;-0.287827065;9.253839;12.940642;35.669070;30.815637;1463;m.Radom;51.4027236 21.1471333;51.4814862 21.2585886 51.3486449 21.0493592
0.4414509246;-0.540070034;-0.779118184;21.270476;23.327323;9.121824;55.011159;2818;gołdapski;54.2564043 22.2855339;54.3637778 22.8058724 54.1580198 21.9380045
0.4409627167;-0.250152435;-0.414804854;21.975435;31.149240;25.239426;23.576807;1602;głubczycki;50.1746942 17.8417937;50.3245687 18.072085 49.9724791 17.5927358
0.4371436745;-0.182887177;-0.577261366;24.281818;25.801256;13.517444;18.516138;0805;słubicki;52.3368449 14.7479227;52.5764176 15.043873 52.0695969 14.534127
0.4367652368;-0.445358294;-0.630555217;27.759074;35.134080;19.853759;22.406822;0401;aleksandrowski;52.8153832 18.7182522;52.9326998 18.9330665 52.6355169 18.5000348
0.4350373115;-0.372206809;-0.344351733;18.785537;22.120034;34.468444;24.802429;2002;białostocki;53.1466813 23.1468403;53.1885513 23.2471711 53.0666992 23.0649605
0.4319991693;-0.284378064;-0.316584749;19.211370;36.057326;35.981859;11.642365;2605;konecki;51.1305948 20.3261702;51.3421558 20.7027395 50.9604139 19.9816431
0.4308125581;-0.159442970;-0.526883235;24.330233;24.804521;12.094102;23.101814;3028;wągrowiecki;52.7845797 17.2145897;53.084185 17.5282612 52.5670012 17.0024427
0.4277678109;-0.473371689;-0.565811813;9.407879;12.506258;24.795372;39.342814;0862;m.Zielona Góra;51.9356214 15.5061862;51.9867939 15.585374 51.888703 15.4381793
0.4270122654;-0.307861754;-0.464647084;24.734151;34.292741;15.055603;29.510328;3204;goleniowski;53.5954578 14.8616314;53.819277 15.327187 53.4029801 14.5230769
0.4260067489;-0.273639113;-0.477224244;26.795000;36.868653;13.944741;27.371535;3029;wolsztyński;52.0666964 16.117593;52.2466649 16.4657179 51.93105 15.8330763
0.4253297333;-0.381300957;-0.525610768;26.086552;56.425599;19.143354;6.879189;1413;mławski;53.0587382 20.4275093;53.2699253 20.72832 52.8406021 20.0256948
0.4236775160;-0.122784533;-0.374516979;17.286512;10.071471;21.756448;31.375139;3211;policki;53.6073945 14.4111139;53.7438307 14.6358178 53.2744874 14.2681643
0.4222099299;-0.489027310;-0.429774399;22.461220;51.615095;24.865281;6.907028;1409;lipski;51.1606164 21.5681301;51.3040692 21.8190497 51.0132082 21.3127504
0.4216318109;-0.543848978;-0.534675002;10.289041;10.449889;36.880439;36.001934;1263;m.Tarnów;50.0121011 20.9858407;50.0665457 21.0623702 49.9857418 20.891442
0.4197073464;-0.198880588;-0.316912916;18.486517;15.844539;28.021245;32.879452;1203;chrzanowski;50.0967994 19.4651009;50.2291302 19.6290677 50.0081176 19.2568134
0.4187720750;-0.513519457;-0.517201824;24.348817;27.760198;23.779965;27.211829;2213;starogardzki;53.8589184 18.3428483;54.1431212 18.7345328 53.655062 18.06379
0.4168477054;-0.547048402;-0.584533466;22.341127;22.601896;18.684334;40.287302;2214;tczewski;53.8792936 18.7785139;54.1540982 18.8861531 53.6839132 18.5500159
0.4161384427;-0.353101074;-0.285970153;17.462759;22.995941;28.629707;28.567813;1008;pabianicki;51.6827392 19.2965652;51.832102 19.4763297 51.5221638 18.9993728
0.4136316415;-0.474453904;-0.401087301;15.485962;26.816689;24.944136;27.143076;1405;grodziski(mazowieckie);52.0796591 20.5429688;52.2024171 20.7939194 51.9237599 20.3941186
0.4128224363;-0.256352905;-0.313939277;26.371111;26.255204;18.657604;30.576190;3203;drawski;53.4667222 15.8425874;53.6939993 16.4577835 53.200625 15.584616
0.4100230444;-0.285115347;-0.488201826;22.153881;49.371866;14.728451;19.015126;2807;iławski;53.6522976 19.6031833;53.9169717 19.9475338 53.4327709 19.128516
0.4089877285;-0.625167340;-0.658060453;25.134630;27.858102;27.413990;22.596880;2805;ełcki;53.7888026 22.3323582;54.0074429 22.7853504 53.6279227 22.0238991
0.4074727105;-0.421370853;-0.604031339;24.512500;36.716005;27.134891;18.149598;1014;sieradzki;51.6402292 18.6359815;51.8543149 18.880173 51.351618 18.3266409
0.4071828415;-0.294456466;-0.311529521;14.149111;9.629023;23.441301;27.656272;3062;m.Konin;52.2230334 18.2510729;52.3286959 18.3324159 52.1822806 18.1923234
0.4052841268;-0.170363610;-0.327891039;21.264688;26.728813;18.764020;29.653815;0403;bydgoski;53.118252 18.0749923;53.2094777 18.1985436 53.0418966 17.8738706
0.4033597672;-0.170708086;-0.546413694;11.721014;9.657775;33.703452;27.105990;2473;m.Rybnik;50.1021742 18.5462847;50.1838315 18.6567983 50.0354066 18.4417364
0.3988764561;-0.496322847;-0.494975364;18.449740;38.769816;28.915378;13.963291;1016;tomaszowski(mazowieckie);51.6219819 20.0241626;51.7735943 20.426749 51.4204739 19.7077372
0.3982923060;-0.380315744;-0.210635076;17.831714;10.749217;18.856828;43.235931;2411;raciborski;50.1203652 18.1814454;50.2582381 18.5032638 49.9156762 18.03475
