19;3;PO;HALICKI Andrzej Witold;3369;0.29;T
19;4;PO;FABISIAK Joanna;7552;0.66;T
19;5;PO;HIBNER Jolanta Emilia;6816;0.59;T
19;6;PO;CZUMA Andrzej;4344;0.38;T
19;10;PO;KOSECKI Roman Jacek;6847;0.60;T
19;16;PO;TYSZKIEWICZ Krzysztof Adam;3330;0.29;T
19;17;PO;DĄBROWSKA Alicja;2885;0.25;T
19;21;PO;ROSS Tadeusz Edward;2712;0.24;T
19;26;PO;SZCZERBA Michał Roch;2372;0.21;T
19;1;SLD;BOROWSKI Marek Stefan;75493;6.59;T
19;2;SLD;KALISZ Ryszard Roman;37623;3.28;T
20;1;PiS;DORN Ludwik Stanisław;81696;17.74;T
20;2;PiS;BŁASZCZAK Mariusz;10061;2.18;T
20;3;PiS;SZYSZKO Jan Feliks;15623;3.39;T
20;22;PiS;SIKORA Anna;9264;2.01;T
20;1;PO;KOMOROWSKI Bronisław Maria;139320;30.25;T
20;2;PO;SMIRNOW Andrzej;10546;2.29;T
20;3;PO;ZAKRZEWSKA Jadwiga Teresa;7593;1.65;T
20;4;PO;OLECHOWSKA Alicja Danuta;6461;1.40;T
20;19;PO;DURKA Zenon;7761;1.69;T
20;1;PSL;PIECHOCIŃSKI Janusz;13259;2.88;T
20;1;SLD;BALICKI Marek Zbigniew;19034;4.13;T
21;1;PiS;DĄBKOWSKA-CICHOCKA Lena;18394;4.99;T
21;2;PiS;KŁOSOWSKI Sławomir;13357;3.62;T
21;13;PiS;RELIGA Jan Andrzej;9093;2.47;T
21;1;PO;KORZENIOWSKI Leszek Sylwester;35912;9.74;T
21;2;PO;JAZŁOWIECKA Danuta;24859;6.75;T
21;3;PO;JARMUZIEWICZ Tadeusz;18447;5.01;T
21;4;PO;WĘGRZYN Robert;10132;2.75;T
21;6;PO;KRUPA Adam;8122;2.20;T
21;8;PO;BUŁA Andrzej;6301;1.71;T
21;22;PO;TUSK Łukasz Maciej;20931;5.68;T
21;1;PSL;RAKOCZY Stanisław;7146;1.94;T
21;2;Komitet Wyborczy Wyborców "Mniejszość Niemiecka";GALLA Ryszard;8193;2.22;T
21;1;SLD;GARBOWSKI Tomasz;13651;3.70;T
22;1;PiS;KUCHCIŃSKI Marek Tadeusz;35060;10.62;T
22;2;PiS;ZAJĄC Stanisław;32962;9.98;T
22;3;PiS;ĆWIERZ Andrzej Bogusław;6903;2.09;T
22;4;PiS;GOLBA Mieczysław Józef;12044;3.65;T
22;6;PiS;BABINETZ Piotr Mieczysław;8403;2.54;T
22;20;PiS;BURY Jan;6652;2.01;T
22;1;PO;ŁUKACIJEWSKA Elżbieta Katarzyna;25011;7.57;T
22;2;PO;KULESZA Tomasz Jerzy;9296;2.82;T
22;13;PO;TOMAŃSKI Piotr;11578;3.51;T
22;1;PSL;KASPRZAK Mieczysław;10331;3.13;T
22;1;SLD;POMAJDA Wojciech Tadeusz;11015;3.34;T
23;1;PiS;GĘSICKA Grażyna;28982;5.90;T
23;2;PiS;OŻÓG Stanisław;38687;7.87;T
23;4;PiS;SZLACHTA Andrzej;16319;3.32;T
23;5;PiS;CHMIELOWIEC Zbigniew Michał;17243;3.51;T
23;6;PiS;MOSKAL Kazimierz Marian;21612;4.40;T
23;7;PiS;GOŁOJUCH Kazimierz Edward;12781;2.60;T
23;11;PiS;POPIOŁEK Krzysztof Andrzej;13467;2.74;T
23;30;PiS;BŁĄDEK Antoni;10642;2.17;T
