"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jarosław Górczyński";"PSL";"10/12";3022,48;1348,96;1862,21;0;0;0;-91,73;0;6325,38;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Andrzej Halicki";"PO";"10/12";3017,15;1348,96;1862,21;0;0;0;-9,96;0;6238,28;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Hofman";"PiS";"10/12";3040;1585,29;1361,52;0;0;0;-49,21;0;6036,02;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Stanisław Huskowski";"PO";"10/12";2231,34;703,29;1076,04;0;0;0;-65,59;0;4076,26;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Tadeusz Iwiński";"SLD";"10/12";3006,49;1054,96;1463,41;0;0;0;-4,76;0;5529,62;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Mariusz Antoni Kamiński";"PiS";"10/12";3040;1585,29;1800,72;0;0;0;-32,24;0;6458,25;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jan Kaźmierczak";"PO";"10/12";2314,33;1227,87;1396,66;0;0;0;-66,94;0;5005,8;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Arkadiusz Mularczyk";"SP";"10/12";3017,15;1054,96;1396,66;0;0;0;-10,51;0;5479,28;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Mirosława Nykiel";"PO";"10/12";3539,04;997,29;1396,66;0;0;0;-7,46;0;5940,45;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Elżbieta Radziszewska";"PO";"10/12";3017,15;1348,96;1862,21;0;0;0;-14,01;0;6242,33;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Adam Rogacki";"PiS";"10/12";3040;1585,29;1800,72;0;0;0;-48,94;0;6474,95;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
23;"21-27.01.2012";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Łukasz Zbonikowski";"PiS";"10/12";3040;1879,29;2125,73;0;0;0;-41,88;0;7086,9;"ZPRE  1 część sesji 2012";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
24;"22-23.01.2012";"WIELKA BRYTANIA: Londyn";"WIELKA BRYTANIA, Londyn";"Joanna Fabisiak";"PO";"11/12";2794,74;458,12;451,26;0;0;0;-37,36;0;3741,48;"LPG Posiedzenie Kapituły Nagrody 'Człowiek Roku'";"51.5073509 -0.1277583 0";1449.8;"<LineString><coordinates>-0.1277583,51.5073509 21.028075,52.225208</coordinates></LineString>"
25;"23-24.01.2012";"SŁOWACJA Casta Papiernicka";"SŁOWACJA, Casta Papiernicka";"Andrzej Gałażewski";"PO";"8/12";2847,84;147,97;0;0;0;0;0;0;2995,81;"SUE  Spotkanie komisji właściwych ds. europejskich Grupy Wyszehradzkiej";"48.4001794 17.3576055 0";498.7;"<LineString><coordinates>17.3576055,48.4001794 21.028075,52.225208</coordinates></LineString>"
25;"23-24.01.2012";"SŁOWACJA Casta Papiernicka";"SŁOWACJA, Casta Papiernicka";"Agnieszka Pomaska";"PO";"8/12";3043,95;147,97;0;0;0;0;0;0;3191,92;"SUE  Spotkanie komisji właściwych ds. europejskich Grupy Wyszehradzkiej";"48.4001794 17.3576055 0";498.7;"<LineString><coordinates>17.3576055,48.4001794 21.028075,52.225208</coordinates></LineString>"
25;"23-24.01.2012";"SŁOWACJA Casta Papiernicka";"SŁOWACJA, Casta Papiernicka";"Krzysztof Szczerski";"PiS";"8/12";2847,84;147,97;0;0;0;0;0;0;2995,81;"SUE  Spotkanie komisji właściwych ds. europejskich Grupy Wyszehradzkiej";"48.4001794 17.3576055 0";498.7;"<LineString><coordinates>17.3576055,48.4001794 21.028075,52.225208</coordinates></LineString>"
25;"23-24.01.2012";"SŁOWACJA Casta Papiernicka";"SŁOWACJA, Casta Papiernicka";"Andrzej Sztorc";"PSL";"8/12";2847,84;147,97;0;0;0;0;0;0;2995,81;"SUE  Spotkanie komisji właściwych ds. europejskich Grupy Wyszehradzkiej";"48.4001794 17.3576055 0";498.7;"<LineString><coordinates>17.3576055,48.4001794 21.028075,52.225208</coordinates></LineString>"
26;"25-26.01.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Maciej Mroczek";"TR";"12/12";2238,01;357,33;518,55;0;0;0;0;0;3113,89;"Na zaproszenie francuskiej Grupy ds. Kosmosu";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
26;"25-26.01.2012";"FRANCJA Paryż";"FRANCJA, Paryż";"Bogusław Wontor";"SLD";"12/12";2238,01;357,33;518,55;0;0;0;0;0;3113,89;"Na zaproszenie francuskiej Grupy ds. Kosmosu";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
27;"26.01.2012";"HOLANDIA Haga";"HOLANDIA, Haga";"Robert Biedroń";"TR";"16/12";0;0;0;0;0;0;0;0;0;"SPC  Seminarium na temat roli parlamentów w walce z handlem ludźmi";"52.0704978 4.3006999 0";1139.1;"<LineString><coordinates>4.3006999,52.0704978 21.028075,52.225208</coordinates></LineString>"
28;"26-27.01.2012";"SZWECJA Sztokholm";"SZWECJA, Sztokholm";"Jerzy Wenderlich";"SLD";"19/12";3349,98;100,47;681,24;0;0;0;-1,68;0;4133,37;"Udział w Międzynarodowym Dniu Pamięci o Ofiarach Holokaustu,uroczystości z okazji skandynawskiej premiery filmu dokumentalnego 'Tam gdzie rosną porzeczki'";"59.3293235 18.0685808 0";811.2;"<LineString><coordinates>18.0685808,59.3293235 21.028075,52.225208</coordinates></LineString>"
29;"29-30.01.2012";"DANIA: Kopenhaga";"DANIA, Kopenhaga";"Agnieszka Pomaska";"PO";"13/12";2890,6;297,42;515,6;0;0;0;0;0;3703,62;"SUE  Spotkanie Przewodniczących Komisji do Spraw Unijnych Parlamentów Unii Europejskiej (COSAC)";"55.6760968 12.5683371 0";672.9;"<LineString><coordinates>12.5683371,55.6760968 21.028075,52.225208</coordinates></LineString>"
30;"29-31.01.2012";"LITWA: Wilno";"LITWA, Wilno";"Tadeusz Aziewicz";"PO";"17/12";2489,01;508,51;649,55;0;0;0;-1,84;0;3648,91;"Międzynarodowy Program Staży Parlamentarnych";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
31;"30-31.01.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Jadwiga Zakrzewska";"PO";"14/12";2775,31;106,09;0;0;0;0;0;0;2881,4;"ZP NATO  Konferencja 'Bundeswehra- Wojsko Polskie: Długa Droga do Sojuszu'";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
32;"30.01- 1.02.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Andrzej Rozenek";"TR";"15/12";2489,87;682,02;1189,97;0;0;0;-1,81;0;4363,67;"OBN Doroczna konferencja Europejskiej Agencji Obrony";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
33;"6-7.02.2012";"NIEMCY: Berlin";"NIEMCY, Berlin";"Marek Krząkała";"PO";"22/12";2762,65;368,13;292,04;0;0;0;-2,86;0;3425,68;"Międzynarodowy Program Staży Parlamentarnych";"52.5200066 13.404954 0";518.4;"<LineString><coordinates>13.404954,52.5200066 21.028075,52.225208</coordinates></LineString>"
34;"7-11.02.2012";"ROSJA: Moskwa";"ROSJA, Moskwa";"Tadeusz Iwiński";"SLD";"23/12";0;0;0;0;0;0;0;0;0;"ZPRE  Wybory prezydenckie w Rosji (misja przedwyborcza)";"55.755826 37.6173 0";1150.1;"<LineString><coordinates>37.6173,55.755826 21.028075,52.225208</coordinates></LineString>"
35;"8-12.02.2012";"USA: Waszyngton";"USA, Waszyngton";"Anna Fotyga";"PiS";"25/12";0;813,24;0;0;0;0;0;0;813,24;"Na zaproszenie Conservattive Political Action Committee";"38.9071923 -77.0368707 0";7179.5;"<LineString><coordinates>-77.0368707,38.9071923 21.028075,52.225208</coordinates></LineString>"
36;"11-14.02.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Jan Dziedziczak";"PiS";"24/12";2691,34;746,57;1769,71;0;0;0;-1,19;0;5208,81;"ZP NATO  Komisja Polityczna, Obrony i Bezpieczeństwa oraz Ekonomiczna i Bezpieczeństwa";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
36;"11-14.02.2012";"BELGIA Bruksela";"BELGIA, Bruksela";"Anna Fotyga";"PiS";"24/12";2692,04;564,12;1179,81;0;0;0;-3,28;0;4439,25;"ZP NATO  Komisja Polityczna, Obrony i Bezpieczeństwa oraz Ekonomiczna i Bezpieczeństwa";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
