"Lp";"Data";"Gdzie";"PanstwoMiasto";"Posel";"Klub";"NrWnioski";"Ktransp";"Kdiet";"Khoteli";"Kdojazdow";"Ubezp";"WydatkFundusz";"RozniceKurs";"Zaliczki";"Klacznie";"PoCo";"Coords";"Dist";"Kmlline"
612;"12-15.03.2014";"FRANCJA Paryż";"FRANCJA, Paryż";"Łukasz Zbonikowski";"PiS";"60/14";2410;1107,88;1633,33;0;34,28;0;-9,33;0;5194,82;"ZPRE  Komisja ds. Społecznych, Zdrowia i Zrównoważonego Rozwoju oraz Komisja ds. Migracji, Uchodźców i Osób Przesiedlonych";"48.856614 2.3522219 0";1367.7;"<LineString><coordinates>2.3522219,48.856614 21.028075,52.225208</coordinates></LineString>"
613;"13-17.03.2014";"SERBIA Belgrad";"SERBIA, Belgrad";"Andrzej Dera";"SP";"71/14";2461,18;1113,19;1861,49;0;85,85;745,45;-3,1;0;6270,26;"ZP OBWE  Obserwacja wyborów parlamentarnych";"44.816667 20.466667 0";824.9;"<LineString><coordinates>20.466667,44.816667 21.028075,52.225208</coordinates></LineString>"
613;"13-17.03.2014";"SERBIA Belgrad";"SERBIA, Belgrad";"Henryk Smolarz";"PSL";"71/14";2724,37;1013,81;1807,99;0;85,85;745,45;-4,26;0;6381,73;"ZP OBWE  Obserwacja wyborów parlamentarnych";"44.816667 20.466667 0";824.9;"<LineString><coordinates>20.466667,44.816667 21.028075,52.225208</coordinates></LineString>"
614;"15-20.03.2014";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Franciszek Jerzy Stefaniuk";"PSL";"75/14";1809,65;2478,38;3054,74;0;103,02;0;0;0;7445,79;"UM  130 sesja Zgromadzenia Unii Międzyparlamentarnej";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
614;"15-20.03.2014";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Damian Raczkowski";"PO";"75/14";1809,65;1559,15;1832,85;0;68,68;0;0;0;5270,33;"UM  130 sesja Zgromadzenia Unii Międzyparlamentarnej";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
614;"15-20.03.2014";"SZWAJCARIA Genewa";"SZWAJCARIA, Genewa";"Bożenna Bukiewicz";"PO";"75/14";0;0;0;0;0;0;-177,33;0;177,33;"UM  130 sesja Zgromadzenia Unii Międzyparlamentarnej";"46.1983922 6.1422961 0";1268.6;"<LineString><coordinates>6.1422961,46.1983922 21.028075,52.225208</coordinates></LineString>"
615;"16-17.03.2014";"MOŁDAWIA Kiszyniów";"MOŁDAWIA, Kiszyniów";"Andrzej Halicki";"PO";"82/14";3838,86;475;363,02;0;34,34;0;0;0;4711,22;"ZPRPRM  Posiedzenie Prezydium Zgromadzenia Parlamentarnego Rzeczypospolitej Polskiej i Republiki Mołdawii";"47 28.916667 0";812.0;"<LineString><coordinates>28.916667,47 21.028075,52.225208</coordinates></LineString>"
615;"16-17.03.2014";"MOŁDAWIA Kiszyniów";"MOŁDAWIA, Kiszyniów";"Krzysztof Szczerski";"PiS";"82/14";4084,98;475;363,02;0;34,34;0;0;0;4957,34;"ZPRPRM  Posiedzenie Prezydium Zgromadzenia Parlamentarnego Rzeczypospolitej Polskiej i Republiki Mołdawii";"47 28.916667 0";812.0;"<LineString><coordinates>28.916667,47 21.028075,52.225208</coordinates></LineString>"
616;"16-18.03.2014";"GRECJA Ateny";"GRECJA, Ateny";"Andrzej Gałażewski";"PO";"73/14";2273,44;394,49;768,48;0;25,71;0;0;0;3462,12;"SUE  Spotkanie przewodniczących Komisji ds. Produkcji, Handlu i Gospodarki Morskiej parlamentów - państw członkowskich UE";"37.983917 23.7293599 0";1597.6;"<LineString><coordinates>23.7293599,37.983917 21.028075,52.225208</coordinates></LineString>"
617;"17.03.2014";"UKRAINA: Kijów";"UKRAINA, Kijów";"Grzegorz Schetyna";"PO";"86/14";0;76,51;0;0;17,17;0;0;0;93,68;"ZPRPRLU  Nadzwyczajne spotkanie Prezydium Zgromadzenia Parlamentarnego Sejmu i Senatu RP, Sejmu Republiki Litewskiej i Rady Najwyższej Ukrainy";"50.4501 30.5234 0";688.0;"<LineString><coordinates>30.5234,50.4501 21.028075,52.225208</coordinates></LineString>"
618;"17-21.03.2014";"BOŚNIA I HERCEGOWINA Sarajewo";"BOŚNIA I HERCEGOWINA, Sarajewo";"Anna Fotyga";"PiS";"72/14";3240,94;551,42;639,58;0;51,51;0;-7,4;0;4490,85;"ZP NATO  Seminarium Rose-Rotha";"43.8562586 18.4130763 0";950.6;"<LineString><coordinates>18.4130763,43.8562586 21.028075,52.225208</coordinates></LineString>"
618;"17-21.03.2014";"BOŚNIA I HERCEGOWINA Sarajewo";"BOŚNIA I HERCEGOWINA, Sarajewo";"Renata Butryn";"PO";"72/14";2957,83;612,64;959,27;0;68,68;0;-9,05;0;4607,47;"ZP NATO  Seminarium Rose-Rotha";"43.8562586 18.4130763 0";950.6;"<LineString><coordinates>18.4130763,43.8562586 21.028075,52.225208</coordinates></LineString>"
618;"17-21.03.2014";"BOŚNIA I HERCEGOWINA Sarajewo";"BOŚNIA I HERCEGOWINA, Sarajewo";"Witold Waszczykowski";"PiS";"72/14";2957,83;735,22;1292,74;0;85,85;0;-11,69;0;5083,33;"ZP NATO  Seminarium Rose-Rotha";"43.8562586 18.4130763 0";950.6;"<LineString><coordinates>18.4130763,43.8562586 21.028075,52.225208</coordinates></LineString>"
618;"17-21.03.2014";"BOŚNIA I HERCEGOWINA Sarajewo";"BOŚNIA I HERCEGOWINA, Sarajewo";"Zbyszek Zaborowski";"SLD";"72/14";2957,83;735,22;1280,79;0;85,85;0;-12,02;0;5071,71;"ZP NATO  Seminarium Rose-Rotha";"43.8562586 18.4130763 0";950.6;"<LineString><coordinates>18.4130763,43.8562586 21.028075,52.225208</coordinates></LineString>"
619;"18-20.03.2014";"BELGIA Bruksela";"BELGIA, Bruksela";"Piotr Zgorzelski";"PSL";"84/14";0;0;0;0;0;0;-59,59;0;59,59;"SPC Miedzyparlamentarne spotkanie Komisji Wolności Obywatelskich, Sprawiedliwości i Spraw Wewnętrznych Parlamentu Europejskiego oraz przedstawicieli komisji właściwych ds. sprawiedliwości i spraw wewnętrznych parlamentów narodowych państw UE";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
620;"20-21.03.2014";"BELGIA Bruksela";"BELGIA, Bruksela";"Anna Fotyga";"PiS";"83/14";0;448,43;0;0;17,14;0;0;0;465,57;"Posiedzenie Rady Sojuszu Europejskich Konserwatystów i Reformatorów (AECR)";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
621;"20-21.03.2014";"BELGIA Bruksela";"BELGIA, Bruksela";"Krzysztof Szczerski";"PiS";"91/14";0;118,69;0;0;17,14;0;0;0;135,83;"Konferencja Sojuszu Europejskich Konserwatystów i Reformatorów (AECR)";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
622;"21-22.03.2014";"GRECJA Ateny";"GRECJA, Ateny";"Tadeusz Iwiński";"SLD";"88/14";0;314,54;0;0;17,14;0;0;0;331,68;"Posiedzenie Komitetu Wykonawczego AWEPA";"37.983917 23.7293599 0";1597.6;"<LineString><coordinates>23.7293599,37.983917 21.028075,52.225208</coordinates></LineString>"
623;"21-23.03.2014";"WĘGRY Eger";"WĘGRY, Eger";"Kazimierz Gołojuch";"PiS";"80/14";2493,29;470,67;0;0;25,71;0;0;0;2989,67;"Udział Polsko-Węgierskiej Grupy Parlamentarnej w uroczystościach 'Dni Przyjaźni Polsko-Węgierskiej'";"47.9025348 20.3772284 0";482.9;"<LineString><coordinates>20.3772284,47.9025348 21.028075,52.225208</coordinates></LineString>"
623;"21-23.03.2014";"WĘGRY Eger";"WĘGRY, Eger";"Jarosław Górczyński";"PSL";"80/14";2493,29;470,67;0;0;25,71;0;0;0;2989,67;"Udział Polsko-Węgierskiej Grupy Parlamentarnej w uroczystościach 'Dni Przyjaźni Polsko-Węgierskiej'";"47.9025348 20.3772284 0";482.9;"<LineString><coordinates>20.3772284,47.9025348 21.028075,52.225208</coordinates></LineString>"
623;"21-23.03.2014";"WĘGRY Eger";"WĘGRY, Eger";"Piotr Naimski";"PiS";"80/14";2493,29;470,67;0;0;25,71;0;0;0;2989,67;"Udział Polsko-Węgierskiej Grupy Parlamentarnej w uroczystościach 'Dni Przyjaźni Polsko-Węgierskiej'";"47.9025348 20.3772284 0";482.9;"<LineString><coordinates>20.3772284,47.9025348 21.028075,52.225208</coordinates></LineString>"
623;"21-23.03.2014";"WĘGRY Eger";"WĘGRY, Eger";"Jerzy Szmit";"PiS";"80/14";2493,29;470,67;0;0;25,71;0;0;0;2989,67;"Udział Polsko-Węgierskiej Grupy Parlamentarnej w uroczystościach 'Dni Przyjaźni Polsko-Węgierskiej'";"47.9025348 20.3772284 0";482.9;"<LineString><coordinates>20.3772284,47.9025348 21.028075,52.225208</coordinates></LineString>"
624;"22-26.03.2014";"GRUZJA Tbilisi";"GRUZJA, Tbilisi";"Anna Fotyga";"PiS";"87/14";3680,17;669,91;1398,83;0;68,68;0;-12,26;0;5829,85;"ZP NATO  Podkomisja Komisji Politycznej";"41.716667 44.783333 0";2133.0;"<LineString><coordinates>44.783333,41.716667 21.028075,52.225208</coordinates></LineString>"
624;"22-26.03.2014";"GRUZJA Tbilisi";"GRUZJA, Tbilisi";"Dariusz Seliga";"PiS";"87/14";2673,6;728,36;1801,01;0;85,85;0;0,94;0;5287,88;"ZP NATO  Podkomisja Komisji Politycznej";"41.716667 44.783333 0";2133.0;"<LineString><coordinates>44.783333,41.716667 21.028075,52.225208</coordinates></LineString>"
624;"22-26.03.2014";"GRUZJA Tbilisi";"GRUZJA, Tbilisi";"Michał Szczerba";"PO";"87/14";2673,6;728,36;1801,01;0;85,85;0;-18,59;0;5307,41;"ZP NATO  Podkomisja Komisji Politycznej";"41.716667 44.783333 0";2133.0;"<LineString><coordinates>44.783333,41.716667 21.028075,52.225208</coordinates></LineString>"
624;"22-26.03.2014";"GRUZJA Tbilisi";"GRUZJA, Tbilisi";"Jadwiga Zakrzewska";"PO";"87/14";2673,6;728,36;1799,03;0;85,85;0;0,95;0;5285,89;"ZP NATO  Podkomisja Komisji Politycznej";"41.716667 44.783333 0";2133.0;"<LineString><coordinates>44.783333,41.716667 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Adam Abramowicz";"PiS";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Iwona Ewa Arent";"PiS";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Piotr Chmielowski";"SLD";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Bożena Kamińska";"PO";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Jarosław Katulski";"PO";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Beata Małecka-Libera";"PO";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Piotr Van der Coghen";"PO";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
625;"22-29.03.2014";"IZRAEL Tel Awiw";"IZRAEL, Tel Awiw";"Tadeusz Woźniak";"SP";"89/14";0;603,45;0;0;137,36;0;0;0;740,81;"Wizyta studyjna na zaproszenie organizacji Diakonia";"32.0852999 34.7817676 0";2500.6;"<LineString><coordinates>34.7817676,32.0852999 21.028075,52.225208</coordinates></LineString>"
626;"24-25.03.2014";"LITWA: Wilno";"LITWA, Wilno";"Tadeusz Aziewicz";"PO";"95/14";2896,58;226,63;453,83;0;17,14;0;-14,39;0;3608,57;"Na zaproszenie Wiceprzewodniczącego Sejmu Republiki Litewskiej";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
626;"24-25.03.2014";"LITWA: Wilno";"LITWA, Wilno";"Cezary Grabarczyk";"PO";"95/14";3000,94;226,63;453,83;0;17,14;0;-14,39;0;3712,93;"Na zaproszenie Wiceprzewodniczącego Sejmu Republiki Litewskiej";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
627;"25-26.03.2014";"BELGIA Bruksela";"BELGIA, Bruksela";"Wiesław Janczyk";"PiS";"93/14";3083,43;338,22;0;0;17,14;0;0;0;3438,79;"Na zaproszenie Przewodniczącego Belgijsko-Polskiej Grupy Parlamentarnej";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
627;"25-26.03.2014";"BELGIA Bruksela";"BELGIA, Bruksela";"Dorota Rutkowska";"PO";"93/14";2930,69;338,22;0;0;17,14;0;0;0;3286,05;"Na zaproszenie Przewodniczącego Belgijsko-Polskiej Grupy Parlamentarnej";"50.8503396 4.3517103 0";1161.0;"<LineString><coordinates>4.3517103,50.8503396 21.028075,52.225208</coordinates></LineString>"
628;"25-31.03.2014";"USA: Nowy Jork";"USA, Nowy Jork";"Krystyna Pawłowicz";"PiS";"74/14";0;474,15;0;0;120,19;0;0;0;594,34;"Na zaproszenie Oddziału Kongresu Polonii Amerykańskiej w celu wygłoszenia wykładów dla Polonii na temet działalności prawotwórczej Sejmu, organów wykonawczych i sytuacji w Polsce";"40.7127837 -74.0059413 0";6856.1;"<LineString><coordinates>-74.0059413,40.7127837 21.028075,52.225208</coordinates></LineString>"
629;"26-29.03.2014";"CHORWACJA Dubrownik";"CHORWACJA, Dubrownik";"Zbigniew Girzyński";"PiS";"78/14";3128;579,93;1324,81;0;42,85;0;-9,05;0;5084,64;"ZPRE  Konferencja pt. Dorastanie z prawami dziecka w ramach podkomisji ad hoc Komisji ds. Socjalnych, Zdrowia i Zrównoważonego Rozwoju";"42.6506606 18.0944238 0";1087.1;"<LineString><coordinates>18.0944238,42.6506606 21.028075,52.225208</coordinates></LineString>"
630;"26-31.03.2014";"USA: Chicago";"USA, Chicago";"Krzysztof Szczerski";"PiS";"85/14";11006,03;1101,38;2438,16;0;103,02;0;0;0;14648,59;"Na zaproszenie Klubu Gazety Polskiej w celu odbycia cyklu spotkań otwartych z Polakami zamieszkałymi w Chicago";"41.8781136 -87.6297982 0";7512.9;"<LineString><coordinates>-87.6297982,41.8781136 21.028075,52.225208</coordinates></LineString>"
631;"27-28.03.2014";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Grzegorz Schetyna";"PO";"92/14";2801,54;279;597,85;0;17,14;0;-2,22;0;3697,75;"SZA Na zaproszenie przewodniczącego Komisji Spraw Zagranicznych parlamentu Finlandii Timo Soini";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
631;"27-28.03.2014";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Witold Waszczykowski";"PiS";"92/14";2801,54;279;597,85;0;17,14;0;-2,22;0;3697,75;"SZA Na zaproszenie przewodniczącego Komisji Spraw Zagranicznych parlamentu Finlandii Timo Soini";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
631;"27-28.03.2014";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Tadeusz Iwiński";"SLD";"92/14";2801,64;195,89;597,85;0;17,14;0;-1,97;0;3614,49;"SZA Na zaproszenie przewodniczącego Komisji Spraw Zagranicznych parlamentu Finlandii Timo Soini";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
631;"27-28.03.2014";"FINLANDIA Helsinki";"FINLANDIA, Helsinki";"Robert Tyszkiewicz";"PO";"92/14";0;0;0;0;0;0;-26,67;0;26,67;"SZA Na zaproszenie przewodniczącego Komisji Spraw Zagranicznych parlamentu Finlandii Timo Soini";"60.1733244 24.9410248 0";916.0;"<LineString><coordinates>24.9410248,60.1733244 21.028075,52.225208</coordinates></LineString>"
632;"28-29.03.2014";"WŁOCHY: Rzym";"WŁOCHY, Rzym";"Joanna Fabisiak";"PO";"96/14";3453,42;372,09;135;0;17,14;0;-5,26;0;3982,91;"LPG Na zaproszenie Związku Polaków we Włoszech";"41.9027835 12.4963655 0";1315.3;"<LineString><coordinates>12.4963655,41.9027835 21.028075,52.225208</coordinates></LineString>"
633;"28-30.03.2014";"SZWAJCARIA Zurich";"SZWAJCARIA, Zurich";"Iwona Śledzińska-Katarasińska";"PO";"94/14";2418,01;750,07;0;0;51,51;0;0;0;3219,59;"KSP Na zaproszenie działającego w środowisku polinijnym Klubu Miłośników Żywego Słowa";"47.3686498 8.5391825 0";1044.5;"<LineString><coordinates>8.5391825,47.3686498 21.028075,52.225208</coordinates></LineString>"
634;"29.03- 1.04.2014";"PALESTYNA Ramallah";"PALESTYNA, Ramallah";"Iwona Ewa Arent";"PiS";"90/14";2015,7;309,45;0;0;68,68;0;0;0;2393,83;"Na zaproszenie Przewodniczącego Palestyńskiej Rady Narodowej";"31.8980428 35.2042714 0";2535.1;"<LineString><coordinates>35.2042714,31.8980428 21.028075,52.225208</coordinates></LineString>"
634;"29.03- 1.04.2014";"PALESTYNA Ramallah";"PALESTYNA, Ramallah";"Piotr Chmielowski";"SLD";"90/14";2015,7;309,45;0;0;68,68;0;0;0;2393,83;"Na zaproszenie Przewodniczącego Palestyńskiej Rady Narodowej";"31.8980428 35.2042714 0";2535.1;"<LineString><coordinates>35.2042714,31.8980428 21.028075,52.225208</coordinates></LineString>"
634;"29.03- 1.04.2014";"PALESTYNA Ramallah";"PALESTYNA, Ramallah";"Bożena Kamińska";"PO";"90/14";2015,7;309,45;0;0;68,68;0;0;0;2393,83;"Na zaproszenie Przewodniczącego Palestyńskiej Rady Narodowej";"31.8980428 35.2042714 0";2535.1;"<LineString><coordinates>35.2042714,31.8980428 21.028075,52.225208</coordinates></LineString>"
634;"29.03- 1.04.2014";"PALESTYNA Ramallah";"PALESTYNA, Ramallah";"Tadeusz Woźniak";"SP";"90/14";2015,7;309,45;0;0;68,68;0;0;0;2393,83;"Na zaproszenie Przewodniczącego Palestyńskiej Rady Narodowej";"31.8980428 35.2042714 0";2535.1;"<LineString><coordinates>35.2042714,31.8980428 21.028075,52.225208</coordinates></LineString>"
635;"29.03- 3.04.2014";"ANGOLA Luanda";"ANGOLA, Luanda";"Killion Munyama";"PO";"97/14";3955,89;1485,67;3394,34;0;103,02;0;-49,35;0;8988,27;"Na zaproszenie prezesa Regionalnej Izby Gospodarczej w Łodzi w celu wzięcia udziału w spotkaniach biznesowych";"-8.838333 13.234444 0";6831.3;"<LineString><coordinates>13.234444,-8.838333 21.028075,52.225208</coordinates></LineString>"
636;"2-5.04.2014";"GRECJA Ateny";"GRECJA, Ateny";"Andrzej Gałażewski";"PO";"98/14";3654,89;701,99;1769,71;0;34,28;0;0;0;6160,87;"OBN, SUE, SZA Międzyparlamentarna Konferencja do Spraw Wspólnej Polityki Zagranicznej i Bezpieczeństwa oraz Wspólnej Polityki Bezpieczeństwa i Obrony";"37.983917 23.7293599 0";1597.6;"<LineString><coordinates>23.7293599,37.983917 21.028075,52.225208</coordinates></LineString>"
636;"2-5.04.2014";"GRECJA Ateny";"GRECJA, Ateny";"Jarosław Górczyński";"PSL";"98/14";4924,3;401,13;1179,81;0;25,71;0;0;0;6530,95;"OBN, SUE, SZA Międzyparlamentarna Konferencja do Spraw Wspólnej Polityki Zagranicznej i Bezpieczeństwa oraz Wspólnej Polityki Bezpieczeństwa i Obrony";"37.983917 23.7293599 0";1597.6;"<LineString><coordinates>23.7293599,37.983917 21.028075,52.225208</coordinates></LineString>"
636;"2-5.04.2014";"GRECJA Ateny";"GRECJA, Ateny";"Mariusz Antoni Kamiński";"PiS";"98/14";4924,3;401,13;1179,81;0;25,71;0;0;0;6530,95;"OBN, SUE, SZA Międzyparlamentarna Konferencja do Spraw Wspólnej Polityki Zagranicznej i Bezpieczeństwa oraz Wspólnej Polityki Bezpieczeństwa i Obrony";"37.983917 23.7293599 0";1597.6;"<LineString><coordinates>23.7293599,37.983917 21.028075,52.225208</coordinates></LineString>"
637;"3-7.04.2014";"WĘGRY Budapeszt";"WĘGRY, Budapeszt";"Barbara Bartuś";"PiS";"99/14";2140,06;1213,27;2346,6;0;42,85;844,1;0;0;6586,88;"ZP OBWE  Obserwacja wyborów parlamentarnych";"47.497912 19.040235 0";544.6;"<LineString><coordinates>19.040235,47.497912 21.028075,52.225208</coordinates></LineString>"
637;"3-7.04.2014";"WĘGRY Budapeszt";"WĘGRY, Budapeszt";"Andrzej Dera";"SP";"99/14";2140,06;1213,27;2346,6;0;42,85;422,05;-8,71;0;6173,54;"ZP OBWE  Obserwacja wyborów parlamentarnych";"47.497912 19.040235 0";544.6;"<LineString><coordinates>19.040235,47.497912 21.028075,52.225208</coordinates></LineString>"
637;"3-7.04.2014";"WĘGRY Budapeszt";"WĘGRY, Budapeszt";"Andrzej Jaworski";"PiS";"99/14";2140,06;1213,27;2346,6;0;42,85;422,05;-4,3;0;6169,13;"ZP OBWE  Obserwacja wyborów parlamentarnych";"47.497912 19.040235 0";544.6;"<LineString><coordinates>19.040235,47.497912 21.028075,52.225208</coordinates></LineString>"
637;"3-7.04.2014";"WĘGRY Budapeszt";"WĘGRY, Budapeszt";"Henryk Smolarz";"PSL";"99/14";2140,06;1213,27;2346,59;0;42,85;844,1;0;0;6586,87;"ZP OBWE  Obserwacja wyborów parlamentarnych";"47.497912 19.040235 0";544.6;"<LineString><coordinates>19.040235,47.497912 21.028075,52.225208</coordinates></LineString>"
638;"5-8.04.2014";"UKRAINA: Lwów, Kamieniec Podolski, Bar";"UKRAINA, Lwów";"Jerzy Kozdroń";"PO";"103/14";2247,33;479,45;595,77;0;68,68;0;-30,29;0;3421,52;"W składzie delegacji senackiej Komisji Spraw Emigracji i Łączności z Polakami za Granicą";"49.839683 24.029717 0";338.2;"<LineString><coordinates>24.029717,49.839683 21.028075,52.225208</coordinates></LineString>"
639;"6-8.04.2014";"LITWA: Wilno";"LITWA, Wilno";"Ewa Kopacz";"PO";"111/14";0;330,22;5677,02;0;25,71;0;0;0;6032,95;"Konferencja Przewodniczących Parlamentów UE";"54.6871555 25.2796514 0";392.6;"<LineString><coordinates>25.2796514,54.6871555 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Robert Biedroń";"TR";"106/14";2863,7;2214,61;2269,66;0;51,42;0;-37,24;0;7436,63;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Zbigniew Girzyński";"PiS";"106/14";2638,54;1968,55;3796,47;0;51,42;0;0;0;8454,98;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jarosław Górczyński";"PSL";"106/14";2868,47;1064,32;885,63;0;42,85;0;-7,63;0;4868,9;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Iwona Guzowska";"PO";"106/14";2829,1;2214,61;3132,51;0;51,42;0;-10,73;0;8238,37;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Tomasz Lenz";"PO";"106/14";2638,54;2030,06;2193,52;0;51,42;0;-16,91;0;6930,45;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Arkadiusz Mularczyk";"SP";"106/14";2765,41;1968,55;3455,42;0;51,42;0;-4,96;0;8245,76;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Łukasz Zbonikowski";"PiS";"106/14";2678,91;1845,51;1888,11;0;51,42;0;-18,57;0;6482,52;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Beata Bublewicz";"PO";"106/14";3282,14;1691,83;2680,73;0;51,42;0;0;0;7706,12;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Tadeusz Iwiński";"SLD";"106/14";3916,43;1692,34;2684,7;0;51,42;0;0;0;8344,89;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
640;"6-11.04.2014";"FRANCJA Strasburg";"FRANCJA, Strasburg";"Jan Kaźmierczak";"PO";"106/14";3685,39;436,81;536,14;0;17,14;0;0;0;4675,48;"ZPRE  2 część sesji 2014";"48.583148 7.747882 0";1022.8;"<LineString><coordinates>7.747882,48.583148 21.028075,52.225208</coordinates></LineString>"
