cat;sex;fid;cntry1;name1;winner;name2;cntry2;score1;score2;time;round;comment;ippon;idr
52;F;2;BLR;DANILOVICH=Kseniya;R;TSIORINIRINA=Tessia; MAD;0= █;1 1 0=;00:31;Round 1;;1;r1
57;F;67;JPN;YOSHIDA=Tsukasa;R;DEGUCHI=Christa; CAN;0= █;1 0= █;06:23;Final;;0;r8
57;F;66;FRA;CYSIQUE=Sarah Leonie;R;SILVA=Rafaela; BRA;0=;1 0= █ █;04:00;Bronze;;0;r8
57;F;65;POL;KOWALCZYK=Julia;L;ILIEVA=Ivelina; BUL;1 0 0= █ █;0= █;03:42;Bronze;;1;r8
57;F;64;CAN;DEGUCHI=Christa;L;ILIEVA=Ivelina; BUL;1 0 0=;0=;01:24;Semi-Final;;1;r7
57;F;63;JPN;YOSHIDA=Tsukasa;L;SILVA=Rafaela; BRA;1 0 0= █;0= █ █;06:22;Semi-Final;;1;r7
57;F;62;FRA;CYSIQUE=Sarah Leonie;L;GJAKOVA=Nora; KOS;1 0 0=;0=;02:20;Repechage;;1;r5
57;F;61;POL;KOWALCZYK=Julia;L;MEZHETSKAIA=Daria; RUS;1 1 0=;1 0= █ █;08:29;Repechage;;1;r5
57;F;60;KOS;GJAKOVA=Nora;R;ILIEVA=Ivelina; BUL;1 0= █;1 1 0= █;04:20;Quarter-Final;;1;r6
57;F;59;CAN;DEGUCHI=Christa;L;CYSIQUE=Sarah Leonie; FRA;1 0 0=;1 0=;01:04;Quarter-Final;;1;r6
57;F;58;BRA;SILVA=Rafaela;L;MEZHETSKAIA=Daria; RUS;1 1 0=;0= █;03:27;Quarter-Final;;1;r6
57;F;57;JPN;YOSHIDA=Tsukasa;L;KOWALCZYK=Julia; POL;1 1 0= █;1 0= █ █;05:30;Quarter-Final;;1;r6
57;F;56;KOR;KIM=Jisu;R;ILIEVA=Ivelina; BUL;0= █ █;1 1 0= █;04:00;Round 3;;1;r3
57;F;55;KOS;GJAKOVA=Nora;L;LIEN=Chen-Ling; TPE;1 0= █ █;0= █;04:00;Round 3;;0;r3
57;F;54;GER;STOLL=Theresa;R;CYSIQUE=Sarah Leonie; FRA;0= █;1 0= █;06:09;Round 3;;0;r3
57;F;53;CAN;DEGUCHI=Christa;L;ROGIC=Jovana; SRB;1 1 0=;0=;00:39;Round 3;;1;r3
57;F;52;RUS;MEZHETSKAIA=Daria;L;ROPER=Miryam; PAN;1 0 0=;0=;00:17;Round 3;;1;r3
57;F;51;BRA;SILVA=Rafaela;L;MONTEIRO=Telma; POR;1 0= █;0= █ █;03:36;Round 3;;0;r3
57;F;50;ISR;NELSON LEVY=Timna;R;KOWALCZYK=Julia; POL;0= █;1 0=;04:00;Round 3;;0;r3
57;F;49;JPN;YOSHIDA=Tsukasa;L;VERHAGEN=Sanne; NED;1 0 0=;0=;02:32;Round 3;;1;r3
57;F;48;POR;GOMES=Wilsa;R;ILIEVA=Ivelina; BUL;0=;1 1 0=;01:28;Round 2;;1;r2
57;F;47;GBR;SMYTHE-DAVIS=Nekoda;R;KIM=Jisu; KOR;1 0= █;1 1 0= █;05:44;Round 2;;1;r2
57;F;46;TUN;KHELIFI=Ghofran;R;LIEN=Chen-Ling; TPE;0=;1 0 0=;01:44;Round 2;;1;r2
57;F;45;KOS;GJAKOVA=Nora;L;BISHOP=Justine; NZL;1 0 0=;0=;00:53;Round 2;;1;r2
57;F;44;FRA;CYSIQUE=Sarah Leonie;L;BOROWSKA=Anna; POL;1 0 0=;0=;00:18;Round 2;;1;r2
57;F;43;GER;STOLL=Theresa;L;OHAI=Loredana; ROU;1 1 0= █;0= █;03:47;Round 2;;1;r2
57;F;42;SRB;ROGIC=Jovana;L;MUCUNGUI=Diassonema; ANG;1 0= █;0= █ █;02:19;Round 2;;0;r2
57;F;41;CAN;DEGUCHI=Christa;L;KONKINA=Anastasiia; RUS;1 0 0=;0=;01:16;Round 2;;1;r2
57;F;40;PAN;ROPER=Miryam;L;NISHANBAYEVA=Sevara; KAZ;1 0 0= █;1 0=;02:30;Round 2;;1;r2
57;F;39;CAN;KLIMKAIT=Jessica;R;MEZHETSKAIA=Daria; RUS;0=;1 0 0=;00:44;Round 2;;1;r2
57;F;38;POR;MONTEIRO=Telma;L;NAIRNE=Lele; GBR;1 1 0=;0= █ █;02:07;Round 2;;1;r2
57;F;37;BRA;SILVA=Rafaela;L;DABONNE=Zouleiha Abzetta; CIV;1 1 0=;0=;00:47;Round 2;;1;r2
57;F;36;POL;KOWALCZYK=Julia;L;PERISIC=Marica; SRB;1 0=;0=;04:00;Round 2;;0;r2
57;F;35;ISR;NELSON LEVY=Timna;L;MOHAMED=Maitha; UAE;1 0 0=;0=;00:53;Round 2;;1;r2
57;F;34;NED;VERHAGEN=Sanne;L;STARKE=Pauline; GER;1 0 0=;0=;00:34;Round 2;;1;r2
57;F;33;JPN;YOSHIDA=Tsukasa;L;RECEVEAUX=Helene; FRA;1 1 0= █;0=;02:55;Round 2;;1;r2
57;F;32;BUL;ILIEVA=Ivelina;L;KARAKAS=Hedvig; HUN;1 0= █;0= █;04:16;Round 1;;0;r1
57;F;31;POR;GOMES=Wilsa;L;TARIYAL=Suchika; IND;0= █ █;0= █ █;02:29;Round 1;;0;r1
57;F;30;KOR;KIM=Jisu;L;SHRESTHA PRADHAN=Manita; NEP;1 1 0=;0=;01:25;Round 1;;1;r1
57;F;28;TPE;LIEN=Chen-Ling;L;HOLGUIN=Mariah; USA;1 1 0=;0=;01:57;Round 1;;1;r1
57;F;27;TUN;KHELIFI=Ghofran;L;RAHMING=Cynthia; BAH;1 0 0=;0= █;01:21;Round 1;;1;r1
57;F;26;NZL;BISHOP=Justine;L;DELGADO=Megumi; PHI;1 0=;0= █;04:00;Round 1;;0;r1
57;F;24;POL;BOROWSKA=Anna;L;ELALMI=Hadeel; JOR;1 0 0=;0=;00:16;Round 1;;1;r1
57;F;23;AUT;FILZMOSER=Sabrina;R;CYSIQUE=Sarah Leonie; FRA;0= █ █;1 1 0= █;03:43;Round 1;;1;r1
57;F;22;HKG;LEUNG=Po Sum;R;OHAI=Loredana; ROU;0= █ █;0= █;07:16;Round 1;;0;r1
57;F;20;ANG;MUCUNGUI=Diassonema;L;ANDRIATIANA=Brenda; MAD;1 1 0=;0= █ █;03:16;Round 1;;1;r1
57;F;19;CHN;LU=Tongjuan;R;ROGIC=Jovana; SRB;0= █ █;0= █;09:19;Round 1;;0;r1
57;F;18;RUS;KONKINA=Anastasiia;L;WARASIHA=Yuriko; THA;1 0 0=;0=;00:53;Round 1;;1;r1
57;F;16;KAZ;NISHANBAYEVA=Sevara;L;NGUYEN NGOC DIEM=Phuong; VIE;1 0 0=;0=;00:48;Round 1;;1;r1
57;F;15;AZE;MUNKHTSEDEV=Ichinkhorloo;R;ROPER=Miryam; PAN;0= █ █;0=;03:34;Round 1;;0;r1
57;F;14;MGL;LOSOL=Enkh-Otgon;R;MEZHETSKAIA=Daria; RUS;0=;1 0 0=;00:31;Round 1;;1;r1
57;F;12;GBR;NAIRNE=Lele;L;ROSA=Ana; DOM;1 0= █;0= █;06:29;Round 1;;0;r1
57;F;11;POR;MONTEIRO=Telma;L;FURUKAWA=Rena; PHI;1 1 0=;0= █;03:31;Round 1;;1;r1
57;F;10;USA;FULGENTES=Amelia;R;DABONNE=Zouleiha Abzetta; CIV;0= █ █;0= █ █;05:32;Round 1;;0;r1
57;F;8;SRB;PERISIC=Marica;L;KIM=Jandi; KOR;1 0= █;0= █;04:26;Round 1;;0;r1
57;F;7;HKG;YEUNG=Nok Lam;R;KOWALCZYK=Julia; POL;0=;1 1 0=;01:02;Round 1;;1;r1
57;F;4;GER;STARKE=Pauline;L;TOYODA=Amina; PAK;1 0 0=;0=;00:59;Round 1;;1;r1
57;F;3;UKR;SKORA=Mariia;R;VERHAGEN=Sanne; NED;0=;1 1 0=;00:58;Round 1;;1;r1
57;F;2;BEL;LIBEER=Mina;R;RECEVEAUX=Helene; FRA;0=;1 0 0=;01:37;Round 1;;1;r1
63;F;67;FRA;AGBEGNENOU=Clarisse;L;TASHIRO=Miku; JPN;1 0= █ █;0= █;11:07;Final;;0;r8
63;F;66;NED;VERMEER=Sanne;R;FRANSSEN=Juul; NED;0= █;1 0=;04:00;Bronze;;0;r8
63;F;65;GER;TRAJDOS=Martyna;L;TRSTENJAK=Tina; SLO;1 0 0=;0=;00:00;Bronze;;1;r8
63;F;64;SLO;TRSTENJAK=Tina;R;TASHIRO=Miku; JPN;0= █;0=;01:19;Semi-Final;;0;r7
63;F;63;FRA;AGBEGNENOU=Clarisse;L;FRANSSEN=Juul; NED;1 0=;0= █;04:00;Semi-Final;;0;r7
63;F;62;MGL;BOLD=Gankhaich;R;VERMEER=Sanne; NED;0=;1 1 0=;03:54;Repechage;;1;r5
63;F;61;TPE;LIAO=Yu-Jung;R;TRAJDOS=Martyna; GER;0= █ █;1 1 0=;01:48;Repechage;;1;r5
63;F;60;JPN;TASHIRO=Miku;L;VERMEER=Sanne; NED;1 0=;0=;04:00;Quarter-Final;;0;r6
63;F;59;SLO;TRSTENJAK=Tina;L;BOLD=Gankhaich; MGL;1 0 0=;0= █;01:59;Quarter-Final;;1;r6
63;F;58;NED;FRANSSEN=Juul;L;TRAJDOS=Martyna; GER;1 0= █ █;0= █ █;04:00;Quarter-Final;;0;r6
63;F;57;FRA;AGBEGNENOU=Clarisse;L;LIAO=Yu-Jung; TPE;1 0 0=;0=;00:12;Quarter-Final;;1;r6
63;F;56;NED;VERMEER=Sanne;L;WATANABE=Kiyomi; PHI;1 0 0=;0= █ █;03:14;Round 3;;1;r3
63;F;55;JPN;TASHIRO=Miku;L;BARRIOS=Anriquelis; VEN;1 0 0=;0= █;01:37;Round 3;;1;r3
63;F;54;MGL;BOLD=Gankhaich;L;CENTRACCHIO=Maria; ITA;1 0= █ █;0= █ █;04:41;Round 3;;0;r3
63;F;53;SLO;TRSTENJAK=Tina;L;RENSHALL=Lucy; GBR;1 0= █;0= █;04:00;Round 3;;0;r3
63;F;52;GER;TRAJDOS=Martyna;L;GWEND=Edwige; ITA;0= █ █;0= █ █;06:32;Round 3;;0;r3
63;F;51;NED;FRANSSEN=Juul;L;TANG=Jing; CHN;2 0= █;0= █;04:00;Round 3;;0;r3
63;F;50;ISR;SHARIR=Gili;R;LIAO=Yu-Jung; TPE;0= █ █;0= █;07:47;Round 3;;0;r3
63;F;49;FRA;AGBEGNENOU=Clarisse;L;AWITI ALCARAZ=Prisca; MEX;1 1 0=;0=;01:05;Round 3;;1;r3
63;F;48;AUT;KRSSAKOVA=Magdalena;R;WATANABE=Kiyomi; PHI;0= █;1 0= █;04:00;Round 2;;0;r2
63;F;47;NED;VERMEER=Sanne;L;HAECKER=Katharina; AUS;1 0 0= █;0=;01:36;Round 2;;1;r2
63;F;46;DEN;OLSEN=Laerke;R;BARRIOS=Anriquelis; VEN;0= █ █;0=;03:47;Round 2;;0;r2
63;F;45;JPN;TASHIRO=Miku;L;YANG=Junxia; CHN;1 0 0=;0=;01:14;Round 2;;1;r2
63;F;44;USA;MARTIN=Hannah;R;CENTRACCHIO=Maria; ITA;0= █ █;1 0= █;04:00;Round 2;;0;r2
63;F;43;CAN;BEAUCHEMIN-PINARD=Catherine;R;BOLD=Gankhaich; MGL;0=;1 0 0=;03:07;Round 2;;1;r2
63;F;42;CMR;WEZEU DOMBEU=Helene;R;RENSHALL=Lucy; GBR;0= █;1 1 0= █;03:57;Round 2;;1;r2
63;F;41;SLO;TRSTENJAK=Tina;L;CABANA PEREZ=Cristina; ESP;1 0 0=;0= █ █;02:48;Round 2;;1;r2
63;F;40;RUS;DAVYDOVA=Daria;R;GWEND=Edwige; ITA;0= █ █;1 0 0=;03:26;Round 2;;1;r2
63;F;39;GER;TRAJDOS=Martyna;L;NOMENJANAHARY=Damiella; MAD;1 0 0=;0=;00:25;Round 2;;1;r2
63;F;38;AUT;UNTERWURZACHER=Kathrin;R;TANG=Jing; CHN;0=;1 0 0=;01:47;Round 2;;1;r2
63;F;37;NED;FRANSSEN=Juul;L;QUADROS=Ketleyn; BRA;0= █;0= █ █;03:13;Round 2;;0;r2
63;F;36;AUS;COUGHLAN=Maeve;R;LIAO=Yu-Jung; TPE;0=;1 1 0= █;02:27;Round 2;;1;r2
63;F;35;CUB;DEL TORO CARVAJAL=Maylin;R;SHARIR=Gili; ISR;0= █ █;0= █ █;09:19;Round 2;;0;r2
63;F;34;MEX;AWITI ALCARAZ=Prisca;L;BERDYBEKOVA=Iolanta; KAZ;1 1 0= █;0= █;01:39;Round 2;;1;r2
63;F;33;FRA;AGBEGNENOU=Clarisse;L;SCHLESINGER=Alice; GBR;1 0 0=;0=;00:10;Round 2;;1;r2
63;F;31;AUT;KRSSAKOVA=Magdalena;L;GARCIA=Estefania; ECU;1 0= █;0= █ █;04:00;Round 1;;0;r1
63;F;30;AUS;HAECKER=Katharina;L;OZDOBA-BLACH=Agata; POL;1 0=;0= █ █;04:00;Round 1;;0;r1
63;F;28;MAR;BELATTAR=Sofia;R;BARRIOS=Anriquelis; VEN;0=;1 0 0=;00:51;Round 1;;1;r1
63;F;26;CHN;YANG=Junxia;L;HAN=Hee Ju; KOR;1 0 0= █;0= █;03:56;Round 1;;1;r1
63;F;24;ISR;SHEMESH=Inbal;R;CENTRACCHIO=Maria; ITA;0=;1 1 0=;03:24;Round 1;;1;r1
