nrk;teryt;nro;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw;lwug15;lkw15;lkwzu15;lgnw15;lgw15;freq15;pgnw15;dup.addr
4765;87449;301013;1;Szkoła Podstawowa 62-610 Zakrzewek 7;786;98;98;7;91;12.47;7.14;769;261;261;22;239;33.94;8.43;Szkoła Podstawowa|Zakrzewek| 7 |62-610 Sompolno
4767;87451;301013;3;Remiza OSP 62-619 Broniszewo 30;843;136;136;13;123;16.13;9.56;860;332;332;20;312;38.6;6.02;Remiza OSP|Broniszewo| 30 |62-619 Sadlno
4769;87453;301013;5;Szkoła Podstawowa 62-619 Tomisławice 2;1087;133;133;12;121;12.24;9.02;1068;401;401;28;373;37.55;6.98;Szkoła Podstawowa|Tomisławice| 2 |62-619 Sadlno
4771;87455;301013;7;Szkoła Podstawowa 62-618 Zaryń 19;858;103;103;13;90;12;12.62;848;272;272;23;249;32.08;8.46;Szkoła Podstawowa|Zaryń| 19 |62-618 Zaryń
4775;87459;301014;4;sala Ochotniczej Straży Pożarnej w Kopydłowie 62-550 Kopydłowo;780;114;114;10;104;14.62;8.77;756;295;295;33;262;39.02;11.19;sala Ochotniczej Straży Pożarnej w Kopydłowie|Kopydłowo| 21 |62-550 Wilczyn
4776;87460;301014;5;sala Ochotniczej Straży Pożarnej w Wiśniewie 62-550 Wiśniewa;650;124;124;11;113;19.08;8.87;644;254;254;18;236;39.44;7.09;sala Ochotniczej Straży Pożarnej w Wiśniewie|Wiśniewa| 6 |62-550 Wilczyn
4790;91643;301101;13;Wojewódzki Szpital Neuropsychiatryczny 64-000 Kościan Pl. Paderewskiego 1A;249;104;104;25;79;41.77;24.04;275;142;142;23;119;51.64;16.2;Wojewódzki Szpital Neuropsychiatryczny|Kościan|Pl. Paderewskiego 1a |64-000 Kościan
4796;87478;301102;5;Szkoła Podstawowa 64-020 Głuchowo ul. Kościańska 28/30;1526;182;182;15;167;11.93;8.24;1506;570;570;42;528;37.85;7.37;Szkoła Podstawowa|Głuchowo|ul. Kościańska 28/30 |64-020 Czempiń
4798;87479;301103;1;Szkoła Podstawowa 64-000 Bonikowo ul.Parkowa 3;862;140;140;11;129;16.24;7.86;864;358;358;23;335;41.44;6.42;Szkoła Podstawowa|Bonikowo|ul.Parkowa 3 |64-000 Kościan
4809;87490;301104;1;Szkoła Podstawowa 64-010 Bieżyń 111;1074;148;148;18;130;13.78;12.16;1081;430;430;29;401;39.78;6.74;Szkoła Podstawowa w Bieżyniu|Bieżyń| 111 |64-010 Krzywiń
4810;87491;301104;2;Zespół Szkół 64-010 Jerka ul. Szkolna nr 5;2044;284;284;27;257;13.89;9.51;2046;917;917;77;840;44.82;8.4;Zespół Szkół w Jerce|Jerka|ul. Szkolna 5 |64-010 Krzywiń
4812;87493;301104;4;Zespół Szkół i Placówek Oświatowych 64-010 Lubiń ul. Powstańców 23;1521;204;204;13;191;13.41;6.37;1525;634;634;47;587;41.57;7.41;Zespół Szkół i Placówek Oświatowych w Lubiniu|Lubiń|ul. Powstańców 23 |64-010 Krzywiń
4817;87498;301105;4;Przedszkole Samorządowe 64-030 Śmigiel ul. Leszczyńska 13;1123;158;158;10;148;14.07;6.33;1139;518;518;36;482;45.48;6.95;Przedszkole Samorządowe|Śmigiel|ul. Leszczyńska 13 |64-030 Śmigiel
4821;87502;301105;8;Świetlica Wiejska 64-030 Koszanowo ul. Wierzbowa 40;530;107;107;9;98;20.19;8.41;534;250;250;16;234;46.82;6.4;Świetlica Wiejska|Koszanowo|ul. Wierzbowa 40 |64-030 Śmigiel
4824;87505;301105;11;Dom Wiejski 64-030 Stare Bojanowo ul. Główna 34a;1397;299;299;29;270;21.4;9.7;1374;697;697;44;653;50.73;6.31;Dom Wiejski|Stare Bojanowo|ul. Główna 34a |64-030 Śmigiel
4826;87507;301105;13;Świetlica RSP 64-030 Spławie 42;346;44;44;4;40;12.72;9.09;348;118;118;8;110;33.91;6.78;Świetlica Wiejska|Spławie| 58 |64-030 Śmigiel
4829;87510;301105;16;Świetlica Wiejska 64-030 Żegrówko ul. Śmigielska 18;514;50;50;6;44;9.73;12;509;149;149;12;137;29.27;8.05;Świetlica Wiejska|Żegrówko|ul. Śmigielska 18 |64-030 Śmigiel
4832;87513;301105;19;Świetlica Wiejska 64-030 Brońsko 22a;368;65;65;4;61;17.66;6.15;360;152;152;12;140;42.22;7.89;Świetlica Wiejska|Brońsko| 22a |64-030 Śmigiel
4834;87515;301201;1;Zespół Szkół Publicznych w Sulmierzycach 63-750 Sulmierzyce ul. Szkolna 2;2226;377;377;25;352;16.94;6.63;2208;986;986;66;920;44.66;6.69;Zespół Szkół Publicznych w Sulmierzycach|Sulmierzyce|ul. Szkolna 2 |63-750 Sulmierzyce
