chemistry;58;1975;John Cornforth;M
medicine;60;2002;John E. Sulston;M
chemistry;56;1997;John E. Walker;M
medicine;57;1954;John F. Enders;M
economics;66;1994;John F. Nash Jr.;M
literature;65;1932;John Galsworthy;M
chemistry;55;1946;John H. Northrop;M
physics;78;1977;John H. van Vleck;M
peace;61;1998;John Hume;M
physics;71;2005;John L. Hall;M
medicine;47;1923;John Macleod;M
chemistry;73;1998;John Pople;M
economics;68;1972;John R. Hicks;M
peace;81;1946;John R. Mott;M
medicine;55;1982;John R. Vane;M
literature;60;1962;John Steinbeck;M
literature;72;1904;José Echegaray;M
peace;47;1996;José Ramos-Horta;M
literature;76;1998;José Saramago;M
literature;47;1987;Joseph Brodsky;M
medicine;71;1990;Joseph E. Murray;M
economics;58;2001;Joseph E. Stiglitz;M
medicine;70;1944;Joseph Erlanger;M
physics;52;1993;Joseph H. Taylor Jr.;M
medicine;45;1985;Joseph L. Goldstein;M
peace;87;1995;Joseph Rotblat;M
medicine;33;1958;Joshua Lederberg;M
literature;75;1956;Juan Ramón Jiménez;M
medicine;70;2011;Jules A. Hoffmann;M
medicine;49;1919;Jules Bordet;M
physics;47;1965;Julian Schwinger;M
medicine;58;1970;Julius Axelrod;M
medicine;70;1927;Julius Wagner-Jauregg;M
physics;60;1987;K. Alex Müller;M
chemistry;60;2001;K. Barry Sharpless;M
physics;63;1981;Kai M. Siegbahn;M
literature;60;1917;Karl Gjellerup;M
medicine;62;1930;Karl Landsteiner;M
medicine;87;1973;Karl von Frisch;M
chemistry;65;1963;Karl Ziegler;M
chemistry;49;1993;Kary B. Mullis;M
chemistry;63;1981;Kenichi Fukui;M
physics;46;1982;Kenneth G. Wilson;M
economics;51;1972;Kenneth J. Arrow;M
literature;59;1994;Kenzaburo Oe;M
peace;75;2000;Kim Dae-jung;M
peace;64;1908;Klas Pontus Arnoldson;M
physics;42;1985;Klaus von Klitzing;M
literature;61;1920;Knut Hamsun;M
peace;63;2001;Kofi Annan;M
chemistry;43;2002;Koichi Tanaka;M
medicine;52;1964;Konrad Bloch;M
medicine;70;1973;Konrad Lorenz;M
physics;36;2010;Konstantin Novoselov;M
chemistry;48;1950;Kurt Alder;M
chemistry;64;2002;Kurt Wüthrich;M
chemistry;65;1968;Lars Onsager;M
economics;61;2013;Lars Peter Hansen;M
physics;25;1915;Lawrence Bragg;M
economics;60;1980;Lawrence R. Klein;M
peace;63;1973;Le Duc Tho ;M
peace;40;1983;Lech Walesa;M
medicine;62;2001;Leland H. Hartwell;M
physics;48;1973;Leo Esaki;M
peace;69;1920;Léon Bourgeois;M
peace;72;1951;Léon Jouhaux;M
physics;66;1988;Leon M. Lederman;M
physics;42;1972;Leon N. Cooper;M
economics;90;2007;Leonid Hurwicz;M
economics;63;1975;Leonid Vitaliyevich Kantorovich;M
chemistry;52;1939;Leopold Ruzicka;M
peace;60;1957;Lester Bowles Pearson;M
physics;54;1962;Lev Landau;M
peace;39;2011;Leymah Gbowee;F
medicine;57;2004;Linda B. Buck;F
chemistry;53;1954;Linus Pauling;M
peace;61;1962;Linus Pauling;M
peace;55;2010;Liu Xiaobo;M
economics;89;2012;Lloyd S. Shapley;M
peace;69;1949;Lord Boyd Orr;M
physics;62;1904;Lord Rayleigh;M
chemistry;50;1957;Lord Todd;M
physics;37;1929;Louis de Broglie;M
medicine;57;1998;Louis J. Ignarro;M
