packid;id;name;date;town;cntry;weight;height;played;lbs;pens;conv
47;30732;Paino Hehea;1979;Vaini;Tonga;114;198;161;;0;0
47;31850;Vungakoto Lilo;1983;Koulo, Ha'apai;Tonga;95;187;240;;0;0
47;33051;Samiu Vahafolau;1978;Ovaka;Tonga;111;192;134;;0;0
47;36843;Sione Vaiomounga;1989;Tefisi;Tonga;95;184;143;;0;0
47;36851;Viliame Iongi;1989;Tofoa;Tonga;82;173;160;;0;0
47;37082;Aloisio Ma'asi;1982;Tofoa;Tonga;96;185;47;;0;0
47;38030;Kurt Morath;1984;Takapuna;New Zealand;90;183;320;;61;86
47;40024;William Helu;1986;Otahuhu;New Zealand;98;189;65;;0;0
47;40025;Alaska Taufa;1983;Ha'ateiho;Tonga;103;189;9;;0;0
47;41851;Thomas Palu;1986;Wellington;New Zealand;85;175;77;;0;0
47;42109;Viliami Ma'afu;1982;Longolongo;Tonga;109;186;270;;0;0
47;44197;Halani Aulika;1983;Angahaeua;Tonga;122;185;96;;0;0
47;44200;Siale Piutau;1985;Auckland;New Zealand;97;185;320;;0;0
47;44202;Alisona Taumalolo;1981;Ha'akame;Tonga;112;185;173;;0;0
47;44205;Joseph Tuineau;1981;Suva;Fiji;120;203;117;;0;0
47;44618;Fetu'u Vainikolo;1985;Tofoa;Tonga;95;181;160;;0;0
47;8760;Aleki Lutui;1978;Tofoa;Tonga;108;185;167;;0;0
49;20863;Ippei Asada;1980;Osaka;Japan;75;166;0;;0;0
49;21644;Bryce Robins;1980;New Plymouth;New Zealand;95;183;67;;0;0
49;24148;Hitoshi Ono;1978;Tokyo;Japan;105;192;119;;0;0
49;24227;Kosuke Endo;1980;Hokkaido;Japan;90;186;240;;0;0
49;24890;Taihei Ueda;1982;Fukuoka;Japan;89;180;51;;0;0
49;28224;Takashi Kikutani;1980;Nara;Japan;100;187;320;;0;0
49;28225;Toshizumi Kitagawa;1981;Kyoto;Japan;110;195;257;;0;0
49;28439;Shota Horie;1986;Osaka;Japan;104;180;240;;0;0
49;29878;Kensuke Hatakeyama;1985;Miyagi;Japan;122;178;164;;0;0
49;29893;Fumiaki Tanaka;1985;Kyoto;Japan;75;166;179;;0;0
49;29895;Takehisa Usuzuki;1985;Oita;Japan;88;180;80;;0;0
49;30303;Yuta Imamura;1984;Mie;Japan;93;178;70;;0;0
49;32857;Luke Thompson;1981;Kaiapoi;New Zealand;109;196;240;;0;0
49;32863;Yuji Kitagawa;1986;Osaka;Japan;118;196;21;;0;0
49;33016;Tomoki Yoshida;1982;Kyoto;Japan;78;172;9;;0;0
49;33017;Koji Taira;1983;Nagasaki;Japan;95;185;98;;0;0
49;33083;Yusuke Aoki;1983;Tokyo;Japan;96;176;63;;0;0
49;33144;James Arlidge;1979;Hamilton;New Zealand;93;187;230;;86;43
49;34085;Michael Leitch;1988;Burwood;New Zealand;103;190;320;;0;0
49;34348;Ryukoliniasi Holani;1981;Nuku'alofa;Tonga;111;188;35;;0;0
49;34349;Ryan Nicholas;1979;Broken Hill;Australia;100;192;240;;0;0
49;34350;Shaun Webb;1981;Blenheim;New Zealand;90;180;245;;100;0
49;35386;Hisateru Hirashima;1983;Kumamoto;Japan;110;180;240;;0;0
49;35389;Naoki Kawamata;1985;Tokyo;Japan;118;184;80;;0;0
49;36260;Toetuu Taufa;1980;Nuku'alofa;Tonga;105;183;16;;0;0
49;38037;Alisi Tupuailai;1980;Manunu;Samoa;116;187;152;;0;0
49;39617;Sione Talikavili Vatuvei;1983;Nuku'alofa;Tonga;100;189;91;;0;0
49;39619;Hiroki Yuhara;1984;Chiba;Japan;105;173;16;;0;0
49;39620;Nozomu Fujita;1984;Saitama;Japan;118;191;153;;0;0
49;42056;Itaru Taniguchi;1984;Tottori;Japan;105;188;175;;0;0
49;43138;Atsushi Hiwasa;1987;Hyogo;Japan;70;166;138;;0;0
49;44199;Murray Williams;1982;Lower Hutt;New Zealand;86;180;101;;0;100
49;7767;Hirotoki Onozawa;1978;Shizuoka;Japan;85;180;320;;0;0
50;11693;Jamie Cudmore;1978;Winnipeg;Canada;116;198;278;;0;0
50;11695;Ed Fairhurst;1979;Regina;Canada;93;183;273;;0;0
50;18167;Pat Riordan;1979;London;Canada;110;185;224;;0;0
50;18169;Ryan Smith;1979;Kitchener;Canada;99;191;304;;0;0
50;21022;James Pritchard;1979;Parkes;Australia;85;175;193;;57;80
50;26476;Adam Kleeberger;1984;Elk Point;Canada;98;185;312;;0;0
50;27139;Aaron Carpenter;1983;Brantford;Canada;104;183;320;;0;0
50;29061;Matt Evans;1988;Salisbury;England;89;183;144;;0;0
50;29070;Phil Mackenzie;1987;Oakville;Canada;91;185;320;;0;0
50;29748;Ciaran Hearn;1985;Conception Bay South;Canada;100;190;160;;0;0
50;29750;Tyler Hotson;1985;Vancouver;Canada;112;196;47;;0;0
50;30806;Hubert Buydens;1982;Saskatoon;Canada;120;191;302;;0;0
50;30808;Ander Monro;1981;North York;Canada;82;178;310;;75;25
50;31794;DTH Van Der Merwe;1986;Worcester;South Africa;101;185;256;;0;0
50;32147;Ryan Hamilton;1988;Edmonton;Canada;107;183;92;;0;0
50;32149;Nathan Hirayama;1988;Richmond;Canada;86;183;26;;0;0
50;32152;Jamie Mackenzie;1989;Troon;Scotland;89;175;0;;0;0
