pgnw;freq;lgw;lgnw;idk;teryt;addr;coords;idk2;PiSp;POp
5.38;56.23;440;25;97586;146513;Areszt Śledczy Warszawa-Służewiec|Ursynów|Kłobucka 5 |02-699 Warszawa;97586;52.1638603 20.9967899;7.50;67.95
0.99;91.86;201;2;97918;149901;Bukareszt, Ambasada RP|011821, sector 1, București|Aleea Alexandru 23 | ;97918;44.471758 26.0750575;13.93;24.38
7.07;51.40;171;13;98041;160101;Zakład Karny Brzeg|Brzeg|ul. Chrobrego 29 |49-300 Brzeg;98041;50.8608509 17.4668311;7.02;63.74
10.00;43.48;36;4;98075;160103;Oddział Zewnętrzny w Grodkowie Zakładu Karnego w Brzegu|Grodków|ul. Sienkiewicza 23 |49-200 Grodków;98075;50.69625 17.38516;11.11;61.11
6.56;47.10;114;8;98140;160203;Świetlica Zakładu Karnego|Głubczyce|ul. Kochanowskiego 3 |48-100 Głubczyce;98140;50.20027 17.8287;17.54;43.86
12.90;59.62;54;8;98187;160301;Areszt Śledczy|Kędzierzyn-Koźle|ul. Racławicka 10 |47-200 Kędzierzyn-Koźle;98187;50.3498805 18.2261844;18.52;42.59
12.57;42.17;146;21;98253;160402;Zakład Karny|Kluczbork|ul. Katowicka 4 |46-200 Kluczbork;98253;50.97235 18.21807;15.75;54.11
13.13;45.69;258;39;98478;160705;Zakład Karny w Nysie|Nysa|ul. Kościuszki 4a |48-300 Nysa;98478;50.4822855 17.3295861;8.14;54.26
0.00;27.91;24;0;98701;160913;Oddział Zewnętrzny Aresztu Śledczego w Opolu|Turawa|ul. Spacerowa 14 |46-045 Turawa;98701;50.737285 18.0761948;37.50;12.50
10.71;64.12;75;9;98773;161004;Areszt Śledczy|Prudnik|ul. Kościuszki 7 |48-200 Prudnik;98773;50.3206779 17.5742264;22.67;46.67
14.04;35.92;294;48;98832;161105;Zakład Karny Nr 1|Strzelce Opolskie|ul. Karola Miarki 1 |47-100 Strzelce Opolskie;98832;50.51092 18.29987;13.61;35.71
10.64;33.39;168;20;98833;161105;Zakład Karny Nr 2|Strzelce Opolskie|ul. Gen. Karola Świerczewskiego 3 |47-100 Strzelce Opolskie;98833;50.51092 18.29987;9.52;56.55
7.69;47.27;48;4;98916;166101;Zakład Karny|Opole|ul. Partyzancka 72 |45-853 Opole;98916;50.6617736 17.8949289;10.42;43.75
23.53;46.10;104;32;98917;166101;Areszt Śledczy|Opole|ul. Sądowa 4 |45-733 Opole;98917;50.6627543 17.9265186;10.58;46.15
12.58;32.38;139;20;99032;180301;Zakład Karny|Dębica|ul. Sandomierska 41 |39-200 Dębica;99032;50.0516417 21.4116964;10.79;53.24
13.10;47.73;73;11;99299;180504;Zakład Karny w Warzycach|Warzyce| 467 |38-200 Jasło;99299;49.7445663 21.4722875;20.55;43.84
21.21;42.86;26;7;99850;181205;Areszt Śledczy|Nisko|Plac Wolności 15 |37-400 Nisko;99850;50.52001 22.13955;26.92;34.62
6.98;56.83;120;9;99924;181306;Zakład Karny w Medyce|Medyka| 404B |37-732 Medyka;99924;49.8207392 22.922319;15.00;45.00
