teryt;typ;name
121801;R;Andrychów
121802;R;Brzeźnica
121803;R;Kalwaria Zebrzydowska
121804;R;Lanckorona
121805;R;Mucharz
121806;R;Spytkowice
121807;R;Stryszów
121808;R;Tomice
121809;R;Wadowice
121810;R;Wieprz
121901;R;Biskupice
121902;R;Gdów
121903;R;Kłaj
121904;R;Niepołomice
121905;R;Wieliczka
126101;U;Kraków
126102;R;Kraków-Krowodrza
126103;R;Kraków-Nowa Huta
126104;R;Kraków-Podgórze
126105;R;Kraków-Śródmieście
126201;U;Nowy Sącz
126301;U;Tarnów
140101;R;Białobrzegi
140102;R;Promna
140103;R;Radzanów
140104;R;Stara Błotnica
140105;R;Stromiec
140106;R;Wyśmierzyce
140201;U;Ciechanów
140202;R;Ciechanów
140203;R;Glinojeck
140204;R;Gołymin-Ośrodek
140205;R;Grudusk
140206;R;Ojrzeń
140207;R;Opinogóra Górna
140208;R;Regimin
140209;R;Sońsk
140301;U;Garwolin
140302;U;Łaskarzew
140303;R;Borowie
140304;R;Garwolin
140305;R;Górzno
140306;R;Łaskarzew
140307;R;Maciejowice
140308;R;Miastków Kościelny
140309;R;Parysów
140310;R;Pilawa
140311;R;Sobolew
140312;R;Trojanów
140313;R;Wilga
140314;R;Żelechów
140401;U;Gostynin
140402;R;Gostynin
140403;R;Pacyna
140404;R;Sanniki
140405;R;Szczawin Kościelny
140501;U;Milanówek
140502;U;Podkowa Leśna
140503;R;Baranów
140504;R;Grodzisk Mazowiecki
140505;R;Jaktorów
140506;R;Żabia Wola
140601;R;Belsk Duży
140602;R;Błędów
140603;R;Chynów
140604;R;Goszczyn
140605;R;Grójec
140606;R;Jasieniec
140607;R;Mogielnica
140608;R;Nowe Miasto nad Pilicą
140609;R;Pniewy
140611;R;Warka
140701;R;Garbatka-Letnisko
140702;R;Głowaczów
140703;R;Gniewoszów
140704;R;Grabów nad Pilicą
140705;R;Kozienice
140706;R;Magnuszew
140707;R;Sieciechów
140801;U;Legionowo
140802;R;Jabłonna
140803;R;Nieporęt
140804;R;Serock
140805;R;Wieliszew
140901;R;Chotcza
140902;R;Ciepielów
140903;R;Lipsko
140904;R;Rzeczniów
140905;R;Sienno
140906;R;Solec nad Wisłą
141001;R;Huszlew
141002;R;Łosice
141003;R;Olszanka
141004;R;Platerów
141005;R;Sarnaki
141006;R;Stara Kornica
141101;U;Maków Mazowiecki
141102;R;Czerwonka
141103;R;Karniewo
141104;R;Krasnosielc
141105;R;Młynarze
141106;R;Płoniawy-Bramura
141107;R;Różan
141108;R;Rzewnie
141109;R;Sypniewo
141110;R;Szelków
141201;U;Mińsk Mazowiecki
141204;R;Cegłów
141205;R;Dębe Wielkie
141206;R;Dobre
141207;R;Halinów
141208;R;Jakubów
141209;R;Kałuszyn
141210;R;Latowicz
141211;R;Mińsk Mazowiecki
141212;R;Mrozy
141213;R;Siennica
141214;R;Stanisławów
141215;U;Sulejówek
141301;U;Mława
141302;R;Dzierzgowo
141303;R;Lipowiec Kościelny
141304;R;Radzanów
141305;R;Strzegowo
141306;R;Stupsk
141307;R;Szreńsk
141308;R;Szydłowo
141309;R;Wieczfnia Kościelna
141310;R;Wiśniewo
141401;U;Nowy Dwór Mazowiecki
141402;R;Czosnów
141403;R;Leoncin
141404;R;Nasielsk
141405;R;Pomiechówek
141406;R;Zakroczym
141501;R;Baranowo
141502;R;Czarnia
141503;R;Czerwin
141504;R;Goworowo
141505;R;Kadzidło
141506;R;Lelis
141507;R;Łyse
141508;R;Myszyniec
