nrk;pgnw;freq;lgw;lgnw;pPiS;pPO
100461;3.11;51.52;280;9;59.29;21.43
100462;4.95;46.74;211;11;60.19;21.33
100463;3.81;50.59;859;34;57.04;26.43
100464;4.26;45.26;247;11;69.64;19.84
100465;6.99;47.19;133;10;57.89;24.06
100466;3.60;45.31;107;4;52.34;27.10
100467;1.49;50.57;132;2;57.58;30.30
100468;3.94;40.93;195;8;55.38;28.21
100469;3.42;46.66;735;26;43.40;17.41
100470;3.60;45.62;563;21;42.98;21.85
100471;2.36;44.28;620;15;43.06;21.13
100472;4.23;48.38;544;24;44.12;21.69
100473;1.79;44.09;110;2;42.73;15.45
100474;1.11;56.25;89;1;46.07;19.10
100475;4.66;40.78;491;24;44.81;11.00
100476;2.98;45.90;554;17;59.03;11.01
100477;2.46;40.32;595;15;51.43;20.84
100478;2.25;47.09;87;2;48.28;17.24
100479;3.58;47.69;269;10;40.15;21.19
100480;4.32;50.40;975;44;44.82;28.21
100481;4.09;43.96;164;7;51.22;25.00
100482;5.06;56.13;300;16;50.67;32.33
100483;5.57;37.41;373;22;48.26;26.54
100484;2.83;44.83;687;20;54.88;18.34
100485;5.25;43.20;289;16;56.75;19.38
100486;3.69;43.36;261;10;65.52;18.39
100487;6.91;39.94;377;28;43.77;29.97
100488;2.35;42.21;458;11;48.25;19.21
100489;2.78;43.13;455;13;42.42;19.12
100490;2.41;48.09;973;24;48.10;24.25
100491;3.03;45.66;831;26;45.37;19.61
100492;2.54;49.70;729;19;50.75;18.52
100493;2.05;45.59;669;14;56.20;16.44
100494;3.27;49.20;296;10;65.88;14.53
100495;5.12;45.87;722;39;53.05;16.07
100496;5.30;46.84;393;22;45.04;4.07
100497;2.73;46.77;571;16;70.05;8.58
100498;1.15;47.36;257;3;65.76;16.34
100499;2.90;49.71;335;10;67.76;11.04
100500;6.06;73.33;31;2;38.71;29.03
100501;4.35;19.49;22;1;50.00;31.82
100502;5.00;60.61;19;1;63.16;21.05
100503;0.00;100.00;14;0;92.86;7.14
100504;17.39;41.07;57;12;12.28;8.77
100505;3.51;44.20;633;23;52.45;10.27
100506;5.16;41.93;239;13;56.07;10.46
100507;3.49;39.69;221;8;61.54;9.50
100508;19.12;100.00;55;13;23.64;29.09
100509;4.52;48.68;422;20;31.99;19.91
100510;4.29;56.95;357;16;39.78;21.29
100511;2.74;51.68;567;16;42.86;16.93
100512;3.55;48.82;597;22;40.87;20.27
100513;2.86;45.45;543;16;44.75;16.76
100514;2.24;46.93;479;11;50.10;8.35
100515;5.93;50.20;349;22;62.46;10.89
100516;4.26;44.20;292;13;51.37;15.41
100517;2.87;46.50;271;8;67.16;5.54
100518;3.77;38.68;281;11;53.38;10.32
100519;6.69;36.16;251;18;60.16;8.76
100520;2.84;42.53;445;13;73.93;8.09
100521;6.25;26.67;15;1;60.00;13.33
100522;1.67;41.69;530;9;59.06;11.70
100523;3.06;47.23;760;24;46.97;14.87
