okreg;nrlisty;numer;komitet;kto;glosy;procent
21;2;2;PO;Rajmund MILLER;8565;2.53
21;2;4;PO;Tomasz KOSTUŚ;11016;3.26
21;2;6;PO;Ryszard WILCZYŃSKI;8440;2.5
22;5;1;PSL;Mieczysław KASPRZAK;5251;1.61
22;2;1;PO;Marek RZĄSA;14562;4.46
22;2;3;PO;Joanna FRYDRYCH;5761;1.76
22;1;1;PiS;Marek KUCHCIŃSKI;34558;10.57
22;1;2;PiS;Anna SCHMIDT-RODZIEWICZ;16134;4.94
22;1;3;PiS;Piotr URUSKI;11200;3.43
22;1;4;PiS;Piotr BABINETZ;10170;3.11
22;1;6;PiS;Andrzej MATUSIEWICZ;9970;3.05
22;1;7;PiS;Stanisław PIOTROWICZ;15747;4.82
22;1;8;PiS;Bogdan RZOŃCA;28356;8.68
22;7;1;KUKIZ;Wojciech BAKUN;9406;2.88
23;1;1;PiS;Józefa HRYNKIEWICZ;27010;5.32
23;1;2;PiS;Wojciech BUCZAK;18202;3.59
23;1;4;PiS;Kazimierz MOSKAL;24128;4.76
23;1;5;PiS;Zbigniew CHMIELOWIEC;18197;3.59
23;1;6;PiS;Andrzej SZLACHTA;24365;4.8
23;1;7;PiS;Kazimierz GOŁOJUCH;19118;3.77
23;1;8;PiS;Jan WARZECHA;15240;3
23;1;10;PiS;Krystyna WRÓBLEWSKA;9426;1.86
23;1;11;PiS;Halina SZYDEŁKO;10483;2.07
23;1;12;PiS;Mieczysław MIAZGA;11327;2.23
23;1;20;PiS;Jerzy PAUL;12540;2.47
23;1;30;PiS;Rafał WEBER;17359;3.42
23;2;1;PO;Krystyna SKOWROŃSKA;23576;4.65
23;2;2;PO;Zdzisław GAWLIK;8414;1.66
23;7;1;KUKIZ;Maciej MASŁOWSKI;15303;3.02
24;1;1;PiS;Krzysztof JURGIEL;44620;10.25
24;1;2;PiS;Jarosław ZIELIŃSKI;28865;6.63
24;1;3;PiS;Dariusz PIONTKOWSKI;28378;6.52
24;1;4;PiS;Lech KOŁAKOWSKI;15106;3.47
24;1;5;PiS;Jacek ŻALEK;12370;2.84
24;1;6;PiS;Bernadeta KRYNICKA;7624;1.75
24;1;7;PiS;Kazimierz GWIAZDOWSKI;6787;1.56
24;1;8;PiS;Jacek BOGUCKI;9707;2.23
24;5;1;PSL;Mieczysław BASZKO;7010;1.61
24;7;1;KUKIZ;Adam ANDRUSZKIEWICZ;15668;3.6
24;8;1;PETRU;Krzysztof TRUSKOLASKI;14141;3.25
24;2;1;PO;Robert TYSZKIEWICZ;19453;4.47
24;2;2;PO;Bożena KAMIŃSKA;9826;2.26
24;2;28;PO;Tomasz CIMOSZEWICZ;14496;3.33
25;1;1;PiS;Jarosław SELLIN;34997;8.19
25;1;2;PiS;Kazimierz SMOLIŃSKI;12424;2.91
25;1;3;PiS;Andrzej JAWORSKI;25875;6.06
25;1;8;PiS;Jan KILIAN;6675;1.56
25;1;9;PiS;Tadeusz CYMAŃSKI;13126;3.07
25;8;1;PETRU;Ewa LIEDER;23220;5.44
25;2;1;PO;Adam KOROL;28727;6.73
25;2;2;PO;Sławomir NEUMANN;20514;4.8
25;2;3;PO;Agnieszka POMASKA;22196;5.2
25;2;6;PO;Jerzy BOROWCZAK;16931;3.96
25;2;10;PO;Małgorzata CHMIEL;13346;3.12
25;7;1;KUKIZ;Magdalena BŁEŃSKA;9437;2.211
26;1;1;PiS;Jolanta SZCZYPIŃSKA;31013;6.65
26;1;2;PiS;Janusz ŚNIADEK;26671;5.71
26;1;3;PiS;Dorota ARCISZEWSKA-MIELEWCZYK;25054;5.37
26;1;6;PiS;Marcin HORAŁA;10546;2.26
26;1;8;PiS;Jan KLAWITER;7389;1.58
26;1;10;PiS;Aleksander MRÓWCZYŃSKI;5835;1.25
26;8;1;PETRU;Grzegorz FURGO;14247;3.05
26;2;1;PO;Marek BIERNACKI;42586;9.12
26;2;2;PO;Henryka KRZYWONOS-STRYCHARSKA;24333;5.21
26;2;3;PO;Kazimierz PLOCKE;11060;2.37
26;2;4;PO;Tadeusz AZIEWICZ;6625;1.42
