nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100225;181613;Zespół Szkół Nr 2 w Stobiernej|Stobierna| 954 |36-002 Jasionka;809;416;416;9;407;51.42;2.16
100226;181613;Zespół Szkół w Wólce Podleśnej|Wólka Podleśna| 438 |36-002 Jasionka;1186;662;662;23;639;55.82;3.47
100227;181613;Dom Strażaka w Łukawcu|Łukawiec| 426 |36-004 Łąka;1804;1022;1022;10;1012;56.65;0.98
100228;181613;Zespół Szkół w Łące|Łąka| 224b |36-004 Łąka;1555;844;844;12;832;54.28;1.42
100229;181613;Szkoła Podstawowa w Terliczce|Terliczka| 213 |36-001 Trzebownisko;473;252;252;9;243;53.28;3.57
100230;181614;Miejsko - Gminny Ośrodek Kultury w Tyczynie (holl)|Tyczyn|ul. Mickiewicza 1 |36-020 Tyczyn;1057;650;650;21;629;61.49;3.23
100231;181614;Miejsko - Gminny Ośrodek Kultury w Tyczynie (sala widowiskowa)|Tyczyn|ul. Mickiewicza 1 |36-020 Tyczyn;1754;1079;1079;34;1045;61.52;3.15
100232;181614;Szkoła Podstawowa w Matysówce|Matysówka| 55 |35-330 Rzeszów;1169;651;651;12;639;55.69;1.84
100233;181614;Dom Ludowy w Kielnarowej|Kielnarowa| 57 |36-020 Tyczyn;1453;770;770;16;754;52.99;2.08
100234;181614;Dom Ludowy w Borku Starym|Borek Stary| 84 |36-020 Tyczyn;1397;816;816;22;794;58.41;2.70
100235;181614;Dom Ludowy w Hermanowej|Hermanowa| 225 |36-020 Tyczyn;1100;631;631;15;616;57.36;2.38
100236;181614;Szkoła Podstawowa w Hermanowej|Hermanowa| 212 |36-020 Tyczyn;989;474;474;10;464;47.93;2.11
100237;181701;Zespół Szkół Nr 5 im. Ignacego Łukasiewicza|Sanok|ul. Jagiellońska 22 |38-500 Sanok;1282;568;568;11;557;44.31;1.94
100238;181701;Gimnazjum Nr 2|Sanok|ul. Jana III Sobieskiego 5 |38-500 Sanok;1234;555;555;12;543;44.98;2.16
100239;181701;Szkoła Podstawowa Nr 2|Sanok|ul. Rymanowska 17 |38-500 Sanok;1360;676;676;5;671;49.71;0.74
100240;181701;Państwowa Wyższa Szkoła Zawodowa im J. Grodka (budynek D)|Sanok|ul. Mickiewicza 21 |38-500 Sanok;1223;593;593;5;588;48.49;0.84
100241;181701;Centrum Handlowe "Ryś"|Sanok|ul. Krakowska 2 |38-500 Sanok;1439;782;782;11;771;54.34;1.41
100242;181701;Filia Samorządowego Przedszkola Publicznego Nr 1|Sanok|ul. Piastowska 47 |38-500 Sanok;1718;835;835;20;815;48.60;2.40
100243;181701;Gimnazjum Nr 4|Sanok|ul. Jana Pawła II 25 |38-500 Sanok;1530;740;740;11;729;48.37;1.49
100244;181701;Samorządowe Przedszkole Publiczne Nr 2|Sanok|ul. Sadowa 11 |38-500 Sanok;1530;667;667;17;650;43.59;2.55
100245;181701;Szkoła Podstawowa Nr 4|Sanok|ul. Sadowa 12 |38-500 Sanok;1509;723;723;14;709;47.91;1.94
100246;181701;Żłobek Samorządowy Nr 2|Sanok|ul. Traugutta 23 |38-500 Sanok;1212;530;530;9;521;43.73;1.70
100247;181701;Osiedlowy Dom Kultury "Puchatek"|Sanok|ul. Traugutta 9 |38-500 Sanok;1412;686;686;19;667;48.58;2.77
