teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
121905;3;Wieliczka;gmw;49.9758055,20.059843;15;Tarnów;SLD;13;KONOPKA;Liliana Karolina;Kobieta;SLD;49.984641 20.052531
120201;2;Borzęcin;gw;50.065841,20.7116895;15;Tarnów;SLD;15;MAŁEK;Justyna Magdalena;Kobieta;LRazem;50.068840 20.711905
126301;1;Tarnów;mm;50.0259955,20.977995;15;Tarnów;SLD;17;SERWIN;Alicja Łucja;Kobieta;członek partii politycznej: Twój Ruch;50.031635 20.987561
143801;1;Żyrardów;gm;52.0555485,20.4405745;16;Płock;SLD;4;LINOWSKA;Małgorzata;Kobieta;SLD;52.056430 20.442057
141913;2;Stara Biała;gw;52.6180785,19.651628;16;Płock;SLD;6;ANTOSZKIEWICZ;Janina Franciszka;Kobieta;SLD;52.618825 19.653279
141913;2;Stara Biała;gw;52.6180785,19.651628;16;Płock;SLD;9;JASIŃSKA;Renata;Kobieta;LRazem;52.619214 19.653740
142704;2;Rościszewo;gw;52.9105525,19.767684;16;Płock;SLD;11;GŁUSKOWSKA;Renata Małgorzata;Kobieta;SLD;52.908469 19.768001
146201;1;Płock;mm;52.5354155,19.7150025;16;Płock;SLD;12;WELENC;Anna;Kobieta;BEZP;52.539031 19.707021
141907;2;Łąck;gw;52.4543135,19.6265535;16;Płock;SLD;13;GÓRECKA;Olga;Kobieta;BEZP;52.453933 19.627288
141308;2;Szydłowo;gw;53.083594,20.493395;16;Płock;SLD;16;KUJAWA;Wioletta;Kobieta;BEZP;53.079981 20.491559
142507;2;Kowala;gw;51.324264,21.095915;17;Radom;SLD;3;ŻYTKOWSKA-PRUS;Anna Izabela;Kobieta;LRazem;51.326746 21.097164
146301;1;Radom (a);mm;51.417238,21.156178;17;Radom;SLD;5;ZIEMNICKA;Małgorzata Maria;Kobieta;BEZP;51.419345 21.155700
142501;1;Pionki;gm;51.471773,21.447539;17;Radom;SLD;6;FIGURSKA;Ewa Anna;Kobieta;SLD;51.469271 21.443821
140904;2;Rzeczniów;gw;51.122945,21.39741;17;Radom;SLD;7;PERCZAK;Judyta Ewa;Kobieta;BEZP;51.124388 21.394089
