teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
040201;1;Brodnica;gm;53.2579615,19.406477;5;Toruń;SLD;16;ZAWADZKI;Jerzy;Mężczyzna;SLD;53.258552 19.400240
041105;3;Piotrków Kujawski;gmw;52.53062,18.5090945;5;Toruń;SLD;17;SZCZUROWSKA;Inez Justyna;Kobieta;BEZP;52.531759 18.513815
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;18;EICHHORST;Artur;Mężczyzna;LRazem;53.023960 18.597809
040208;2;Osiek;gw;53.157496,19.4021675;5;Toruń;SLD;19;BYTNER;Paweł Mateusz;Mężczyzna;LRazem;53.159309 19.399598
041810;2;Lubanie;gw;52.7238675,18.9182825;5;Toruń;SLD;20;TURSKA;Anna Zofia;Kobieta;SLD;52.726414 18.920440
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;21;POKORSKA;Julia Joanna;Kobieta;LRazem;53.007822 18.589918
040101;1;Aleksandrów Kujawski;gm;52.876452,18.7004405;5;Toruń;SLD;22;OLEJNIK;Stanisław Kazimierz;Mężczyzna;SLD;52.874933 18.702206
046301;1;Toruń;mm;53.014486,18.6014485;5;Toruń;SLD;23;BELSKA;Dorota;Kobieta;LRazem;53.011765 18.608622
046201;1;Grudziądz;mm;53.4724245,18.7785915;5;Toruń;SLD;24;KOWAROWSKI;Łukasz Mariusz;Mężczyzna;SLD;53.465310 18.778524
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;1;CZERNIAK;Jacek Andrzej;Mężczyzna;SLD;51.218167 22.577411
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;2;DŁUGOSZ;Magdalena Anna;Kobieta;LRazem;51.198019 22.561618
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;3;KITLIŃSKI;Tomasz;Mężczyzna;BEZP;51.203917 22.541846
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;4;MAZUREK;Marek;Mężczyzna;BEZP;51.223036 22.568718
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;5;ZABRATAŃSKA;Katarzyna Edyta;Kobieta;LRazem;51.230886 22.559474
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;6;KOŁODZIEJCZYK;Marek Waldemar;Mężczyzna;BEZP;51.228096 22.587058
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;7;LACHOWSKI;Robert Michał;Mężczyzna;Wiosna;51.199177 22.582940
060701;1;Kraśnik;gm;50.943372,22.2134935;6;Lublin;SLD;8;LENART;Agnieszka Monika;Kobieta;SLD;50.940490 22.206398
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;9;SKIBA;Paulina;Kobieta;Wiosna;51.203528 22.549238
060914;2;Wólka;gw;51.2807185,22.6843595;6;Lublin;SLD;10;MARCINKOWSKA-KOZAK;Agnieszka Halina;Kobieta;LRazem;51.285791 22.683933
060911;2;Niemce;gw;51.3455235,22.559587;6;Lublin;SLD;11;MASZKOWSKI;Władysław;Mężczyzna;SLD;51.347950 22.563834
060701;1;Kraśnik;gm;50.943372,22.2134935;6;Lublin;SLD;12;REBEJKO;Jolanta;Kobieta;LRazem;50.942460 22.206699
061409;2;Puławy;gw;51.4592885,21.8969085;6;Lublin;SLD;13;WICHA;Beata;Kobieta;BEZP;51.456317 21.895766
061601;1;Dęblin;gm;51.5672835,21.8743385;6;Lublin;SLD;14;BANAŚ;Andrzej Wawrzyniec;Mężczyzna;BEZP;51.567138 21.871096
061201;2;Chodel;gw;51.100421,22.144146;6;Lublin;SLD;15;STĘPNIAK;Adrian;Mężczyzna;Wiosna;51.100618 22.146184
060808;2;Michów;gw;51.536501,22.3368695;6;Lublin;SLD;16;IWAN;Jarosław Paweł;Mężczyzna;LRazem;51.534908 22.335691
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;17;STOLARSKI;Patryk;Mężczyzna;Wiosna;51.193801 22.554429
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;18;SŁOMKA;Karolina;Kobieta;BEZP;51.224054 22.538037
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;19;KOWALSKA;Barbara;Kobieta;BEZP;51.234119 22.545378
061701;1;Świdnik (a);gm;51.2167125,22.6849365;6;Lublin;SLD;20;KACZYŃSKI;Gabriel Jan;Mężczyzna;LRazem;51.206795 22.685376
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;21;ŁABAREWICZ;Anna Maria;Kobieta;BEZP;51.244174 22.554784
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;22;ROJEK;Grażyna Irena;Kobieta;BEZP;51.216311 22.552291
060901;3;Bełżyce;gmw;51.159145,22.245141;6;Lublin;SLD;23;FIGURA;Dariusz Władysław;Mężczyzna;BEZP;51.159473 22.247667
060801;1;Lubartów;gm;51.4584075,22.6058695;6;Lublin;SLD;24;KUŁAGO;Walenty;Mężczyzna;BEZP;51.461569 22.611963
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;25;MIKITA-SKIBA;Monika Barbara;Kobieta;BEZP;51.228168 22.576377
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;26;NOWICKI;Grzegorz Jerzy;Mężczyzna;BEZP;51.221300 22.544649
060703;2;Dzierzkowice;gw;50.9583355,22.078299;6;Lublin;SLD;27;KASZA;Joanna Edyta;Kobieta;LRazem;50.956244 22.079254
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;28;SKUBIS;Emilia Dominika;Kobieta;BEZP;51.212608 22.551909
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;29;FURMANIAK;Szymon;Mężczyzna;LRazem;51.203749 22.580719
066301;1;Lublin;mm;51.218389,22.563923;6;Lublin;SLD;30;GALLANT;Jacek Marek;Mężczyzna;SLD;51.230900 22.544515
066101;1;Biała Podlaska;mm;52.0290345,23.1383055;7;Chełm;SLD;1;PAWŁOWSKA;Monika Jolanta;Kobieta;Wiosna;52.025434 23.135384
060401;1;Hrubieszów (c);gm;50.806795,23.890625;7;Chełm;SLD;2;SZELĄG;Piotr Edward;Mężczyzna;członek partii politycznej: SLD;50.805927 23.884660
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;7;Chełm;SLD;3;BORYSIUK;Bolesław Borys;Mężczyzna;BEZP;52.229326 21.010067
061503;2;Czemierniki;gw;51.669442,22.6313825;7;Chełm;SLD;4;ROGALA;Sławomir;Mężczyzna;BEZP;51.673418 22.632477
066301;1;Lublin;mm;51.218389,22.563923;7;Chełm;SLD;5;GOŁOŚ;Michał Reoland;Mężczyzna;BEZP;51.196120 22.565923
060115;2;Sosnówka;gw;51.7395305,23.3512135;7;Chełm;SLD;6;CZOBODZIŃSKA-PRZYBYSŁAWSKA;Anna Jadwiga;Kobieta;członek partii politycznej: SLD;51.738310 23.350671
062009;2;Sitno;gw;50.7435025,23.3885155;7;Chełm;SLD;7;WASZKIEWICZ;Gerard;Mężczyzna;BEZP;50.744955 23.388366
061901;1;Włodawa;gm;51.541286,23.533696;7;Chełm;SLD;8;PAMULSKA;Łucja Jadwiga;Kobieta;członek partii politycznej: SLD;51.545292 23.537948
061304;3;Parczew;gmw;51.600647,22.9155965;7;Chełm;SLD;9;DOBOSZ-FURMAN;Patrycja Anna;Kobieta;BEZP;51.599865 22.913314
061302;2;Jabłoń;gw;51.707579,23.0566835;7;Chełm;SLD;10;KAMOLA;Magdalena Małgorzata;Kobieta;członek partii politycznej: SLD;51.703833 23.057591
061701;1;Świdnik (a);gm;51.2167125,22.6849365;7;Chełm;SLD;11;BARTOSZEWSKA-WIC;Ewa Monika;Kobieta;członek partii politycznej: SLD;51.208860 22.684479
060305;2;Dubienka;gw;51.036288,23.8493785;7;Chełm;SLD;12;MACERONI;Grażyna Zofia;Kobieta;BEZP;51.036638 23.850489
060119;2;Zalesie;gw;52.064411,23.399815;7;Chełm;SLD;13;TROJNIEL-GOŹDZIOŁKO;Aldona Wioleta;Kobieta;BEZP;52.062745 23.398553
061501;1;Radzyń Podlaski;gm;51.7768375,22.6263695;7;Chełm;SLD;14;LITWINIEC;Zbigniew;Mężczyzna;członek partii politycznej: SLD;51.773062 22.623708
060201;1;Biłgoraj;gm;50.5390295,22.7116945;7;Chełm;SLD;15;MALCZEWSKI;Jacek Michał;Mężczyzna;BEZP;50.539702 22.714241
066101;1;Biała Podlaska;mm;52.0290345,23.1383055;7;Chełm;SLD;16;JASEK-KOSOBUCKA;Justyna;Kobieta;BEZP;52.029069 23.143070
061504;2;Kąkolewnica;gw;51.8992065,22.6648435;7;Chełm;SLD;17;KAPŁON;Monika;Kobieta;LRazem;51.902566 22.669211
061901;1;Włodawa;gm;51.541286,23.533696;7;Chełm;SLD;18;CHĘĆ;Jacek Tomasz;Mężczyzna;BEZP;51.540637 23.538942
066301;1;Lublin;mm;51.218389,22.563923;7;Chełm;SLD;19;TABOR;Magdalena Aleksandra;Kobieta;LRazem;51.229156 22.553110
060111;2;Piszczac;gw;51.9596145,23.383153;7;Chełm;SLD;20;KUROWSKI;Jan Bolesław;Mężczyzna;członek partii politycznej: SLD;51.959247 23.379671
060311;3;Siedliszcze;gmw;51.2062305,23.1780325;7;Chełm;SLD;21;ŻUKOWSKI;Stanisław;Mężczyzna;BEZP;51.205353 23.178357
061508;2;Wohyń;gw;51.761783,22.799733;7;Chełm;SLD;22;KOZICKA;Katarzyna Małgorzata;Kobieta;BEZP;51.763762 22.800926
066301;1;Lublin;mm;51.218389,22.563923;7;Chełm;SLD;23;ROCZON;Mateusz Maciej;Mężczyzna;LRazem;51.208068 22.566721
060201;1;Biłgoraj;gm;50.5390295,22.7116945;7;Chełm;SLD;24;KIEŁBASA;Bogdan Antoni;Mężczyzna;BEZP;50.537289 22.713967
