okr00;woj;okrname;coord;okr;komitet;nrk;glosy2015;p2015;Idk;empty;komitet2;kto;glosy2019
25;22;Gdańsk;54.361096,18.6899295;25;PO;1;28727;6.73;1300975;25;KO;NEUMANN Sławomir Arkadiusz;25202
20;14;Warszawa;52.233002,21.0614195;20;SLD;1;20503;4.18;1301110;20;SLD;ROZENEK Andrzej Tadeusz;38495
33;26;Kielce;50.85419,20.615443;33;SLD;1;14517;3.10;1301131;33;SLD;SZEJNA Andrzej Jan;24337
14;12;Nowy Sącz;49.610243,20.70664;14;PSL;1;3262;1.05;1301151;14;PSL;NOWOGÓRSKA Urszula Teresa;11499
7;06;Chełm;51.1355835,23.489705;7;SLD;1;11475;3.38;1301218;7;SLD;PAWŁOWSKA Monika Jolanta;12916
13;12;Kraków;50.046894,20.0048255;13;PO;1;47080;8.67;1301249;13;KO;KOWAL Paweł Robert;76720
20;14;Warszawa;52.233002,21.0614195;20;PSL;1;8005;1.63;1301355;20;PSL;MORDAK Robert Dariusz;7195
19;14;Warszawa;52.233002,21.0614195;19;SLD;1;75813;6.92;1301372;19;SLD;ZANDBERG Adrian Tadeusz;140898
9;10;Łódź;51.77348,19.4804095;9;PO;1;21708;6.05;1301428;9;KO;ZIMOCH Tomasz Franciszek;47648
29;24;Katowice;50.214288,19.008149;29;SLD;1;9949;3.39;1301496;29;SLD;NOWICKA Wanda Hanna;25767
26;22;Słupsk;54.4605945,17.0281465;26;SLD;1;11542;2.47;1301602;26;SLD;SENYSZYN Joanna;36405
26;22;Słupsk;54.4605945,17.0281465;26;PO;1;42586;9.12;1301708;26;KO;NOWACKA Barbara Anna;88833
8;08;Zielona Góra;51.9277125,15.5215805;8;SLD;1;13041;3.77;1301774;8;SLD;KUCHARSKA-DZIEDZIC Anita Agnieszka;30581
41;32;Szczecin;53.429696,14.6242155;41;PO;1;16617;4.37;1301843;41;KO;NITRAS Sławomir Witold;78513
16;14;Płock;52.5354155,19.7150025;16;SLD;1;13156;4.38;1301913;16;SLD;IWANIAK Arkadiusz;15098
5;04;Toruń;53.014486,18.6014485;5;PO;1;13400;3.70;1302098;5;KO;LENZ Tomasz;26044
39;30;Poznań;52.4006265,16.90154;39;PSL;1;2833;0.69;1302393;39;PSL;JANKOWIAK Wojciech;13408
2;02;Wałbrzych;50.7851055,16.2913995;2;PO;1;30786;13.15;1302487;2;KO;SIEMONIAK Tomasz;45395
