rok;nro;nrlisty;komitet;nrk;nazwisko;imiona;plec;zawod;partia;glosy;procent;mandat
2015;6;6;SLD;1;PALIKOT;Janusz Marian;M;filozof;Twój Ruch;15115;3.10;n
2015;6;6;SLD;2;CZERNIAK;Jacek Andrzej;M;politolog;SLD;6017;1.23;n
2015;6;6;SLD;3;POPIOŁEK;Zofia;K;poseł na sejm rp;Twój Ruch;1128;0.23;n
2015;6;6;SLD;4;KALBARCZYK;Adam Andrzej;M;nauczyciel;BEZPARTYJNY;948;0.19;n
2015;6;6;SLD;5;ŚWIĘTOCHOWSKI;Władysław;M;trener;SLD;882;0.18;n
2015;6;6;SLD;6;WOŁOSZCZUK;Małgorzata Irena;K;przedsiębiorca;Zieloni;216;0.04;n
2015;6;6;SLD;7;SPRAWKA;Krystyna Stanisława;K;pielęgniarka;BEZPARTYJNY;470;0.10;n
2015;6;6;SLD;8;DUDEK;Natalia;K;urzędnik;SLD;456;0.09;n
2015;6;6;SLD;9;CZARNACKA;Agata Alicja;K;filozof;BEZPARTYJNY;264;0.05;n
2015;6;6;SLD;10;FORNAL;Andrzej Adam;M;lekarz medycyny;SLD;381;0.08;n
2015;6;6;SLD;11;RÓŻYCKI;Janusz Kazimierz;M;nauczyciel;BEZPARTYJNY;137;0.03;n
2015;6;6;SLD;12;GĄSIOR;Bartłomiej;M;drukarz;Zieloni;85;0.02;n
2015;6;6;SLD;13;DROZD;Monika;K;pedagog;Twój Ruch;258;0.05;n
2015;6;6;SLD;14;JÓZEFOWICZ;Paulina Agata;K;student;BEZPARTYJNY;82;0.02;n
2015;6;6;SLD;15;RAUNER;Teresa Zofia;K;technik administracji;BEZPARTYJNY;146;0.03;n
2015;6;6;SLD;16;STRZELCZYK;Tomasz Przemysław;M;przedsiębiorca;Twój Ruch;32;0.01;n
2015;6;6;SLD;17;WOJCIECHOWSKA;Jolanta Izabela;K;technik - chemik;SLD;181;0.04;n
2015;6;6;SLD;18;PYSZNIAK;Anna;K;urzędnik pocztowy;SLD;143;0.03;n
2015;6;6;SLD;19;STĘPNIAK;Adrian;M;politolog;Twój Ruch;61;0.01;n
2015;6;6;SLD;20;MACIEJEWSKA;Henryka;K;nauczycielka;Twój Ruch;36;0.01;n
2015;6;6;SLD;22;WÓJCIK;Sławomir Marceli;M;dozorca;Twój Ruch;142;0.03;n
2015;6;6;SLD;23;SZALAST;Monika Justyna;K;pedagog;SLD;151;0.03;n
2015;6;6;SLD;24;MŁODAWSKI;Mieczysław;M;inżynier elektryk;BEZPARTYJNY;65;0.01;n
2015;6;6;SLD;25;CZAPLA;Beata Irena;K;technik administracji;Twój Ruch;121;0.02;n
2015;6;6;SLD;26;KARWOWSKI;Jeremi Krzysztof;M;dziennikarz;SLD;125;0.03;n
2015;6;6;SLD;27;KUŚ;Mariusz;M;technik bhp;SLD;322;0.07;n
2015;6;6;SLD;28;BISKUP;Leszek Janusz;M;technik elektronik;Twój Ruch;73;0.01;n
2015;6;6;SLD;29;KOWALCZYK;Przemysław Tomasz;M;student;Twój Ruch;150;0.03;n
2015;6;6;SLD;30;SADURSKA;Małgorzata Elżbieta;K;nauczyciel;BEZPARTYJNY;985;0.20;n
2015;6;7;KUKIZ;1;KULESZA;Jakub;M;konsultant ds systemów informatycznych;BEZPARTYJNY;15058;3.09;t
2015;6;7;KUKIZ;2;KOPEĆ;Kamil;M;inżynier budownictwa;BEZPARTYJNY;5560;1.14;n
2015;6;7;KUKIZ;3;JANICKI;Sławomir Wacław;M;matematyk;SolidarnaPolska;1012;0.21;n
2015;6;7;KUKIZ;4;TYLUS;Małgorzata Aneta;K;pracownik socjalny;BEZPARTYJNY;1558;0.32;n
2015;6;7;KUKIZ;5;GOGÓŁKA;Robert Mirosław;M;inżynier ogrodnictwa;BEZPARTYJNY;3022;0.62;n
2015;6;7;KUKIZ;6;KOWALCZYK;Krzysztof;M;fizyk;BEZPARTYJNY;1530;0.31;n
2015;6;7;KUKIZ;7;GODLEWSKI;Józef;M;ekonomista;BEZPARTYJNY;3448;0.71;n
2015;6;7;KUKIZ;8;CEGLARSKA;Aleksandra;K;dziennikarka;BEZPARTYJNY;750;0.15;n
2015;6;7;KUKIZ;9;MOTYKA;Jan Jędrzej;M;historyk sztuki;Kongres Nowej Prawicy;488;0.10;n
2015;6;7;KUKIZ;10;IWANIAK;Izabela Renata;K;inżynier ds stosunków międzynarodowych;BEZPARTYJNY;569;0.12;n
2015;6;7;KUKIZ;11;ZACHAREWICZ;Paweł Michał;M;wykładowca;BEZPARTYJNY;1129;0.23;n
2015;6;7;KUKIZ;12;SERAFIN;Krzysztof;M;historyk;BEZPARTYJNY;808;0.17;n
2015;6;7;KUKIZ;13;JANULEWICZ;Paweł Rafał;M;nauczyciel akademicki;BEZPARTYJNY;838;0.17;n
2015;6;7;KUKIZ;14;BIERNACKA-OLESIEJUK;Agnieszka Maria;K;psycholog;BEZPARTYJNY;336;0.07;n
2015;6;7;KUKIZ;15;DZIERŻAK;Michał Dominik;M;student;BEZPARTYJNY;297;0.06;n
2015;6;7;KUKIZ;16;MANIA;Joanna Barbara;K;nauczyciel;BEZPARTYJNY;325;0.07;n
2015;6;7;KUKIZ;17;BOJANEK;Andrzej Marek;M;audytor wewnętrzny;BEZPARTYJNY;333;0.07;n
2015;6;7;KUKIZ;18;KOSTRZEWA;Przemysław;M;informatyk;BEZPARTYJNY;375;0.08;n
2015;6;7;KUKIZ;19;KOZAK;Monika;K;doradca finansowy;BEZPARTYJNY;947;0.19;n
