teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;xcoord
121306;2;Oświęcim;gw;50.0145795,19.2436075;12;Kraków;SLD;5;JEZIERSKI;Paweł Stanisław;Mężczyzna;BEZP;50.014573 19.245256
146510;1;Mst Warszawa (a);mm;52.233002,21.0614195;13;Kraków;SLD;1;GDULA;Maciej Roman;Mężczyzna;BEZP;52.242832 21.056859
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;2;GOSEK-POPIOŁEK;Daria Iwona;Kobieta;LRazem;50.022796 20.007682
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;3;LIPIŃSKA-PIEKARSKA;Joanna Olszyna;Kobieta;SLD;50.060283 19.995388
126101;1;Kraków (a);mm;50.046894,20.0048255;13;Kraków;SLD;4;KRÓL;Józef Stanisław;Mężczyzna;BEZP;50.046433 19.998403
241701;1;Żywiec;gm;49.7064975,19.2099055;13;Kraków;SLD;5;DROPEK;Magdalena;Kobieta;BEZP;49.706910 19.216474
121014;2;Podegrodzie;gw;49.5972345,20.564174;14;Nowy Sącz;SLD;1;BOCHEŃSKI;Jakub Józef;Mężczyzna;Wiosna;49.595829 20.568758
126201;1;Nowy Sącz;mm;49.610243,20.70664;14;Nowy Sącz;SLD;2;ŻYTKOWICZ;Barbara Aleksandra;Kobieta;BEZP;49.616842 20.695271
226101;1;Gdańsk (ab);mm;54.361096,18.6899295;14;Nowy Sącz;SLD;3;JAKOWICKA;Zuzanna Katarzyna;Kobieta;LRazem;54.370777 18.680334
120501;1;Gorlice;gm;49.666949,21.165987;14;Nowy Sącz;SLD;4;PLATO;Henryk;Mężczyzna;SLD;49.660722 21.168101
121701;1;Zakopane;gm;49.275758,19.9718125;14;Nowy Sącz;SLD;5;CZERSKA;Beata Katarzyna;Kobieta;BEZP;49.268498 19.972340
126301;1;Tarnów;mm;50.0259955,20.977995;15;Tarnów;SLD;1;JABŁOŃSKI;Jacek Andrzej;Mężczyzna;Wiosna;50.034915 20.982203
121614;3;Zakliczyn;gmw;49.8328205,20.7905645;15;Tarnów;SLD;2;WOŹNIAK;Jerzy Andrzej;Mężczyzna;SLD;49.834909 20.789796
120101;1;Bochnia;gm;49.974788,20.429205;15;Tarnów;SLD;3;SKOWROŃSKA;Ewa;Kobieta;LRazem;49.973446 20.422383
121605;3;Radłów;gmw;50.106106,20.8167135;15;Tarnów;SLD;4;KOCOŃ;Dorota;Kobieta;BEZP;50.110136 20.818207
126301;1;Tarnów;mm;50.0259955,20.977995;15;Tarnów;SLD;5;PIWOWARSKI;Stanisław Andrzej;Mężczyzna;BEZP;50.030281 20.970334
146201;1;Płock;mm;52.5354155,19.7150025;16;Płock;SLD;1;IWANIAK;Arkadiusz;Mężczyzna;SLD;52.547952 19.716431
146201;1;Płock;mm;52.5354155,19.7150025;16;Płock;SLD;2;BRUDNICKI;Adrian;Mężczyzna;BEZP;52.543292 19.713432
146201;1;Płock;mm;52.5354155,19.7150025;16;Płock;SLD;3;AUGUSTYŃSKI;Zbigniew;Mężczyzna;LRazem;52.547995 19.720291
143801;1;Żyrardów;gm;52.0555485,20.4405745;16;Płock;SLD;4;LINOWSKA;Małgorzata;Kobieta;SLD;52.056430 20.442057
141901;2;Bielsk;gw;52.661641,19.8090255;16;Płock;SLD;5;KWASIBORSKI;Krzysztof;Mężczyzna;BEZP;52.662664 19.813129
146301;1;Radom (a);mm;51.417238,21.156178;17;Radom;SLD;1;FAJDEK;Patryk;Mężczyzna;Wiosna;51.419332 21.155003
146513;1;Mst Warszawa (a);mm;52.233002,21.0614195;17;Radom;SLD;2;SITARSKI;Ireneusz Robert;Mężczyzna;BEZP;52.253990 21.090147
142507;2;Kowala;gw;51.324264,21.095915;17;Radom;SLD;3;ŻYTKOWSKA-PRUS;Anna Izabela;Kobieta;LRazem;51.326746 21.097164
140606;2;Jasieniec;gw;51.7941785,20.991936;17;Radom;SLD;4;OLISZEWSKI;Daniel;Mężczyzna;SLD;51.794156 20.991611
