Komitet;Typ;Pozycja;Nazwisko;Imiona;Plec;Partia;Zawod
KOBW;KKW;3;MISZALSKI;Aleksander Jan;Mężczyzna;PORP;przedsiębiorca
KOBW;KKW;4;GĄDEK;Lidia Stanisława;Kobieta;PORP;lekarz
KOBW;KKW;5;MAREK;Dorota;Kobieta;PORP;przedsiębiorca
KOBW;KKW;6;RAŚ;Ireneusz Jacek;Mężczyzna;PORP;historyk
KOBW;KKW;7;LASSOTA;Józef;Mężczyzna;PORP;poseł
KOBW;KKW;8;SONIK;Bogusław Andrzej;Mężczyzna;PORP;prawnik
KOBW;KKW;9;WODYŃSKA;Marta Agnieszka;Kobieta;PORP;menadżer
KOBW;KKW;10;MAZUR;Artur;Mężczyzna;członek partii politycznej: Zieloni;dyrektor handlowy
KOBW;KKW;11;SZCZEPAŃSKA;Alicja Anna;Kobieta;BEZP;policjant
KOBW;KKW;12;DYNA;Władysław Andrzej;Mężczyzna;PORP;przedsiębiorca
KOBW;KKW;13;SZCZOTKOWSKI;Dariusz;Mężczyzna;PORP;socjolog
KOBW;KKW;14;NOWAK;Edyta Liliana;Kobieta;PORP;pielęgniarka
KOBW;KKW;15;ULMANIEC;Zbigniew Tomasz;Mężczyzna;PORP;przedsiębiorca
KOBW;KKW;16;BUCZKOWSKI;Andrzej;Mężczyzna;BEZP;politolog
KOBW;KKW;17;ZNAMIROWSKI;Michał Kazimierz;Mężczyzna;BEZP;nauczyciel
KOBW;KKW;18;PIEKAREK;Sebastian Joachim;Mężczyzna;PORP;przedsiębiorca
KOBW;KKW;19;MAJCHER-LEGAWIEC;Urszula Elżbieta;Kobieta;BEZP;nauczyciel
KOBW;KKW;20;BARTYZEL;Janusz Jan;Mężczyzna;BEZP;manager
KOBW;KKW;21;GRABARCZYK;Piotr Łukasz;Mężczyzna;PORP;specjalista ds. mediów
KOBW;KKW;22;WĘGRZYN;Ewelina Teresa;Kobieta;Nowoczesna;politolog
KOBW;KKW;23;PILCH-KOCJAN;Marzena Dorota;Kobieta;PORP;nauczyciel
KOBW;KKW;24;DOMAŃSKI;Andrzej Jan;Mężczyzna;PORP;ekonomista
KOBW;KKW;25;BAJOREK;Emil Krzysztof;Mężczyzna;PORP;przewodnik miejski po Krakowie
KOBW;KKW;26;IWANICKA;Maria;Kobieta;BEZP;kolejarz
KOBW;KKW;27;STRZELECKA;Maria Małgorzata;Kobieta;PORP;orientalista
KOBW;KKW;28;MEYSZTOWICZ;Jerzy Witold;Mężczyzna;Nowoczesna;przedsiębiorca
BZPS;KWW;1;JAKUBIAK;Marek;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;2;ROKOSZ-KUCZYŃSKI;Gniewomir Gwidon;Mężczyzna;BEZP;dziennikarz
BZPS;KWW;3;BATKO;Jerzy Leszek;Mężczyzna;BEZP;rolnik
BZPS;KWW;4;PRZEWŁOCKA;Anna Agnieszka;Kobieta;BEZP;przedsiębiorca
BZPS;KWW;5;GRZYBEK;Marta Barbara;Kobieta;BEZP;przedsiębiorca
BZPS;KWW;6;KAMIŃSKA;Wioleta Barbara;Kobieta;BEZP;przedsiębiorca
BZPS;KWW;7;LORENC;Andrzej Jan;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;8;ŚWIAT;Grażyna Zofia;Kobieta;BEZP;mgr inż. towaroznawca
BZPS;KWW;9;SZCZEPAŃSKI;Dawid Łukasz;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;10;WNĘK;Dorota Maria;Kobieta;BEZP;ekonomistka
BZPS;KWW;11;KUCIA;Maciej Paweł;Mężczyzna;BEZP;nauczyciel akademicki
BZPS;KWW;12;SUDER;Stanisława Agata;Kobieta;BEZP;nauczyciel
BZPS;KWW;13;CZURYŁO;Grzegorz Andrzej;Mężczyzna;BEZP;oficer sił zbrojnych RP
BZPS;KWW;14;LEŚNIAK;Marianna;Kobieta;BEZP;ekonomistka
BZPS;KWW;15;KORASZEWSKI;Bogusław Stanisław;Mężczyzna;BEZP;inżynier mechanik
BZPS;KWW;16;WAWRZYNEK;Anna Małgorzata;Kobieta;BEZP;przedsiębiorca
BZPS;KWW;17;CICHOSZ;Adam;Mężczyzna;BEZP;nauczyciel akademicki
BZPS;KWW;18;WYSKOWSKI;Laura Beata;Kobieta;BEZP;artysta projektant
BZPS;KWW;19;NAHIRNY;Krzysztof Jan;Mężczyzna;BEZP;taksówkarz
BZPS;KWW;20;KLIMEK;Joanna Elżbieta;Kobieta;BEZP;ekonomistka
BZPS;KWW;21;GRODNY;Szymon Zbigniew;Mężczyzna;BEZP;inżynier energetyk
BZPS;KWW;22;KASPERCZYK;Beata Joanna;Kobieta;BEZP;ekonomistka
BZPS;KWW;23;BARAN;Piotr Paweł;Mężczyzna;BEZP;przedsiębiorca
BZPS;KWW;24;KONDRACIUK;Alicja;Kobieta;BEZP;aktorka
BZPS;KWW;25;ORAMUS;Tomasz Artur;Mężczyzna;BEZP;elektronik
BZPS;KWW;26;MALLY;Grażyna;Kobieta;BEZP;ekonomista
BZPS;KWW;27;SROGA;Marlena Magdalena;Kobieta;BEZP;nauczyciel
BZPS;KWW;28;GOWIN;Grzegorz Jacek;Mężczyzna;BEZP;trener sportu
KOMITET WYBORCZY PRAWICA;KWPP;1;ŻÓŁTEK;Stanisław Józef;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;matematyk
KOMITET WYBORCZY PRAWICA;KWPP;2;AONDO-AKAA;Bawer;Mężczyzna;członek partii politycznej: Prawica Rzeczypospolitej;teolog
KOMITET WYBORCZY PRAWICA;KWPP;3;KRZCIUK;Tomasz Andrzej;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;politolog
KOMITET WYBORCZY PRAWICA;KWPP;4;KOWACKA;Barbara Magdalena;Kobieta;BEZP;technik wiertnik
KOMITET WYBORCZY PRAWICA;KWPP;5;JAJTE-PACHOTA;Jerzy Michał;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;ekonomista
KOMITET WYBORCZY PRAWICA;KWPP;6;GANKIEWICZ;Ewa Franciszka;Kobieta;BEZP;emeryt
KOMITET WYBORCZY PRAWICA;KWPP;7;CZARNEK;Norbert Jerzy;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;programista
KOMITET WYBORCZY PRAWICA;KWPP;8;WĘDZICHA;Aneta Agnieszka;Kobieta;BEZP;kasjerka
KOMITET WYBORCZY PRAWICA;KWPP;9;SIERANT;Maciej Zbigniew;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;technik wiertnik
KOMITET WYBORCZY PRAWICA;KWPP;10;FĄFARA;Katarzyna Beata;Kobieta;BEZP;księgowa
KOMITET WYBORCZY PRAWICA;KWPP;11;ŻMIGRODZKI;Stanisław Michał;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;inżynier mechanik
KOMITET WYBORCZY PRAWICA;KWPP;12;KOWALSKA;Maria Janina;Kobieta;BEZP;handlowiec
KOMITET WYBORCZY PRAWICA;KWPP;13;KUŹNIARSKI;Piotr Władysław;Mężczyzna;BEZP;kierowca ciężarówki
KOMITET WYBORCZY PRAWICA;KWPP;14;GIBAŁA;Jolanta Maria;Kobieta;BEZP;emeryt
KOMITET WYBORCZY PRAWICA;KWPP;15;KOT;Monika Izabela;Kobieta;BEZP;pielęgniarka
KOMITET WYBORCZY PRAWICA;KWPP;16;SIERANKIEWICZ;Andrzej;Mężczyzna;BEZP;emeryt
KOMITET WYBORCZY PRAWICA;KWPP;17;KOWALSKI;Dawid Paweł;Mężczyzna;BEZP;kucharz
KOMITET WYBORCZY PRAWICA;KWPP;18;SZATAN;Jarosław Kazimierz;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;przedstawiciel handlowy
PiS;KWPP;1;MULARCZYK;Arkadiusz;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;2;PALUCH;Anna;Kobieta;PiS;parlamentarzysta
PiS;KWPP;3;BARTUŚ;Barbara Halina;Kobieta;PiS;prawnik
PiS;KWPP;4;JANCZYK;Wiesław Stanisław;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;5;SIARKA;Edward;Mężczyzna;SolidarnaPolska;parlamentarzysta
PiS;KWPP;6;LEŚNIAK;Józef Krzysztof;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;7;DUDA;Jan Wiesław;Mężczyzna;PiS;parlamentarzysta
PiS;KWPP;8;PICZURA;Jan;Mężczyzna;PiS;ekonomista
PiS;KWPP;9;GUT-MOSTOWY;Andrzej Józef;Mężczyzna;PorozumienieJarosławaGowina;menadżer
PiS;KWPP;10;BIEDROŃ;Grzegorz Janusz;Mężczyzna;PiS;nauczyciel
PiS;KWPP;11;WICHER;Patryk Tomasz;Mężczyzna;PiS;menadżer
PiS;KWPP;12;ZIELIŃSKA;Elżbieta Joanna;Kobieta;BEZP;politolog
PiS;KWPP;13;NIKA;Zofia;Kobieta;PiS;nauczyciel
PiS;KWPP;14;FILIPIAK;Ewa;Kobieta;PiS;ekonomista
PiS;KWPP;15;TYLKA;Grażyna Katarzyna;Kobieta;BEZP;pielęgniarka
PiS;KWPP;16;WALICKI;Tomasz Stanisław;Mężczyzna;PiS;nauczyciel
PiS;KWPP;17;ADAMCZYK;Marta;Kobieta;PiS;dyrektor marketingu
PiS;KWPP;18;PARUCH;Zygmunt Jan;Mężczyzna;PiS;energetyk
PiS;KWPP;19;LEKSANDER;Bartosz;Mężczyzna;PiS;inżynier środowiska
PiS;KWPP;20;ZUBEK;Marcin Marian;Mężczyzna;BEZP;stolarz
KOMITET WYBORCZY PRAWICA;KWPP;1;PACIEJ;Andrzej Stefan;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;nauczyciel matematyki
KOMITET WYBORCZY PRAWICA;KWPP;2;PROSTKO;Wiesław Ryszard;Mężczyzna;członek partii politycznej: Prawica Rzeczypospolitej;nauczyciel
KOMITET WYBORCZY PRAWICA;KWPP;3;KLEMCZAK;Krzysztof;Mężczyzna;członek partii politycznej: Kongres Nowej Prawicy;menedżer
KOMITET WYBORCZY PRAWICA;KWPP;4;ŻÓŁTEK;Halina Irena;Kobieta;członek partii politycznej: Kongres Nowej Prawicy;nauczyciel
KOMITET WYBORCZY PRAWICA;KWPP;5;GÓRSKA;Anna;Kobieta;BEZP;gospodyni
KOMITET WYBORCZY PRAWICA;KWPP;6;ZIĘCINA;Monika Katarzyna;Kobieta;BEZP;agent ubezpieczeniowy
