teryt;xteryt;gmina;typ;coord;onum;oname;komitet;nrk;nz;im;plec;partia;ret;onumo;trans
281401;3;Barczewo;gmw;53.844892,20.7121685;34;Elbląg;KONFEDERACJA;5;HUL;Marek;Mężczyzna;BEZP;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;6;POŁEĆ;Agnieszka Maria;Kobieta;BEZP;[0];-1;
280202;2;Braniewo (c);gw;54.3726675,19.881581;34;Elbląg;KONFEDERACJA;7;RUKSZTEŁŁO;Teresa Genowefa;Kobieta;BEZP;[0];-1;
280702;1;Lubawa;gm;53.5005075,19.7549105;34;Elbląg;KONFEDERACJA;8;ZENOWICZ;Marika;Kobieta;RuchNarodowy;[0];-1;
286101;1;Elbląg (b);mm;54.1988105,19.434411;34;Elbląg;KONFEDERACJA;9;SZCZEPAŃSKA;Genowefa Grażyna;Kobieta;BEZP;[0];-1;
280407;3;Pasłęk;gmw;54.044343,19.692343;34;Elbląg;KONFEDERACJA;10;CHRAPAN;Marek;Mężczyzna;RuchNarodowy;[0];-1;
281405;2;Gietrzwałd;gw;53.7242745,20.2621095;35;Olsztyn;KONFEDERACJA;1;LISIECKI;Piotr Cezary;Mężczyzna;RuchNarodowy;[1];35;35==35
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KONFEDERACJA;2;PITURA;Tomasz;Mężczyzna;członek partii politycznej: Zjednoczenie Chrześcijańskich Rodzin;[1];35;35==35
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;KONFEDERACJA;3;MICHALEWICZ;Joanna;Kobieta;BEZP;[1];35;35==35
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;KONFEDERACJA;4;TYTZ;Jerzy Stanisław;Mężczyzna;BEZP;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;KONFEDERACJA;5;BORYSOWSKI;Paweł Arkadiusz;Mężczyzna;BEZP;[0];-1;
281405;2;Gietrzwałd;gw;53.7242745,20.2621095;35;Olsztyn;KONFEDERACJA;6;MICHALSKI;Radosław Jan;Mężczyzna;BEZP;[0];-1;
281701;1;Szczytno;gm;53.5636365,20.997893;35;Olsztyn;KONFEDERACJA;7;ZIELIŃSKA;Justyna;Kobieta;BEZP;[0];-1;
281404;2;Dywity;gw;53.8756485,20.4766725;35;Olsztyn;KONFEDERACJA;8;DĘBKOWSKI;Cezary;Mężczyzna;BEZP;[0];-1;
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;KONFEDERACJA;9;MARKOWSKA;Anna;Kobieta;BEZP;[0];-1;
280601;1;Giżycko;gm;54.035964,21.769379;35;Olsztyn;KONFEDERACJA;10;LICHACZ;Martyna;Kobieta;BEZP;[1];35;35==35
281304;3;Olecko;gmw;54.0190885,22.4800115;35;Olsztyn;KONFEDERACJA;11;ADAMSKA;Danuta;Kobieta;BEZP;[0];-1;
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;KONFEDERACJA;12;GOŁĘBIEWSKA;Paulina;Kobieta;RuchNarodowy;[0];-1;
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;KONFEDERACJA;13;WYSOCKI;Kamil Michał;Mężczyzna;RuchNarodowy;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;1;MAKSYMOWICZ;Wojciech Stefan;Mężczyzna;BEZP;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;2;ARENT;Iwona Ewa;Kobieta;PiS;[1];35;35==35
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;3;CHOJECKI;Artur Henryk;Mężczyzna;PiS;[0];-1;
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;PiS;4;KOSSAKOWSKI;Wojciech;Mężczyzna;PiS;[1];35;35==35
281603;3;Pisz;gmw;53.63459,21.713319;35;Olsztyn;PiS;5;MAŁECKI;Jerzy Wojciech;Mężczyzna;PiS;[1];35;35==35
281001;1;Mrągowo;gm;53.8684315,21.2988925;35;Olsztyn;PiS;6;GOSIEWSKI;Jerzy Antoni;Mężczyzna;PiS;[1];35;35==35
281104;3;Nidzica;gmw;53.4090145,20.49263;35;Olsztyn;PiS;7;KOZŁOWSKI;Patryk;Mężczyzna;PiS;[1];35;35==35
281902;2;Pozezdrze;gw;54.153687,21.86126;35;Olsztyn;PiS;8;NOWACKI;Robert Krzysztof;Mężczyzna;SolidarnaPolska;[0];-1;
281701;1;Szczytno;gm;53.5636365,20.997893;35;Olsztyn;PiS;9;ŻUCHOWSKI;Henryk;Mężczyzna;PiS;[0];-1;
286201;1;Olsztyn;mm;53.776555,20.4665675;35;Olsztyn;PiS;10;RUDNIK;Dariusz Stanisław;Mężczyzna;PiS;[1];35;35==35
281409;3;Olsztynek;gmw;53.5739185,20.358239;35;Olsztyn;PiS;11;BUKOWSKA;Beata Anna;Kobieta;PiS;[0];-1;
280605;2;Kruklanki;gw;54.091396,22.050773;35;Olsztyn;PiS;12;SZOSTAK;Izabela Kamila;Kobieta;PiS;[0];-1;
280501;1;Ełk;gm;53.823927,22.360008;35;Olsztyn;PiS;13;MARCHEL;Karol Robert;Mężczyzna;PiS;[1];35;35==35
