komitet;numer;posel;glosy
8;8;LAMCZYK Stanisław Józef;10155
8;9;NAMYŚLAK Witold Tadeusz;9441
8;28;CZUCHA Zdzisław Józef;10560
20;1;SENYSZYN Joanna;25193
20;2;JARUGA-NOWACKA Izabela Walentyna;14827
6;1;SZWED Stanisław;42604
6;2;FALFUS Jacek Eugeniusz;18814
6;3;MATUSZNY Kazimierz Władysław;13379
6;4;PIĘTA Stanisław Jan;10996
8;1;TOMCZYKIEWICZ Tomasz Kazimierz;41035
8;2;NYKIEL Mirosława;33180
8;3;KOPEĆ Tadeusz Wiktor;16325
8;4;WYKRĘT Adam;10180
20;1;KOTKOWSKA Bożena Teresa;15234
6;1;GIŻYŃSKI Szymon Stanisław;28531
6;2;WIŚNIEWSKA Jadwiga Maria;20814
6;3;KARASIEWICZ Lucjan Dominik;10938
8;1;ROZPONDEK Halina Leokadia;42951
8;3;SZTOLCMAN Grzegorz Czesław;12701
8;4;LESZCZYNA Izabela Dorota;11617
20;1;MATYJASZCZYK Krzysztof Adam;16432
6;1;RELIGA Zbigniew Eugeniusz;62228
6;2;SZARAMA Wojciech Piotr;7645
6;4;CHŁOPEK Aleksander Antoni;5762
8;1;GAŁAŻEWSKI Andrzej Józef;33766
8;2;SZUMILAS Krystyna Maria;27100
8;3;SEKUŁA Mirosław;22261
8;4;GŁOGOWSKI Tomasz Marian;20744
8;5;BRZEZINKA Jacek Piotr;9127
8;7;KAŹMIERCZAK Jan Piotr;7641
20;1;MARTYNIUK Wacław Andrzej;16125
6;1;PIECHA Bolesław Grzegorz;44052
6;2;JANIK Grzegorz Piotr;7570
6;3;KLOC Izabela Helena;14077
6;9;GAWĘDA Adam;7757
8;1;SIEDLACZEK Henryk Piotr;35124
8;2;GADOWSKI Krzysztof Jan;18003
8;5;KRZĄKAŁA Marek Grzegorz;15469
8;7;ZAWADZKI Ryszard Józef;11113
20;1;MOTOWIDŁO Tadeusz;17087
6;1;POLACZEK Jerzy Jan;56018
6;2;SOŚNIERZ Andrzej Stanisław;27758
6;3;NOWAK Maria Teresa;9718
6;5;TOBISZOWSKI Grzegorz Józef;13984
8;1;KUTZ Kazimierz Julian;113280
8;2;PIETRASZEWSKA Danuta Róża;22790
8;3;ZIĘTEK Jerzy;11886
8;4;RZYMEŁKA Jan Antoni;8958
8;5;WÓJCIK Marek Krzysztof;8870
8;7;PIERZCHAŁA Elżbieta Apolonia;8553
8;10;PLURA Marek Mirosław;10528
20;1;CELIŃSKI Andrzej Bohdan;20338
6;1;MALIK Ewa;32231
6;2;ANDZEL Waldemar Franciszek;10121
8;1;DOLNIAK Grzegorz Maciej;38444
8;2;SAŁUGA Wojciech Paweł;22275
8;3;MAŁECKA-LIBERA Beata Maria;20877
