komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;9;5;SOCHA Bogdan;103;1.67;0.02;NX
K1;9;6;BUKOWSKA Aleksandra Mirosława;91;1.47;0.02;NX
K1;9;7;JANAS Barbara;98;1.59;0.02;NX
K1;9;8;RZETELSKA Irena Maria;60;0.97;0.01;NX
K1;9;10;KUKIEŁA Piotr Stanisław;47;0.76;0.01;NX
K1;9;11;ORZECHOWSKA-STOLARSKA Anna Ewa;63;1.02;0.01;NX
K1;9;12;WOLANOWSKA Agnieszka;45;0.73;0.01;NX
K1;9;13;MATUSIAK Teresa Irena;85;1.38;0.02;NX
K1;9;14;PAWLAK Zenon;185;3.00;0.04;NX
K1;9;15;ZAMOJSKI Michał;59;0.95;0.01;NX
K1;9;16;TOMCZYK Bolesław;34;0.55;0.01;NX
K1;9;17;DURKA Krzysztof Leonard;43;0.69;0.01;NX
K1;9;19;PIETRZYKOWSKA Maria Helena;56;0.91;0.01;NX
K1;9;20;BREJNER Mariusz Reni;62;1.00;0.01;NX
K1;10;1;SIKORA Krzysztof Ryszard;2573;38.80;0.88;NX
K1;10;2;CIUPA Anna Magdalena;545;8.21;0.19;NX
K1;10;3;PROCHOŃ Andrzej;451;6.80;0.15;NX
K1;10;4;NIEWCZAS Roman;254;3.83;0.09;NX
K1;10;5;BŁASZKOWSKA Alina Maria;277;4.17;0.09;NX
K1;10;6;DZIUBAŁTOWSKI Stanisław Józef;310;4.67;0.11;NX
K1;10;7;MORAWSKI Paweł;359;5.41;0.12;NX
K1;10;8;JANKOWSKI Sławomir Piotr;339;5.11;0.12;NX
K1;10;9;CHAŁADA Lidia Anna;164;2.47;0.06;NX
K1;10;10;DĄBROWSKI Marcin Robert;264;3.98;0.09;NX
K1;10;11;SIMA Janusz Marek;125;1.88;0.04;NX
K1;10;12;GABINOWSKI Sylwester Tomasz;69;1.04;0.02;NX
K1;10;13;SOCHAŃSKI Tomasz Jan;135;2.03;0.05;NX
K1;10;14;WIEDEŃSKI Stanisław;107;1.61;0.04;NX
K1;10;15;WOJTERA Sławomir Tomasz;98;1.47;0.03;NX
K1;10;16;LISOWSKA Jolanta Małgorzata;265;3.99;0.09;NX
K1;10;17;ADAMUS Grzegorz Józef;185;2.78;0.06;NX
K1;10;18;TYSZKO Eugeniusz Sylwester;111;1.67;0.04;NX
K1;11;1;TYSZKO Grażyna Alicja;1905;18.40;0.50;NX
K1;11;2;KIEDOS Edward Józef;2057;19.87;0.54;NX
K1;11;3;WOJTERA Marek;2362;22.81;0.62;NX
K1;11;4;MIŁEK Sławomir;463;4.47;0.12;NX
K1;11;5;STAWSKI Rafał;264;2.55;0.07;NX
K1;11;6;PIASECKI Jerzy;226;2.18;0.06;NX
K1;11;7;ŁUCZAK Jan Bolesław;421;4.06;0.11;NX
K1;11;8;URBANIAK Andrzej;446;4.30;0.12;NX
K1;11;9;KULA Zbigniew Andrzej;246;2.37;0.06;NX
K1;11;10;KRZYKOWSKI Zdzisław;130;1.25;0.03;NX
K1;11;11;WOJCIECHOWSKI Mirosław;244;2.35;0.06;NX
K1;11;12;PASEK Andrzej;145;1.40;0.04;NX
