okreg;komitet;numer;kandydat;url;glosy;procent;wynik
10;7;7;Derewęda-Jankowska Katarzyna Elżbieta;/cpr/sjm-10/pl/5aef2d22-10f8-42b9-b4c9-c610da62e535.html;980;0,38;NX
10;7;8;Pietrzak Teresa Wiesława;/cpr/sjm-10/pl/e55b20ef-7f7a-475d-abf7-28ab77d4d049.html;1339;0,51;NX
10;7;9;Klatka Barbara Ewa;/cpr/sjm-10/pl/9eb45d74-4d83-49b8-8379-2c0279086f8c.html;3241;1,24;NX
10;7;10;Kucharski Sylwester Wojciech;/cpr/sjm-10/pl/1211e57e-66e4-4d6b-b3a8-7a2c86543198.html;1685;0,65;NX
10;7;11;Magacz Dariusz Marian;/cpr/sjm-10/pl/f8ad765c-145a-4f49-b18c-0ee8519e0cd5.html;806;0,31;NX
10;7;12;Kruszona Bartosz;/cpr/sjm-10/pl/ae33ec11-b797-4a8e-9785-f306cdb084cd.html;253;0,10;NX
10;7;13;Greta Szczepan Jan;/cpr/sjm-10/pl/97f2b83a-9936-4b01-9b77-6ef53bb91bfd.html;285;0,11;NX
10;7;14;Cłapa Ewa Maria;/cpr/sjm-10/pl/38595868-2346-468b-96f5-681ee63e02b9.html;1095;0,42;NX
10;7;15;Olszewski Wiktor Łukasz;/cpr/sjm-10/pl/c90521b3-aecc-48de-be34-fe124315029c.html;917;0,35;NX
10;7;16;Langkamer Tomasz Łukasz;/cpr/sjm-10/pl/0021b5ea-5af0-420a-909f-bfd6f91ba09e.html;253;0,10;NX
10;7;17;Jarczyński Mateusz Arkadiusz;/cpr/sjm-10/pl/fc80d4ab-446e-4c85-9dac-afe80890fef0.html;414;0,16;NX
10;7;18;Malinowski Sławomir;/cpr/sjm-10/pl/5d561a5f-04ad-4ff3-bf2c-022697b7ac2b.html;2155;0,83;NX
10;10;1;Kwaśniak Paweł Wojciech;/cpr/sjm-10/pl/e6d94002-44f4-49c3-a690-cec25ccdc74f.html;784;0,30;NX
10;10;2;Tera Monika Edyta;/cpr/sjm-10/pl/ff763d5d-3cee-4b82-aba5-eef05ea26588.html;145;0,06;NX
10;10;3;Łęska Mirosława Jadwiga;/cpr/sjm-10/pl/e04f6bca-690c-42ec-ba9e-070f4522fe8a.html;221;0,08;NX
10;10;4;Fałek Grażyna;/cpr/sjm-10/pl/fb83e346-40f1-4f61-a9a7-4f5a7fef430e.html;94;0,04;NX
10;10;5;Kot Marian Krzysztof;/cpr/sjm-10/pl/a949fb1e-79f1-419b-b64c-199f3e8693af.html;154;0,06;NX
10;10;6;Przerada Maria Jolanta;/cpr/sjm-10/pl/909cf1cb-402d-4330-8702-260021d3c902.html;63;0,02;NX
10;10;7;Skóra Sylwia Agnieszka;/cpr/sjm-10/pl/5fa1cbfc-9cb7-4123-abd3-003094309a8c.html;61;0,02;NX
10;10;8;Caban Agnieszka Bożena;/cpr/sjm-10/pl/d666c4cf-cd92-47ea-9131-b12b3fedb102.html;95;0,04;NX
10;10;9;Strojecki Karol;/cpr/sjm-10/pl/3de739d5-daff-4074-9e41-f4b4a5db9da8.html;100;0,04;NX
10;10;10;Dzierżanowska Monika;/cpr/sjm-10/pl/702e2b94-431e-496e-99c5-a4867b74cb89.html;57;0,02;NX
10;10;11;Kieszek Ewa;/cpr/sjm-10/pl/bd347250-09fe-4c42-9333-644e89ec32f2.html;64;0,02;NX
10;10;12;Paździej Małgorzata Marianna;/cpr/sjm-10/pl/8fef5f8b-6df3-49e4-b7dd-98925860bd71.html;64;0,02;NX
10;10;13;Kluzek Jarosław Adam;/cpr/sjm-10/pl/62c7db32-3688-4392-9f90-8588bbefde50.html;38;0,01;NX
10;10;14;Kocik Agnieszka Maria;/cpr/sjm-10/pl/886530b9-43cb-45e9-97bd-abce321bcbf7.html;41;0,02;NX
10;10;15;Perdeus Paweł Piotr;/cpr/sjm-10/pl/bdf2f758-142c-4922-8021-a54d85e660e3.html;58;0,02;NX
10;10;16;Kobylińska Irena Bożena;/cpr/sjm-10/pl/075bd3c2-6058-4f1f-9426-7b201a365934.html;23;0,01;NX
10;10;17;Chrust Przemysław;/cpr/sjm-10/pl/21f99761-fb84-4bbd-a715-802188634e97.html;168;0,06;NX
11;1;1;Schreiber Grzegorz Zenon;/cpr/sjm-11/pl/505a5f6b-11ae-4080-9777-53c2cf600d0e.html;17808;5,24;PX
11;1;2;Matuszewski Marek;/cpr/sjm-11/pl/2f08b26b-1c89-4cb0-9d95-8e28252dbd3d.html;16207;4,77;PX
11;1;3;Mastalerek Marcin;/cpr/sjm-11/pl/bead4b8b-ec43-4e34-b248-17b614a26655.html;8509;2,50;PX
11;1;4;Grabicka Krystyna Stanisława;/cpr/sjm-11/pl/c8588ddb-9b3b-4e9d-b7fe-a9249f95fed2.html;6776;1,99;NX
11;1;5;Mateusiak-Pielucha Beata Anna;/cpr/sjm-11/pl/94a7e369-6d8d-4613-9594-13d15dbb06e3.html;6319;1,86;NX
11;1;6;Zarzycki Wojciech Szczęsny;/cpr/sjm-11/pl/f5f32e55-3bb5-421a-b14f-56b680eef71c.html;4158;1,22;NX
11;1;7;Woźniak Tadeusz Jacek;/cpr/sjm-11/pl/e8afa482-be8d-47c7-b19f-bb2816cd2be6.html;8996;2,65;PX
11;1;8;Polak Piotr Stanisław;/cpr/sjm-11/pl/5c0cc379-3e14-4275-bb62-66c45a2c993d.html;9022;2,65;PX
11;1;9;Kłopotowski Konrad;/cpr/sjm-11/pl/b5c200b5-eb69-43b0-bd6d-40b66db09a90.html;2211;0,65;NX
11;1;10;Czyżak Grażyna Ewa;/cpr/sjm-11/pl/12f923eb-c5fb-424b-9ad0-cf53683a4f3f.html;3128;0,92;NX
11;1;11;Kosiorek Marcin Rafał;/cpr/sjm-11/pl/4b67af89-6af9-4d04-8cca-628e6ed9d429.html;5213;1,53;NX
11;1;12;Dęga Sylwia Bogumiła;/cpr/sjm-11/pl/b8add450-a321-425d-902c-45a2739e566c.html;4179;1,23;NX
11;1;13;Olas Stanisław Czesław;/cpr/sjm-11/pl/d2d539a0-e6f8-444a-b7c9-530fa423cc62.html;1127;0,33;NX
11;1;14;Krzak Michał Bazyli;/cpr/sjm-11/pl/842d17fd-6b97-4461-9080-086d02711c0a.html;1243;0,37;NX
11;1;15;Rządziński Robert Roman;/cpr/sjm-11/pl/9936f4bd-3942-4481-9ba2-98af0219d5e0.html;1327;0,39;NX
11;1;16;Sagan Marlena Barbara;/cpr/sjm-11/pl/bd150f8a-d1a6-4664-8adb-024912140ae8.html;2630;0,77;NX
11;1;17;Gędek Łukasz Andrzej;/cpr/sjm-11/pl/d79a8d4e-f532-4478-af38-a4e210b7aaa2.html;878;0,26;NX
11;1;18;Moska Jolanta Maria;/cpr/sjm-11/pl/dc7bad3e-fe25-4575-9e7f-af6d526b7be0.html;510;0,15;NX
11;1;19;Olczak Grażyna Jadwiga;/cpr/sjm-11/pl/095fa876-b25d-469d-99b5-48bc09d1ae81.html;1046;0,31;NX
11;1;20;Żebrowska Jolanta Janina;/cpr/sjm-11/pl/14eab56f-50a5-4394-ab2f-8f854468b09e.html;1102;0,32;NX
11;1;21;Rozmarynowska Anna Maria;/cpr/sjm-11/pl/e6ce0784-3c84-40f9-8e28-f59189dd0aff.html;2159;0,64;NX
11;1;22;Liberski Zbigniew Krzysztof;/cpr/sjm-11/pl/24a0e9f1-7132-48c5-a543-0f5f9cec8f7b.html;631;0,19;NX
11;1;23;Woźniak Marlena Maria;/cpr/sjm-11/pl/9a972eac-f1eb-4baa-b5ba-0514ec7eae10.html;1431;0,42;NX
11;1;24;Rozmarynowska Urszula Teresa;/cpr/sjm-11/pl/2bd2b3c2-9892-4823-9dfc-bd45770d6506.html;2595;0,76;NX
11;2;1;Kenic Janusz Kazimierz;/cpr/sjm-11/pl/378d92ab-2b13-46ae-b836-36b6921360d0.html;1389;0,41;NX
11;2;2;Budzianowski Piotr Ryszard;/cpr/sjm-11/pl/020db085-03dd-4175-bc4a-73881551d4f2.html;475;0,14;NX
11;2;3;Hajnrych Grażyna;/cpr/sjm-11/pl/0a248dc0-9319-48db-83cd-2ca190427c56.html;562;0,17;NX
11;2;4;Śmigielski Witold Jacek;/cpr/sjm-11/pl/b28f5efa-ed2b-4bfb-b08b-814dff6bd948.html;330;0,10;NX
11;2;5;Tomczak Henryk Zenon;/cpr/sjm-11/pl/11eab58e-8edb-421b-878b-1f50b68626ef.html;539;0,16;NX
11;2;6;Bajer Bartosz Artur;/cpr/sjm-11/pl/8f86b928-d75e-40f8-8376-42532f9c4808.html;275;0,08;NX
11;2;7;Starczewski Jan;/cpr/sjm-11/pl/ef391c4e-7639-47dc-8c9e-b04ce6665e54.html;165;0,05;NX
11;2;8;Szadkowska Anna Maria;/cpr/sjm-11/pl/8c9323a5-6e54-4ab8-af90-07e59450f3a5.html;484;0,14;NX
11;2;9;Dąbkowski Andrzej Maksymilian;/cpr/sjm-11/pl/2ea25f32-20b2-4e80-8a86-39941e56f45f.html;98;0,03;NX
11;2;10;Lis Anna Maria;/cpr/sjm-11/pl/b94e00ab-edd1-4caa-aa7a-5824481a11fe.html;496;0,15;NX
11;2;11;Wojciechowska Krystyna Zofia;/cpr/sjm-11/pl/dd5609b4-7559-4a1c-9f26-ef8a0bb8f0fa.html;308;0,09;NX
11;2;12;Gradowski Dariusz;/cpr/sjm-11/pl/567df043-f4fe-4fee-bfcf-7635a095b832.html;152;0,04;NX
11;2;13;Król Kamilla Dorota;/cpr/sjm-11/pl/c1682b8d-4a8f-47c2-8f34-ced5de229e1e.html;337;0,10;NX
11;2;14;Zajda Tomasz Ryszard;/cpr/sjm-11/pl/b27ae3c4-9edc-443c-8061-cee7e2f1f6fe.html;256;0,08;NX
11;3;1;Piątek Iwona Zofia;/cpr/sjm-11/pl/2b43ab4c-328a-4d41-a0fa-ed3a1ffff77c.html;5539;1,63;NX
11;3;2;Krasiński Zbigniew Stanisław;/cpr/sjm-11/pl/140fa51c-38e8-4865-9be9-1495b8953ccc.html;2846;0,84;NX
11;3;3;Dziemdziela Józef;/cpr/sjm-11/pl/e2430e24-b0ba-42b0-8852-da932fda2b5c.html;2405;0,71;NX
11;3;4;Jura Tomasz Aleksander;/cpr/sjm-11/pl/c84068ee-3bdf-48e9-b1c2-4bbbbe4e7966.html;1259;0,37;NX
11;3;5;Kaźmierska-Małyska Iwona Monika;/cpr/sjm-11/pl/7f93604e-7550-4403-9984-7fd17f0140f5.html;1896;0,56;NX
11;3;6;Leśniczak Henryk Jan;/cpr/sjm-11/pl/a1c6fa8c-1a42-4b3a-8d1c-d111cab22338.html;615;0,18;NX
11;3;7;Sadziński Przemysław;/cpr/sjm-11/pl/6bfc998e-4d3a-4349-9984-abe96548f532.html;652;0,19;NX
11;3;8;Zarębski Zdzisław;/cpr/sjm-11/pl/a6831809-32b2-44ae-9087-02ddb4b64d89.html;332;0,10;NX
11;3;9;Leśkiewicz Patrycja Irena;/cpr/sjm-11/pl/ec46e1c3-a858-42cd-b715-f9f49fcb4d6d.html;534;0,16;NX
11;3;10;Kabaciński Wojciech Andrzej;/cpr/sjm-11/pl/0870df11-aca6-4504-ae19-3f23051b651d.html;415;0,12;NX
11;3;11;Łebkowski Paweł Krzysztof;/cpr/sjm-11/pl/74b2a8cf-232e-4839-844f-99e75a6a1641.html;296;0,09;NX
11;3;12;Przytulska Maria Nina;/cpr/sjm-11/pl/fd725308-497c-4477-91ee-f8bcf2e0e78e.html;587;0,17;NX
11;3;13;Kowalczyk Dominika Anna;/cpr/sjm-11/pl/7eaa9f9d-3bd0-4fba-a576-f38c7689677c.html;516;0,15;NX
11;3;14;Warzocha Maryla;/cpr/sjm-11/pl/c28b10ee-0d24-4ee7-af0b-38cb1b1fb80f.html;368;0,11;NX
11;3;15;Kraska Robert Piotr;/cpr/sjm-11/pl/c8ffb24f-1cab-4f36-b1c7-a6d89f068e56.html;642;0,19;NX
11;3;16;Płuciennik Agnieszka;/cpr/sjm-11/pl/bb29f9a8-1fc4-4543-ab38-255ff1f0d195.html;728;0,21;NX
11;3;17;Szczepańska Elżbieta Zofia;/cpr/sjm-11/pl/cbb6310f-58f4-4a76-8b24-b9f5fe99db6e.html;325;0,10;NX
11;3;18;Wiśniewska Ewa;/cpr/sjm-11/pl/3a513754-34fd-4f19-ab3f-0633c138d21a.html;695;0,20;NX
